player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Brian Greene,60220,G,MICH STATE,1,0,223,83.6,0,0,20,100.0,100.0,100.0,0,0,0,21,21,78.4,0,0,5,100.0,100.0,100.0,0,0,5,5
Anthony Bradford,99103,G,LSU,1,0,211,74.9,0,1,20,100.0,100.0,97.5,0,1,0,21,21,81.9,0,0,11,100.0,100.0,100.0,0,0,11,11
Cedrice Paillant,129895,G,MARSHALL,1,0,214,85.5,0,0,18,100.0,100.0,100.0,0,0,0,21,21,79.1,0,0,4,100.0,100.0,100.0,0,0,5,5
T.J. Session,102316,T,CAL,1,0,130,84.5,0,0,18,100.0,100.0,100.0,0,0,0,21,21,79.8,0,0,5,100.0,100.0,100.0,0,0,5,5
Evan Buss,130543,T,N ILLINOIS,1,0,254,80.0,0,0,19,100.0,100.0,100.0,0,0,0,21,21,82.3,0,0,7,100.0,100.0,100.0,0,0,7,7
Wes Harris,60108,G,TCU,1,0,305,54.7,0,1,20,100.0,100.0,92.5,0,2,1,20,20,29.6,0,1,8,100.0,100.0,81.2,2,1,8,8
John Lanz,76563,G,TCU,1,0,305,85.7,0,0,20,100.0,100.0,100.0,0,0,0,20,20,80.5,0,0,5,100.0,100.0,100.0,0,0,5,5
Dylan Deatherage,60242,T,W MICHIGAN,1,0,347,55.1,0,1,16,100.0,100.0,90.6,0,2,1,20,20,35.9,0,1,8,100.0,100.0,81.2,2,1,10,10
Kameron Stutts,81590,G,AUBURN,1,0,115,76.3,0,1,20,100.0,100.0,97.5,0,1,0,20,20,69.5,0,1,10,100.0,100.0,95.0,1,0,10,10
Dom Polizzi,97651,G,BUFFALO,1,0,126,58.2,0,1,20,100.0,100.0,97.5,0,1,0,20,20,11.6,0,1,3,100.0,100.0,83.3,1,0,3,3
Bucky Williams,78305,G,APP STATE,1,0,108,51.3,2,0,19,100.0,100.0,94.7,0,2,0,20,20,20.4,1,0,4,100.0,100.0,87.5,1,0,4,4
Jackson Ness,98451,G,BOSTON COL,1,0,121,32.3,0,0,17,100.0,100.0,100.0,0,0,0,19,19,79.3,0,0,6,100.0,100.0,100.0,0,0,7,7
Connor Colby,144862,T,IOWA,1,0,192,8.9,0,1,18,100.0,100.0,97.2,0,1,0,19,19,43.1,0,1,7,100.0,100.0,92.9,1,0,7,7
Patrick Paul,101019,T,HOUSTON,1,0,182,81.5,0,0,16,100.0,100.0,100.0,0,0,0,19,19,73.5,0,0,6,100.0,100.0,100.0,0,0,8,8
Kyron Barnes,163554,T,SO MISS,1,0,296,71.9,0,1,19,100.0,100.0,97.4,0,1,0,19,19,59.4,0,1,4,100.0,100.0,87.5,1,0,4,4
John Bolding,81641,G,SO MISS,1,0,296,81.6,0,0,19,100.0,100.0,100.0,0,0,0,19,19,77.8,0,0,4,100.0,100.0,100.0,0,0,4,4
Peyton Dunn,147180,G,LA MONROE,1,0,209,35.8,0,0,18,100.0,100.0,100.0,0,0,0,19,19,25.5,0,0,5,100.0,100.0,100.0,0,0,5,5
Jack Burns,91678,C,DUKE,1,0,154,81.6,0,0,16,100.0,100.0,100.0,0,0,0,19,19,80.1,0,0,9,100.0,100.0,100.0,0,0,11,11
James Jackson,56723,C,S ALABAMA,1,0,288,29.8,0,1,16,100.0,100.0,96.9,0,1,0,19,19,26.4,0,1,6,100.0,100.0,91.7,1,0,7,7
Mason Lunsford,98422,G,MARYLAND,1,0,215,74.5,0,1,18,100.0,100.0,97.2,0,1,0,19,19,81.0,0,0,6,100.0,100.0,100.0,0,0,7,7
Sergio Muasau,86114,C,HAWAII,1,0,180,52.0,1,1,16,100.0,100.0,93.7,0,2,0,19,19,52.0,0,1,8,100.0,100.0,93.7,1,0,10,10
Carson Steele,145632,HB,BALL ST,1,0,117,59.8,0,0,17,47.2,47.4,100.0,0,0,0,18,38,25.2,0,0,4,40.0,36.4,100.0,0,0,4,11
Nick DeJong,101590,G,IOWA,1,0,192,39.2,0,1,17,100.0,100.0,97.1,0,1,0,18,18,33.1,0,1,6,100.0,100.0,91.7,1,0,6,6
Blake Whiteheart,77881,TE,WAKE,1,0,339,42.8,0,0,13,35.1,40.9,100.0,0,0,0,18,44,,0,0,0,0.0,0.0,,0,0,0,13
Devan Rogers,66122,C,TOLEDO,1,0,316,20.0,0,1,15,100.0,100.0,96.7,0,1,0,18,18,34.1,0,1,4,100.0,100.0,87.5,1,0,6,6
