player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Sataoa Laumea,100525,T,UTAH,1,0,328,68.2,2,3,66,100.0,100.0,96.2,0,5,0,69,69,71.6,0,2,39,100.0,100.0,97.4,2,0,41,41
Michael Mokofisi,146439,G,UTAH,1,0,328,85.2,0,1,66,100.0,100.0,99.2,0,1,0,69,69,81.1,0,1,39,100.0,100.0,98.7,1,0,41,41
Keaton Bills,100524,G,UTAH,1,0,328,66.8,1,2,66,100.0,100.0,97.7,0,3,0,69,69,55.2,1,2,39,100.0,100.0,96.2,3,0,41,41
Nash Jones,133226,T,TEXAS ST,1,0,314,69.9,2,1,59,100.0,100.0,97.5,0,3,0,61,61,58.1,1,1,11,100.0,100.0,90.9,2,0,12,12
Caleb Johnson,102301,C,TEXAS ST,1,1,314,69.1,0,1,59,100.0,100.0,99.2,1,1,0,61,61,55.6,0,1,11,100.0,100.0,95.5,1,0,12,12
Xavier Hill,124098,T,MEMPHIS,1,0,218,75.0,0,1,55,100.0,100.0,99.1,0,1,0,59,59,71.3,0,1,29,100.0,100.0,98.3,1,0,32,32
Jonah Gambill,121763,G,MEMPHIS,1,0,218,51.3,0,0,55,100.0,100.0,100.0,0,0,0,59,59,35.7,0,0,29,100.0,100.0,100.0,0,0,32,32
Davion Carter,158004,G,MEMPHIS,1,0,218,67.4,0,2,55,100.0,100.0,98.2,0,2,0,59,59,60.1,0,1,29,100.0,100.0,98.3,1,0,32,32
Jacob Likes,101023,C,MEMPHIS,1,0,218,83.2,0,0,55,100.0,100.0,100.0,1,0,0,59,59,80.0,0,0,29,100.0,100.0,100.0,0,0,32,32
Carter Miller,156713,G,JAMES MAD,1,0,197,70.1,0,2,56,100.0,100.0,98.2,0,2,0,58,58,65.8,0,1,19,100.0,100.0,97.4,1,0,20,20
