player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Weston Wright,77494,G,TEXAS TECH,1,0,315,13.2,0,6,75,100.0,100.0,94.7,0,7,1,79,79,0.0,0,5,30,100.0,100.0,88.3,6,1,31,31
Dennis Wilburn,157314,C,TEXAS TECH,1,0,315,55.1,0,2,75,100.0,100.0,98.7,0,2,0,79,79,52.1,0,2,30,100.0,100.0,96.7,2,0,31,31
Caleb Rogers,123157,T,TEXAS TECH,1,0,315,54.6,1,2,75,100.0,100.0,95.3,0,5,2,79,79,75.3,0,1,30,100.0,100.0,95.0,2,1,31,31
Monroe Mills,122977,T,TEXAS TECH,1,0,315,58.4,1,3,75,100.0,100.0,97.3,1,4,0,79,79,52.7,1,3,30,100.0,100.0,93.3,4,0,31,31
Patrick Paul,101019,T,HOUSTON,1,0,182,81.8,1,0,61,100.0,100.0,99.2,0,1,0,65,65,88.8,0,0,27,100.0,100.0,100.0,0,0,29,29
Lance Robinson,121819,T,HOUSTON,1,1,182,66.5,0,4,61,100.0,100.0,96.7,1,4,0,65,65,61.3,0,2,27,100.0,100.0,96.3,2,0,29,29
Jack Freeman,77435,C,HOUSTON,1,0,182,79.2,0,3,61,100.0,100.0,97.5,0,3,0,65,65,79.1,0,1,27,100.0,100.0,98.1,1,0,29,29
Tyler Johnson,98481,G,HOUSTON,1,0,182,87.3,0,0,61,100.0,100.0,100.0,0,0,0,65,65,81.3,0,0,27,100.0,100.0,100.0,0,0,29,29
Branson Hickman,121928,C,SMU,1,0,287,87.0,0,0,58,100.0,100.0,100.0,0,0,0,64,64,84.5,0,0,24,100.0,100.0,100.0,0,0,29,29
John Campbell Jr.,77383,T,MIAMI FL,1,0,220,61.3,1,2,61,100.0,100.0,97.5,0,3,0,64,64,58.5,0,1,15,100.0,100.0,96.7,1,0,17,17
Jalen Rivers,122221,G,MIAMI FL,1,0,220,82.8,0,1,61,100.0,100.0,99.2,0,1,0,64,64,63.2,0,1,15,100.0,100.0,96.7,1,0,17,17
Joe Bissinger,99648,G,SMU,1,0,287,64.2,0,2,58,100.0,100.0,98.3,0,2,0,64,64,54.5,0,1,24,100.0,100.0,97.9,1,0,29,29
DJ Scaife Jr.,77378,T,MIAMI FL,1,0,220,82.8,0,2,61,100.0,100.0,98.4,0,2,0,64,64,78.7,0,0,15,100.0,100.0,100.0,0,0,17,17
Justin Osborne,99071,G,SMU,1,0,287,71.1,0,1,58,100.0,100.0,99.1,0,1,0,64,64,53.0,0,1,24,100.0,100.0,97.9,1,0,29,29
Jaylon Thomas,77421,G,SMU,1,0,287,73.7,0,1,58,100.0,100.0,99.1,0,1,0,64,64,67.6,0,1,24,100.0,100.0,97.9,1,0,29,29
