player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Nick Dawkins,129773,C,PENN STATE,1,0,266,79.5,0,1,30,100.0,100.0,98.3,0,1,0,30,30,81.0,0,0,13,100.0,100.0,100.0,0,0,13,13
Sal Wormley,101559,G,PENN STATE,1,0,266,36.8,0,2,30,100.0,100.0,93.3,0,3,1,30,30,10.0,0,2,13,100.0,100.0,84.6,3,1,13,13
DJ Campbell,163844,G,TEXAS,1,0,311,85.0,0,0,27,100.0,100.0,100.0,0,0,0,30,30,81.0,0,0,8,100.0,100.0,100.0,0,0,9,9
Olaivavega Ioane,164174,G,PENN STATE,1,0,266,82.2,0,1,30,100.0,100.0,98.3,0,1,0,30,30,74.0,0,1,13,100.0,100.0,96.2,1,0,13,13
Drew Shelton,164186,T,PENN STATE,1,0,266,67.4,0,1,30,100.0,100.0,91.7,0,3,2,30,30,57.3,0,1,13,100.0,100.0,88.5,2,1,13,13
Dayne Davis,99049,T,TENNESSEE,1,0,307,29.5,0,1,27,100.0,100.0,90.7,0,3,2,28,28,39.0,0,1,14,100.0,100.0,89.3,2,1,15,15
Austin Siereveld,170269,G,OHIO STATE,1,0,260,57.0,0,2,27,100.0,100.0,96.3,0,2,0,28,28,53.2,0,1,10,100.0,100.0,95.0,1,0,11,11
Cole Hutson,157304,G,TEXAS,1,0,311,39.9,0,0,21,100.0,100.0,100.0,0,0,0,24,24,81.0,0,0,8,100.0,100.0,100.0,0,0,9,9
Trevor Goosby,176177,T,TEXAS,1,0,311,82.6,0,0,19,100.0,100.0,100.0,0,0,0,22,22,79.8,0,0,7,100.0,100.0,100.0,0,0,8,8
Nolan Rucci,145179,T,PENN STATE,1,0,266,67.0,0,1,22,100.0,100.0,97.7,0,1,0,22,22,53.3,0,1,10,100.0,100.0,95.0,1,0,10,10
Rocco Spindler,147478,G,NOTRE DAME,1,0,258,62.7,1,0,21,100.0,100.0,97.6,0,1,0,21,21,39.7,1,0,8,100.0,100.0,93.7,1,0,8,8
Tegra Tshabola,75288,G,OHIO STATE,1,0,260,22.3,0,1,18,100.0,100.0,97.2,0,1,0,21,21,0.0,0,1,5,100.0,100.0,90.0,1,0,6,6
Sam Pendleton,171096,G,NOTRE DAME,1,0,258,75.6,0,1,19,100.0,100.0,97.4,0,1,0,20,20,71.1,0,1,11,100.0,100.0,95.5,1,0,12,12
Luke Montgomery,170261,G,OHIO STATE,1,0,260,49.1,0,2,17,100.0,100.0,94.1,0,2,0,19,19,16.4,0,2,5,100.0,100.0,80.0,2,0,5,5
John Campbell Jr.,77383,T,TENNESSEE,1,0,307,40.3,0,4,17,100.0,100.0,82.4,0,5,1,17,17,18.0,0,3,8,100.0,100.0,68.7,4,1,8,8
Justice Ellison,123383,HB,INDIANA,1,0,190,26.7,0,0,9,32.1,32.3,88.9,0,1,1,10,31,26.7,0,0,9,50.0,50.0,88.9,1,1,10,20
DeSean Bishop,174717,HB,TENNESSEE,1,0,307,69.9,0,0,9,56.3,58.8,100.0,0,0,0,10,17,62.8,0,0,5,62.5,66.7,100.0,0,0,6,9
Cameron Williams,163867,T,TEXAS,1,0,311,77.7,0,0,10,100.0,100.0,100.0,0,0,0,10,10,73.1,0,0,2,100.0,100.0,100.0,0,0,2,2
Jake Majors,123123,C,TEXAS,1,0,311,64.9,0,1,10,100.0,100.0,95.0,0,1,0,10,10,73.0,0,0,2,100.0,100.0,100.0,0,0,2,2
Matthew Hibner,129581,TE,SMU,1,0,287,81.0,0,0,7,21.2,23.7,100.0,0,0,0,9,38,71.8,0,0,1,9.1,7.7,100.0,0,0,1,13
Harris Sewell,170024,G,CLEMSON,1,0,140,42.2,0,0,8,100.0,100.0,87.5,0,1,1,8,8,30.2,0,0,6,100.0,100.0,83.3,1,1,6,6
JB Nelson,164180,G,PENN STATE,1,0,266,17.5,1,0,8,100.0,100.0,93.7,0,1,0,8,8,0.0,1,0,3,100.0,100.0,83.3,1,0,3,3
Peyton Lewis,184885,HB,TENNESSEE,1,0,307,80.2,0,0,7,46.7,46.7,100.0,0,0,0,7,15,79.1,0,0,5,83.3,83.3,100.0,0,0,5,6
LJ Johnson Jr.,147003,HB,SMU,1,0,287,50.3,0,0,6,42.9,37.5,100.0,0,0,0,6,16,75.9,0,0,2,40.0,33.3,100.0,0,0,2,6
Ty Son Lawton,78578,HB,INDIANA,1,0,190,35.0,0,0,3,33.3,36.4,100.0,0,0,0,4,11,35.0,0,0,3,100.0,80.0,100.0,0,0,4,5
Dylan Sampson,163772,HB,TENNESSEE,1,0,307,77.8,0,0,4,30.8,30.8,100.0,0,0,0,4,13,77.8,0,0,4,50.0,50.0,100.0,0,0,4,8
Jadarian Price,156985,HB,NOTRE DAME,1,0,258,20.5,0,1,4,44.4,44.4,87.5,0,1,0,4,9,9.5,0,1,2,66.7,66.7,75.0,1,0,2,3
Keith Adams Jr.,156236,HB,CLEMSON,1,0,140,77.4,0,0,4,26.7,26.7,100.0,0,0,0,4,15,76.7,0,0,2,22.2,22.2,100.0,0,0,2,9
Zach Horton,148361,TE,INDIANA,1,0,190,27.4,0,0,3,13.0,15.4,100.0,0,0,0,4,26,27.4,0,0,3,27.3,28.6,100.0,0,0,4,14
Brashard Smith,143951,HB,SMU,1,0,287,53.1,0,0,2,8.0,14.3,100.0,0,0,0,4,28,,0,0,0,0.0,0.0,,0,0,0,10
Will Kacmarek,145896,TE,OHIO STATE,1,0,260,52.8,0,1,4,23.5,21.1,87.5,0,1,0,4,19,,0,0,0,0.0,0.0,,0,0,0,3
Cooper Flanagan,171082,TE,NOTRE DAME,1,0,258,69.7,0,0,3,25.0,25.0,100.0,0,0,0,3,12,64.9,0,0,1,20.0,20.0,100.0,0,0,1,5
Eli Raridon,156970,TE,NOTRE DAME,1,0,258,72.1,0,0,3,20.0,20.0,100.0,0,0,0,3,15,64.9,0,0,1,16.7,16.7,100.0,0,0,1,6
Kaytron Allen,164158,HB,PENN STATE,1,0,266,21.0,0,0,3,23.1,23.1,100.0,0,0,0,3,13,74.6,0,0,1,25.0,25.0,100.0,0,0,1,4
Aneyas Williams,184108,HB,NOTRE DAME,1,0,258,20.9,0,0,3,17.6,16.7,100.0,0,0,0,3,18,20.9,0,0,3,33.3,30.0,100.0,0,0,3,10
Olsen Patt-Henry,170022,TE,CLEMSON,1,0,140,68.8,0,0,3,42.9,42.9,100.0,0,0,0,3,7,,0,0,0,0.0,0.0,,0,0,0,1
Quintrevion Wisner,176190,HB,TEXAS,1,0,311,73.9,0,0,3,20.0,18.8,100.0,0,0,0,3,16,,0,0,0,0.0,0.0,,0,0,0,2
Jordan Hudson,157298,WR,SMU,1,0,287,65.1,0,0,2,8.3,8.0,100.0,0,0,0,2,25,,0,0,0,0.0,0.0,,0,0,0,13
Holden Staes,156971,TE,TENNESSEE,1,0,307,73.0,0,0,2,11.8,11.8,100.0,0,0,0,2,17,,0,0,0,0.0,0.0,,0,0,0,7
Nicholas Singleton,164188,HB,PENN STATE,1,0,266,77.3,0,0,2,10.0,10.0,100.0,0,0,0,2,20,77.3,0,0,2,22.2,22.2,100.0,0,0,2,9
George Fitzpatrick,156481,T,OHIO STATE,1,0,260,74.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,73.4,0,0,1,100.0,100.0,100.0,0,0,1,1
Joshua Padilla,170263,C,OHIO STATE,1,0,260,73.0,0,0,2,100.0,100.0,100.0,0,0,0,2,2,72.1,0,0,1,100.0,100.0,100.0,0,0,1,1
Gunnar Helm,144726,TE,TEXAS,1,0,311,69.4,0,0,2,6.9,6.3,100.0,0,0,0,2,32,,0,0,0,0.0,0.0,,0,0,0,10
Jeremiyah Love,171090,HB,NOTRE DAME,1,0,258,71.8,0,0,2,14.3,14.3,100.0,0,0,0,2,14,70.0,0,0,1,14.3,14.3,100.0,0,0,1,7
Khalil Dinkins,145087,TE,PENN STATE,1,0,266,39.2,0,1,2,11.8,11.8,75.0,0,1,0,2,17,,0,0,0,0.0,0.0,,0,0,0,5
Zen Michalski,145062,T,OHIO STATE,1,0,260,75.7,0,0,2,100.0,100.0,100.0,0,0,0,2,2,75.4,0,0,1,100.0,100.0,100.0,0,0,1,1
Toby Wilson,145060,G,OHIO STATE,1,0,260,74.3,0,0,2,100.0,100.0,100.0,0,0,0,2,2,73.4,0,0,1,100.0,100.0,100.0,0,0,1,1
Ian Moore,183704,T,OHIO STATE,1,0,260,74.0,0,0,2,100.0,100.0,100.0,0,0,0,2,2,74.1,0,0,1,100.0,100.0,100.0,0,0,1,1
Ben Sparks,121949,G,SMU,1,0,287,73.2,0,0,2,100.0,100.0,100.0,0,0,0,2,2,71.9,0,0,1,100.0,100.0,100.0,0,0,1,1
Jaydon Blue,157303,HB,TEXAS,1,0,311,72.8,0,0,2,13.3,11.8,100.0,0,0,0,2,17,,0,0,0,0.0,0.0,,0,0,0,8
Jackson Lampley,99047,G,TENNESSEE,1,0,307,0.0,0,1,2,100.0,100.0,75.0,0,1,0,2,2,,0,0,0,,,,0,0,0,0
Miles Kitselman,163599,TE,TENNESSEE,1,0,307,70.8,0,0,1,4.2,4.0,100.0,0,0,0,1,25,,0,0,0,0.0,0.0,,0,0,0,14
Juan Davis,144725,TE,TEXAS,1,0,311,67.8,0,0,1,9.1,8.3,100.0,0,0,0,1,12,,0,0,0,0.0,0.0,,0,0,0,2
Quinshon Judkins,157128,HB,OHIO STATE,1,0,260,72.2,0,0,1,5.9,5.0,100.0,0,0,0,1,20,,0,0,0,0.0,0.0,,0,0,0,4
Andrew Chamblee,157025,T,SMU,1,0,287,74.1,0,0,1,100.0,100.0,100.0,0,0,0,1,1,74.1,0,0,1,100.0,100.0,100.0,0,0,1,1
James Peoples,183706,HB,OHIO STATE,1,0,260,67.9,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,0.0,0.0,,0,0,0,1
Stone Eby,144358,TE,SMU,1,0,287,71.0,0,0,1,10.0,10.0,100.0,0,0,0,1,10,,0,0,0,0.0,0.0,,0,0,0,3
Gee Scott Jr.,129756,TE,OHIO STATE,1,0,260,65.6,0,0,1,4.3,4.2,100.0,0,0,0,1,24,,0,0,0,0.0,0.0,,0,0,0,9
Bennett Christian,156482,TE,OHIO STATE,1,0,260,67.3,0,0,1,33.3,20.0,100.0,0,0,0,1,5,,0,0,0,,,,0,0,0,0
David Eziomume,183196,HB,CLEMSON,1,0,140,14.9,0,0,1,20.0,16.7,100.0,0,0,0,1,6,,0,0,0,0.0,0.0,,0,0,0,3
Jarvis Green,170007,HB,CLEMSON,1,0,140,67.5,0,0,1,10.0,10.0,100.0,0,0,0,1,10,,0,0,0,0.0,0.0,,0,0,0,3
TreVeyon Henderson,145059,HB,OHIO STATE,1,0,260,67.6,0,0,1,6.7,6.7,100.0,0,0,0,1,15,,0,0,0,0.0,0.0,,0,0,0,7
Derrick McFall,183252,HB,SMU,1,0,287,72.6,0,0,1,50.0,50.0,100.0,0,0,0,1,2,72.6,0,0,1,100.0,100.0,100.0,0,0,1,1
Jake Briningstool,124831,TE,CLEMSON,1,0,140,65.6,0,0,1,2.3,2.3,100.0,0,0,0,1,44,,0,0,0,0.0,0.0,,0,0,0,23
Ethan Davis,174722,TE,TENNESSEE,1,0,307,65.4,0,0,1,20.0,16.7,100.0,0,0,0,1,6,,0,0,0,0.0,0.0,,0,0,0,3
Patrick Gurd,129747,TE,OHIO STATE,1,0,260,64.3,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,,,,0,0,0,0
