player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Colby Reeder,30285,LB,IOWA STATE,1,1,0,80.0,0,0,193,0,0,42.4,55.2,0.0,81.1,70.5,80.5,0,0,0,0,18,0.0,0,0,1,134.6,4,1,0,20,1,27,69,19,0,0,19,0,0,50,6,36,29,0,2,0,5,1,2,34,11,8.5
Kyle Pugh,35900,LB,N ILLINOIS,1,2,0,100.0,0,0,254,0,0,56.8,58.2,75.6,52.5,67.2,77.7,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,31,0,12,34,3,0,0,3,0,0,31,7,15,0,0,1,0,1,0,0,8,12,8.0
Jordan Carmouche,39951,LB,ARK STATE,1,4,0,0.0,0,0,113,0,0,66.4,59.1,78.1,54.8,51.0,81.3,1,0,0,0,,0.0,0,0,0,39.6,0,0,0,57,0,31,60,3,0,0,3,0,0,57,4,25,0,2,3,1,1,1,0,0,0,
Bricen Garner,42520,S,W MICHIGAN,1,2,0,100.0,0,0,347,0,0,73.1,72.8,77.2,,65.8,85.9,0,0,0,0,7,0.0,0,1,0,91.7,2,0,0,21,0,39,57,0,0,0,0,0,26,57,0,18,10,1,5,0,2,0,0,12,2,6.0
Brandon Bouyer-Randle,42637,LB,UCONN,1,3,0,75.0,0,0,146,0,0,64.7,58.9,76.9,68.7,44.0,57.7,0,0,0,1,11,18.2,2,0,0,49.0,3,0,0,45,0,32,68,15,0,0,15,0,0,53,13,23,7,2,6,0,4,0,0,23,16,7.7
Clifford Chattman,42657,S,UTSA,1,3,0,22.2,0,0,331,0,0,53.2,52.4,78.2,,52.5,57.5,0,0,0,0,35,18.2,2,1,0,45.1,2,0,0,4,0,34,60,0,0,0,0,0,37,60,0,26,19,1,6,0,9,0,0,39,6,19.5
Anthony Watts,42807,DI,MARSHALL,1,1,0,,0,0,214,0,0,,68.8,73.5,56.4,71.5,70.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,18,18,5,7,2,4,0,0,8,10,0,0,0,0,0,0,0,0,0,
Justin Clark,43185,CB,WISCONSIN,1,1,0,100.0,0,0,349,0,0,59.3,58.5,75.3,,57.2,47.7,0,0,0,0,11,25.0,1,0,0,112.5,1,0,0,3,36,11,40,0,0,0,0,0,0,40,0,29,1,0,2,0,1,0,0,11,5,11.0
Ryan McWood,43189,LB,MIAMI OH,1,1,0,100.0,0,0,221,1,0,71.5,70.0,75.2,56.3,66.9,57.7,0,2,0,0,2,16.7,2,0,0,79.2,1,0,0,73,0,31,74,0,0,0,0,0,0,74,11,32,1,5,9,0,1,2,0,2,3,2.0
Jaydon Grant,43354,S,OREGON ST,1,0,0,33.3,0,0,265,0,0,69.0,63.0,79.1,47.3,58.0,43.0,0,3,0,0,5,33.3,2,0,0,42.4,1,0,0,19,0,37,73,4,0,0,4,0,37,69,7,29,13,0,4,0,3,3,0,5,0,5.0
Jon-Michael Terry,43635,LB,TULSA,1,0,0,0.0,0,0,320,0,0,69.6,55.3,0.0,64.3,50.4,68.0,0,2,0,0,,14.3,1,0,1,39.6,0,0,0,57,0,13,68,9,0,0,9,0,0,59,10,45,2,4,6,2,1,2,0,0,0,
Tyrone Hopper,43714,ED,MISSOURI,1,0,0,,0,0,229,0,0,60.0,50.2,73.8,55.9,65.1,19.3,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,13,13,0,0,11,2,0,0,9,4,0,0,0,0,0,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,1,0,0,50.0,0,0,314,0,0,70.8,73.3,75.1,65.5,64.5,77.6,0,0,0,0,4,0.0,0,0,0,56.3,3,0,0,43,0,39,49,0,0,0,0,0,1,49,1,9,5,2,3,1,6,0,0,5,5,1.7
Semisi Fakasiieiki,44340,LB,PURDUE,1,1,0,0.0,0,0,273,0,0,50.0,55.7,73.1,,64.1,80.7,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,27,1,14,30,1,0,0,1,0,0,29,0,16,1,4,5,0,1,0,0,0,0,
Antwaine Richardson,49364,S,KENT STATE,1,0,0,70.0,0,0,201,0,0,42.2,49.4,78.3,,72.2,52.8,0,0,0,0,21,20.0,2,1,0,90.0,7,0,0,15,1,39,70,0,0,0,0,0,14,70,0,31,40,0,8,0,10,0,0,71,25,10.1
Penei Pavihi,52079,LB,HAWAII,1,1,0,100.0,0,0,180,0,0,47.9,28.7,75.6,57.9,27.3,32.0,0,0,0,0,8,33.3,3,0,0,100.0,2,0,0,53,0,12,54,0,0,0,0,0,0,54,2,40,1,1,5,0,2,0,0,16,17,8.0
George Nyakwol,52203,S,RICE,1,1,0,0.0,0,0,275,0,0,41.8,51.3,75.7,63.8,68.9,29.7,0,1,0,0,,37.5,3,0,0,39.6,0,0,0,22,3,29,55,0,0,0,0,0,26,55,1,25,4,1,4,0,1,1,0,0,0,
Trey Schuman,52216,ED,RICE,1,0,0,,0,0,275,0,0,60.2,61.6,75.5,70.4,49.6,,0,3,0,0,,,0,0,0,0.0,0,0,0,0,0,2,23,23,0,1,19,3,0,0,12,9,0,0,0,0,0,3,0,0,0,
Alii Matau,52219,LB,S JOSE ST,1,1,0,,0,0,285,0,0,57.4,58.4,0.0,61.3,63.3,64.9,0,1,0,0,,28.6,2,0,1,0.0,0,0,0,13,1,8,45,19,0,0,19,0,0,26,7,30,12,2,4,0,0,1,0,0,0,
Rico Tolefree,52250,LB,S JOSE ST,1,0,0,,0,0,285,0,0,63.8,66.7,77.6,57.8,68.7,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,6,26,8,0,0,8,0,0,18,3,17,15,1,1,0,0,0,0,0,0,
Tre White,52261,S,S JOSE ST,1,1,0,,0,0,285,0,0,62.3,55.2,73.5,,50.7,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,5,15,0,0,0,0,0,10,15,0,10,1,0,0,0,0,0,0,0,0,
Gabe Reid,52273,ED,UTAH,1,0,0,,0,0,328,0,0,59.4,69.8,75.7,75.7,54.2,75.9,1,1,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,1,31,31,0,3,19,9,0,0,26,4,0,3,2,0,0,4,0,0,0,
Ryan Johnson,52282,ED,NWESTERN,1,1,1,,0,0,256,0,0,60.0,67.4,75.8,61.4,67.0,48.3,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,34,34,0,4,18,12,0,0,14,20,0,1,1,1,0,0,0,0,0,
Bentlee Sanders,52291,S,NEVADA,1,1,0,,0,0,239,0,0,62.1,56.3,76.4,,53.2,74.1,0,0,0,0,,10.0,1,0,0,0.0,0,0,0,53,0,4,62,1,0,0,1,0,1,61,0,58,7,3,8,0,0,0,0,0,0,
Darrien Grant,52293,DI,USF,1,0,0,,0,0,327,0,0,,58.7,74.5,57.5,59.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,23,23,3,18,0,2,0,0,11,12,0,0,0,0,0,0,0,0,0,
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,0,,0,0,209,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Mekhi LaPointe,52315,S,USF,1,0,0,50.0,0,0,327,0,0,53.1,48.9,76.0,56.9,46.7,30.0,0,0,0,0,26,50.0,3,1,0,135.4,1,0,0,14,0,16,41,0,0,0,0,0,16,41,1,24,11,1,3,0,2,0,1,26,0,26.0
Nick Roberts,52318,S,SMU,1,3,0,100.0,0,0,287,0,0,73.6,65.5,76.5,59.1,47.4,54.7,0,0,0,0,3,20.0,2,0,0,79.2,1,0,0,31,0,34,64,1,0,0,1,0,19,63,1,29,13,2,5,0,1,0,0,3,2,3.0
Tyler Bentley,52790,DI,PITTSBURGH,1,0,0,,0,0,268,0,0,,73.2,69.8,58.7,69.9,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,
Xavier Peters,52819,ED,FAU,1,0,0,,0,0,165,0,0,,58.3,67.7,58.2,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
Cole Pearce,52970,LB,BALL ST,1,5,0,100.0,0,0,117,0,0,63.3,74.0,77.7,57.1,81.2,84.0,0,1,0,0,22,0.0,0,0,0,113.9,3,0,0,78,0,45,81,2,0,0,2,0,0,79,2,34,1,4,6,1,3,1,0,34,27,11.3
DeShawn Pace,53549,LB,CINCINNATI,1,1,0,100.0,0,0,138,0,0,72.5,65.1,74.3,54.2,54.6,31.3,0,0,0,0,6,40.0,2,0,0,81.3,2,0,0,54,1,42,72,11,0,0,11,0,1,61,8,22,5,2,2,0,2,0,0,7,9,3.5
Ja'von Hicks,53569,S,CINCINNATI,1,1,0,0.0,0,0,138,0,0,68.4,68.5,81.4,60.0,64.5,55.7,0,0,0,0,,33.3,1,0,0,39.6,0,0,0,2,1,72,106,1,0,0,1,0,82,105,1,33,20,0,1,0,2,0,0,0,0,
Eric Phillips,53572,ED,CINCINNATI,1,0,1,,0,1,138,0,0,60.0,78.1,78.2,72.3,74.4,76.9,0,2,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,70,70,0,7,41,22,0,0,46,24,0,4,3,1,0,4,0,0,0,
Ivan Pace Jr.,53587,LB,CINCINNATI,1,2,0,100.0,0,0,138,0,0,60.9,85.0,80.4,90.2,78.6,71.5,1,6,0,0,17,13.3,2,0,0,94.8,4,3,0,102,0,47,106,4,0,0,4,0,0,102,26,33,0,8,11,3,4,10,0,27,19,6.8
Ryan Mullaney,53704,ED,CINCINNATI,1,0,0,,0,0,138,0,0,,59.3,70.5,58.6,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,
Carrington Valentine,53750,CB,KENTUCKY,1,0,0,20.0,0,0,202,0,0,49.8,55.2,76.1,,71.5,73.5,0,0,0,0,63,0.0,0,0,0,79.2,1,0,0,11,50,29,63,1,0,0,1,0,0,62,0,34,1,1,1,0,5,0,0,63,38,63.0
Jaheim Thomas,54193,LB,CINCINNATI,1,1,0,100.0,0,0,138,0,0,55.1,53.6,0.0,64.7,58.4,30.6,2,2,0,0,20,33.3,1,0,1,118.8,1,0,0,26,1,14,42,15,0,0,15,0,0,27,13,15,0,1,1,0,1,4,0,20,1,20.0
Aapri Washington,55013,CB,E CAROLINA,1,0,0,,0,0,156,0,0,60.0,61.9,71.5,59.3,61.3,,0,1,0,0,,,0,0,0,0.0,0,0,0,3,4,1,9,2,0,0,2,0,0,7,2,6,0,0,0,0,0,1,0,0,0,
Isaiah King,55037,CB,BUFFALO,1,1,0,50.0,0,0,126,0,0,62.7,64.4,74.6,65.6,57.4,51.4,0,1,0,0,5,25.0,1,0,0,56.3,2,0,0,7,36,22,43,0,0,0,0,0,0,43,1,20,0,0,2,0,4,1,0,10,0,5.0
Chibueze Onwuka,55044,DI,BOSTON COL,1,0,0,,0,0,121,0,0,,75.4,75.6,68.2,72.8,70.2,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,32,32,8,24,0,0,0,0,20,12,0,1,1,0,0,1,0,0,0,
Devonni Reed,55046,S,S CAROLINA,1,0,0,100.0,0,0,289,0,0,64.2,64.7,76.0,,63.6,47.8,0,0,0,0,7,30.0,3,1,0,95.8,1,0,0,28,0,35,55,1,0,0,1,0,19,54,0,20,7,1,7,0,1,0,0,7,0,7.0
