player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mason White,43872,S,OREGON ST,1,0,0,,0,0,265,0,0,62.9,51.7,70.3,,60.0,76.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,7,0,0,0,0,0,7,7,0,6,0,0,1,0,0,0,0,0,0,
James Camden,53418,LB,W MICHIGAN,1,2,0,50.0,0,0,347,0,0,71.6,69.7,76.6,74.6,55.7,47.2,0,2,0,0,0,25.0,2,0,0,56.3,1,0,0,55,0,30,63,4,0,0,4,0,0,59,8,25,4,1,4,0,2,2,0,0,3,0.0
Iesa Jarmon,53981,CB,AKRON,1,0,0,100.0,0,0,102,0,0,49.4,49.5,71.0,,60.0,21.7,0,0,0,0,37,100.0,1,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5
Malik Denkins,55516,ED,C MICHIGAN,1,0,0,,0,0,134,0,0,,60.5,72.3,58.6,60.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,0,8,1,0,0,5,4,0,0,0,0,0,0,0,0,0,
Shaun Myers,62235,LB,COLORADO,1,1,0,100.0,0,0,143,0,0,49.2,52.8,75.1,59.5,65.9,75.8,0,0,0,0,18,0.0,0,0,0,138.5,4,0,0,28,0,18,29,0,0,0,0,0,0,29,1,10,1,0,1,0,4,0,1,31,19,7.8
Will Whitson,64470,ED,MISS STATE,1,1,0,,0,0,227,0,0,,67.4,74.4,63.5,65.7,75.6,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,21,21,0,1,14,6,0,0,13,8,0,2,1,1,0,1,0,0,0,
Mister Williams,70521,LB,S DIEGO ST,1,2,0,0.0,0,0,284,0,0,57.8,61.7,73.9,60.0,64.9,54.3,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,29,0,16,38,3,0,0,3,0,0,35,1,21,6,3,3,0,1,1,0,0,0,
Ben Florentine,70644,DI,WYOMING,1,2,0,,0,0,351,0,0,,74.3,75.9,58.1,83.2,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,33,33,3,24,0,6,0,0,21,12,0,2,1,0,0,1,0,0,0,
Korey Foreman,70831,ED,FRESNO ST,1,0,0,100.0,0,0,169,0,0,60.0,49.7,79.1,54.7,60.7,71.1,0,1,0,0,17,0.0,0,0,0,118.8,1,0,0,0,0,1,46,46,0,2,44,0,0,0,27,18,0,1,1,1,1,1,0,17,1,17.0
Calvin Pitcher,70877,LB,UAB,1,2,0,100.0,0,0,321,0,0,41.7,62.6,78.8,57.7,72.0,81.6,0,0,0,0,65,0.0,0,0,0,118.8,1,0,0,27,0,4,42,15,0,0,15,0,0,27,2,36,0,0,5,0,1,0,0,65,59,65.0
Tate Romney,70946,LB,ARIZONA ST,1,0,0,0.0,0,0,110,0,0,75.1,70.8,69.8,,45.1,73.1,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,6,0,3,6,0,0,0,0,0,0,6,0,3,0,0,1,0,1,0,0,0,0,
Domani Jackson,71370,CB,ALABAMA,1,0,0,,0,0,103,0,0,66.3,68.5,74.1,,68.0,78.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,23,12,28,0,0,0,0,0,4,28,0,16,0,1,3,0,0,0,0,0,0,
Keanu Tanuvasa,71398,DI,BYU,1,2,0,,0,0,128,0,0,68.0,67.2,76.6,65.4,58.4,74.7,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,39,39,20,19,0,0,0,0,26,13,0,2,1,0,0,1,0,0,0,
Aaron Smith,71596,CB,NEW MEXICO,1,0,0,100.0,0,0,241,0,0,53.3,49.9,76.1,,47.7,27.8,0,0,0,0,7,50.0,1,0,0,90.3,3,0,0,0,1,13,23,0,0,0,0,0,1,23,0,10,21,0,1,0,3,0,0,17,15,5.7
DJ Harvey,72089,CB,USC,1,1,0,33.3,0,0,326,0,0,65.4,66.8,74.6,,65.5,28.7,0,0,0,0,13,50.0,1,0,0,47.9,1,0,0,1,28,19,31,0,0,0,0,0,1,31,0,12,1,0,0,0,3,0,0,13,3,13.0
Raider Damuni,72338,S,BYU,1,2,0,,0,0,128,0,0,69.6,70.4,73.4,63.8,62.9,61.9,0,1,0,1,,20.0,1,0,0,0.0,0,0,0,16,0,14,30,3,0,0,3,0,5,27,1,15,6,0,2,0,0,1,0,0,0,
