player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Isaiah Hamilton,141966,CB,OLE MISS,1,0,0,20.0,0,0,226,0,0,78.0,77.8,76.0,,62.6,,0,0,1,1,5,,0,0,0,0.0,1,0,0,4,47,36,51,0,0,0,0,0,0,51,0,15,0,0,0,0,5,0,0,5,-2,5.0
Javon Carter,141996,ED,TULANE,1,0,0,100.0,0,0,319,0,0,53.2,48.2,77.3,56.1,56.3,25.6,0,0,0,0,7,50.0,1,0,0,135.4,1,0,0,1,0,2,22,21,0,0,21,0,0,1,6,14,0,1,1,0,1,0,1,7,3,7.0
Teddye Buchanan,142172,LB,CAL,1,1,0,,0,0,130,0,0,63.5,63.5,74.7,60.0,60.9,76.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,15,0,8,21,4,0,0,4,0,0,17,1,12,2,0,1,0,0,0,0,0,0,
Jessie Evans,142203,ED,LA TECH,1,1,0,,0,0,208,0,0,,42.5,75.5,61.6,39.6,75.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,50,49,0,8,16,25,0,1,8,42,0,1,3,0,0,1,0,0,0,
Darius McKenzie,142289,LB,S ALABAMA,1,2,0,100.0,0,0,288,0,0,34.6,50.6,75.7,58.4,70.1,34.4,0,0,0,0,10,28.6,2,0,1,95.8,2,0,0,51,0,17,51,0,0,0,0,0,0,51,8,26,0,2,3,2,2,0,0,14,17,7.0
Aamir Hall,142350,CB,MICHIGAN,1,1,0,66.7,0,1,222,0,0,73.1,79.2,76.8,82.6,75.8,82.4,0,0,0,0,11,0.0,0,1,0,77.1,2,1,0,4,45,33,53,2,0,0,2,0,0,51,3,17,2,3,6,0,3,1,0,14,5,7.0
Victor Nelson,142508,S,BOSTON COL,1,0,0,,0,0,121,0,0,60.0,62.4,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Blake Leake,143001,LB,OHIO,1,2,0,0.0,0,0,259,0,0,77.6,73.2,78.6,67.1,58.7,84.3,0,0,0,1,,0.0,0,0,0,0.0,0,1,0,53,0,35,73,5,0,0,5,0,0,68,6,32,15,4,7,0,1,1,0,0,0,
Terrence Spence,143073,CB,JAMES MAD,1,1,0,42.9,0,0,197,0,0,30.0,33.2,74.7,,69.8,78.7,0,0,0,0,36,0.0,0,0,0,108.9,3,0,0,1,19,21,28,0,0,0,0,0,0,28,0,7,8,0,2,0,7,0,1,53,4,17.7
Michael Nwokocha,143510,DI,SYRACUSE,1,1,0,,0,0,304,0,0,,64.9,72.5,56.9,67.4,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,1,13,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,
Parker McKenna,143761,LB,WASH STATE,1,1,0,100.0,0,0,341,0,0,70.8,67.6,84.6,54.0,61.2,31.5,0,0,0,0,10,40.0,2,0,0,86.1,3,0,0,45,0,29,57,5,0,0,5,0,1,52,7,21,5,2,2,0,3,0,0,14,21,4.7
Ty Clemons,143821,DI,BOSTON COL,1,0,0,,0,0,121,0,0,59.2,65.0,72.9,56.2,72.1,70.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,14,14,1,10,1,2,0,0,7,6,0,1,1,0,0,0,0,0,0,
Quintayvious Hutchins,143827,ED,BOSTON COL,1,0,0,100.0,0,0,121,0,0,61.1,48.9,80.1,60.0,37.9,46.5,1,0,0,0,9,33.3,1,0,0,91.7,2,0,0,3,1,4,45,41,0,0,41,0,0,4,24,17,0,1,2,0,2,1,0,12,13,6.0
Bryce Steele,143838,LB,BOSTON COL,1,1,0,100.0,0,0,121,0,0,57.8,58.6,71.9,54.5,64.1,80.2,0,0,0,0,14,0.0,0,0,0,118.8,1,0,0,15,0,6,18,2,0,0,2,0,0,16,4,8,1,1,3,0,1,0,0,14,13,14.0
Owen Stoudmire,143839,DI,BOSTON COL,1,0,0,,0,0,121,0,0,69.7,68.8,0.0,54.7,77.2,72.8,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,43,42,10,19,4,9,0,1,22,21,0,3,3,0,0,0,0,0,0,
Cameron Bergeron,143846,LB,DUKE,1,1,0,85.7,0,0,154,0,0,70.0,74.3,77.8,68.5,73.2,82.5,0,0,0,0,21,0.0,0,0,0,133.0,6,1,0,14,0,27,41,4,0,0,4,0,0,37,2,12,23,3,5,0,7,1,1,45,21,7.5
Tre Freeman,143853,LB,DUKE,1,1,0,75.0,0,0,154,0,0,49.2,55.0,73.7,73.4,60.0,44.7,2,0,0,0,21,25.0,1,0,0,109.4,3,0,0,20,0,18,36,1,0,0,1,0,0,35,3,15,15,0,2,0,4,2,0,43,27,14.3
