player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dvon J-Thomas,101455,DI,PENN STATE,1,1,0,,0,0,266,0,0,60.0,52.8,76.1,49.5,57.3,37.2,0,2,0,0,,28.6,2,0,0,0.0,0,0,0,0,0,0,43,43,3,38,0,2,0,0,26,17,0,3,4,0,0,2,0,0,0,
James Carpenter,101993,DI,INDIANA,1,1,1,,0,0,190,0,0,60.5,67.0,0.0,73.9,67.2,77.3,2,2,0,0,,0.0,0,0,2,0.0,0,2,0,0,0,0,60,60,11,42,3,4,0,0,35,25,0,6,5,1,0,6,0,0,0,
Howard Cross III,102726,DI,NOTRE DAME,1,0,1,,0,0,258,0,0,,67.2,76.8,67.5,61.9,69.7,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,54,54,9,45,0,0,0,0,37,17,0,1,1,0,0,2,0,0,0,
DeMonte Capehart,122144,DI,CLEMSON,1,2,0,,0,0,140,0,0,,79.5,76.7,81.1,70.0,73.4,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,33,33,13,18,0,2,0,0,14,19,0,1,2,0,0,2,0,0,0,
R.J. Mickens,122153,S,CLEMSON,1,0,0,66.7,0,0,140,0,0,59.3,63.0,76.9,63.0,64.3,57.2,1,0,0,1,19,18.2,2,0,0,92.4,2,0,0,36,1,31,75,0,0,0,0,0,34,75,1,43,4,3,9,1,3,1,1,25,2,12.5
Tre Williams,122165,DI,CLEMSON,1,0,0,,0,0,140,0,0,,46.1,0.0,64.3,53.1,69.7,0,1,0,0,,,0,0,1,0.0,0,1,0,0,0,0,15,15,0,13,0,2,0,0,8,7,0,1,0,0,0,2,0,0,0,
Elijah Roberts,122222,ED,SMU,1,0,0,,0,0,287,0,0,,72.4,80.1,73.2,61.9,36.2,2,3,0,0,,100.0,1,0,0,0.0,0,1,0,5,0,0,44,39,0,0,38,1,0,5,24,20,0,1,0,0,0,6,0,0,0,
Rylie Mills,122907,DI,NOTRE DAME,1,0,0,,0,0,258,0,0,,73.2,73.2,63.5,72.1,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,19,19,0,17,2,0,0,0,8,11,0,2,1,0,0,1,0,0,0,
Xavier Watts,122914,S,NOTRE DAME,1,4,0,100.0,0,0,258,0,0,70.0,71.0,76.2,,69.0,64.4,0,0,0,1,1,15.4,2,0,0,39.6,1,0,0,20,0,42,67,0,0,0,0,0,33,67,0,25,14,3,7,0,1,0,0,1,1,1.0
Jahdae Barron,123105,CB,TEXAS,1,0,0,50.0,0,0,311,0,0,80.6,78.5,77.9,50.9,63.1,79.2,0,1,0,0,9,0.0,0,2,0,56.3,4,0,0,6,43,46,68,1,0,0,1,0,0,67,2,20,18,2,4,0,8,1,0,23,4,5.8
