player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Korey Foreman,70831,ED,FRESNO ST,1,0,0,100.0,0,0,169,0,0,46.2,45.5,75.2,53.8,59.4,52.2,0,1,0,0,16,25.0,1,0,0,118.8,1,0,0,0,0,3,21,21,0,0,19,2,0,0,6,12,0,2,3,0,1,1,0,16,9,16.0
Justin Flowe,72388,LB,UNLV,1,1,0,,0,0,325,0,0,60.7,76.6,71.7,55.6,83.1,76.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,3,11,0,0,0,0,0,0,11,3,5,1,1,1,0,0,0,0,0,0,
Jadon Pearson,72538,LB,FRESNO ST,1,4,0,100.0,0,0,169,0,0,44.6,51.2,76.5,57.3,61.2,85.7,0,1,0,0,15,0.0,0,0,0,103.1,4,0,0,46,1,19,54,4,0,0,4,0,0,50,4,31,3,1,8,1,4,1,0,35,25,8.8
Ose Egbase,90529,ED,UNLV,1,2,0,,0,0,325,0,0,60.5,54.4,77.0,74.1,37.8,22.0,0,2,0,0,,50.0,3,0,0,0.0,0,0,0,0,0,1,36,36,1,4,31,0,0,0,20,15,0,0,1,0,0,2,0,0,0,
Virdel Edwards II,99286,CB,HAWAII,1,0,0,50.0,0,0,180,0,0,77.7,73.7,75.6,,52.5,38.8,0,0,0,0,5,33.3,1,1,0,56.3,1,0,0,8,49,30,57,0,0,0,0,0,0,57,0,27,0,2,2,0,2,0,0,5,0,5.0
Cecil Powell,99735,CB,SM HOUSTON,1,0,0,66.7,1,0,281,0,0,69.5,70.0,79.6,57.6,69.0,82.1,0,0,0,0,48,0.0,0,1,1,105.6,4,0,0,19,0,41,62,3,0,0,3,0,0,59,2,19,40,1,5,0,6,0,0,69,32,17.3
De'Jon Benton,100445,DI,HAWAII,1,2,0,,0,0,180,0,0,,57.5,0.0,62.0,60.3,35.6,0,0,0,0,,33.3,2,0,1,0.0,0,0,0,0,0,0,48,48,2,28,12,6,0,0,20,28,0,1,2,0,0,0,0,0,0,
Clay Patterson,106446,DI,STANFORD,1,0,0,,0,1,300,0,0,,90.3,0.0,92.5,60.7,34.4,1,0,0,0,,100.0,1,0,1,0.0,0,2,0,0,0,0,28,28,2,14,0,12,0,0,22,6,0,2,0,0,0,3,0,0,0,
Kenean Caldwell,122551,DI,KANSAS,1,0,0,,0,0,198,1,0,,72.0,74.7,64.2,70.3,44.1,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,21,21,12,9,0,0,0,0,7,14,0,3,3,1,0,0,0,0,0,
Cody Stufflebean,122619,ED,KANSAS ST,1,0,0,100.0,0,0,199,0,0,57.8,54.6,77.2,61.2,57.0,27.5,0,0,0,0,15,33.3,1,0,0,118.8,1,0,0,0,0,1,49,49,0,21,20,8,0,0,22,26,0,1,2,0,1,0,0,15,18,15.0
Bangally Kamara,123012,LB,KANSAS,1,0,0,100.0,0,1,198,0,0,52.7,64.7,74.7,84.4,64.1,29.0,1,1,0,0,39,40.0,2,0,0,118.8,3,1,0,25,0,19,39,11,0,0,11,0,0,28,5,15,3,3,3,1,3,3,0,60,50,20.0
Dave Herard,123779,S,W KENTUCKY,1,4,0,50.0,0,0,346,0,0,71.0,73.3,75.9,,71.9,86.3,0,0,0,0,13,0.0,0,0,0,70.8,1,0,0,15,0,29,42,0,0,0,0,0,21,42,0,13,6,4,5,0,2,0,0,13,5,13.0
Jalen Lee,124385,DI,UNLV,1,0,0,,0,0,325,0,0,,58.7,77.7,54.8,62.1,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,56,56,8,48,0,0,0,0,36,20,0,0,0,0,0,0,0,0,0,
Waisale Muavesi,128364,DI,UNLV,1,0,0,,0,0,325,0,0,,65.1,72.2,62.8,62.6,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,14,14,0,14,0,0,0,0,9,5,0,0,0,0,0,1,0,0,0,
Jaheem Joseph,129726,S,UNLV,1,0,0,100.0,0,0,325,0,0,66.1,58.6,0.0,60.0,55.3,44.6,0,0,0,0,5,28.6,2,1,1,79.2,3,0,0,7,0,21,33,0,0,0,0,0,20,33,1,11,6,2,5,2,3,0,0,-2,8,-0.7
Gunner Maldonado,129727,S,KANSAS ST,1,0,0,100.0,0,0,199,0,0,48.5,45.8,72.9,,51.0,28.7,0,0,0,0,10,50.0,1,0,0,108.3,1,0,0,2,0,8,13,0,0,0,0,0,10,13,0,5,1,0,1,0,1,0,0,10,4,10.0
CJ Brown,130541,S,SM HOUSTON,1,5,0,66.7,0,0,281,0,0,67.8,65.8,77.4,57.3,57.8,86.5,0,0,0,0,12,0.0,0,0,0,78.5,2,0,0,36,0,41,61,0,0,0,0,0,13,61,2,18,12,1,4,0,3,0,0,15,5,7.5
Jamar Sekona,131836,DI,HAWAII,1,0,0,,0,0,180,0,0,,59.9,0.0,63.8,67.4,35.5,0,0,0,0,,33.3,1,0,1,0.0,0,0,0,0,0,0,15,15,5,9,1,0,0,0,7,8,0,2,2,0,0,0,0,0,0,
Christopher Eaton Jr.,142080,ED,SM HOUSTON,1,1,0,,0,0,281,0,0,59.4,66.5,75.9,58.0,75.1,75.4,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,4,50,50,0,2,11,37,0,0,32,14,0,2,2,1,0,1,0,0,0,
Zeiqui Lawton,144225,DI,SM HOUSTON,1,0,0,,0,0,281,0,0,58.6,69.1,75.0,61.5,76.9,73.2,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,3,47,47,0,7,1,39,0,0,31,13,0,2,1,0,0,2,0,0,0,
Jalen Emery,144247,CB,W KENTUCKY,1,0,0,80.0,0,0,346,0,0,40.4,45.1,75.8,59.5,67.5,22.3,0,0,0,0,36,100.0,1,0,0,105.0,4,0,0,1,0,13,21,1,0,0,1,0,1,20,1,7,18,0,0,0,5,0,0,46,24,11.5
Jayden Gray,144555,ED,W KENTUCKY,1,0,0,,0,0,346,0,0,,74.1,74.3,66.5,71.3,74.9,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,18,18,0,3,11,4,0,0,12,6,0,3,2,1,0,2,0,0,0,
D.J. Withers,144582,DI,KANSAS,1,0,0,,0,0,198,0,0,,64.9,75.4,71.5,55.1,,0,3,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,34,34,6,21,3,4,0,0,20,14,0,0,0,0,0,3,0,0,0,
Tommy Dunn Jr.,144584,DI,KANSAS,1,2,0,,0,0,198,0,0,56.7,50.9,0.0,54.9,72.0,73.6,0,1,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,26,26,10,13,0,3,0,0,14,12,0,1,1,0,0,1,0,0,0,
Desmond Purnell,144611,LB,KANSAS ST,1,0,0,0.0,0,0,199,0,0,73.8,66.1,76.8,70.6,47.2,40.2,0,2,0,0,,50.0,1,1,0,39.6,0,0,0,52,0,22,64,6,0,0,6,0,0,58,9,33,6,1,1,0,1,2,0,0,0,
Damian Ilalio,144614,DI,KANSAS ST,1,0,0,,0,0,199,0,0,,61.9,77.2,60.9,61.0,35.5,0,0,0,0,,33.3,1,0,0,0.0,0,0,0,1,0,0,59,58,11,46,0,1,0,1,25,34,0,2,2,1,0,0,0,0,0,
Lyrik Rawls,144661,S,KANSAS,1,0,0,50.0,0,0,198,0,0,67.9,72.2,75.5,60.0,75.7,42.2,0,0,0,1,17,28.6,2,1,0,30.2,2,0,0,18,0,20,36,0,0,0,0,0,15,36,1,15,3,2,5,0,4,0,0,25,13,12.5
Luther McCoy,144986,DI,HAWAII,1,0,0,,0,0,180,0,0,,33.1,0.0,55.6,41.7,69.7,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,20,20,0,13,3,4,0,0,7,13,0,0,1,0,0,0,0,0,0,
Al'zillion Hamilton,146042,CB,FRESNO ST,1,0,0,100.0,0,0,169,0,0,59.0,55.7,77.2,,48.3,77.9,0,0,0,0,12,0.0,0,0,1,141.7,2,0,0,6,49,24,60,2,0,0,2,0,2,58,0,36,1,1,2,0,2,0,1,17,0,8.5
Tariq Jones,146073,ED,HAWAII,1,1,0,,0,0,180,0,0,,58.5,77.6,70.8,50.1,74.4,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,41,41,0,0,35,6,0,0,14,27,0,1,1,0,0,1,0,0,0,
Dominic Oliver,146147,ED,W KENTUCKY,1,0,0,100.0,0,0,346,0,0,48.9,59.3,78.2,65.1,61.7,,0,0,0,0,29,,0,0,0,118.8,1,0,0,1,0,4,29,28,0,0,28,0,0,1,17,8,0,0,0,0,1,0,0,29,11,29.0
Kilinahe Mendiola-Jensen,146198,S,HAWAII,1,0,0,33.3,0,0,180,0,0,89.5,90.1,77.8,,76.2,80.6,0,0,0,1,3,0.0,0,1,0,2.8,1,0,0,22,0,28,53,3,0,0,3,0,21,50,0,25,7,2,4,0,3,0,0,3,3,3.0
Marsel McDuffie,146212,LB,UNLV,1,4,0,0.0,0,0,325,0,0,85.7,87.8,77.5,75.7,69.4,83.2,0,1,0,1,,0.0,0,0,0,0.0,0,0,0,66,0,41,74,1,0,0,1,0,1,73,11,22,6,0,2,0,1,1,0,0,0,
Hunter Barth,146299,LB,STANFORD,1,0,0,100.0,0,0,300,0,0,57.2,58.0,77.2,63.7,56.3,44.0,0,0,0,0,10,33.3,1,0,0,108.3,2,1,0,34,0,25,41,4,0,0,4,0,0,37,7,9,3,3,2,0,2,1,0,20,15,10.0
Ese Dubre,146374,ED,STANFORD,1,0,0,,0,0,300,0,0,,75.9,73.3,74.8,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,0,2,6,1,0,0,8,1,0,0,0,0,0,1,0,0,0,
Mitch Leigber,146375,S,STANFORD,1,0,0,100.0,0,0,300,0,0,56.7,57.6,78.4,,61.5,40.3,0,0,0,0,25,33.3,2,0,0,150.0,4,0,0,10,0,51,65,0,0,0,0,0,40,65,0,14,15,0,4,0,4,0,1,42,18,10.5
Wilfredo Aybar,146378,ED,STANFORD,1,1,0,,0,0,300,1,1,60.8,63.0,78.7,61.0,62.1,75.2,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,3,44,44,0,6,33,5,0,0,31,10,0,0,1,0,0,2,0,0,0,
Anthony Franklin,146379,DI,STANFORD,1,1,0,,0,0,300,0,0,,54.3,74.2,60.2,51.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,4,18,0,1,0,0,17,6,0,0,0,0,0,0,0,0,0,
Zach Buckey,146383,DI,STANFORD,1,0,1,,0,0,300,0,0,,76.6,73.0,71.1,67.9,28.0,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,0,0,0,15,15,4,11,0,0,0,0,12,3,0,1,1,0,0,0,0,0,0,
Darrien Stewart,146445,CB,UNLV,1,0,0,100.0,0,0,325,0,0,52.6,53.5,71.3,,60.0,76.2,0,0,0,0,17,0.0,0,0,0,118.8,1,0,0,0,0,4,7,0,0,0,0,0,2,7,0,3,5,0,1,0,1,0,0,17,18,17.0
Giovanni Iovino,146522,LB,HAWAII,1,0,0,,0,0,180,0,0,60.0,74.4,66.2,60.0,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,3,0,1,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,
Chief Borders,146707,ED,UNLV,1,2,0,,0,0,325,0,0,64.0,67.7,80.2,66.4,61.8,26.0,1,3,0,0,,40.0,2,0,0,0.0,0,0,0,4,0,3,67,63,0,0,63,0,0,4,44,20,0,1,1,0,0,4,0,0,0,
Demarko Williams,146825,CB,W KENTUCKY,1,2,0,0.0,0,0,346,0,0,62.5,64.9,79.7,59.2,70.8,78.0,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,1,0,28,43,2,0,0,2,0,5,41,1,14,35,0,1,0,2,0,0,0,0,
Zachary Lovett,146889,LB,IOWA STATE,1,0,0,,0,0,193,0,0,62.6,55.7,72.9,56.6,52.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,9,0,4,13,2,0,0,2,0,0,11,3,6,2,0,0,0,0,0,0,0,0,
Tunmise Adeleye,146982,ED,UNLV,1,0,0,,0,0,325,0,0,60.0,74.0,78.7,77.2,57.3,74.7,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,48,47,1,8,36,2,0,1,37,10,0,1,2,1,0,3,0,0,0,
Dylan Flowers,147839,CB,W KENTUCKY,1,0,0,,0,0,346,0,0,64.8,65.2,71.9,,60.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,15,10,15,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,
Carsen Stocklinski,148415,DI,HAWAII,1,0,0,,0,0,180,0,0,,47.9,75.9,61.4,44.6,71.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,34,34,14,20,0,0,0,0,12,22,0,2,2,0,0,1,0,0,0,
Trey Harris,148808,S,SM HOUSTON,1,0,0,,0,0,281,0,0,64.9,64.6,73.0,60.0,61.4,75.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,12,0,13,24,0,0,0,0,0,10,24,1,10,2,1,1,0,0,1,0,0,0,
Jordan Washington,148854,CB,STANFORD,1,0,0,60.0,0,0,300,0,0,57.7,57.2,74.7,55.4,60.0,79.3,0,0,0,0,13,0.0,0,0,0,77.9,3,0,0,0,32,23,32,0,0,0,0,0,0,32,2,7,0,1,4,0,5,0,0,31,16,10.3
Finn Claypool,149576,ED,FRESNO ST,1,0,0,,0,0,169,0,0,,67.5,76.7,71.9,58.5,75.7,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,29,29,0,1,28,0,0,0,14,15,0,1,2,0,0,2,0,0,0,
Emon Allen,150299,CB,SM HOUSTON,1,1,0,50.0,0,0,281,0,0,54.7,58.6,77.4,,76.6,64.6,0,0,0,0,26,12.5,1,2,0,111.8,3,0,0,1,70,48,71,0,0,0,0,0,0,71,0,23,0,2,6,0,6,0,1,41,6,13.7
Jaden Hardy,150904,DI,W KENTUCKY,1,0,0,,0,0,346,0,0,,68.4,75.4,67.5,64.1,70.1,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,28,28,15,13,0,0,0,0,17,11,0,1,1,0,0,3,0,0,0,
Tamatoa McDonough,151151,ED,IOWA STATE,1,0,0,,0,0,193,0,0,,43.5,77.7,54.1,39.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,45,45,0,3,36,6,0,0,25,20,0,0,0,0,0,1,0,0,0,
Al-Ma'hi Ali,154696,S,W KENTUCKY,1,0,0,100.0,0,0,346,0,0,75.0,60.0,75.3,,29.0,50.8,0,0,0,0,12,25.0,2,0,0,100.0,2,0,0,14,0,19,34,0,0,0,0,0,14,34,0,15,6,2,6,0,2,0,0,16,4,8.0
Aamaris Brown,156213,CB,UNLV,1,0,0,46.2,0,0,325,0,0,71.1,71.0,81.5,65.7,61.4,71.7,1,1,0,1,34,12.5,1,3,1,33.2,6,0,0,1,0,52,79,1,0,0,1,0,1,78,4,23,76,2,7,0,13,2,0,77,11,12.8
Gabe Powers,156486,LB,KANSAS ST,1,1,0,50.0,0,0,199,0,0,52.2,66.4,72.9,,75.0,78.0,0,0,0,0,21,0.0,0,0,0,87.5,1,0,0,25,0,8,26,0,0,0,0,0,0,26,0,18,1,2,2,0,2,0,0,21,4,21.0
Jaylen Wester,156530,LB,W KENTUCKY,1,0,0,100.0,0,0,346,0,0,58.2,70.7,74.4,67.9,79.7,79.4,0,0,0,0,11,0.0,0,0,0,104.2,2,0,0,37,0,20,42,0,0,0,0,0,0,42,10,12,5,4,4,1,2,0,0,18,4,9.0
Alonzo Edwards Jr.,156859,CB,SM HOUSTON,1,1,0,54.5,0,1,281,0,0,49.2,49.7,78.0,58.7,59.1,69.5,0,0,0,0,55,9.1,1,0,1,99.6,6,0,0,2,79,54,82,0,0,0,0,0,0,82,1,27,1,5,9,1,11,0,0,140,44,23.3
Jaylen Lewis,157018,S,W KENTUCKY,1,1,0,100.0,0,0,346,0,0,75.3,71.1,76.1,,56.8,79.9,0,0,0,1,8,0.0,0,0,0,60.4,1,0,0,21,0,29,43,0,0,0,0,0,16,43,0,14,6,1,2,0,1,0,0,8,0,8.0
Laterrance Welch,157115,CB,UNLV,1,0,0,100.0,0,0,325,0,0,65.7,66.1,76.8,,62.1,21.4,0,0,0,2,21,100.0,1,0,0,79.2,3,0,0,0,51,38,52,0,0,0,0,0,0,52,0,14,1,0,0,0,3,0,0,43,21,14.3
Robby Harrison,157195,DI,W KENTUCKY,1,1,0,,0,0,346,0,0,,60.8,73.2,63.5,57.6,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,17,17,1,15,0,1,0,0,11,6,0,0,0,0,0,0,0,0,0,
Matt Rose,157275,LB,STANFORD,1,1,0,75.0,0,0,300,0,0,68.2,63.6,0.0,66.4,58.4,72.0,0,0,0,0,5,7.7,1,0,1,77.1,3,1,0,45,0,36,51,2,0,0,2,0,0,49,3,12,4,6,11,1,4,1,0,10,5,3.3
Ernest Cooper,157278,ED,STANFORD,1,1,0,100.0,0,0,300,0,0,60.0,48.0,76.8,58.5,61.3,75.2,0,0,0,0,24,0.0,0,0,0,118.8,1,0,0,0,0,1,23,23,0,1,20,2,0,0,16,6,0,0,1,0,1,0,0,24,20,24.0
