player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Nate Wiggins,144143,CB,CLEMSON,1,0,0,0.0,0,0,140,0,0,57.7,63.3,73.9,76.1,60.0,74.2,0,0,0,0,,,0,1,1,39.6,0,1,0,0,21,13,21,0,0,0,0,0,0,21,1,7,0,0,0,0,2,1,0,0,0,
Jaylin Alderman,144145,LB,LOUISVILLE,1,0,0,100.0,0,0,210,0,0,53.9,53.7,66.9,65.4,54.9,73.1,0,1,0,0,3,0.0,0,0,0,79.2,1,0,0,15,0,8,16,0,0,0,0,0,0,16,3,5,0,0,1,0,1,1,0,3,3,3.0
Ashton Gillotte,144154,ED,LOUISVILLE,1,0,0,,0,0,210,0,0,60.0,65.2,74.4,62.4,63.6,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,1,29,29,0,3,3,23,0,0,21,7,0,0,0,0,0,1,0,0,0,
Shavarick Williams,144178,S,LOUISVILLE,1,0,0,,0,0,210,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Evan Slocum,144208,S,WAKE,1,1,0,,0,0,339,0,0,62.5,64.2,72.4,,64.0,60.7,0,0,0,0,,16.7,1,0,0,0.0,0,0,0,10,0,4,21,1,0,0,1,0,8,20,0,17,2,1,4,0,0,0,0,0,0,
Bryon Threats,144240,S,CINCINNATI,1,1,0,,1,0,138,0,0,64.1,59.4,0.0,,67.2,77.8,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,6,0,8,16,0,0,0,0,0,1,16,0,8,9,1,1,0,0,0,0,0,0,
Zy Brockington,144261,DI,MEMPHIS,1,0,0,,0,0,218,0,0,,58.7,75.1,56.3,61.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,22,22,18,4,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,
Greg Rubin,144280,CB,MEMPHIS,1,1,0,50.0,0,0,218,0,0,57.9,54.7,76.0,,45.3,32.2,0,0,0,0,7,33.3,3,0,0,58.3,1,0,0,7,54,35,61,0,0,0,0,0,0,61,0,26,0,1,5,0,2,0,0,7,6,7.0
Cameron Smith,144281,CB,MEMPHIS,1,0,0,100.0,0,0,218,0,0,66.0,61.4,78.5,59.5,50.4,25.8,0,0,0,0,29,50.0,2,0,0,118.8,3,0,0,4,0,19,37,6,0,0,6,0,0,31,1,17,27,1,2,0,3,0,0,53,54,17.7
Tyler Fletcher,144304,LB,NAVY,1,1,0,0.0,0,0,237,0,0,68.4,68.8,76.1,57.6,66.1,81.7,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,28,0,14,37,9,0,0,9,0,0,28,3,20,0,4,7,2,2,0,0,0,0,
Rayuan Lane III,144326,S,NAVY,1,3,0,100.0,0,1,237,0,0,47.8,58.7,78.8,58.2,82.5,74.6,0,0,0,0,40,7.7,1,0,0,158.3,3,0,0,28,0,34,68,0,0,0,0,0,28,68,2,32,12,2,9,1,3,0,1,49,15,16.3
Elias Larry,144327,CB,NAVY,1,0,0,100.0,0,0,237,0,0,27.8,27.1,69.4,,60.0,19.4,0,0,0,0,54,33.3,1,0,0,118.8,3,0,0,0,5,4,5,0,0,0,0,0,0,5,0,1,0,0,2,0,3,0,0,89,27,29.7
Justin Reed,144339,ED,NAVY,1,0,0,,0,0,237,0,0,,60.9,69.6,59.5,60.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,0,3,4,0,0,2,5,0,0,0,0,0,0,0,0,0,
Mbiti Williams Jr.,144352,CB,NAVY,1,0,0,,0,0,237,0,0,,60.0,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Bryce McMorris,144370,CB,SMU,1,0,0,75.0,0,0,287,0,0,28.2,29.8,73.7,59.3,63.3,73.5,0,0,0,0,53,0.0,0,0,0,156.3,3,0,0,6,24,10,32,0,0,0,0,0,2,32,1,21,0,0,1,0,4,0,2,95,15,31.7
