player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Chandler Morris,122938,QB,N TEXAS,1,74,43.5,23,25,13.2,2.83,0,1,3.7,40.0,10,10,0.0,30,40.5,0,7,,68.4,29.7,74.0,28.0,,71.4,0,0,32,20.0,53.8,6.7,2,3,1,1,0,3,9.4,110,4.4,0,251,71.4,48.3,45.3,65.9,73.0,37,39,9.7,2.76,0,1,2.4,66.7,26,9,3.7,44,59.5,1,16,,69.5,66.0,75.4,66.0,,59.4,0,1,47,11.1,108.4,2.3,1,3,2,0,3,4,8.5,335,8.6,66.7,45,49,9.0,2.32,0,1,1.9,59.2,29,0,3.3,55,74.3,1,16,,70.1,52.9,76.2,48.4,,71.4,0,0,58,,92.8,0.0,0,5,3,1,2,3,5.2,327,6.7,0,46.7,15,15,17.1,4.14,0,1,5.9,46.7,7,19,0.0,19,25.7,0,7,,67.2,44.3,72.5,45.7,,57.3,0,1,21,15.8,68.2,15.8,3,1,0,0,1,4,19.0,118,7.9
Jalen Kitna,146688,QB,UAB,1,64,71.0,31,32,8.2,2.65,0,1,2.9,59.4,19,11,13.6,33,51.6,3,12,,29.5,57.8,74.3,57.6,,,1,0,35,9.1,105.3,3.0,1,0,0,0,2,3,8.6,253,7.9,0,321,20.9,45.8,54.5,27.8,66.7,21,24,5.3,3.55,0,0,0.0,58.3,14,14,0.0,31,48.4,0,6,,18.6,33.7,74.0,52.6,,24.4,0,1,32,21.4,56.1,9.7,3,3,0,3,0,3,9.4,131,5.5,75.7,37,38,7.8,2.63,0,1,2.6,71.1,27,0,3.6,39,60.9,1,16,,68.9,85.0,74.7,84.0,,,0,0,39,,116.8,0.0,0,0,0,1,2,0,0.0,346,9.1,0,53.3,15,18,5.0,3.79,0,0,0.0,33.3,6,25,25.0,25,39.1,2,2,,10.7,22.0,73.5,25.3,,24.4,1,1,28,16.0,19.2,16.0,4,3,0,2,0,6,21.4,38,2.1
Rocco Becht,157567,QB,IOWA STATE,1,61,50.0,10,12,11.1,2.8,0,0,0.0,41.7,5,11,0.0,18,29.5,0,6,,67.1,58.5,72.4,45.1,,76.9,0,1,20,18.2,20.8,11.1,2,4,0,2,0,1,5.0,54,4.5,0,193,72.8,61.6,49.0,78.1,60.0,30,35,12.2,2.93,1,3,8.6,42.9,15,13,16.7,43,70.5,3,12,,69.2,54.9,75.0,53.9,,60.1,0,1,43,7.7,61.6,2.3,1,7,1,3,1,2,4.7,220,6.3,60.0,30,33,10.0,2.28,1,0,0.0,45.5,15,0,16.7,37,60.7,3,9,,68.8,36.8,74.5,34.1,,62.3,0,1,37,,55.2,0.0,0,4,1,1,1,3,8.1,141,4.3,1,50.0,10,14,17.7,3.83,0,3,18.8,35.7,5,24,0.0,24,39.3,0,9,,67.8,80.8,73.3,75.2,,71.3,0,1,26,12.5,41.7,12.5,3,7,0,4,0,0,0.0,133,9.5
Josh Holst,171312,QB,N ILLINOIS,1,56,66.7,6,6,14.0,2.42,0,0,0.0,66.7,4,0,0.0,6,10.7,0,1,,64.2,64.1,68.6,63.9,,,0,0,6,,84.7,0.0,0,0,0,0,0,0,0.0,39,6.5,0,254,71.4,50.4,43.9,66.4,50.0,38,40,9.3,2.86,0,0,0.0,45.0,18,10,5.3,50,89.3,1,14,,69.7,45.5,75.7,41.3,,64.6,0,0,51,20.0,57.4,4.0,2,8,0,2,0,2,3.9,171,4.3,56.4,39,40,9.2,2.51,0,0,0.0,52.5,21,0,4.5,46,82.1,1,14,,69.5,48.5,75.4,45.2,,64.5,0,0,47,,66.6,0.0,0,6,0,1,0,2,4.3,199,5.0,0,20.0,5,6,16.0,4.22,0,0,0.0,16.7,1,10,0.0,10,17.9,0,1,,65.4,51.9,70.1,49.3,,61.3,0,0,10,20.0,39.6,20.0,2,2,0,1,0,0,0.0,11,1.8
Billy Edwards Jr.,144185,QB,MARYLAND,1,55,86.2,29,30,6.6,2.18,0,2,6.3,76.7,23,12,8.0,34,61.8,2,13,,68.7,76.5,74.4,74.1,,64.3,0,1,36,25.0,98.3,8.8,3,1,0,1,1,1,2.8,253,8.4,0,215,72.1,76.2,72.4,71.1,88.9,18,21,3.7,1.63,2,0,0.0,76.2,16,3,0.0,21,38.2,0,5,,67.5,65.3,72.8,64.9,,,0,0,23,0.0,105.3,0.0,0,0,1,0,1,0,0.0,120,5.7,94.7,38,40,4.6,1.63,1,2,4.7,85.0,34,0,5.6,40,72.7,2,14,,69.2,82.3,75.0,81.3,,,0,1,43,,106.7,0.0,0,0,1,0,2,1,2.3,324,8.1,0,55.6,9,11,9.1,2.87,1,0,0.0,45.5,5,15,0.0,15,27.3,0,4,,66.5,52.3,71.6,48.1,,64.3,0,0,16,20.0,58.5,20.0,3,1,0,1,0,0,0.0,49,4.5
Behren Morton,144747,QB,TEXAS TECH,1,55,88.2,17,20,11.3,3.13,1,2,10.0,65.0,13,6,13.3,24,43.6,2,7,,67.6,82.2,73.0,86.4,,52.8,0,0,24,33.3,84.0,8.3,2,2,0,2,0,1,4.2,133,6.7,0,315,70.2,84.7,87.0,55.5,78.6,28,29,6.1,2.9,1,3,9.1,69.0,20,3,9.1,31,56.4,2,10,,68.6,79.1,74.4,79.5,54.3,61.7,0,1,35,0.0,101.7,0.0,0,2,0,0,3,1,2.9,153,5.3,82.5,40,43,8.7,2.74,2,5,10.6,67.4,29,0,12.1,46,83.6,4,16,,69.7,88.3,75.7,89.8,54.3,58.1,0,1,50,,96.9,0.0,0,3,0,1,3,2,4.0,259,6.0,0,80.0,5,6,3.0,4.34,0,0,0.0,66.7,4,9,0.0,9,16.4,0,1,,65.1,55.7,69.8,58.9,,57.3,0,0,9,22.2,76.4,22.2,2,1,0,1,0,0,0.0,27,4.5
Owen McCown,157688,QB,UTSA,1,55,55.6,18,19,10.1,2.2,1,1,4.8,47.4,9,6,10.0,20,36.4,1,7,,67.4,58.4,72.7,55.3,,64.3,0,2,22,0.0,30.7,0.0,0,1,0,0,0,2,9.1,131,6.9,0,331,44.1,65.1,60.7,69.0,76.9,26,26,12.1,2.79,0,2,7.4,65.4,17,8,15.0,35,63.6,3,12,,29.4,65.7,74.4,64.5,,62.7,0,0,36,50.0,115.7,11.4,4,4,0,0,2,0,0.0,209,8.0,74.3,35,36,9.1,2.5,1,2,5.4,63.9,23,0,11.5,41,74.5,3,16,,69.1,79.1,74.9,77.0,,66.6,0,1,42,,93.8,0.0,0,5,0,0,2,1,2.4,272,7.6,0,44.4,9,9,19.7,2.77,0,1,9.1,33.3,3,14,25.0,14,25.5,1,3,,21.8,31.6,71.6,32.1,,,0,1,16,28.6,21.8,28.6,4,0,0,0,0,1,6.3,68,7.6
Tyler Shough,83537,QB,LOUISVILLE,1,54,57.1,14,16,9.3,2.46,0,0,0.0,43.8,7,7,12.5,16,29.6,1,6,,66.5,68.1,71.6,67.7,,,0,0,16,0.0,100.0,0.0,0,0,0,2,3,0,0.0,84,5.3,0,210,70.4,85.3,82.1,70.8,72.7,33,36,8.3,2.74,0,2,5.3,66.7,24,17,0.0,38,70.4,0,12,,69.1,86.9,74.9,84.5,,64.3,0,0,41,11.8,96.8,5.3,2,0,0,3,1,1,2.4,258,7.2,76.7,30,30,7.6,2.18,0,1,3.2,73.3,22,0,4.3,30,55.6,1,14,,68.4,90.2,74.0,88.4,,64.3,0,0,32,,130.6,0.0,0,0,0,0,3,0,0.0,245,8.2,1,52.9,17,22,10.3,3.25,0,1,4.3,40.9,9,24,0.0,24,44.4,0,4,,67.7,66.4,73.1,65.9,,,0,0,25,8.3,69.7,8.3,2,0,0,5,1,1,4.0,97,4.4
Miller Moss,70727,QB,USC,1,51,47.1,17,17,12.9,2.47,0,0,0.0,47.1,8,5,0.0,17,33.3,0,5,,66.7,40.1,71.8,40.5,,,0,1,17,0.0,77.1,0.0,0,0,0,0,2,1,5.9,86,5.1,0,326,70.9,68.3,68.7,56.6,87.5,32,33,7.3,2.54,1,2,5.9,78.8,26,7,7.1,34,66.7,2,12,,68.6,86.8,74.3,85.8,,,0,0,35,14.3,108.3,2.9,1,0,0,0,1,0,0.0,250,7.6,81.6,38,39,8.8,2.34,1,2,5.0,79.5,31,0,0.0,39,76.5,0,16,,69.0,81.9,74.8,80.9,,,0,0,40,,125.7,0.0,0,0,0,0,3,0,0.0,313,8.0,0,45.5,11,11,10.9,3.1,0,0,0.0,27.3,3,12,40.0,12,23.5,2,1,,65.8,36.4,70.7,36.8,,,0,1,12,8.3,1.7,8.3,1,0,0,0,0,1,8.3,23,2.1
Jackson Arnold,173684,QB,OKLAHOMA,1,50,75.0,8,9,7.9,3.13,0,0,0.0,55.6,5,9,16.7,17,34.0,1,5,,66.7,54.9,72.0,57.8,,55.4,0,0,18,44.4,84.0,23.5,4,4,0,1,0,0,0.0,77,8.6,0,261,41.0,55.8,60.5,48.7,56.0,25,27,10.8,2.92,0,1,3.4,48.1,13,15,7.1,33,66.0,1,4,,68.6,58.9,74.3,61.7,,51.6,0,0,35,26.7,76.8,12.1,4,2,0,2,1,0,0.0,144,5.3,66.7,24,25,7.3,2.57,0,0,0.0,56.0,14,0,12.5,26,52.0,2,5,,67.9,63.5,73.4,64.9,,57.3,0,0,27,,70.1,0.0,0,1,0,1,0,0,0.0,128,5.1,0,44.4,9,11,17.4,3.45,0,1,7.7,36.4,4,24,0.0,24,48.0,0,4,,67.7,50.9,73.3,54.8,,52.4,0,0,26,33.3,97.9,33.3,8,5,0,2,1,0,0.0,93,8.5
