player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Hunter Dekkers,122511,QB,IOWA STATE,1,61,57.7,26,26,7.6,2.39,0,0,0.0,53.8,14,8,6.7,27,44.3,1,6,,67.9,57.4,73.4,58.8,,57.0,0,1,27,0.0,62.3,0.0,0,1,0,0,1,1,3.7,116,4.5,0,193,70.6,69.2,65.3,72.6,89.3,28,31,6.3,2.82,0,0,0.0,74.2,23,10,8.0,34,55.7,2,11,,68.5,76.6,74.2,69.6,,77.5,1,2,34,10.0,62.8,2.9,1,2,0,2,0,2,5.9,192,6.2,75.6,41,41,7.2,2.26,0,0,0.0,70.7,29,0,6.5,43,70.5,2,13,,69.1,77.9,75.0,72.1,,77.5,0,2,43,,72.7,0.0,0,2,0,0,1,2,4.7,235,5.7,0,69.2,13,16,6.1,3.51,0,0,0.0,50.0,8,18,11.1,18,29.5,1,4,,66.8,47.8,72.0,49.6,,57.0,1,1,18,5.6,36.7,5.6,1,1,0,2,0,1,5.6,73,4.6
Chevan Cordeiro,75886,QB,S JOSE ST,1,56,83.3,12,12,9.3,2.54,0,0,0.0,83.3,10,3,0.0,14,25.0,0,8,,66.0,63.8,71.2,66.1,,57.0,0,0,14,33.3,103.1,7.1,1,1,0,0,0,1,7.1,105,8.8,0,285,45.5,64.5,65.0,58.2,72.7,33,33,10.1,3.0,0,3,7.9,69.7,23,12,4.2,42,75.0,1,13,,35.5,64.5,75.4,63.3,,62.8,0,0,47,41.7,110.0,11.9,5,4,0,0,2,2,4.3,235,7.1,76.3,38,38,10.5,2.49,0,3,7.0,73.7,28,0,3.4,41,73.2,1,19,,69.4,79.1,75.3,77.1,,66.3,0,0,46,,113.7,0.0,0,3,0,0,2,1,2.2,298,7.8,0,71.4,7,7,6.6,3.97,0,0,0.0,71.4,5,15,0.0,15,26.8,0,2,,20.6,28.5,71.4,29.0,,52.8,0,0,15,40.0,86.6,40.0,6,2,0,0,0,2,13.3,42,6.0
DJ Irons,145585,QB,AKRON,1,55,85.7,7,8,9.1,2.46,0,0,0.0,75.0,6,2,0.0,8,14.5,0,3,,64.9,90.2,69.5,89.9,,,0,0,8,0.0,129.7,0.0,0,0,0,1,1,0,0.0,49,6.1,0,102,47.1,82.3,81.0,67.6,73.0,37,40,12.2,3.1,0,4,9.8,60.0,24,17,11.1,47,85.5,3,11,,36.9,75.3,75.4,74.4,,62.1,0,1,48,23.5,68.8,8.5,4,2,0,3,0,2,4.2,260,6.5,80.0,35,35,11.7,2.43,0,4,11.1,71.4,25,0,10.7,36,65.5,3,11,,68.8,91.0,74.5,90.6,,,0,1,37,,82.0,0.0,0,0,0,0,0,1,2.7,271,7.7,1,55.6,9,13,11.8,4.11,0,0,0.0,38.5,5,19,0.0,19,34.5,0,3,,23.8,50.2,72.2,47.8,,62.1,0,0,19,21.1,72.3,21.1,4,2,0,4,1,1,5.3,38,2.9
Jake Haener,60596,QB,FRESNO ST,1,54,85.0,20,20,8.7,2.36,0,1,4.3,85.0,17,9,0.0,24,44.4,0,12,,67.9,68.6,73.4,68.1,,,0,2,27,44.4,100.8,16.7,4,0,0,0,2,2,7.4,194,9.7,0,169,70.8,81.0,82.4,53.9,78.3,23,25,10.8,2.8,1,4,16.0,68.0,17,14,5.6,30,55.6,1,9,,68.2,85.6,73.7,89.1,,52.9,0,0,30,21.4,105.8,10.0,3,2,0,1,1,0,0.0,202,8.1,90.0,30,30,9.4,2.11,0,3,9.7,86.7,26,0,3.7,31,57.4,1,17,,68.4,92.2,74.0,92.4,,57.3,0,1,32,,128.6,0.0,0,1,0,0,3,1,3.1,306,10.2,0,61.5,13,15,10.6,3.28,1,2,11.8,53.3,8,23,0.0,23,42.6,0,4,,67.7,47.9,73.1,49.2,,57.3,0,1,25,30.4,43.8,30.4,7,1,0,1,0,1,4.0,90,6.0
Ben Wooldridge,82115,QB,LA LAFAYET,1,53,61.9,21,26,11.4,2.48,2,1,3.4,42.3,11,14,15.4,28,52.8,2,7,,28.0,34.6,73.9,35.9,,57.0,0,2,31,7.1,57.5,3.6,1,1,0,3,1,5,16.1,246,9.5,0,207,25.0,40.2,41.5,50.8,66.7,18,22,10.1,2.9,0,1,4.5,50.0,11,10,8.3,25,47.2,1,6,,26.3,54.1,73.1,55.5,,57.3,3,1,25,20.0,63.4,8.0,2,1,0,1,1,2,8.0,124,5.6,72.0,25,28,10.1,2.55,1,1,3.4,60.7,17,0,5.6,29,54.7,1,9,,28.0,67.2,73.7,68.4,,57.0,0,1,30,,83.5,0.0,0,1,0,2,1,2,6.7,227,8.1,1,50.0,14,20,12.1,2.83,1,1,4.5,25.0,5,24,28.6,24,45.3,2,4,,26.3,26.3,73.3,26.6,,57.3,3,2,26,12.5,34.0,12.5,3,1,0,2,1,5,19.2,143,7.2
Austin Reed,111760,QB,W KENTUCKY,1,53,57.9,19,20,7.3,2.03,0,0,0.0,55.0,11,6,0.0,21,39.6,0,4,,67.1,58.2,72.5,58.0,,,1,1,21,16.7,56.3,4.8,1,0,0,0,1,1,4.8,56,2.8,0,346,70.5,68.9,66.6,66.0,72.4,29,29,10.1,2.42,0,2,6.9,62.1,18,2,14.3,32,60.4,3,10,,68.4,70.1,74.0,70.8,,57.8,0,0,32,50.0,91.7,3.1,1,1,0,0,0,2,6.3,264,9.1,69.8,43,43,8.8,2.21,0,2,4.7,62.8,27,0,10.0,45,84.9,3,12,,69.4,66.0,75.2,66.4,,57.8,0,1,45,,80.0,0.0,0,1,0,0,1,3,6.7,284,6.6,0,40.0,5,6,10.2,2.58,0,0,0.0,33.3,2,8,0.0,8,15.1,0,2,,64.6,63.4,69.5,63.2,,,1,0,8,25.0,54.9,25.0,2,0,0,0,0,0,0.0,36,6.0
Drake Maye,143969,QB,N CAROLINA,1,53,66.7,18,19,5.5,2.53,0,0,0.0,63.2,12,8,0.0,21,39.6,0,7,,67.2,55.4,72.5,55.2,,,0,0,21,25.0,111.3,9.5,2,0,0,1,2,0,0.0,98,5.2,0,245,72.6,90.9,90.7,69.6,92.0,25,25,8.3,2.92,0,3,11.1,88.0,22,12,4.3,32,60.4,1,15,,68.5,94.8,74.2,94.7,,70.6,0,0,34,0.0,154.6,0.0,0,7,0,0,3,0,0.0,290,11.6,80.6,31,31,6.9,2.16,0,3,9.4,77.4,24,0,4.0,33,62.3,1,14,,68.5,92.5,74.2,91.5,,71.1,0,0,34,,139.1,0.0,0,2,0,0,4,0,0.0,245,7.9,0,83.3,12,13,7.8,3.77,0,0,0.0,76.9,10,20,0.0,20,37.7,0,8,,67.2,73.9,72.5,72.7,,64.2,0,0,21,10.0,137.7,10.0,2,5,0,1,1,0,0.0,143,11.0
Sean Clifford,51708,QB,PENN STATE,1,53,83.3,6,7,8.0,2.93,0,0,0.0,71.4,5,3,0.0,7,13.2,0,4,,64.6,82.0,69.1,81.4,,,0,0,7,0.0,153.3,0.0,0,0,0,1,2,0,0.0,114,16.3,0,266,41.7,80.0,79.9,60.9,83.8,37,40,4.6,2.65,1,2,4.9,67.5,27,15,12.9,46,86.8,4,15,,36.4,75.6,75.4,75.7,,59.2,0,3,47,20.0,62.2,6.5,3,2,0,2,1,2,4.3,257,6.4,84.4,32,32,4.3,2.34,0,1,3.1,71.9,23,0,14.8,35,66.0,4,13,,68.6,88.1,74.3,88.8,,59.2,0,3,35,,85.5,0.0,0,2,0,0,3,1,2.9,241,7.5,0,81.8,11,15,7.4,3.35,1,1,6.3,60.0,9,18,0.0,18,34.0,0,6,,23.8,58.1,72.2,57.8,,,0,0,19,16.7,88.2,16.7,3,0,0,3,0,1,5.3,130,8.7
Jayden de Laura,131928,QB,ARIZONA,1,52,53.3,15,15,12.5,3.46,0,2,11.1,53.3,8,10,0.0,18,34.6,0,6,,67.4,76.5,72.7,69.4,,74.2,0,0,22,10.0,74.0,5.6,1,2,0,0,0,0,0.0,99,6.6,0,109,70.1,74.8,66.3,81.9,62.1,29,29,11.5,3.43,0,2,6.7,62.1,18,9,0.0,34,65.4,0,14,,68.6,69.2,74.3,62.3,,75.9,0,1,35,11.1,114.3,2.9,1,4,0,0,3,2,5.7,281,9.7,67.7,31,31,10.4,2.58,0,3,8.8,67.7,21,0,0.0,33,63.5,0,13,,68.7,73.8,74.4,67.5,,77.6,0,0,36,,113.1,0.0,0,2,0,0,2,1,2.8,246,7.9,0,38.5,13,13,15.5,4.92,0,1,7.1,38.5,5,19,0.0,19,36.5,0,7,,67.2,70.0,72.5,61.7,,72.9,0,1,21,10.5,70.7,10.5,2,4,0,0,1,1,4.8,134,10.3
E.J. Warner,156185,QB,TEMPLE,1,52,47.1,17,22,9.4,2.52,1,0,0.0,31.8,7,9,12.5,23,44.2,1,3,,67.6,26.9,73.0,27.2,,,0,0,24,11.1,47.5,4.3,1,0,0,4,0,4,16.7,100,4.5,0,306,69.8,45.3,44.9,,85.2,27,27,6.1,2.36,0,0,0.0,63.0,17,9,26.1,29,55.8,6,7,,68.1,73.0,73.6,72.3,,,0,2,29,22.2,62.0,6.9,2,0,0,0,1,1,3.4,168,6.2,75.8,33,34,6.7,2.03,1,0,0.0,58.8,20,0,20.0,34,65.4,5,6,,68.6,43.0,74.3,43.2,,,0,1,35,,65.3,0.0,0,0,0,0,0,4,11.4,216,6.4,1,54.5,11,15,9.5,3.19,0,0,0.0,26.7,4,18,33.3,18,34.6,2,4,,66.8,54.8,72.0,54.7,,,0,1,18,16.7,36.0,16.7,3,0,0,4,1,1,5.6,52,3.5
