player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Nate Yarnell,144037,QB,PITTSBURGH,1,63,73.7,19,21,4.7,2.36,0,1,4.3,66.7,14,12,0.0,26,41.3,0,7,,,,,68.0,56.3,73.6,,53.9,,63.1,,1,1,29,33.3,68.0,15.4,4,1,0,1,0,2,6.9,152,7.2,0,268,70.9,76.2,74.4,70.5,72.4,29,33,10.6,2.94,2,1,2.9,60.6,20,13,4.8,37,58.7,1,11,,,,,68.9,85.5,74.7,,84.5,,,,1,0,39,30.8,87.7,10.8,4,0,0,1,1,0,0.0,198,6.0,77.8,36,38,7.2,2.33,2,1,2.5,71.1,27,0,3.6,38,60.3,1,12,,,,,69.0,81.7,74.8,,80.8,,,,0,0,40,,97.6,0.0,0,0,0,0,1,0,0.0,251,6.6,1,58.3,12,16,11.7,3.26,0,1,5.6,43.8,7,25,0.0,25,39.7,0,6,,,,,67.9,61.0,73.5,,58.6,,63.1,,2,1,28,32.0,38.3,32.0,8,1,0,2,0,2,7.1,99,6.2
Billy Edwards Jr.,144185,QB,MARYLAND,1,60,45.5,11,12,16.9,2.51,1,0,0.0,33.3,4,8,20.0,12,20.0,1,4,,,,,66.2,54.3,71.2,,54.2,,,,0,0,14,0.0,88.2,0.0,0,0,0,0,1,0,0.0,88,7.3,0,215,71.4,58.6,55.8,66.1,75.6,41,44,4.7,2.46,2,0,0.0,63.6,28,9,9.7,48,80.0,3,13,,,,,69.7,60.0,75.6,,57.6,,66.0,,0,1,50,11.1,69.0,2.1,1,3,1,0,0,0,0.0,247,5.6,71.8,39,42,6.0,2.35,2,0,0.0,57.1,24,0,14.3,43,71.7,4,12,,,,,69.4,56.5,75.2,,54.8,,63.2,,0,1,45,,62.9,0.0,0,1,1,0,0,0,0.0,233,5.5,0,61.5,13,14,11.2,2.78,1,0,0.0,57.1,8,17,0.0,17,28.3,0,5,,,,,67.0,60.8,72.2,,59.5,,62.1,,0,0,19,5.9,103.9,5.9,1,2,0,0,1,0,0.0,102,7.3
Ben Finley,122864,QB,AKRON,1,58,54.5,11,11,6.6,2.4,0,0,0.0,27.3,3,4,50.0,12,20.7,3,4,,,,,66.0,57.4,71.0,,53.5,,64.2,,0,0,13,0.0,83.5,0.0,0,1,0,0,1,0,0.0,69,6.3,0,102,70.9,55.5,52.5,68.8,53.8,39,41,10.9,2.73,2,1,2.3,39.0,16,10,23.8,46,79.3,5,8,,,,,69.5,55.4,75.4,,53.6,,64.2,,0,0,48,40.0,48.4,8.7,4,1,0,0,0,0,0.0,136,3.3,57.1,42,43,9.8,2.47,1,1,2.2,39.5,17,0,29.2,44,75.9,7,10,,,,,69.4,60.4,75.3,,58.6,,64.2,,0,0,46,,50.0,0.0,0,1,0,0,0,0,0.0,154,3.6,0,37.5,8,9,10.8,3.28,1,0,0.0,22.2,2,14,33.3,14,24.1,1,2,,,,,66.4,45.5,71.4,,41.0,,64.2,,0,0,15,28.6,87.7,28.6,4,1,0,0,1,0,0.0,51,5.7
Ethan Garbers,131896,QB,UCLA,1,58,44.4,9,13,6.4,2.97,2,0,0.0,30.8,4,8,0.0,15,25.9,0,4,,,,,66.5,33.7,71.6,,35.9,,56.7,,1,0,16,12.5,42.8,6.7,1,1,0,1,0,2,12.5,47,3.6,0,324,70.5,63.4,56.8,72.5,82.8,29,32,7.9,3.64,0,0,0.0,71.9,23,21,4.2,43,74.1,1,14,,,,,69.2,75.2,75.1,,68.8,,74.0,,0,0,44,23.8,110.9,11.6,5,6,0,3,2,1,2.3,216,6.8,76.9,26,27,6.8,2.86,1,0,0.0,70.4,19,0,5.0,29,50.0,1,12,,,,,68.2,75.6,73.7,,71.7,,69.3,,0,0,30,,115.0,0.0,0,2,0,0,2,0,0.0,192,7.1,0,66.7,12,18,9.3,4.08,1,0,0.0,44.4,8,29,0.0,29,50.0,0,6,,,,,68.1,45.4,73.7,,39.1,,65.0,,1,0,30,20.7,55.6,20.7,6,5,0,4,0,3,10.0,71,3.9
Garrett Nussmeier,146757,QB,LSU,1,56,68.4,19,20,7.6,2.65,0,1,4.8,55.0,11,6,15.4,23,41.1,2,6,,,,,67.6,69.2,73.0,,68.7,,,,0,0,24,50.0,68.3,13.0,3,0,0,1,0,1,4.2,98,4.9,0,211,39.9,66.6,67.5,53.8,75.0,24,27,8.1,3.26,0,1,3.7,59.3,16,15,11.1,33,58.9,2,9,,,,,28.3,61.8,74.1,,64.1,,53.8,,0,0,33,26.7,88.8,12.1,4,2,0,3,1,1,3.0,162,6.0,69.7,33,34,7.8,2.52,0,1,2.9,58.8,20,0,13.0,35,62.5,3,11,,,,,68.7,72.4,74.4,,73.3,,57.3,,0,0,36,,73.0,0.0,0,1,0,1,0,1,2.8,179,5.3,0,80.0,10,13,8.0,3.83,0,1,7.7,53.8,7,21,12.5,21,37.5,1,4,,,,,23.9,52.2,72.5,,53.4,,57.8,,0,0,21,33.3,98.6,33.3,7,1,0,3,1,1,4.8,81,6.2
Walker Eget,146170,QB,S JOSE ST,1,52,83.3,12,12,12.3,2.29,0,1,8.3,75.0,9,4,10.0,13,25.0,1,5,,,,,66.0,70.6,71.0,,70.1,,,,0,0,13,25.0,139.2,7.7,1,0,0,0,1,0,0.0,135,11.3,0,285,42.3,78.8,80.4,55.2,75.7,37,38,12.9,2.69,0,0,0.0,65.8,25,7,10.7,39,75.0,3,15,,,,,69.0,80.0,74.8,,80.5,,57.3,,0,2,40,0.0,86.6,0.0,0,1,0,1,2,2,5.0,311,8.2,77.5,40,40,11.8,2.42,0,0,0.0,70.0,28,0,9.7,41,78.8,3,15,,,,,69.1,72.9,74.9,,73.5,,57.3,,0,2,41,,98.0,0.0,0,1,0,0,3,2,4.9,321,8.0,0,77.8,9,10,17.1,3.22,0,1,9.1,60.0,6,11,14.3,11,21.2,1,5,,,,,65.8,87.1,70.7,,86.2,,,,0,0,12,9.1,104.2,9.1,1,0,0,1,0,0,0.0,125,12.5
Owen McCown,157688,QB,UTSA,1,51,91.7,12,12,7.3,2.59,0,0,0.0,83.3,10,7,9.1,15,29.4,1,7,,,,,66.5,79.9,71.6,,82.5,,57.3,,0,0,16,28.6,154.5,13.3,2,1,0,0,2,0,0.0,139,11.6,1,331,70.7,85.0,79.1,79.0,78.6,28,31,10.7,3.17,0,2,5.9,61.3,19,7,13.6,36,70.6,3,13,,,,,69.0,81.2,75.0,,72.4,54.3,83.3,,0,1,40,14.3,72.0,2.8,1,4,0,3,0,2,5.0,240,7.7,87.9,33,34,8.9,2.82,0,2,5.6,73.5,25,0,13.8,37,72.5,4,17,,,,,69.0,92.1,75.0,,90.4,54.3,81.2,,0,0,40,,114.3,0.0,0,3,0,1,1,0,0.0,336,9.9,1,57.1,7,9,13.3,3.46,0,0,0.0,44.4,4,14,0.0,14,27.5,0,3,,,,,66.5,48.2,71.6,,45.8,,62.0,,0,1,16,21.4,56.5,21.4,3,2,0,2,1,2,12.5,43,4.8
Kyle McCord,145053,QB,SYRACUSE,1,51,70.0,20,21,9.3,1.94,0,0,0.0,61.9,13,6,7.1,23,45.1,1,12,,,,,67.6,83.4,73.0,,82.5,,,,0,0,24,0.0,87.8,0.0,0,0,0,1,0,1,4.2,172,8.2,0,304,71.6,82.1,81.0,64.9,85.0,20,25,4.5,2.76,1,1,3.7,64.0,16,6,5.9,28,54.9,1,9,,,,,68.2,68.8,73.7,,71.5,,54.4,,1,0,30,16.7,93.9,3.6,1,2,0,3,1,0,0.0,151,6.0,73.5,34,36,6.6,2.09,1,1,2.6,66.7,24,0,4.0,39,76.5,1,16,,,,,69.1,74.0,74.9,,74.5,,57.8,,0,0,41,,98.7,0.0,0,1,0,1,1,1,2.4,275,7.6,0,100.0,6,10,8.3,3.37,0,0,0.0,50.0,5,12,16.7,12,23.5,1,5,,,,,66.0,82.8,71.0,,85.8,,57.8,,1,0,13,8.3,63.8,8.3,1,1,0,3,0,0,0.0,48,4.8
Deshawn Purdie,184271,QB,CHARLOTTE,1,50,52.4,21,25,12.6,2.77,0,3,10.7,44.0,11,13,0.0,34,68.0,0,10,,,,,12.6,56.1,74.5,,51.4,,71.5,,0,0,37,46.2,78.9,17.6,6,2,0,4,1,3,8.1,161,6.4,0,136,17.6,41.9,38.2,67.4,57.1,14,14,13.5,2.72,0,1,6.3,42.9,6,7,25.0,16,32.0,2,4,,,,,66.8,29.1,72.0,,29.5,,57.3,,0,2,18,0.0,26.5,0.0,0,1,0,0,0,3,16.7,95,6.8,56.0,25,26,11.6,2.22,0,3,9.7,50.0,13,0,7.1,30,60.0,1,10,,,,,26.6,54.3,74.3,,52.1,,64.2,,0,2,35,,52.9,3.3,1,1,0,1,1,3,8.6,177,6.8,0,50.0,10,13,16.3,3.56,0,1,7.7,30.8,4,20,20.0,20,40.0,1,4,,,,,13.6,29.6,72.4,,28.7,,62.8,,0,0,20,25.0,53.0,25.0,5,2,0,3,0,3,15.0,79,6.1
Cade Klubnik,156253,QB,CLEMSON,1,50,66.7,9,11,8.3,2.19,1,1,8.3,54.5,6,5,0.0,13,26.0,0,4,,,,,66.2,63.2,71.2,,65.2,,57.8,,0,0,14,20.0,104.0,7.7,1,1,1,0,1,0,0.0,69,6.3,0,140,40.6,86.8,86.1,64.7,80.6,31,32,9.2,2.35,0,3,9.1,65.6,21,10,16.0,37,74.0,4,10,,,,,68.8,89.0,74.6,,89.8,,57.0,,0,0,38,40.0,95.7,10.8,4,1,1,0,1,0,0.0,219,6.8,87.1,31,34,6.8,1.99,1,3,8.3,70.6,24,0,11.1,35,70.0,3,11,,,,,68.8,89.9,74.5,,90.2,,57.0,,0,0,37,,107.4,0.0,0,1,2,0,2,0,0.0,219,6.4,0,44.4,9,9,16.4,3.05,0,1,11.1,33.3,3,15,25.0,15,30.0,1,3,,,,,66.2,61.6,71.4,,63.5,,57.8,,0,0,15,33.3,61.8,33.3,5,1,0,0,0,0,0.0,69,7.7
