player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Spencer Petras,82136,QB,UTAH ST,1,64,75.0,8,9,7.0,2.16,0,0,0.0,66.7,6,4,0.0,9,14.1,0,3,,65.1,42.2,69.8,42.4,,,1,2,9,0.0,79.2,0.0,0,0,0,0,1,2,22.2,52,5.8,0,329,44.8,71.1,72.4,54.1,80.4,46,50,8.6,3.08,0,0,0.0,70.0,35,10,5.4,55,85.9,2,22,,70.0,80.0,76.0,79.1,,61.8,0,1,56,30.0,99.5,5.5,3,2,0,4,2,1,1.8,409,8.2,81.3,48,49,7.4,2.65,0,0,0.0,75.5,37,0,5.1,50,78.1,2,23,,69.7,77.4,75.7,75.3,,64.3,0,2,51,,95.7,0.0,0,1,0,1,2,2,3.9,401,8.2,0,66.7,6,10,16.2,4.04,0,0,0.0,40.0,4,14,0.0,14,21.9,0,2,,66.2,55.2,71.2,57.6,,57.0,1,1,14,21.4,54.2,21.4,3,1,0,3,1,1,7.1,60,6.0
Billy Edwards Jr.,144185,QB,MARYLAND,1,58,100.0,2,3,5.0,1.97,0,0,0.0,66.7,2,1,0.0,3,5.2,0,2,,62.7,70.3,66.6,70.0,,,1,0,3,0.0,84.0,0.0,0,0,0,0,0,0,0.0,19,6.3,0,215,72.7,62.8,61.1,64.3,65.2,46,49,10.4,2.26,2,3,5.8,53.1,26,15,13.3,55,94.8,4,15,,70.1,57.2,76.2,59.6,,50.0,0,1,58,20.0,61.3,5.5,3,3,1,0,0,2,3.4,276,5.6,71.1,38,41,7.9,1.87,2,1,2.4,61.0,25,0,7.4,42,72.4,2,16,,69.2,62.0,75.0,62.8,,57.3,0,1,43,,69.7,0.0,0,1,1,0,0,1,2.3,265,6.5,0,50.0,10,11,18.9,3.24,0,2,15.4,27.3,3,16,40.0,16,27.6,2,1,,66.7,53.7,72.0,57.5,,52.6,1,0,18,18.8,39.6,18.8,3,2,0,0,0,1,5.6,30,2.7
Noah Fifita,158722,QB,ARIZONA,1,58,62.5,16,21,9.7,3.26,0,1,4.3,42.9,9,12,10.0,23,39.7,1,9,,26.0,66.6,73.1,63.9,,64.2,1,2,25,8.3,23.0,4.3,1,1,0,4,0,1,4.0,125,6.0,0,109,43.5,54.0,51.6,62.5,72.0,25,31,5.8,3.44,2,0,0.0,54.8,17,13,5.6,35,60.3,1,8,,68.7,42.6,74.4,43.2,,55.3,0,1,36,0.0,65.3,0.0,0,4,0,4,1,3,8.3,150,4.8,78.6,28,30,5.7,2.66,2,1,3.0,66.7,20,0,9.1,33,56.9,2,12,,68.7,67.7,74.4,68.6,,58.1,0,1,36,,82.9,0.0,0,3,0,0,1,1,2.8,202,6.7,0,46.2,13,22,10.9,4.31,0,0,0.0,27.3,6,25,0.0,25,43.1,0,5,,26.0,35.0,73.1,32.7,,61.6,1,2,25,4.0,3.0,4.0,1,2,0,8,0,3,12.0,73,3.3
Garrett Nussmeier,146757,QB,LSU,1,52,52.9,17,18,13.3,2.87,0,0,0.0,44.4,8,8,11.1,18,34.6,1,6,,67.0,60.8,72.2,60.6,,,1,0,19,0.0,60.9,0.0,0,0,0,0,0,0,0.0,94,5.2,0,211,70.4,70.5,68.7,65.1,48.4,31,33,16.5,3.22,0,3,8.3,42.4,14,11,6.7,34,65.4,1,12,,68.8,73.9,74.5,71.5,,64.9,0,2,37,0.0,73.2,0.0,0,1,0,2,3,2,5.4,243,7.4,54.5,33,33,14.8,2.84,0,3,8.8,51.5,17,0,5.6,33,63.5,1,14,,68.5,78.2,74.2,77.4,,,0,0,34,,110.8,0.0,0,0,0,0,3,0,0.0,281,8.5,0,40.0,15,18,16.6,3.55,0,0,0.0,27.8,5,19,16.7,19,36.5,1,4,,67.4,55.9,72.7,52.6,,64.9,1,2,22,0.0,0.5,0.0,0,1,0,2,0,2,9.1,56,3.1
Anthony Colandrea,170131,QB,VIRGINIA,1,51,76.9,13,14,7.9,2.43,0,1,7.1,64.3,9,8,10.0,14,27.5,1,6,,66.2,73.0,71.2,72.5,,,0,0,14,0.0,125.9,0.0,0,0,0,1,1,1,7.1,156,11.1,0,335,72.8,62.5,59.0,66.0,58.6,29,31,5.9,2.89,0,0,0.0,54.8,17,14,0.0,37,72.5,0,6,,68.9,51.6,74.8,51.9,54.3,59.2,0,0,39,21.4,64.3,8.1,3,3,0,2,0,0,0.0,123,4.0,60.7,28,28,5.0,2.31,0,0,0.0,60.7,17,0,0.0,29,56.9,0,6,,68.1,56.8,73.7,58.8,54.3,57.3,0,0,29,,73.1,0.0,0,1,0,0,0,0,0.0,137,4.9,0,71.4,14,17,9.7,3.36,0,1,5.3,52.9,9,22,10.0,22,43.1,1,6,,67.6,61.2,73.0,59.6,,62.6,0,0,24,13.6,100.6,13.6,3,2,0,3,1,1,4.2,142,8.4
Cole Snyder,97617,QB,E MICHIGAN,1,51,100.0,2,2,26.5,2.25,0,1,50.0,50.0,1,1,50.0,2,3.9,1,1,,61.8,92.0,65.5,91.7,,,0,0,2,0.0,77.1,0.0,0,0,0,0,0,0,0.0,16,8.0,0,160,73.1,65.4,62.3,64.6,80.0,35,40,8.3,2.76,2,0,0.0,65.0,26,17,7.1,49,96.1,2,14,,69.7,55.4,75.7,55.6,,58.1,1,1,51,17.6,66.1,6.1,3,6,0,2,0,2,3.9,195,4.9,82.8,29,32,7.8,2.18,2,0,0.0,68.8,22,0,8.3,33,64.7,2,10,,68.5,62.8,74.2,63.9,,57.0,0,1,34,,68.6,0.0,0,1,0,1,0,1,2.9,171,5.3,0,75.0,8,10,14.5,3.76,0,1,9.1,50.0,5,18,16.7,18,35.3,1,5,,67.0,59.4,72.2,58.2,,60.7,1,0,19,16.7,60.4,16.7,3,5,0,1,0,1,5.3,40,4.0
Jaxson Dart,146409,QB,OLE MISS,1,51,42.9,7,9,18.7,2.52,0,0,0.0,33.3,3,8,0.0,12,23.5,0,1,,19.2,44.9,70.7,45.0,,,1,0,12,37.5,51.2,25.0,3,0,0,1,0,1,8.3,46,5.1,0,226,44.4,57.6,56.4,62.8,73.3,30,33,14.4,2.97,1,2,6.1,63.6,21,13,4.5,39,76.5,1,10,,69.0,63.6,74.8,62.2,,62.9,2,1,40,23.1,82.6,7.7,3,3,0,0,1,3,7.5,238,7.2,79.3,29,30,12.7,2.4,1,2,6.7,73.3,22,0,4.3,30,58.8,1,10,,68.2,80.8,73.7,80.0,,,0,1,30,,98.7,0.0,0,0,0,0,1,1,3.3,276,9.2,1,25.0,8,12,24.6,3.53,0,0,0.0,16.7,2,21,0.0,21,41.2,0,1,,24.8,29.0,72.7,27.1,,62.9,3,0,22,28.6,39.6,28.6,6,3,0,1,0,3,13.6,8,0.7
Owen McCown,157688,QB,UTSA,1,51,68.8,16,18,9.8,2.18,0,2,10.5,55.6,10,6,9.1,19,37.3,1,4,,67.1,74.3,72.4,73.7,,,0,0,20,16.7,85.0,5.3,1,0,0,2,1,0,0.0,78,4.3,0,331,70.5,76.9,75.9,64.4,72.0,25,25,6.4,2.68,0,2,8.0,72.0,18,9,0.0,32,62.7,0,10,,68.4,73.2,74.0,72.7,,63.1,0,0,32,11.1,116.4,3.1,1,6,0,0,2,1,3.1,166,6.6,69.7,33,33,8.2,2.17,0,4,12.1,66.7,22,0,4.3,36,70.6,1,10,,68.7,80.9,74.4,78.7,,66.8,0,0,36,,113.4,0.0,0,3,0,0,3,1,2.8,202,6.1,0,75.0,8,10,5.9,3.28,0,0,0.0,60.0,6,15,0.0,15,29.4,0,4,,66.5,60.8,71.6,62.7,,57.5,0,0,16,13.3,69.6,13.3,2,3,0,2,0,0,0.0,42,4.2
Brayden Schager,146078,QB,HAWAII,1,50,58.3,12,14,9.7,2.84,1,0,0.0,50.0,7,13,0.0,20,40.0,0,7,,67.4,58.9,72.7,55.3,,65.4,0,0,22,23.1,78.0,15.0,3,3,0,1,0,0,0.0,115,8.2,0,180,71.3,77.8,71.3,74.8,65.2,23,23,10.3,3.13,0,2,8.3,60.9,14,11,6.7,30,60.0,1,6,,68.4,82.7,74.0,80.3,,66.9,0,0,32,45.5,94.3,16.7,5,2,0,0,1,1,3.1,149,6.5,62.5,24,24,8.1,2.65,0,1,4.0,58.3,14,0,6.7,26,52.0,1,7,,68.0,82.7,73.5,76.5,,75.1,0,0,28,,86.8,0.0,0,2,0,0,1,1,3.6,128,5.3,1,63.6,11,13,14.4,3.41,1,1,6.7,53.8,7,24,0.0,24,48.0,0,6,,67.8,59.0,73.3,60.3,,57.2,0,0,26,33.3,90.5,33.3,8,3,0,1,0,0,0.0,136,10.5
Carson Beck,124010,QB,GEORGIA,1,49,92.9,14,16,8.0,2.52,0,1,6.3,81.3,13,5,0.0,17,34.7,0,8,,66.7,91.0,71.8,91.6,,57.3,1,0,17,0.0,121.4,0.0,0,1,0,1,1,0,0.0,130,8.1,0,173,70.8,91.8,91.9,57.4,84.4,32,32,9.5,2.52,0,4,12.1,71.9,23,1,14.8,32,65.3,4,14,,68.5,89.0,74.3,88.1,,,0,2,33,0.0,99.6,0.0,0,0,0,0,2,2,6.1,329,10.3,86.0,43,43,8.3,2.38,0,4,9.1,76.7,33,0,10.8,43,87.8,4,19,,69.3,91.0,75.3,90.6,,,0,2,44,,94.3,0.0,0,0,0,0,1,2,4.5,412,9.6,0,100.0,3,5,20.7,3.5,0,1,20.0,60.0,3,6,0.0,6,12.2,0,3,,64.2,88.5,68.6,91.4,,57.3,1,0,6,0.0,130.8,0.0,0,1,0,1,2,0,0.0,47,9.4
