player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Malik Washington,198729,QB,MARYLAND,1,67,71.4,21,23,12.4,2.6,0,1,4.3,56.5,13,10,13.3,26,38.8,2,9,,,,,67.8,65.0,73.3,,68.0,,,52.9,,1,1,26,10.0,66.9,3.8,1,2,0,1,0,1,3.8,198,8.6,0,215,71.2,71.6,72.2,57.7,73.0,37,38,10.6,2.8,0,2,5.3,65.8,25,12,7.4,41,61.2,2,14,,,,,69.1,71.1,74.9,,72.0,,,57.0,,0,0,41,8.3,111.8,2.4,1,1,0,1,3,1,2.4,261,6.9,79.5,44,44,9.6,2.34,0,3,6.8,70.5,31,0,11.4,45,67.2,4,19,,,,,69.4,78.8,75.2,,77.9,,,,,0,1,45,,102.7,0.0,0,0,0,0,2,2,4.4,383,8.7,0,50.0,14,17,16.6,3.51,0,0,0.0,41.2,7,22,0.0,22,32.8,0,4,,,,,67.4,51.6,72.7,,56.6,,,50.0,,1,0,22,9.1,74.6,9.1,2,3,0,2,1,0,0.0,76,4.5
Max Cutforth,176220,QB,BOISE ST,1,53,38.9,18,19,9.7,2.81,1,0,0.0,31.6,6,10,14.3,21,39.6,1,3,,,,,67.6,29.1,73.0,,29.3,,,,,0,0,24,20.0,43.5,9.5,2,0,0,0,0,3,12.5,69,3.6,0,120,70.1,59.6,57.2,64.2,85.7,28,30,7.3,2.94,0,2,6.5,66.7,20,6,16.7,32,60.4,4,13,,,,,68.5,85.5,74.1,,83.1,,,64.2,,0,0,33,0.0,117.6,0.0,0,1,0,2,2,1,3.0,272,9.1,77.1,35,35,7.1,2.48,0,2,5.6,65.7,23,0,14.8,37,69.8,4,14,,,,,68.9,67.9,74.6,,65.8,,,64.2,,0,0,38,,112.0,0.0,0,1,0,0,2,3,7.9,303,8.7,0,36.4,11,14,11.9,3.83,1,0,0.0,21.4,3,16,25.0,16,30.2,1,2,,,,,67.0,43.9,72.2,,44.0,,,,,0,0,19,12.5,39.6,12.5,2,0,0,2,0,1,5.3,38,2.7
Robby Ashford,131702,QB,WAKE,1,52,88.2,17,19,11.4,2.78,1,4,20.0,52.6,10,9,33.3,23,44.2,5,7,,,,,67.5,94.0,73.0,,94.2,,,60.5,,0,0,24,11.1,109.3,4.3,1,2,0,1,2,0,0.0,129,6.8,0,339,46.8,90.3,90.7,66.0,73.9,23,24,7.5,3.0,0,2,7.4,70.8,17,9,0.0,29,55.8,0,12,,,,,68.4,70.8,74.0,,70.3,,,62.0,,0,1,32,11.1,80.2,3.4,1,4,0,1,0,1,3.1,210,8.8,78.8,33,34,9.4,2.35,1,5,13.5,64.7,22,0,15.4,34,65.4,4,13,,,,,68.8,91.5,74.5,,91.2,,,,,0,1,37,,99.0,0.0,0,0,0,0,2,1,2.7,291,8.6,0,85.7,7,9,7.7,3.94,0,1,10.0,55.6,5,18,16.7,18,34.6,1,6,,,,,66.8,71.3,72.2,,72.2,,,61.9,,0,0,19,11.1,70.6,11.1,2,6,0,2,0,0,0.0,48,5.3
Jaylen Raynor,172203,QB,ARK STATE,1,52,100.0,4,4,3.5,2.72,0,0,0.0,100.0,4,1,0.0,5,9.6,0,3,,,,,63.8,66.9,68.6,,66.6,,,,,0,0,6,100.0,116.7,20.0,1,0,0,0,0,0,0.0,48,12.0,0,113,46.6,77.3,83.5,51.9,75.6,41,43,9.0,2.78,1,4,9.3,65.1,28,7,9.7,47,90.4,3,16,,,,,69.5,86.4,75.4,,83.8,,,67.4,,1,1,47,28.6,100.4,4.3,2,2,0,0,3,1,2.1,315,7.3,80.5,41,42,8.4,2.63,1,4,9.3,71.4,30,0,9.1,44,84.6,3,18,,,,,69.4,90.3,75.2,,88.6,,,67.4,,0,1,45,,109.4,0.0,0,2,0,0,3,1,2.2,342,8.1,0,50.0,4,5,9.3,3.58,0,0,0.0,40.0,2,8,0.0,8,15.4,0,1,,,,,64.6,50.0,69.5,,49.9,,,,,1,0,8,37.5,52.9,37.5,3,0,0,0,0,0,0.0,21,4.2
Ashton Daniels,157259,QB,AUBURN,1,51,61.5,13,15,12.2,2.28,1,0,0.0,46.7,7,7,12.5,16,31.4,1,4,,,,,66.8,54.0,72.0,,56.6,,,56.3,,0,0,18,0.0,74.9,0.0,0,1,0,1,0,1,5.6,122,8.1,0,115,73.4,61.4,58.8,62.5,70.8,24,24,7.9,3.26,0,1,4.0,45.8,11,11,35.3,35,68.6,6,10,,,,,68.7,63.2,74.4,,60.8,,,63.3,,0,1,36,9.1,60.6,2.9,1,10,0,0,1,1,2.8,137,5.7,73.1,26,27,6.3,2.53,1,0,0.0,51.9,14,0,26.3,33,64.7,5,10,,,,,68.6,63.4,74.3,,58.9,,,67.7,,0,1,35,,53.9,0.0,0,6,0,0,0,1,2.9,156,5.8,0,54.5,11,12,16.7,3.72,0,1,7.7,33.3,4,18,33.3,18,35.3,2,4,,,,,67.0,54.3,72.2,,59.2,,,52.7,,0,0,19,5.6,93.4,5.6,1,5,0,1,1,1,5.3,103,8.6
Tristan Ti'a,204242,QB,OREGON ST,1,50,66.7,15,16,11.5,2.58,1,1,5.3,56.3,9,8,10.0,19,38.0,1,3,,,,,67.4,60.2,72.7,,59.9,,,,,0,1,22,37.5,40.9,15.8,3,0,0,0,0,1,4.5,69,4.3,0,265,17.5,43.0,51.1,35.9,83.3,24,25,7.1,2.95,0,0,0.0,76.0,19,9,5.0,31,62.0,1,9,,,,,11.1,35.9,74.0,,46.3,,,34.4,,1,1,32,33.3,90.6,9.7,3,3,0,0,1,4,12.5,171,6.8,83.3,30,31,8.7,2.32,1,1,3.1,74.2,23,0,8.0,33,66.0,2,10,,,,,26.4,68.3,74.2,,69.3,,,57.3,,0,0,34,,100.3,3.0,1,1,0,0,1,1,2.9,191,6.2,1,55.6,9,10,9.1,3.76,0,0,0.0,50.0,5,17,0.0,17,34.0,0,2,,,,,13.8,25.6,72.4,,28.4,,,35.7,,1,2,20,29.4,24.6,29.4,5,2,0,0,0,4,20.0,49,4.9
Ryan Browne,174949,QB,PURDUE,1,50,56.0,25,26,10.4,2.86,0,4,14.8,46.2,12,7,14.3,27,54.0,2,7,,,,,68.0,71.3,73.5,,72.5,,,57.0,,0,0,28,0.0,60.9,0.0,0,1,0,1,0,1,3.6,127,4.9,0,273,39.1,57.8,64.7,36.0,65.0,20,21,10.5,3.87,0,0,0.0,61.9,13,7,0.0,23,46.0,0,5,,,,,25.6,42.6,73.0,,53.5,,,35.9,,0,1,24,0.0,55.9,0.0,0,2,0,1,0,2,8.3,111,5.3,61.8,34,35,8.3,2.68,0,1,2.8,54.3,19,0,9.5,36,72.0,2,7,,,,,68.8,54.1,74.5,,55.2,,,57.0,,0,0,37,,65.3,0.0,0,1,0,1,0,1,2.7,151,4.3,0,54.5,11,12,17.1,4.96,0,3,23.1,50.0,6,14,0.0,14,28.0,0,5,,,,,21.3,64.8,71.4,,80.5,,,35.9,,0,1,15,0.0,39.2,0.0,0,2,0,1,0,2,13.3,87,7.3
LaNorris Sellers,174326,QB,S CAROLINA,1,49,60.0,5,5,12.0,2.1,0,1,20.0,60.0,3,2,0.0,5,10.2,0,3,,,,,63.8,80.0,68.1,,79.4,,,,,0,0,5,0.0,84.6,0.0,0,0,0,0,0,0,0.0,39,7.8,0,289,71.4,93.2,93.5,62.9,62.5,32,37,11.2,2.9,3,6,16.2,54.1,20,17,0.0,44,89.8,0,12,,,,,69.3,92.8,75.1,,93.3,,,51.8,,1,2,44,29.4,81.1,11.4,5,2,0,1,2,1,2.3,342,9.2,66.7,27,29,9.5,2.4,2,5,17.2,62.1,18,0,0.0,30,61.2,0,11,,,,,68.2,93.8,73.7,,94.0,,,56.7,,0,2,30,,77.1,0.0,0,1,0,0,1,1,3.3,282,9.7,0,50.0,10,13,16.3,3.47,1,2,15.4,38.5,5,19,0.0,19,38.8,0,4,,,,,67.0,79.0,72.2,,81.4,,,57.3,,1,0,19,26.3,91.5,26.3,5,1,0,1,1,0,0.0,99,7.6
Skyler Locklear,164027,QB,UTEP,1,49,71.4,7,7,9.3,2.06,0,1,11.1,71.4,5,3,0.0,7,14.3,0,3,,,,,65.1,62.9,69.8,,62.7,,,,,0,0,9,0.0,129.8,0.0,0,0,0,0,1,0,0.0,48,6.9,0,330,70.6,43.8,39.4,66.6,65.4,26,32,9.9,3.55,1,2,5.9,53.1,17,19,0.0,42,85.7,0,8,,,,,69.4,39.4,75.3,,34.7,,,64.2,,0,5,46,26.3,75.8,11.9,5,5,0,5,3,5,10.9,290,9.1,69.6,23,26,10.1,2.8,1,2,7.4,61.5,16,0,0.0,27,55.1,0,6,,,,,68.0,49.2,73.5,,50.4,,,57.3,,0,3,28,,77.1,0.0,0,1,0,2,2,3,10.7,235,9.0,1,60.0,10,13,9.0,4.0,0,1,6.3,46.2,6,22,0.0,22,44.9,0,5,,,,,67.8,42.6,73.4,,33.7,,,67.3,,0,2,27,22.7,73.6,22.7,5,4,0,3,2,2,7.4,103,7.9
Noah Fifita,158722,QB,ARIZONA,1,49,70.0,10,11,8.4,2.25,0,0,0.0,54.5,6,1,14.3,11,22.4,1,4,,,,,65.8,61.7,70.7,,61.5,,,,,0,0,12,0.0,77.5,0.0,0,0,0,1,0,0,0.0,79,7.2,0,109,73.1,74.9,73.8,64.0,82.1,28,34,10.0,2.58,1,1,2.8,64.7,22,9,4.3,38,77.6,1,13,,,,,69.0,75.6,74.8,,76.4,,,57.3,,0,0,40,11.1,91.2,2.6,1,1,0,5,1,0,0.0,207,6.1,79.4,34,37,9.4,2.44,0,1,2.6,67.6,25,0,7.4,39,79.6,2,15,,,,,69.1,75.3,74.9,,76.0,,,57.3,,0,0,41,,95.0,0.0,0,1,0,3,1,0,0.0,245,6.6,0,75.0,4,8,10.8,2.74,1,0,0.0,37.5,3,10,0.0,10,20.4,0,2,,,,,65.6,60.4,70.4,,60.1,,,,,0,0,11,10.0,54.7,10.0,1,0,0,3,0,0,0.0,41,5.1
