player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Riley Leonard,143862,QB,NOTRE DAME,1,35,100.0,6,7,13.8,3.0,0,2,20.0,85.7,6,4,0.0,8,22.9,0,5,65.6,93.9,70.7,94.2,57.2,,1,0,11,25.0,158.3,12.5,1,0,0,0,2,0,0.0,126,18.0,0,258,73.7,77.5,73.3,70.7,72.7,22,24,4.6,2.89,0,0,0.0,66.7,16,7,0.0,27,77.1,0,6,68.1,51.7,73.6,50.2,,61.8,1,0,29,14.3,80.0,3.7,1,2,0,1,0,0,0.0,129,5.4,77.3,22,22,6.0,2.63,0,1,4.0,77.3,17,0,0.0,24,68.6,0,8,67.9,66.6,73.4,65.6,,61.8,0,0,27,,130.1,0.0,0,2,0,0,2,0,0.0,176,8.0,0,83.3,6,9,8.8,3.55,0,1,9.1,55.6,5,11,0.0,11,31.4,0,3,66.0,78.1,71.2,79.0,57.2,,2,0,13,18.2,85.0,18.2,2,0,0,1,0,0,0.0,79,8.8
Will Howard,122599,QB,OHIO STATE,1,25,77.8,9,9,7.1,2.01,0,1,9.1,77.8,7,0,0.0,9,36.0,0,6,65.6,87.6,70.4,87.0,,,0,0,11,,118.8,0.0,0,0,0,0,0,0,0.0,144,16.0,0,260,73.3,88.8,85.5,72.3,83.3,12,12,8.4,3.17,0,0,0.0,83.3,10,6,0.0,16,64.0,0,6,66.5,80.5,71.6,75.2,,69.5,0,0,16,33.3,136.5,12.5,2,2,0,0,2,0,0.0,87,7.3,77.8,18,18,8.5,2.54,0,1,5.3,77.8,14,0,0.0,19,76.0,0,10,67.1,90.6,72.4,90.1,,63.1,0,0,20,,150.5,0.0,0,1,0,0,2,0,0.0,202,11.2,0,100.0,3,3,4.0,3.42,0,0,0.0,100.0,3,6,0.0,6,24.0,0,2,64.6,65.8,69.1,59.1,,64.1,0,0,7,33.3,106.9,33.3,2,1,0,0,0,0,0.0,29,9.7
Steve Angeli,156966,QB,NOTRE DAME,1,1,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,258,60.3,54.9,52.7,,100.0,1,1,5.0,2.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,60.3,54.9,60.0,52.7,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,100.0,1,1,5.0,2.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,60.3,54.9,60.0,52.7,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
