player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Tanner McKee,131770,QB,STANFORD,1,66,52.2,23,24,10.8,2.44,0,0,0.0,45.8,11,12,8.3,29,43.9,1,8,,68.2,57.1,73.7,60.8,,50.5,0,1,30,16.7,42.2,6.9,2,3,0,1,0,1,3.3,111,4.6,0,300,45.7,59.1,59.8,55.6,76.7,30,34,7.0,2.29,3,0,0.0,64.7,22,10,4.3,37,56.1,1,11,,29.9,58.0,74.6,58.9,,57.3,0,0,38,20.0,81.6,5.4,2,1,1,0,0,1,2.6,209,6.1,70.0,40,44,7.9,1.99,3,0,0.0,59.1,26,0,7.1,44,66.7,2,14,,69.4,62.3,75.2,61.9,,,0,1,45,,65.3,0.0,0,0,1,0,0,1,2.2,248,5.6,0,53.8,13,14,10.9,3.09,0,0,0.0,50.0,7,22,0.0,22,33.3,0,5,,25.2,49.9,72.8,56.0,,48.6,0,0,23,18.2,65.2,18.2,4,4,0,1,0,1,4.3,72,5.1
Will Rogers,124184,QB,MISS STATE,1,65,57.9,19,20,9.5,1.94,1,0,0.0,55.0,11,7,0.0,22,33.8,0,6,,67.4,69.3,72.7,68.9,,,0,0,22,28.6,68.3,9.1,2,0,0,0,0,1,4.5,98,4.9,0,227,70.9,57.2,56.6,63.9,56.8,37,41,8.1,2.35,0,1,2.3,46.3,19,12,9.5,43,66.2,2,5,,69.4,50.2,75.3,50.2,,,1,0,46,16.7,54.2,4.7,2,0,1,2,0,1,2.2,133,3.2,61.4,44,46,8.5,1.94,1,1,2.0,54.3,25,0,7.4,46,70.8,2,9,,69.5,64.5,75.5,64.0,,,0,0,49,,63.8,0.0,0,0,1,0,0,1,2.0,181,3.9,1,41.7,12,15,8.6,2.85,0,0,0.0,33.3,5,19,0.0,19,29.2,0,2,,67.0,41.6,72.2,41.7,,,1,0,19,21.1,43.8,21.1,4,0,0,2,0,1,5.3,50,3.3
Spencer Sanders,77660,QB,OKLA STATE,1,65,71.4,21,22,9.2,2.47,0,2,8.7,68.2,15,12,0.0,25,38.5,0,12,,67.8,77.8,73.3,77.2,,61.7,0,0,26,8.3,124.6,4.0,1,2,0,1,1,0,0.0,267,12.1,0,262,72.1,61.5,56.9,69.8,61.8,34,35,7.6,2.76,1,0,0.0,54.3,19,11,9.5,40,61.5,2,10,66.7,69.6,47.3,75.4,43.6,55.2,66.4,0,1,46,0.0,59.7,0.0,0,5,0,0,1,3,6.5,124,3.5,79.5,39,40,4.1,2.02,1,1,2.2,72.5,29,0,6.5,42,64.6,2,16,66.7,69.6,59.3,75.4,56.1,57.4,70.4,0,1,47,,101.0,0.0,0,2,0,0,2,3,6.4,310,7.8,0,31.3,16,17,18.4,3.79,0,1,5.3,29.4,5,23,0.0,23,35.4,0,6,,67.7,59.6,73.3,59.7,60.0,59.9,0,0,25,4.3,46.9,4.3,1,5,0,1,0,0,0.0,81,4.8
Dequan Finn,97804,QB,TOLEDO,1,54,47.6,21,23,13.5,3.44,1,1,4.3,39.1,9,15,10.0,25,46.3,1,6,,67.7,55.5,73.1,58.0,,56.4,0,2,25,6.7,13.5,4.0,1,1,0,1,0,1,4.0,83,3.6,0,316,72.5,58.0,58.6,57.2,77.3,22,24,7.8,3.0,1,1,4.2,62.5,15,11,11.8,29,53.7,2,8,,68.1,60.3,73.6,59.8,,60.3,0,2,29,0.0,60.9,0.0,0,5,1,0,1,2,6.9,159,6.6,76.0,25,27,9.6,2.27,1,1,3.7,59.3,16,0,15.8,28,51.9,3,9,,68.0,67.3,73.5,68.5,,57.3,0,1,28,,76.9,0.0,0,1,1,0,1,2,7.1,185,6.9,0,44.4,18,20,11.9,4.21,1,1,5.0,40.0,8,26,0.0,26,48.1,0,5,,67.8,48.2,73.3,47.5,,58.3,0,3,26,3.8,8.3,3.8,1,5,0,1,0,1,3.8,57,2.9
DJ Irons,145585,QB,AKRON,1,54,85.7,7,8,4.7,3.31,0,0,0.0,62.5,5,9,16.7,13,24.1,1,4,,66.0,49.2,71.0,45.9,,62.0,0,0,13,33.3,77.1,23.1,3,2,0,1,0,1,7.7,44,5.5,1,102,73.4,63.2,61.4,67.0,80.0,35,35,8.7,2.99,0,0,0.0,77.1,27,9,3.6,41,75.9,1,15,,69.1,65.1,74.9,66.8,,53.8,0,2,42,44.4,92.2,9.8,4,2,0,0,1,2,4.8,337,9.6,82.9,35,35,8.6,2.78,0,0,0.0,77.1,27,0,6.9,36,66.7,2,16,,68.7,74.4,74.4,75.2,,57.3,0,2,36,,90.9,0.0,0,1,0,0,1,2,5.6,326,9.3,2,71.4,7,8,5.4,3.64,0,0,0.0,62.5,5,18,0.0,18,33.3,0,3,,67.0,35.0,72.2,31.7,,59.2,0,0,19,38.9,82.8,38.9,7,3,0,1,0,1,5.3,55,6.9
Michael Penix Jr.,82134,QB,WASHINGTON,1,53,71.4,7,9,11.6,2.4,1,0,0.0,55.6,5,2,0.0,9,17.0,0,5,,65.6,66.9,0.0,71.0,,,0,0,11,0.0,78.5,0.0,0,0,0,1,0,0,0.0,65,7.2,0,340,70.8,73.9,75.1,58.1,83.7,43,43,8.6,2.76,0,0,0.0,72.1,31,7,13.9,44,83.0,5,14,,69.4,74.4,75.3,73.6,,,0,0,46,14.3,107.6,2.3,1,0,0,0,2,0,0.0,309,7.2,88.4,43,44,7.7,2.44,1,0,0.0,79.5,35,0,7.9,44,83.0,3,19,,69.5,81.8,75.6,80.9,,,0,0,48,,116.6,0.0,0,0,0,0,2,0,0.0,367,8.3,1,42.9,7,8,17.0,3.94,0,0,0.0,12.5,1,9,66.7,9,17.0,2,0,,65.1,43.8,0.0,48.8,,,0,0,9,11.1,39.6,11.1,1,0,0,1,0,0,0.0,7,0.9
Brett Gabbert,97404,QB,MIAMI OH,1,52,46.2,13,16,11.8,2.72,1,1,5.9,37.5,6,13,0.0,24,46.2,0,5,,26.0,41.8,73.1,42.1,,55.7,0,0,25,30.8,51.3,16.7,4,4,0,2,0,2,8.0,69,4.3,0,221,24.1,46.3,46.0,56.3,69.6,23,23,11.4,2.4,0,0,0.0,69.6,16,6,0.0,28,53.8,0,10,,27.4,53.9,73.5,53.6,,59.4,0,0,28,33.3,89.4,7.1,2,3,0,0,0,1,3.6,162,7.0,70.0,30,31,10.4,2.2,1,1,3.2,67.7,21,0,0.0,33,63.5,0,13,,68.5,64.0,74.1,63.0,,62.0,0,0,33,,89.3,0.0,0,2,0,0,0,1,3.0,229,7.4,1,16.7,6,8,17.3,3.15,0,0,0.0,12.5,1,19,0.0,19,36.5,0,2,,13.8,28.0,72.4,27.1,,54.2,0,0,20,31.6,39.6,31.6,6,5,0,2,0,2,10.0,2,0.3
Behren Morton,144747,QB,TEXAS TECH,1,51,66.7,6,6,9.7,1.93,0,0,0.0,66.7,4,3,0.0,7,13.7,0,3,,64.6,68.6,69.1,68.3,,,0,0,7,33.3,127.1,14.3,1,0,0,0,1,0,0.0,43,7.2,0,315,70.8,56.9,59.5,51.6,73.5,34,39,7.0,2.8,1,1,2.6,61.5,24,12,4.0,44,86.3,1,13,,69.3,51.0,75.1,56.4,,46.3,1,0,44,0.0,92.0,0.0,0,5,0,3,1,1,2.3,282,7.2,78.8,33,34,6.2,2.18,1,0,0.0,76.5,26,0,0.0,36,70.6,0,16,,68.7,61.2,74.4,63.5,,52.9,0,0,36,,124.4,0.0,0,2,0,0,2,1,2.8,318,9.4,0,42.9,7,11,13.3,3.88,0,1,9.1,18.2,2,15,33.3,15,29.4,1,0,,66.4,44.9,71.4,51.2,,49.7,1,0,15,6.7,39.6,6.7,1,3,0,3,0,0,0.0,7,0.6
Quinn Ewers,127253,QB,TEXAS,1,50,38.5,13,14,15.6,2.06,0,1,7.1,28.6,4,6,20.0,15,30.0,1,2,,66.4,47.4,71.4,47.5,,,0,0,15,0.0,43.5,0.0,0,0,0,1,0,0,0.0,55,3.9,0,311,24.1,50.2,51.7,50.3,59.3,27,34,12.5,2.45,2,2,5.9,41.2,14,8,12.5,35,70.0,2,11,,29.7,60.8,74.4,56.2,,69.0,0,3,36,12.5,40.3,2.9,1,0,0,5,1,3,8.3,252,7.4,58.6,29,35,13.2,2.27,2,2,5.7,40.0,14,0,17.6,36,72.0,3,11,,29.7,57.9,74.4,57.7,,,0,2,36,,50.5,0.0,0,0,0,4,1,2,5.6,247,7.1,0,36.4,11,13,14.3,2.49,0,1,7.7,30.8,4,14,0.0,14,28.0,0,2,,66.4,52.3,71.4,44.0,,69.0,0,1,15,7.1,14.9,7.1,1,0,0,2,0,1,6.7,60,4.6
Layne Hatcher,82068,QB,TEXAS ST,1,49,72.2,18,20,8.9,2.69,0,0,0.0,60.0,12,8,7.7,23,46.9,1,3,,67.5,58.0,72.8,62.2,,51.6,0,0,23,12.5,82.9,4.3,1,2,0,2,1,0,0.0,68,3.4,0,314,70.1,58.5,62.0,48.3,71.4,21,23,9.1,2.63,0,1,4.3,60.9,14,4,6.7,26,53.1,1,8,,67.9,59.2,73.5,61.2,60.0,56.7,0,1,27,50.0,82.0,7.7,2,1,0,2,1,2,7.4,181,7.9,70.6,34,35,8.6,2.48,0,1,2.9,65.7,23,0,4.2,37,75.5,1,10,,68.8,64.7,74.5,67.4,,51.9,0,1,37,,90.4,0.0,0,2,0,1,2,1,2.7,222,6.3,1,80.0,5,8,12.0,3.21,0,0,0.0,37.5,3,12,25.0,12,24.5,1,1,,66.0,44.5,71.2,47.8,60.0,56.3,0,0,13,25.0,47.4,25.0,3,1,0,3,0,1,7.7,27,3.4
