player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Jeff Undercuffler,78501,QB,AKRON,1,52,66.7,15,15,8.1,2.51,0,1,5.9,66.7,10,5,0.0,17,32.7,0,7,67.0,66.0,72.2,65.6,,0,0,19,40.0,111.5,11.8,2,0,0,0,1,0,0.0,114,7.6,0,102,70.1,53.4,53.9,55.4,75.9,29,32,6.3,2.62,1,0,0.0,59.4,19,11,13.6,35,67.3,3,6,68.9,46.2,74.6,47.2,57.3,0,2,38,18.2,54.2,5.7,2,1,0,2,1,2,5.3,140,4.4,71.4,35,36,6.4,2.25,1,1,2.6,63.9,23,0,8.0,36,69.2,2,10,68.9,54.7,74.6,54.5,,0,2,38,,73.0,0.0,0,0,0,0,2,2,5.3,193,5.4,1,77.8,9,11,8.8,3.35,0,0,0.0,54.5,6,16,14.3,16,30.8,1,3,67.0,53.7,72.2,55.5,57.3,0,0,19,25.0,70.6,25.0,4,1,0,2,0,0,0.0,61,5.5
Cole Snyder,97617,QB,BUFFALO,1,48,55.6,18,21,13.6,2.37,1,2,8.3,38.1,8,10,20.0,23,47.9,2,5,67.8,78.1,73.3,75.4,64.3,0,0,26,10.0,91.2,4.3,1,1,0,2,2,0,0.0,129,6.1,0,126,45.4,77.9,82.6,50.2,76.2,21,23,8.5,2.78,0,1,3.7,65.2,15,7,6.3,25,52.1,1,7,68.1,80.8,73.6,82.1,57.3,0,1,29,14.3,77.3,4.0,1,1,0,2,1,0,0.0,135,5.9,69.0,29,30,9.9,2.4,1,2,5.9,66.7,20,0,0.0,31,64.6,0,10,68.6,74.7,74.3,75.6,57.3,0,1,35,,109.3,0.0,0,1,0,0,3,0,0.0,232,7.7,0,60.0,10,14,13.6,2.92,0,1,5.9,21.4,3,17,50.0,17,35.4,3,2,67.1,87.0,72.4,84.0,64.3,0,0,20,11.8,39.6,11.8,2,1,0,4,0,0,0.0,32,2.3
Ryan Jankowski,145600,QB,AKRON,1,1,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,102,60.3,53.5,53.7,,0.0,1,1,18.0,3.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,60.3,53.5,63.6,53.7,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,0.0,1,1,18.0,3.4,0,0,0.0,0.0,0,1,,1,100.0,0,0,60.3,53.5,63.6,53.7,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
