player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Dylan Lonergan,172386,QB,BOSTON COL,2,85,80.0,25,26,5.2,2.25,1,1,3.7,76.9,20,5,0.0,28,32.9,0,12,,,,,68.1,79.5,73.6,78.7,,,0,0,29,20.0,114.9,3.6,1,0,0,0,1,0,0.0,224,8.6,0,121,71.8,88.1,88.5,56.7,78.8,52,53,7.8,2.69,1,3,5.5,75.5,40,12,2.4,57,67.1,1,22,,,,,70.2,84.9,76.3,87.2,,50.7,0,0,60,8.3,138.6,1.8,1,3,0,0,7,0,0.0,433,8.2,76.9,65,66,6.6,2.43,1,2,3.0,74.2,49,0,2.0,69,81.2,1,27,,,,,70.7,83.0,76.9,84.1,,52.6,0,0,70,,122.7,0.0,0,2,0,0,5,0,0.0,531,8.0,0,91.7,12,13,9.3,3.04,1,2,13.3,84.6,11,17,0.0,16,18.8,0,7,,,,,67.0,84.2,72.2,86.0,,57.8,0,0,19,11.8,146.6,12.5,2,1,0,0,3,0,0.0,126,9.7
Braylon Braxton,144442,QB,SO MISS,2,84,84.6,13,14,3.1,3.05,0,1,6.3,71.4,10,11,9.1,18,21.4,1,9,,,,,67.1,77.7,72.4,66.3,,79.4,0,0,20,9.1,124.4,5.6,1,3,0,1,3,0,0.0,78,5.6,0,296,73.5,75.4,69.6,73.1,69.2,52,54,9.0,2.8,1,4,6.7,64.8,35,12,2.8,66,78.6,1,15,,,,,70.8,69.2,77.0,69.0,,61.1,0,1,72,16.7,86.6,3.0,2,9,0,1,2,4,5.6,335,6.2,73.1,52,53,7.4,2.41,1,4,6.8,69.8,37,0,2.6,61,72.6,1,18,,,,,70.6,79.6,76.7,80.1,,60.5,0,1,67,,100.0,0.0,0,7,0,0,3,2,3.0,365,6.9,1,69.2,13,15,9.5,4.05,0,1,5.9,53.3,8,23,11.1,23,27.4,1,6,,,,,67.7,54.8,73.1,41.3,,76.8,0,0,25,13.0,99.4,13.0,3,5,0,2,2,2,8.0,48,3.2
Maddux Madsen,163379,QB,BOISE ST,2,84,78.9,19,22,9.9,2.83,2,2,9.1,54.5,12,8,20.0,26,31.0,3,10,,,,,23.8,68.8,73.3,65.4,,66.9,0,0,26,12.5,110.0,3.8,1,3,0,1,1,2,7.7,250,11.4,0,120,46.4,70.2,64.8,72.4,68.1,47,50,9.5,3.02,0,1,1.9,58.0,29,18,9.4,58,69.0,3,18,,,,,70.3,68.1,76.3,63.5,,71.9,0,0,61,5.6,87.3,1.7,1,7,0,3,2,1,1.6,282,5.6,70.4,54,54,9.9,2.6,0,3,5.4,61.1,33,0,13.2,58,69.0,5,21,,,,,35.5,70.7,76.3,66.7,,74.2,0,0,60,,98.2,1.7,1,3,0,0,2,3,5.0,426,7.9,2,75.0,12,18,8.6,3.76,2,0,0.0,44.4,8,26,11.1,26,31.0,1,7,,,,,67.9,63.6,73.4,57.8,,66.9,0,0,27,3.8,82.2,3.8,1,7,0,4,1,0,0.0,106,5.9
Micah Alejado,184162,QB,HAWAII,2,84,67.9,28,28,9.5,2.38,0,0,0.0,53.6,15,7,21.1,34,40.5,4,10,,,,,68.5,58.8,74.3,56.3,,64.1,0,1,35,71.4,51.6,14.7,5,1,0,0,0,0,0.0,133,4.8,0,180,44.8,55.5,55.8,59.2,80.0,40,42,7.0,2.6,0,1,2.4,71.4,30,10,6.3,50,59.5,2,15,,,,,30.9,55.1,75.7,56.5,,55.2,0,0,51,30.0,100.7,6.0,3,5,0,2,2,1,2.0,234,5.6,75.0,64,64,8.2,2.24,0,1,1.5,65.6,42,0,12.5,67,79.8,6,22,,,,,70.7,64.4,76.8,65.6,,54.6,0,1,69,,82.7,0.0,0,3,0,0,2,0,0.0,339,5.3,1,75.0,4,6,6.3,3.59,0,0,0.0,50.0,3,17,0.0,17,20.2,0,3,,,,,19.1,31.9,71.8,28.0,,64.4,0,0,17,47.1,63.2,47.1,8,3,0,2,0,1,5.9,28,4.7
Garrett Nussmeier,146757,QB,LSU,2,83,77.3,22,22,5.6,2.06,0,1,3.7,72.7,16,6,5.9,24,28.9,1,11,,,,,68.1,82.3,73.6,81.4,,,0,0,29,33.3,101.9,8.3,2,0,0,0,1,0,0.0,127,5.8,0,211,73.0,75.7,74.6,62.0,75.9,54,57,7.2,2.71,1,3,5.0,66.7,38,10,7.3,59,71.1,3,16,,,,,70.3,67.5,76.5,66.8,,,0,1,62,20.0,81.0,3.4,2,0,0,2,1,3,4.8,340,6.0,78.1,64,66,6.5,2.31,1,3,4.1,71.2,47,0,6.0,67,80.7,3,20,,,,,70.9,71.3,77.2,70.5,,,0,1,75,,88.7,1.5,1,0,0,1,2,3,4.0,372,5.6,0,66.7,12,13,8.4,3.4,0,1,7.7,53.8,7,16,12.5,16,19.3,1,7,,,,,66.5,80.0,71.6,79.4,,,0,0,16,18.8,77.4,18.8,3,0,0,1,0,0,0.0,95,7.3
Owen McCown,157688,QB,UTSA,2,83,64.0,25,26,8.0,2.06,0,0,0.0,50.0,13,10,18.8,26,31.3,3,6,,,,,68.1,63.1,73.6,62.8,,,0,0,29,0.0,84.0,0.0,0,0,0,1,2,0,0.0,91,3.5,0,331,50.4,70.7,66.2,73.4,67.3,49,49,7.7,2.33,0,3,6.0,59.2,29,17,12.1,57,68.7,4,15,,,,,70.1,77.0,76.2,66.9,,88.5,0,0,58,17.6,72.6,5.3,3,5,0,0,0,3,5.2,249,5.1,66.0,53,53,8.4,2.02,0,3,5.3,54.7,29,0,17.1,56,67.5,6,15,,,,,70.2,78.9,76.3,71.4,,86.9,0,0,60,,77.3,0.0,0,3,0,0,2,1,1.7,217,4.1,0,66.7,21,22,6.0,2.71,0,0,0.0,59.1,13,27,7.1,27,32.5,1,6,,,,,67.9,57.8,73.4,52.9,,68.9,0,0,27,11.1,74.6,11.1,3,2,0,1,0,2,7.4,123,5.6
Katin Houser,158386,QB,E CAROLINA,2,82,76.9,26,27,6.3,2.1,0,1,3.6,74.1,20,8,0.0,30,36.6,0,13,,,,,28.6,75.1,74.0,74.9,,60.5,0,0,32,12.5,112.7,3.3,1,2,0,1,1,1,3.1,237,8.8,0,156,53.0,79.7,82.8,53.5,83.3,48,52,9.9,1.99,0,3,5.5,67.3,35,15,12.5,52,63.4,5,13,,,,,70.0,81.1,76.1,82.1,54.3,57.3,2,0,56,0.0,106.5,0.0,0,0,0,2,2,0,0.0,443,8.5,84.7,59,59,7.7,1.7,0,3,4.8,78.0,46,0,8.0,59,72.0,4,20,,,,,44.0,81.3,76.7,82.0,54.3,57.3,0,0,65,,122.7,0.0,0,0,0,0,3,1,1.6,554,9.4,0,66.7,15,20,12.1,2.89,0,1,5.0,45.0,9,23,10.0,23,28.0,1,6,,,,,67.5,74.1,72.8,74.1,,60.5,2,0,23,4.3,65.8,4.3,1,2,0,3,0,0,0.0,126,6.3
E.J. Warner,156185,QB,FRESNO ST,3,82,78.6,28,29,6.1,2.58,0,0,0.0,72.4,21,9,4.5,32,39.0,1,15,,,,,28.3,55.3,74.0,52.8,,64.3,0,2,32,22.2,67.3,6.3,2,1,0,1,0,4,12.5,234,8.1,0,169,50.1,62.5,59.5,69.5,77.8,45,45,6.4,2.72,0,1,2.2,66.7,30,6,14.3,50,61.0,5,15,,,,,69.7,67.2,75.7,64.5,,67.1,0,3,51,16.7,52.3,2.0,1,4,0,0,0,2,3.9,242,5.4,79.4,63,63,5.7,2.44,0,1,1.6,71.4,45,0,10.0,67,81.7,5,25,,,,,70.6,71.8,76.7,68.5,,70.8,0,3,67,,66.9,0.0,0,4,0,0,0,3,4.5,380,6.0,1,70.0,10,11,9.9,3.69,0,0,0.0,54.5,6,15,14.3,15,18.3,1,5,,,,,21.8,36.8,71.6,33.4,,62.0,0,2,16,20.0,44.3,20.0,3,1,0,1,0,3,18.8,96,8.7
Jalon Daniels,122555,QB,KANSAS,3,82,75.8,33,34,9.9,2.36,0,2,5.6,61.8,21,14,16.0,36,43.9,4,15,,,,,27.4,72.1,74.7,71.5,,,1,0,38,14.3,129.7,5.6,2,0,0,0,5,1,2.6,298,8.8,0,198,32.6,84.4,81.0,71.5,82.9,41,42,10.2,3.13,0,3,7.0,78.6,33,17,2.9,46,56.1,1,20,,,,,69.5,86.9,75.4,83.1,,72.3,0,2,48,5.9,116.5,2.2,1,3,0,1,4,2,4.2,382,9.1,84.3,51,51,10.8,2.2,0,4,7.4,80.4,41,0,4.7,51,62.2,2,25,,,,,69.9,92.2,75.9,91.7,,,0,1,54,,143.8,0.0,0,0,0,0,7,1,1.9,559,11.0,0,69.6,23,25,8.5,3.75,0,1,4.0,52.0,13,31,18.8,31,37.8,3,10,,,,,25.8,53.1,74.1,46.8,,72.3,1,1,32,9.7,75.6,9.7,3,3,0,1,2,2,6.3,121,4.8
Anthony Colandrea,170131,QB,UNLV,3,80,81.5,27,28,11.5,2.38,0,5,16.1,75.0,21,13,4.5,31,38.8,1,14,,,,,68.6,91.4,74.4,89.4,,77.5,0,0,35,7.7,145.2,3.2,1,2,0,1,3,0,0.0,302,10.8,0,325,76.1,91.4,87.4,81.5,85.3,34,37,10.3,3.29,0,3,7.1,75.7,28,18,3.4,49,61.3,1,19,,,,,69.9,78.6,75.9,77.9,,63.6,0,1,54,27.8,119.8,10.2,5,6,0,3,3,1,1.9,345,9.3,88.9,45,47,8.6,2.51,0,4,7.5,83.0,39,0,2.5,49,61.3,1,22,,,,,70.0,90.0,76.1,87.9,,64.3,0,0,55,,134.5,0.0,0,1,0,2,4,0,0.0,445,9.5,0,68.8,16,18,17.1,3.6,0,4,20.0,55.6,10,31,9.1,31,38.8,1,11,,,,,68.5,79.9,74.2,75.1,,70.9,0,1,34,19.4,109.0,19.4,6,7,0,2,2,1,2.9,202,11.2
