player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Brady Allen,156493,QB,LOUISVILLE,2,15.0,0,9,210,83.3,6,6,17.3,2.72,0,1,12.5,50.0,3,1,40.0,6,66.7,2,2,0,1,8,0.0,79.2,0.0,0,0,0,0,1,1,12.5,51,8.5,80.0,5,5,7.8,2.02,0,1,14.3,60.0,3,0,25.0,5,55.6,1,1,0,1,7,,31.7,0.0,0,0,0,0,0,1,14.3,23,4.6,100.0,4,4,15.3,2.7,0,0,0.0,75.0,3,1,25.0,4,44.4,1,1,0,0,4,0.0,152.1,0.0,0,0,0,0,1,0,0.0,46,11.5,0,100.0,3,3,-1.3,1.53,0,0,0.0,100.0,3,0,0.0,3,33.3,0,0,0,0,3,,91.7,0.0,0,0,0,0,0,0,0.0,18,6.0,6.9
Deshawn Purdie,184271,QB,WAKE,3,-50.0,0,9,339,57.1,7,8,14.0,2.68,1,1,12.5,50.0,4,3,0.0,9,100.0,0,2,0,0,9,0.0,112.5,0.0,0,1,0,0,1,0,0.0,56,7.0,100.0,3,4,13.0,3.28,1,1,25.0,75.0,3,3,0.0,5,55.6,0,2,0,0,5,0.0,156.3,0.0,0,1,0,0,1,0,0.0,53,13.3,25.0,4,4,14.8,1.93,0,0,0.0,25.0,1,0,0.0,4,44.4,0,0,0,0,4,,39.6,0.0,0,0,0,0,0,0,0.0,3,0.8,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-12.5
Cole Ballard,173062,QB,KANSAS,2,46.67,0,9,198,40.0,5,6,15.8,2.89,0,0,0.0,33.3,2,2,0.0,7,77.8,0,2,1,0,7,0.0,56.3,0.0,0,1,0,0,0,0,0.0,38,6.3,50.0,4,5,10.3,1.96,0,0,0.0,20.0,1,1,50.0,5,55.6,1,1,1,0,5,0.0,39.6,0.0,0,0,0,0,0,0,0.0,10,2.0,66.7,3,3,11.7,3.25,0,0,0.0,66.7,2,1,0.0,4,44.4,0,2,0,0,4,0.0,107.6,0.0,0,1,0,0,0,0,0.0,36,12.0,0,100.0,2,2,-1.5,1.3,0,0,0.0,50.0,1,0,50.0,2,22.2,1,1,0,0,2,,60.4,0.0,0,0,0,0,0,0,0.0,8,4.0,10.0
Jacurri Brown,156344,QB,UCF,2,16.67,0,9,323,60.0,5,5,12.2,3.2,0,0,0.0,60.0,3,3,0.0,8,88.9,0,3,0,1,8,0.0,104.2,0.0,0,3,0,0,1,1,12.5,97,19.4,50.0,2,2,12.0,2.1,0,0,0.0,50.0,1,1,0.0,2,22.2,0,1,0,1,2,0.0,22.9,0.0,0,0,0,0,0,1,50.0,9,4.5,66.7,3,3,12.3,3.06,0,0,0.0,66.7,2,2,0.0,7,77.8,0,2,0,0,7,0.0,149.3,0.0,0,3,0,0,1,0,0.0,88,29.3,0,,0,0,,0.0,0,0,,,0,0,,1,11.1,0,0,0,0,1,,0.0,0.0,0,0,0,0,0,0,0.0,0,,24.83
AJ Surace,184666,QB,RUTGERS,1,-57.14,0,9,278,71.4,7,7,17.7,2.74,0,0,0.0,57.1,4,2,20.0,9,100.0,1,3,0,0,10,100.0,123.8,22.2,2,0,0,0,2,0,0.0,58,8.3,71.4,7,7,17.7,2.74,0,0,0.0,57.1,4,2,20.0,9,100.0,1,3,0,0,10,100.0,123.8,22.2,2,0,0,0,2,0,0.0,58,8.3,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-8.29
Rodney Tisdale Jr.,188754,QB,W KENTUCKY,1,-33.33,0,9,346,71.4,7,7,11.7,2.74,0,0,0.0,71.4,5,2,0.0,8,88.9,0,4,0,0,11,0.0,112.8,0.0,0,1,0,0,0,0,0.0,86,12.3,83.3,6,6,8.7,2.77,0,0,0.0,83.3,5,1,0.0,7,77.8,0,4,0,0,10,0.0,156.3,0.0,0,1,0,0,1,0,0.0,72,12.0,50.0,2,2,13.0,1.95,0,0,0.0,50.0,1,1,0.0,2,22.2,0,1,0,0,2,0.0,89.6,0.0,0,0,0,0,0,0,0.0,22,11.0,0,100.0,1,1,-4.0,1.4,0,0,0.0,100.0,1,0,0.0,1,11.1,0,1,0,0,1,,139.6,0.0,0,0,0,0,1,0,0.0,8,8.0,-1.0
Darius Curry,191052,QB,COLO STATE,1,-100.0,0,9,144,100.0,5,5,8.2,3.37,0,0,0.0,100.0,5,2,0.0,9,100.0,0,4,0,0,10,50.0,148.8,11.1,1,3,0,0,1,0,0.0,51,10.2,100.0,5,5,8.2,3.37,0,0,0.0,100.0,5,2,0.0,9,100.0,0,4,0,0,10,50.0,148.8,11.1,1,3,0,0,1,0,0.0,51,10.2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-10.2
Devin Brown,156479,QB,CAL,3,-50.0,0,8,130,50.0,6,6,12.5,3.8,0,0,0.0,50.0,3,4,0.0,8,100.0,0,3,0,1,8,50.0,73.6,25.0,2,0,0,0,1,1,12.5,43,7.2,50.0,6,6,12.5,3.8,0,0,0.0,50.0,3,4,0.0,8,100.0,0,3,0,1,8,50.0,73.6,25.0,2,0,0,0,1,1,12.5,43,7.2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-7.17
Alessio Milivojevic,183542,QB,MICH STATE,2,28.57,0,8,223,75.0,8,8,9.4,2.85,0,1,10.0,75.0,6,1,0.0,8,100.0,0,4,0,1,10,0.0,101.6,0.0,0,0,0,0,1,1,10.0,71,8.9,71.4,7,7,9.4,2.91,0,1,11.1,71.4,5,1,0.0,7,87.5,0,3,0,1,9,0.0,63.1,0.0,0,0,0,0,0,1,11.1,69,9.9,100.0,1,1,9.0,2.4,0,0,0.0,100.0,1,0,0.0,1,12.5,0,1,0,0,1,,118.8,0.0,0,0,0,0,1,0,0.0,2,2.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-7.86
Malachi Singleton,172426,QB,PURDUE,2,-30.0,0,8,273,71.4,7,7,12.9,3.41,0,1,12.5,71.4,5,4,0.0,8,100.0,0,5,0,1,9,0.0,102.1,0.0,0,1,0,0,1,1,11.1,68,9.7,80.0,5,5,11.0,2.97,0,1,16.7,80.0,4,3,0.0,6,75.0,0,4,0,0,7,0.0,144.6,0.0,0,1,0,0,1,0,0.0,46,9.2,50.0,2,2,17.5,4.75,0,0,0.0,50.0,1,1,0.0,2,25.0,0,1,0,1,2,0.0,50.0,0.0,0,0,0,0,0,1,50.0,22,11.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,1.8
Lincoln Kienholz,170256,QB,OHIO STATE,2,-16.67,0,8,260,87.5,8,8,5.8,2.6,0,0,0.0,87.5,7,0,0.0,8,100.0,0,6,0,0,8,,151.0,0.0,0,0,0,0,1,0,0.0,86,10.8,100.0,2,2,4.5,3.05,0,0,0.0,100.0,2,0,0.0,2,25.0,0,2,0,0,2,,100.0,0.0,0,0,0,0,0,0,0.0,16,8.0,83.3,6,6,6.2,2.45,0,0,0.0,83.3,5,0,0.0,6,75.0,0,4,0,0,6,,154.9,0.0,0,0,0,0,1,0,0.0,70,11.7,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,3.67
Scotty Fox Jr.,199546,QB,W VIRGINIA,3,-16.67,0,8,343,62.5,8,8,10.9,1.81,0,1,12.5,62.5,5,1,0.0,8,100.0,0,5,0,2,8,0.0,106.3,0.0,0,0,0,0,1,2,25.0,118,14.8,66.7,6,6,12.0,1.78,0,1,16.7,66.7,4,1,0.0,6,75.0,0,4,0,1,6,0.0,109.7,0.0,0,0,0,0,1,1,16.7,110,18.3,50.0,2,2,7.5,1.9,0,0,0.0,50.0,1,0,0.0,2,25.0,0,1,0,1,2,,20.8,0.0,0,0,0,0,0,1,50.0,8,4.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-14.33
Deante Ruffin,198632,QB,KENT STATE,1,-66.67,0,8,201,66.7,3,3,15.0,3.2,0,0,0.0,66.7,2,5,0.0,8,100.0,0,1,0,0,10,40.0,109.7,25.0,2,3,0,0,0,0,0.0,44,14.7,66.7,3,3,15.0,3.2,0,0,0.0,66.7,2,5,0.0,8,100.0,0,1,0,0,10,40.0,109.7,25.0,2,3,0,0,0,0,0.0,44,14.7,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-14.67
Deuce Knight,198161,QB,AUBURN,1,66.67,0,8,115,60.0,5,5,5.2,2.33,0,0,0.0,40.0,2,2,33.3,8,100.0,1,3,0,0,8,100.0,52.1,25.0,2,1,0,0,0,3,37.5,20,4.0,50.0,2,2,5.0,2.7,0,0,0.0,0.0,0,2,100.0,5,62.5,1,1,0,0,5,100.0,39.6,40.0,2,1,0,0,0,3,60.0,0,0.0,66.7,3,3,5.3,1.7,0,0,0.0,66.7,2,0,0.0,3,37.5,0,2,0,0,3,,85.4,0.0,0,0,0,0,0,0,0.0,20,6.7,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,6.67
Sam Jackson V,144682,WR,OKLA STATE,4,83.33,0,8,262,80.0,5,5,7.8,4.28,0,0,0.0,80.0,4,5,0.0,6,75.0,0,2,0,0,12,20.0,148.8,16.7,1,0,0,0,1,0,0.0,51,10.2,,0,0,,,0,0,,,0,2,,0,0.0,0,0,0,0,7,0.0,0.0,,0,0,0,0,0,0,,0,,83.3,6,6,5.0,4.05,0,0,0.0,83.3,5,4,0.0,8,100.0,0,3,0,0,8,25.0,144.4,12.5,1,1,0,0,1,0,0.0,55,9.2,0,100.0,1,1,-9.0,3.35,0,0,0.0,100.0,1,1,0.0,2,25.0,0,1,0,0,3,0.0,83.3,0.0,0,1,0,0,0,0,0.0,4,4.0,9.17
Braxton Woodson,175276,QB,NAVY,1,-75.0,0,8,237,33.3,6,6,14.7,2.61,0,0,0.0,33.3,2,2,0.0,7,87.5,0,2,0,0,7,0.0,42.4,0.0,0,1,0,0,0,0,0.0,16,2.7,75.0,4,4,3.8,1.8,0,0,0.0,75.0,3,1,0.0,4,50.0,0,2,0,0,4,0.0,91.7,0.0,0,0,0,0,0,0,0.0,26,6.5,0.0,3,3,23.0,3.1,0,0,0.0,0.0,0,1,,4,50.0,0,1,0,0,4,0.0,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,0,100.0,1,1,-4.0,1.3,0,0,0.0,100.0,1,0,0.0,1,12.5,0,1,0,0,1,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,-6.5
Cole Feuerbacher,171447,QB,MO STATE,2,33.33,0,8,230,80.0,5,5,10.2,2.78,0,0,0.0,60.0,3,1,25.0,5,62.5,1,0,0,0,6,0.0,66.3,0.0,0,0,0,0,0,0,0.0,17,3.4,83.3,6,6,7.3,2.37,0,0,0.0,66.7,4,0,20.0,6,75.0,1,0,0,0,6,,70.8,0.0,0,0,0,0,0,0,0.0,19,3.2,100.0,2,2,-2.5,2.9,0,0,0.0,100.0,2,1,0.0,2,25.0,0,1,0,0,3,0.0,85.4,0.0,0,0,0,0,0,0,0.0,9,4.5,0,100.0,3,3,-4.0,2.03,0,0,0.0,100.0,3,0,0.0,3,37.5,0,1,0,0,3,,81.9,0.0,0,0,0,0,0,0,0.0,11,3.7,1.33
Reese Poffenbarger,145346,QB,N TEXAS,2,40.0,0,8,251,83.3,6,6,10.3,2.83,0,0,0.0,66.7,4,1,20.0,7,87.5,1,2,0,0,7,0.0,75.0,0.0,0,1,0,0,0,1,14.3,25,4.2,80.0,5,5,9.8,3.08,0,0,0.0,60.0,3,1,25.0,6,75.0,1,2,0,0,6,0.0,72.1,0.0,0,1,0,0,0,1,16.7,24,4.8,100.0,2,2,5.5,1.65,0,0,0.0,100.0,2,0,0.0,2,25.0,0,1,0,0,2,,91.7,0.0,0,0,0,0,0,0,0.0,12,6.0,0,100.0,1,1,-2.0,2.0,0,0,0.0,100.0,1,0,0.0,1,12.5,0,1,0,0,1,,112.5,0.0,0,0,0,0,0,0,0.0,11,11.0,1.2
Brady Lichtenberg,144226,QB,CINCINNATI,1,0.0,0,7,138,75.0,4,4,10.0,2.7,0,1,25.0,75.0,3,2,0.0,5,71.4,0,4,0,0,5,0.0,156.3,0.0,0,1,0,0,1,0,0.0,53,13.3,66.7,3,3,10.0,3.08,0,1,33.3,66.7,2,1,0.0,4,57.1,0,2,0,0,4,0.0,141.7,0.0,0,1,0,0,1,0,0.0,32,10.7,66.7,3,3,2.7,1.77,0,0,0.0,66.7,2,1,0.0,3,42.9,0,2,0,0,3,0.0,91.0,0.0,0,0,0,0,0,0,0.0,24,8.0,0,50.0,2,2,-1.0,2.05,0,0,0.0,50.0,1,0,0.0,2,28.6,0,0,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,-2.67
Nate Bennett,184815,QB,BAYLOR,1,8.33,0,7,118,60.0,5,5,9.8,3.08,0,0,0.0,60.0,3,1,0.0,5,71.4,0,2,0,0,5,0.0,75.4,0.0,0,0,0,0,0,0,0.0,28,5.6,66.7,3,3,11.0,2.87,0,0,0.0,66.7,2,0,0.0,3,42.9,0,2,0,0,3,,88.2,0.0,0,0,0,0,0,0,0.0,22,7.3,75.0,4,4,3.3,2.35,0,0,0.0,75.0,3,1,0.0,4,57.1,0,0,0,0,4,0.0,77.1,0.0,0,0,0,0,0,0,0.0,12,3.0,0,100.0,2,2,-1.5,1.3,0,0,0.0,100.0,2,0,0.0,2,28.6,0,0,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,-4.33
Kai Horton,144418,QB,WASHINGTON,1,16.67,0,7,340,60.0,5,5,22.2,3.37,0,0,0.0,60.0,3,1,0.0,7,100.0,0,4,0,0,7,0.0,93.8,0.0,0,2,0,0,0,1,14.3,50,10.0,50.0,2,2,22.0,3.03,0,0,0.0,50.0,1,0,0.0,3,42.9,0,1,0,0,3,,72.9,0.0,0,1,0,0,0,0,0.0,14,7.0,66.7,3,3,22.3,3.63,0,0,0.0,66.7,2,1,0.0,4,57.1,0,3,0,0,4,0.0,107.6,0.0,0,1,0,0,0,1,25.0,36,12.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,5.0
Bert Emanuel Jr.,158581,QB,S DIEGO ST,3,-8.33,0,7,284,75.0,4,5,3.0,3.04,0,0,0.0,60.0,3,1,0.0,5,71.4,0,1,0,0,6,0.0,82.9,0.0,0,0,0,1,0,0,0.0,37,7.4,100.0,3,4,0.3,3.08,0,0,0.0,75.0,3,1,0.0,4,57.1,0,1,0,0,5,0.0,103.1,0.0,0,0,0,1,0,0,0.0,37,9.3,66.7,3,3,1.7,2.2,0,0,0.0,66.7,2,0,0.0,3,42.9,0,1,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,0,0.0,0,100.0,2,2,-3.0,1.85,0,0,0.0,100.0,2,0,0.0,2,28.6,0,1,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,-9.25
Alex Manske,198567,QB,IOWA STATE,1,25.0,0,7,193,75.0,4,4,5.8,2.7,0,0,0.0,75.0,3,0,0.0,6,85.7,0,3,0,0,7,,93.8,0.0,0,2,0,0,0,0,0.0,28,7.0,75.0,4,4,3.3,1.9,0,0,0.0,75.0,3,0,0.0,4,57.1,0,1,0,0,5,,83.3,0.0,0,0,0,0,0,0,0.0,18,4.5,100.0,1,1,4.0,3.3,0,0,0.0,100.0,1,0,0.0,3,42.9,0,2,0,0,3,,108.3,0.0,0,2,0,0,0,0,0.0,10,10.0,0,100.0,1,1,-6.0,1.3,0,0,0.0,100.0,1,0,0.0,1,14.3,0,0,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,5.5
George MacIntyre,199971,QB,TENNESSEE,1,33.33,0,7,307,75.0,4,4,13.3,3.9,0,0,0.0,75.0,3,2,0.0,4,57.1,0,2,0,0,4,0.0,90.6,0.0,0,0,0,0,0,0,0.0,25,6.3,66.7,3,3,12.7,3.4,0,0,0.0,66.7,2,2,0.0,3,42.9,0,2,0,0,3,0.0,81.3,0.0,0,0,0,0,0,0,0.0,17,5.7,100.0,4,4,3.0,2.43,0,0,0.0,100.0,4,0,0.0,4,57.1,0,2,0,0,4,,103.1,0.0,0,0,0,0,0,0,0.0,35,8.8,0,100.0,3,3,-1.0,1.43,0,0,0.0,100.0,3,0,0.0,3,42.9,0,2,0,0,3,,104.2,0.0,0,0,0,0,0,0,0.0,27,9.0,3.08
Matt Zollers,198887,QB,MISSOURI,3,-100.0,0,7,229,100.0,2,2,2.5,2.93,0,0,0.0,100.0,2,0,0.0,3,42.9,0,2,0,0,3,,158.3,0.0,0,1,0,0,1,0,0.0,52,26.0,100.0,6,6,-2.0,1.38,0,0,0.0,100.0,6,0,0.0,6,85.7,0,4,0,0,6,,158.3,0.0,0,0,0,0,1,0,0.0,75,12.5,,0,0,,4.7,0,0,,,0,0,,1,14.3,0,0,0,0,1,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,100.0,4,4,-4.3,1.05,0,0,0.0,100.0,4,0,0.0,4,57.1,0,2,0,0,4,,90.6,0.0,0,0,0,0,0,0,0.0,23,5.8,-12.5
Ethan Houck,198664,QB,LIBERTY,2,-20.0,0,7,206,20.0,5,6,17.4,2.69,1,1,16.7,16.7,1,1,0.0,7,100.0,0,1,0,1,7,100.0,0.0,14.3,1,0,0,0,0,2,28.6,17,2.8,25.0,4,5,18.3,2.63,1,1,20.0,20.0,1,1,0.0,6,85.7,0,1,0,0,6,100.0,41.3,16.7,1,0,0,0,0,1,16.7,17,3.4,0.0,1,1,14.0,3.0,0,0,0.0,0.0,0,0,,1,14.3,0,0,0,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-3.4
Ken Seals,124359,QB,TCU,2,-80.0,0,6,305,60.0,5,5,7.8,2.42,0,0,0.0,60.0,3,2,0.0,5,83.3,0,0,0,1,5,0.0,25.0,0.0,0,0,0,0,0,1,20.0,13,2.6,80.0,5,5,3.2,2.26,0,0,0.0,80.0,4,2,0.0,5,83.3,0,1,0,0,5,0.0,86.7,0.0,0,0,0,0,0,0,0.0,24,4.8,0.0,1,1,23.0,2.1,0,0,0.0,0.0,0,0,,1,16.7,0,0,0,1,1,,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,0,100.0,1,1,0.0,1.3,0,0,0.0,100.0,1,0,0.0,1,16.7,0,1,0,0,1,,112.5,0.0,0,0,0,0,0,0,0.0,11,11.0,-4.8
Lex Thomas,170381,QB,NC STATE,1,-33.33,0,6,248,50.0,4,6,13.0,3.78,0,0,0.0,33.3,2,3,0.0,6,100.0,0,1,0,0,6,0.0,42.4,0.0,0,0,0,2,0,1,16.7,18,3.0,50.0,4,6,13.0,3.78,0,0,0.0,33.3,2,3,0.0,6,100.0,0,1,0,0,6,0.0,42.4,0.0,0,0,0,2,0,1,16.7,18,3.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-3.0
Carson Conklin,170765,QB,FRESNO ST,1,-25.0,0,6,169,75.0,4,4,16.0,3.13,0,0,0.0,75.0,3,1,0.0,4,66.7,0,1,0,0,4,0.0,94.8,0.0,0,0,0,0,0,0,0.0,29,7.3,100.0,2,2,-0.5,1.6,0,0,0.0,100.0,2,0,0.0,2,33.3,0,1,0,0,2,,108.3,0.0,0,0,0,0,0,0,0.0,20,10.0,75.0,4,4,13.8,3.1,0,0,0.0,75.0,3,1,0.0,4,66.7,0,1,0,0,4,0.0,87.5,0.0,0,0,0,0,0,0,0.0,22,5.5,0,100.0,2,2,-5.0,1.55,0,0,0.0,100.0,2,0,0.0,2,33.3,0,1,0,0,2,,93.8,0.0,0,0,0,0,0,0,0.0,13,6.5,-4.5
Julian Lewis,198304,QB,COLORADO,1,-100.0,0,6,143,100.0,2,2,10.5,4.0,0,0,0.0,50.0,1,2,50.0,4,66.7,1,0,0,0,4,50.0,66.7,25.0,1,1,0,0,0,0,0.0,11,5.5,100.0,2,2,3.5,3.83,0,0,0.0,100.0,2,2,0.0,4,66.7,0,0,0,0,4,50.0,83.3,25.0,1,1,0,0,0,0,0.0,8,4.0,50.0,2,2,4.0,1.55,0,0,0.0,0.0,0,0,100.0,2,33.3,1,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,50.0,2,2,-3.0,1.2,0,0,0.0,50.0,1,0,0.0,2,33.3,0,0,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,-3,-1.5,-4.0
Drew Devillier,190639,QB,RICE,3,25.0,0,6,275,66.7,3,3,10.0,2.13,0,1,33.3,66.7,2,1,0.0,3,50.0,0,2,0,0,3,0.0,143.1,0.0,0,0,0,0,1,0,0.0,33,11.0,75.0,4,4,-1.3,1.23,0,0,0.0,75.0,3,0,0.0,4,66.7,0,1,0,0,4,,85.4,0.0,0,0,0,0,0,0,0.0,20,5.0,100.0,2,2,14.0,2.2,0,1,50.0,100.0,2,1,0.0,2,33.3,0,2,0,0,2,0.0,158.3,0.0,0,0,0,0,1,0,0.0,33,16.5,0,100.0,3,3,-2.3,0.97,0,0,0.0,100.0,3,0,0.0,3,50.0,0,1,0,0,3,,94.4,0.0,0,0,0,0,0,0,0.0,20,6.7,11.5
Max Shikenjanski,173421,QB,MINNESOTA,1,25.0,0,6,225,100.0,4,4,12.5,2.4,0,1,25.0,75.0,3,2,25.0,5,83.3,1,1,0,0,5,50.0,116.7,20.0,1,0,0,0,0,0,0.0,58,14.5,100.0,4,4,12.5,2.4,0,1,25.0,75.0,3,2,25.0,5,83.3,1,1,0,0,5,50.0,116.7,20.0,1,0,0,0,0,0,0.0,58,14.5,100.0,1,1,-7.0,2.8,0,0,0.0,100.0,1,0,0.0,1,16.7,0,1,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,22,22.0,0,100.0,1,1,-7.0,2.8,0,0,0.0,100.0,1,0,0.0,1,16.7,0,1,0,0,1,,158.3,0.0,0,0,0,0,1,0,0.0,22,22.0,7.5
Landon Sims,200048,QB,WYOMING,2,-100.0,0,6,351,100.0,3,3,4.7,3.28,0,0,0.0,100.0,3,2,0.0,5,83.3,0,3,0,0,5,50.0,95.8,20.0,1,1,0,0,0,0,0.0,21,7.0,100.0,4,4,2.8,3.06,0,0,0.0,100.0,4,1,0.0,5,83.3,0,3,0,0,5,0.0,96.9,0.0,0,1,0,0,0,0,0.0,29,7.3,,0,0,,2.2,0,0,,,0,1,,1,16.7,0,0,0,0,1,100.0,0.0,100.0,1,0,0,0,0,0,0.0,0,,0,100.0,1,1,-3.0,1.1,0,0,0.0,100.0,1,0,0.0,1,16.7,0,0,0,0,1,,100.0,0.0,0,0,0,0,0,0,0.0,8,8.0,-7.25
Shay Smith,188323,QB,UTEP,2,-25.0,0,6,330,25.0,4,4,15.0,2.85,0,0,0.0,25.0,1,1,0.0,4,66.7,0,0,0,0,5,0.0,39.6,0.0,0,0,0,0,0,2,40.0,5,1.3,50.0,2,2,1.0,1.7,0,0,0.0,50.0,1,0,0.0,2,33.3,0,0,0,0,3,,56.3,0.0,0,0,0,0,0,1,33.3,0,0.0,25.0,4,4,13.5,3.2,0,0,0.0,25.0,1,1,0.0,4,66.7,0,0,0,0,4,0.0,39.6,0.0,0,0,0,0,0,1,25.0,5,1.3,0,50.0,2,2,-2.0,2.4,0,0,0.0,50.0,1,0,0.0,2,33.3,0,0,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,0,0.0,1.25
Luke Moga,184857,QB,OREGON,2,-60.0,0,6,264,75.0,4,4,8.3,2.38,0,0,0.0,50.0,2,0,33.3,5,83.3,1,2,0,0,6,,95.8,0.0,0,1,0,0,0,0,0.0,56,14.0,80.0,5,5,5.6,2.23,0,0,0.0,60.0,3,0,25.0,6,100.0,1,2,0,0,7,,100.4,0.0,0,1,0,0,0,0,0.0,58,11.6,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-5.0,1.5,0,0,0.0,100.0,1,0,0.0,1,16.7,0,0,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,-11.6
