player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Turner Helton,163044,QB,GA SOUTHRN,2,-41.67,0,11,174,71.4,7,8,9.4,2.39,0,0,0.0,50.0,4,2,20.0,9,81.8,1,1,0,0,11,0.0,56.3,0.0,0,1,0,1,0,0,0.0,14,1.8,100.0,3,4,1.7,2.8,0,0,0.0,75.0,3,2,0.0,5,45.5,0,1,0,0,6,0.0,77.1,0.0,0,1,0,1,0,0,0.0,9,2.3,50.0,6,6,9.8,1.98,0,0,0.0,33.3,2,0,33.3,6,54.5,1,1,0,0,7,,42.4,0.0,0,0,0,0,0,0,0.0,16,2.7,0,50.0,2,2,-1.0,2.2,0,0,0.0,50.0,1,0,0.0,2,18.2,0,1,0,0,2,,66.7,0.0,0,0,0,0,0,0,0.0,11,5.5,0.42
Max Cutforth,176220,QB,BOISE ST,4,57.14,0,11,120,50.0,8,8,13.6,3.19,0,0,0.0,50.0,4,2,0.0,9,81.8,0,3,0,0,10,50.0,71.4,11.1,1,0,0,0,0,0,0.0,53,6.6,42.9,7,7,12.1,2.83,0,0,0.0,42.9,3,2,0.0,8,72.7,0,2,0,0,8,50.0,58.0,12.5,1,0,0,0,0,0,0.0,34,4.9,100.0,3,3,6.3,2.67,0,0,0.0,100.0,3,0,0.0,3,27.3,0,2,0,0,4,,112.5,0.0,0,0,0,0,0,0,0.0,33,11.0,0,100.0,2,2,-2.5,0.95,0,0,0.0,100.0,2,0,0.0,2,18.2,0,1,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,14,7.0,6.14
Landyn Locke,199937,QB,SM HOUSTON,1,-60.0,0,11,281,50.0,6,7,11.2,3.0,0,0,0.0,42.9,3,5,0.0,8,72.7,0,1,0,0,9,0.0,54.5,0.0,0,1,0,1,0,1,11.1,28,4.0,66.7,9,10,6.4,2.82,0,0,0.0,60.0,6,5,0.0,11,100.0,0,3,0,0,12,0.0,113.8,0.0,0,1,0,1,1,1,8.3,68,6.8,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,100.0,3,3,-3.0,2.33,0,0,0.0,100.0,3,0,0.0,3,27.3,0,2,0,0,3,,158.3,0.0,0,0,0,0,1,0,0.0,40,13.3,-6.8
Byrd Ficklin,199457,QB,UTAH,2,0.0,0,10,328,100.0,7,7,8.7,2.92,0,1,14.3,100.0,7,6,0.0,9,90.0,0,6,0,0,9,0.0,158.3,0.0,0,2,0,0,1,0,0.0,102,14.6,100.0,3,3,1.7,2.6,0,0,0.0,100.0,3,2,0.0,4,40.0,0,2,0,0,4,0.0,86.1,0.0,0,1,0,0,0,0,0.0,14,4.7,100.0,5,5,11.0,2.87,0,1,20.0,100.0,5,4,0.0,6,60.0,0,4,0,0,6,0.0,158.3,0.0,0,1,0,0,1,0,0.0,92,18.4,0,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,0,0.0,1,10.0,0,0,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,13.73
Miles O'Neill,191260,QB,TEXAS A&M,2,75.0,0,10,312,50.0,4,4,21.3,4.31,0,1,25.0,25.0,1,4,50.0,7,70.0,1,1,0,1,7,25.0,79.2,14.3,1,2,0,0,1,0,0.0,72,18.0,50.0,4,4,7.8,3.85,0,0,0.0,25.0,1,4,50.0,6,60.0,1,0,0,1,6,25.0,0.0,16.7,1,1,0,0,0,0,0.0,2,0.5,100.0,3,3,24.0,3.08,0,2,66.7,100.0,3,0,0.0,4,40.0,0,2,0,0,4,,158.3,0.0,0,1,0,0,1,0,0.0,99,33.0,0,100.0,3,3,6.0,1.73,0,1,33.3,100.0,3,0,0.0,3,30.0,0,1,0,0,3,,106.9,0.0,0,0,0,0,0,0,0.0,29,9.7,32.5
KJ Jackson,184386,QB,ARKANSAS,2,33.33,0,10,111,85.7,7,7,7.9,3.25,0,0,0.0,71.4,5,2,16.7,10,100.0,1,5,0,0,11,0.0,153.3,0.0,0,3,0,0,1,0,0.0,106,15.1,83.3,6,6,7.2,3.26,0,0,0.0,66.7,4,2,20.0,9,90.0,1,4,0,0,10,0.0,149.3,0.0,0,3,0,0,1,0,0.0,91,15.2,100.0,1,1,12.0,3.2,0,0,0.0,100.0,1,0,0.0,1,10.0,0,1,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,0,0,0,,0.0,,0,0,0,0,0,0,,0,,-0.17
Matthew Caldwell,150302,QB,TEXAS,3,20.0,0,10,311,62.5,8,8,16.0,2.46,0,0,0.0,62.5,5,1,0.0,8,80.0,0,5,0,0,8,0.0,95.8,0.0,0,0,0,0,0,0,0.0,80,10.0,60.0,5,5,20.0,2.38,0,0,0.0,60.0,3,0,0.0,5,50.0,0,3,0,0,5,,92.9,0.0,0,0,0,0,0,0,0.0,49,9.8,80.0,5,5,4.0,2.08,0,0,0.0,80.0,4,1,0.0,5,50.0,0,2,0,0,5,0.0,88.3,0.0,0,0,0,0,0,0,0.0,26,5.2,0,100.0,2,2,-4.0,1.3,0,0,0.0,100.0,2,0,0.0,2,20.0,0,0,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,-5,-2.5,-4.6
Zach Marker,173615,QB,DELAWARE,1,-50.0,0,9,151,66.7,6,6,8.0,2.41,0,0,0.0,50.0,3,0,25.0,7,77.8,1,2,0,0,7,,58.3,0.0,0,1,0,0,0,0,0.0,21,3.5,66.7,6,6,8.0,2.05,0,0,0.0,50.0,3,0,25.0,6,66.7,1,1,0,0,6,,58.3,0.0,0,0,0,0,0,0,0.0,21,3.5,50.0,2,2,-1.5,2.43,0,0,0.0,0.0,0,0,100.0,3,33.3,1,1,0,0,3,,39.6,0.0,0,1,0,0,0,0,0.0,0,0.0,0,50.0,2,2,-1.5,1.35,0,0,0.0,0.0,0,0,100.0,2,22.2,1,0,0,0,2,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,-3.5
Julian Dugger,183269,QB,WASH STATE,3,0.0,0,9,341,0.0,3,3,2.0,3.89,0,0,0.0,0.0,0,5,,8,88.9,0,0,0,0,8,80.0,39.6,50.0,4,1,0,0,0,0,0.0,0,0.0,0.0,3,3,2.0,3.8,0,0,0.0,0.0,0,3,,6,66.7,0,0,0,0,6,66.7,39.6,33.3,2,1,0,0,0,0,0.0,0,0.0,,0,0,,3.73,0,0,,,0,3,,3,33.3,0,0,0,0,3,66.7,0.0,66.7,2,1,0,0,0,0,0.0,0,,0,,0,0,,2.9,0,0,,,0,1,,1,11.1,0,0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,,0.0
Brock Glenn,170335,QB,FLORIDA ST,2,16.67,0,9,167,75.0,4,4,12.5,2.88,0,0,0.0,75.0,3,0,0.0,5,55.6,0,3,0,0,6,,128.1,0.0,0,1,0,0,1,0,0.0,23,5.8,50.0,2,2,1.5,2.67,0,0,0.0,50.0,1,0,0.0,3,33.3,0,1,0,0,4,,56.3,0.0,0,1,0,0,0,0,0.0,6,3.0,80.0,5,6,7.8,2.37,1,0,0.0,66.7,4,2,0.0,6,66.7,0,3,0,0,6,0.0,137.5,0.0,0,0,0,0,2,0,0.0,58,9.7,0,66.7,3,4,-2.7,1.95,1,0,0.0,50.0,2,2,0.0,4,44.4,0,1,0,0,4,0.0,126.0,0.0,0,0,0,0,1,0,0.0,41,10.3,6.67
