player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Scotty Fox Jr.,199546,QB,W VIRGINIA,2,1,0.0,0,343,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Henry Belin IV,162693,QB,DUKE,1,1,0.0,0,154,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
Gevani McCoy,147609,QB,TEMPLE,3,1,0.0,0,306,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0,0.0,100.0
Brendan Sullivan,145034,QB,TULANE,2,1,100.0,0,319,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Dalen Cobb,158341,WR,GA SOUTHRN,1,1,0.0,0,174,0,0,0.0,0.0,0.0,100.0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1,0.0,0.0
Isaiah Marshall,183809,QB,KANSAS,1,1,0.0,0,198,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Hauss Hejny,183824,QB,OKLA STATE,1,1,0.0,0,262,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,100.0,0.0,0,0.0,0.0
Keelon Russell,198077,QB,ALABAMA,1,1,0.0,0,103,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
Cole Ballard,173062,QB,KANSAS,1,1,0.0,0,198,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Sam Jackson V,144682,WR,OKLA STATE,1,1,0.0,0,262,0,0,0.0,0.0,0.0,100.0,0,1,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1,0.0,0.0
Kalieb Osborne,184132,QB,TOLEDO,1,1,0.0,0,316,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,100.0,0,0.0,0.0
Lunch Winfield,176367,QB,LA LAFAYET,1,1,0.0,0,207,0,0,0.0,100.0,100.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Rickie Collins,172474,QB,SYRACUSE,1,1,0.0,0,304,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
Turner Helton,163044,QB,GA SOUTHRN,1,1,100.0,0,174,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Anthony Garcia,174863,QB,UTAH ST,1,1,0.0,0,329,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0,0.0,100.0
Michael Grant,170336,QB,FLORIDA ST,1,1,0.0,0,167,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,100.0,0.0
Matthew Sluka,143059,QB,JAMES MAD,2,1,0.0,0,197,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,100.0,0.0
George MacIntyre,199971,QB,TENNESSEE,1,1,0.0,0,307,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Jackson Proctor,148851,QB,N ILLINOIS,1,1,0.0,0,254,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,100.0,0.0,0,0.0,0.0
Kevin Sperry,198436,QB,FLORIDA ST,1,1,0.0,0,167,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
