player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Grant Jordan,151147,QB,UMASS,3,18,5.6,0,216,0,1,5.6,38.9,83.3,5.6,0,4,1,1,7,18,15,1,5,4,4,0,27.8,22.2,3,22.2,0.0
Evan Simon,129906,QB,TEMPLE,3,17,11.8,0,306,0,2,5.9,29.4,76.5,0.0,0,3,2,1,5,17,13,0,1,6,3,1,5.9,35.3,1,17.6,5.9
CJ Carr,184093,QB,NOTRE DAME,2,17,23.5,0,258,0,2,5.9,29.4,88.2,0.0,0,2,4,1,5,17,15,0,3,5,2,0,17.6,29.4,0,11.8,0.0
Micah Alejado,184162,QB,HAWAII,2,17,17.6,0,180,0,1,0.0,23.5,76.5,11.8,0,3,3,0,4,17,13,2,6,2,3,0,35.3,11.8,2,17.6,0.0
Kaiden Bennett,147778,QB,DELWARE ST,2,17,5.9,0,152,0,1,0.0,47.1,94.1,0.0,0,2,1,0,8,17,16,0,2,10,2,1,11.8,58.8,1,11.8,5.9
DJ Lagway,184426,QB,FLORIDA,3,17,5.9,0,163,0,0,11.8,17.6,70.6,5.9,0,5,1,2,3,17,12,1,0,5,5,1,0.0,29.4,5,29.4,5.9
Kaidon Salter,132046,QB,COLORADO,2,17,11.8,0,143,2,3,11.8,5.9,64.7,0.0,0,6,2,2,1,17,11,0,3,4,6,1,17.6,23.5,1,35.3,5.9
Robby Ashford,131702,QB,WAKE,3,17,11.8,0,339,0,2,17.6,23.5,82.4,5.9,0,4,2,3,4,17,14,1,3,6,4,0,17.6,35.3,2,23.5,0.0
Kaden Anderson,127312,QB,WYOMING,3,17,11.8,0,351,1,1,5.9,17.6,70.6,17.6,0,3,2,1,3,17,12,3,1,4,3,1,5.9,23.5,1,17.6,5.9
Jackson Arnold,173684,QB,AUBURN,3,17,5.9,0,115,1,3,11.8,11.8,52.9,17.6,0,6,1,2,2,17,9,3,2,2,6,0,11.8,11.8,2,35.3,0.0
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,2,17,11.8,0,144,0,4,11.8,23.5,64.7,0.0,0,6,2,2,4,17,11,0,1,2,6,0,5.9,11.8,2,35.3,0.0
Tucker Gleason,122475,QB,TOLEDO,3,17,5.9,0,316,0,0,11.8,17.6,94.1,5.9,0,0,1,2,3,17,16,1,6,9,0,0,35.3,52.9,0,0.0,0.0
Chandler Morris,122938,QB,VIRGINIA,3,16,12.5,0,335,1,0,0.0,6.3,81.3,12.5,0,1,2,0,1,16,13,2,1,9,1,0,6.3,56.3,0,6.3,0.0
Chase Jenkins,173242,QB,RICE,3,16,6.3,0,275,0,2,6.3,25.0,81.3,0.0,0,4,1,1,4,16,13,0,2,4,4,1,12.5,25.0,2,25.0,6.3
AJ Swann,157186,QB,APP STATE,3,16,6.3,0,108,0,1,18.8,12.5,81.3,12.5,0,1,1,3,2,16,13,2,5,3,1,1,31.3,18.8,0,6.3,6.3
Ta'Quan Roberson,101625,QB,BUFFALO,3,16,18.8,0,126,0,2,6.3,18.8,62.5,25.0,0,2,3,1,3,16,10,4,3,2,2,0,18.8,12.5,0,12.5,0.0
Jayden Denegal,158533,QB,S DIEGO ST,2,16,6.3,0,284,0,2,25.0,43.8,87.5,0.0,0,2,1,4,7,16,14,0,1,6,2,0,6.3,37.5,0,12.5,0.0
Zach Calzada,98006,QB,KENTUCKY,2,16,6.3,0,202,0,3,12.5,31.3,81.3,0.0,0,3,1,2,5,16,13,0,0,6,3,0,0.0,37.5,0,18.8,0.0
Alonza Barnett III,156710,QB,JAMES MAD,2,16,31.3,0,197,0,0,6.3,25.0,87.5,6.3,0,0,5,1,4,16,14,1,3,7,0,1,18.8,43.8,0,0.0,6.3
Brandon Rose,158503,QB,UMASS,2,15,20.0,0,216,0,3,6.7,26.7,66.7,13.3,0,3,3,1,4,15,10,2,2,4,3,0,13.3,26.7,0,20.0,0.0
T.J. Finley,124093,QB,GA STATE,2,15,6.7,0,175,0,1,20.0,13.3,66.7,26.7,0,1,1,3,2,15,10,4,2,2,1,1,13.3,13.3,0,6.7,6.7
Athan Kaliakmanis,144971,QB,RUTGERS,3,15,6.7,0,278,1,2,13.3,13.3,66.7,0.0,0,5,1,2,2,15,10,0,1,5,5,0,6.7,33.3,2,33.3,0.0
Bishop Davenport,163426,QB,S ALABAMA,3,15,13.3,0,288,0,1,6.7,13.3,80.0,6.7,0,1,2,1,2,15,12,1,1,6,1,2,6.7,40.0,0,6.7,13.3
Jayden Maiava,158135,QB,USC,3,14,0.0,0,326,0,3,14.3,21.4,71.4,0.0,0,4,0,2,3,14,10,0,1,4,4,1,7.1,28.6,1,28.6,7.1
Broc Lowry,173383,QB,W MICHIGAN,3,14,7.1,0,347,1,1,7.1,14.3,78.6,7.1,0,2,1,1,2,14,11,1,4,2,2,1,28.6,14.3,0,14.3,7.1
Chubba Purdy,122412,QB,NEVADA,3,14,7.1,0,239,0,1,28.6,35.7,92.9,0.0,0,1,1,4,5,14,13,0,3,3,1,0,21.4,21.4,0,7.1,0.0
Jaxon Potter,176687,QB,WASH STATE,3,14,0.0,0,341,1,1,14.3,35.7,71.4,14.3,0,2,0,2,5,14,10,2,0,6,2,0,0.0,42.9,0,14.3,0.0
Noah Gillon,198101,QB,APP STATE,1,14,7.1,0,108,0,0,7.1,21.4,100.0,0.0,0,0,1,1,3,14,14,0,4,7,0,1,28.6,50.0,0,0.0,7.1
Colton Joseph,172283,QB,DOMINION,3,14,0.0,0,263,0,0,21.4,28.6,78.6,14.3,0,1,0,3,4,14,11,2,4,2,1,0,28.6,14.3,1,7.1,0.0
Haynes King,124329,QB,GA TECH,2,14,21.4,0,176,0,0,28.6,0.0,92.9,7.1,0,0,3,4,0,14,13,1,1,6,0,1,7.1,42.9,0,0.0,7.1
Dylan Raiola,183581,QB,NEBRASKA,3,14,28.6,0,238,0,1,21.4,21.4,85.7,0.0,0,3,4,3,3,14,12,0,1,3,3,0,7.1,21.4,2,21.4,0.0
Tucker Kilcrease,156863,QB,TROY,1,14,14.3,0,318,0,0,21.4,7.1,92.9,7.1,0,0,2,3,1,14,13,1,3,4,0,0,21.4,28.6,0,0.0,0.0
Fernando Mendoza,158323,QB,INDIANA,3,13,7.7,0,190,2,1,0.0,15.4,53.8,15.4,0,4,1,0,2,13,7,2,3,2,4,0,23.1,15.4,1,30.8,0.0
Joey Aguilar,174978,QB,TENNESSEE,3,13,23.1,0,307,0,2,23.1,23.1,76.9,7.7,0,2,3,3,3,13,10,1,1,1,2,0,7.7,7.7,0,15.4,0.0
Brady Jones,200039,QB,W MICHIGAN,3,13,7.7,0,347,0,0,15.4,23.1,92.3,0.0,0,1,1,2,3,13,12,0,4,3,1,0,30.8,23.1,1,7.7,0.0
Mabrey Mettauer,183668,QB,SM HOUSTON,2,13,15.4,0,281,0,2,15.4,30.8,76.9,0.0,0,4,2,2,4,13,10,0,1,2,4,0,7.7,15.4,2,30.8,0.0
Behren Morton,144747,QB,TEXAS TECH,3,13,7.7,0,315,0,2,23.1,23.1,76.9,7.7,0,2,1,3,3,13,10,1,4,1,2,0,30.8,7.7,0,15.4,0.0
Cameran Brown,184894,QB,GA STATE,3,13,15.4,0,175,0,1,23.1,23.1,92.3,0.0,0,1,2,3,3,13,12,0,2,3,1,1,15.4,23.1,0,7.7,7.7
Gio Lopez,172309,QB,N CAROLINA,3,13,0.0,0,245,0,3,15.4,15.4,53.8,15.4,0,4,0,2,2,13,7,2,2,2,4,0,15.4,15.4,1,30.8,0.0
Malik Washington,198729,QB,MARYLAND,3,12,0.0,0,215,0,0,25.0,0.0,75.0,16.7,0,1,0,3,0,12,9,2,1,4,1,1,8.3,33.3,1,8.3,8.3
Gavin Wimsatt,155757,QB,JVILLE ST,3,12,16.7,0,196,0,0,16.7,8.3,100.0,0.0,0,0,2,2,1,12,12,0,1,8,0,0,8.3,66.7,0,0.0,0.0
Miller Moss,70727,QB,LOUISVILLE,2,11,9.1,0,210,0,2,18.2,18.2,72.7,0.0,0,3,1,2,2,11,8,0,1,2,3,0,9.1,18.2,1,27.3,0.0
Carson Beck,124010,QB,MIAMI FL,3,11,18.2,0,220,0,0,36.4,27.3,90.9,0.0,0,1,2,4,3,11,10,0,4,3,1,0,36.4,27.3,1,9.1,0.0
Joe Labas,144847,QB,C MICHIGAN,3,11,18.2,0,134,0,0,18.2,54.5,90.9,9.1,0,0,2,2,6,11,10,1,2,1,0,0,18.2,9.1,0,0.0,0.0
MJ Morris,157404,QB,COAST CAR,2,11,18.2,0,141,1,0,9.1,9.1,90.9,0.0,0,1,2,1,1,11,10,0,5,3,1,0,45.5,27.3,0,9.1,0.0
Tayven Jackson,157615,QB,UCF,2,11,9.1,0,323,0,1,0.0,18.2,63.6,18.2,0,2,1,0,2,11,7,2,1,1,2,2,9.1,9.1,1,18.2,18.2
Drew Allar,164157,QB,PENN STATE,3,11,0.0,0,266,0,1,0.0,36.4,90.9,0.0,0,1,0,0,4,11,10,0,2,5,1,0,18.2,45.5,0,9.1,0.0
Devon Dampier,171556,QB,UTAH,3,11,36.4,0,328,0,2,9.1,9.1,54.5,9.1,0,4,4,1,1,11,6,1,1,0,4,0,9.1,0.0,2,36.4,0.0
Dante Moore,173983,QB,OREGON,3,11,0.0,0,264,1,2,18.2,9.1,63.6,9.1,0,3,0,2,1,11,7,1,1,3,3,0,9.1,27.3,0,27.3,0.0
Julian Sayin,183708,QB,OHIO STATE,3,11,27.3,0,260,0,0,9.1,0.0,90.9,9.1,0,1,3,1,0,11,10,1,4,2,1,1,36.4,18.2,1,9.1,9.1
Trinidad Chambliss,178723,QB,OLE MISS,2,10,20.0,0,226,1,0,30.0,30.0,90.0,0.0,0,1,2,3,3,10,9,0,2,1,1,0,20.0,10.0,0,10.0,0.0
Trey Kukuk,198675,QB,LA TECH,3,10,20.0,0,208,0,0,10.0,20.0,80.0,20.0,0,0,2,1,2,10,8,2,1,3,0,0,10.0,30.0,0,0.0,0.0
Goose Crowder,144781,QB,TROY,3,10,0.0,0,318,0,0,30.0,20.0,90.0,0.0,0,1,0,3,2,10,9,0,1,1,1,2,10.0,10.0,1,10.0,20.0
LaNorris Sellers,174326,QB,S CAROLINA,3,10,20.0,0,289,0,0,50.0,30.0,90.0,0.0,0,3,2,5,3,10,9,0,0,1,3,0,0.0,10.0,3,30.0,0.0
Zion Turner,158636,QB,MARSHALL,2,10,0.0,0,214,0,0,0.0,60.0,100.0,0.0,0,0,0,0,6,10,10,0,1,4,0,0,10.0,40.0,0,0.0,0.0
JC French IV,162521,QB,GA SOUTHRN,3,10,30.0,0,174,0,1,10.0,40.0,80.0,10.0,0,1,3,1,4,10,8,1,2,1,1,0,20.0,10.0,0,10.0,0.0
Zane Flores,174288,QB,OKLA STATE,2,9,0.0,0,262,1,0,44.4,11.1,77.8,0.0,0,2,0,4,1,9,7,0,1,2,2,0,11.1,22.2,1,22.2,0.0
Austin Simmons,175891,QB,OLE MISS,3,9,22.2,0,226,0,0,22.2,0.0,88.9,11.1,0,0,2,2,0,9,8,1,2,2,0,0,22.2,22.2,0,0.0,0.0
Bear Bachmeier,203434,QB,BYU,2,9,11.1,0,128,0,0,11.1,11.1,66.7,11.1,0,2,1,1,1,9,6,1,1,1,2,1,11.1,11.1,2,22.2,11.1
Jadyn Glasser,184670,QB,C MICHIGAN,1,9,11.1,0,134,0,0,11.1,33.3,88.9,11.1,0,0,1,1,3,9,8,1,1,4,0,1,11.1,44.4,0,0.0,11.1
Ryan Staub,171906,QB,COLORADO,2,9,0.0,0,143,0,1,0.0,0.0,44.4,33.3,0,2,0,0,0,9,4,3,2,1,2,1,22.2,11.1,1,22.2,11.1
Aidan Armenta,175731,QB,LA MONROE,2,8,25.0,0,209,1,0,0.0,12.5,62.5,12.5,0,2,2,0,1,8,5,1,2,0,2,0,25.0,0.0,1,25.0,0.0
Tommy Castellanos,158433,QB,FLORIDA ST,2,8,0.0,0,167,0,3,12.5,37.5,62.5,0.0,0,3,0,1,3,8,5,0,2,0,3,0,25.0,0.0,0,37.5,0.0
Angel Flores,164493,QB,C MICHIGAN,3,7,28.6,0,134,0,0,0.0,28.6,100.0,-14.3,0,0,2,0,2,7,7,-1,1,2,0,1,14.3,28.6,0,0.0,14.3
Daniel Beale,197861,QB,LA LAFAYET,3,7,28.6,0,207,0,0,28.6,14.3,71.4,28.6,0,0,2,2,1,7,5,2,1,1,0,0,14.3,14.3,0,0.0,0.0
Cale Hellums,170981,QB,ARMY,2,7,14.3,0,114,0,1,0.0,14.3,57.1,28.6,0,1,1,0,1,7,4,2,1,1,1,0,14.3,14.3,0,14.3,0.0
JacQai Long,184703,QB,MARSHALL,2,7,0.0,0,214,0,1,0.0,42.9,85.7,0.0,0,1,0,0,3,7,6,0,3,0,1,0,42.9,0.0,0,14.3,0.0
Blake Baker,170448,QB,LA TECH,2,7,14.3,0,208,0,0,14.3,0.0,71.4,28.6,0,0,1,1,0,7,5,2,0,3,0,0,0.0,42.9,0,0.0,0.0
CJ Montes,146114,QB,KENT STATE,2,7,28.6,0,201,0,0,0.0,57.1,85.7,-14.3,0,1,2,0,4,7,6,-1,1,1,1,1,14.3,14.3,1,14.3,14.3
Brendan Sorsby,156398,QB,CINCINNATI,3,7,14.3,0,138,0,1,42.9,0.0,85.7,0.0,0,1,1,3,0,7,6,0,1,1,1,0,14.3,14.3,0,14.3,0.0
Carlos Del Rio-Wilson,146687,QB,MARSHALL,2,6,16.7,0,214,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,6,6,0,1,4,0,0,16.7,66.7,0,0.0,0.0
Amari Odom,178686,QB,KENNESAW,2,6,16.7,0,200,0,3,0.0,33.3,50.0,0.0,0,3,1,0,2,6,3,0,0,1,3,0,0.0,16.7,0,50.0,0.0
Josh Hoover,127148,QB,TCU,2,6,16.7,0,305,0,0,33.3,16.7,100.0,0.0,0,0,1,2,1,6,6,0,0,3,0,0,0.0,50.0,0,0.0,0.0
Tramell Jones Jr.,200122,QB,FLORIDA,1,6,16.7,0,163,1,0,33.3,0.0,83.3,0.0,0,1,1,2,0,6,5,0,0,2,1,0,0.0,33.3,0,16.7,0.0
Will Hammond,184898,QB,TEXAS TECH,3,6,16.7,0,315,0,1,33.3,0.0,83.3,0.0,0,1,1,2,0,6,5,0,2,0,1,0,33.3,0.0,0,16.7,0.0
Joe Pesansky,149434,QB,FIU,2,6,0.0,0,166,0,0,33.3,66.7,100.0,0.0,0,0,0,2,4,6,6,0,0,1,0,0,0.0,16.7,0,0.0,0.0
Landyn Locke,199937,QB,SM HOUSTON,1,5,0.0,0,281,0,1,20.0,20.0,80.0,0.0,0,1,0,1,1,5,4,0,0,2,1,0,0.0,40.0,0,20.0,0.0
Liam Szarka,197814,QB,AIR FORCE,2,5,0.0,0,101,0,2,20.0,20.0,60.0,0.0,0,2,0,1,1,5,3,0,0,1,2,0,0.0,20.0,0,40.0,0.0
Cutter Boley,184630,QB,KENTUCKY,2,5,0.0,0,202,0,0,20.0,20.0,100.0,0.0,0,0,0,1,1,5,5,0,0,3,0,0,0.0,60.0,0,0.0,0.0
AJ Bianco,158232,QB,NEVADA,2,5,20.0,0,239,0,0,20.0,0.0,80.0,0.0,0,1,1,1,0,5,4,0,1,1,1,1,20.0,20.0,1,20.0,20.0
Julian Dugger,183269,QB,WASH STATE,2,5,0.0,0,341,0,2,20.0,0.0,60.0,-20.0,0,2,0,1,0,5,3,-1,1,1,2,1,20.0,20.0,0,40.0,20.0
Aaron Philo,183222,QB,GA TECH,1,4,0.0,0,176,0,0,25.0,0.0,75.0,25.0,0,0,0,1,0,4,3,1,0,2,0,1,0.0,50.0,0,0.0,25.0
Walker Howard,157112,QB,LA LAFAYET,1,4,0.0,0,207,0,1,0.0,50.0,75.0,0.0,0,1,0,0,2,4,3,0,0,1,1,0,0.0,25.0,0,25.0,0.0
Daniel Kaelin,183565,QB,VIRGINIA,2,4,0.0,0,335,0,0,25.0,0.0,75.0,25.0,0,0,0,1,0,4,3,1,0,2,0,0,0.0,50.0,0,0.0,0.0
Kirk Francis,173296,QB,TULSA,2,4,0.0,0,320,0,1,25.0,0.0,75.0,0.0,0,1,0,1,0,4,3,0,0,2,1,0,0.0,50.0,0,25.0,0.0
Billy Edwards Jr.,144185,QB,WISCONSIN,1,4,0.0,0,349,0,1,25.0,75.0,75.0,0.0,0,1,0,1,3,4,3,0,0,0,1,0,0.0,0.0,0,25.0,0.0
Blake Horvath,162555,QB,NAVY,3,4,50.0,0,237,0,1,25.0,0.0,75.0,0.0,0,1,2,1,0,4,3,0,1,0,1,0,25.0,0.0,0,25.0,0.0
Grayson Loftis,170054,QB,CHARLOTTE,2,4,0.0,0,136,0,0,0.0,50.0,100.0,0.0,0,0,0,0,2,4,4,0,2,0,0,0,50.0,0.0,0,0.0,0.0
Jaylen Henderson,146054,QB,W VIRGINIA,3,4,0.0,0,343,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,4,4,0,2,1,0,1,50.0,25.0,0,0.0,25.0
Max Johnson,124099,QB,N CAROLINA,1,4,0.0,0,245,0,0,25.0,25.0,100.0,0.0,0,0,0,1,1,4,4,0,0,2,0,0,0.0,50.0,0,0.0,0.0
John Alan Richter,156999,QB,TOLEDO,2,3,0.0,0,316,0,0,0.0,0.0,66.7,0.0,0,1,0,0,0,3,2,0,2,0,1,0,66.7,0.0,1,33.3,0.0
Jayden Sauray,162802,QB,DELWARE ST,2,3,0.0,0,152,0,0,0.0,66.7,100.0,0.0,0,0,0,0,2,3,3,0,1,0,0,0,33.3,0.0,0,0.0,0.0
Austin Mack,171934,QB,ALABAMA,2,3,0.0,0,103,0,0,0.0,33.3,100.0,0.0,0,0,0,0,1,3,3,0,1,1,0,0,33.3,33.3,0,0.0,0.0
Zevi Eckhaus,148535,QB,WASH STATE,1,3,0.0,0,341,0,0,33.3,33.3,100.0,0.0,0,0,0,1,1,3,3,0,1,0,0,0,33.3,0.0,0,0.0,0.0
Cam Fancher,145266,QB,UCF,1,3,33.3,0,323,0,0,0.0,33.3,100.0,0.0,0,0,1,0,1,3,3,0,0,1,0,0,0.0,33.3,0,0.0,0.0
AJ Hairston,184157,QB,UMASS,2,3,0.0,0,216,0,0,0.0,33.3,100.0,0.0,0,0,0,0,1,3,3,0,1,1,0,0,33.3,33.3,0,0.0,0.0
Billy Wiles,144144,QB,APP STATE,1,3,0.0,0,108,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,3,3,0,2,2,0,0,66.7,66.7,0,0.0,0.0
Michael Hawkins Jr.,184595,QB,OKLAHOMA,1,3,0.0,0,261,0,1,0.0,33.3,66.7,0.0,0,1,0,0,1,3,2,0,0,1,1,0,0.0,33.3,0,33.3,0.0
Josh Johnson,186429,QB,AIR FORCE,2,3,0.0,0,101,0,0,33.3,0.0,66.7,33.3,0,0,0,1,0,3,2,1,1,0,0,0,33.3,0.0,0,0.0,0.0
Nick Poulos,188474,QB,OHIO,1,3,33.3,0,259,0,0,33.3,0.0,100.0,0.0,0,0,1,1,0,3,3,0,1,1,0,0,33.3,33.3,0,0.0,0.0
Husan Longstreet,199411,QB,USC,2,3,0.0,0,326,0,0,33.3,0.0,66.7,0.0,0,1,0,1,0,3,2,0,2,0,1,0,66.7,0.0,1,33.3,0.0
TJ Lateef,199810,QB,NEBRASKA,2,3,0.0,0,238,0,1,0.0,33.3,66.7,0.0,0,1,0,0,1,3,2,0,0,0,1,1,0.0,0.0,0,33.3,33.3
Landon Graves,181155,QB,LA MONROE,2,2,0.0,0,209,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,2,2,0,0,1,0,1,0.0,50.0,0,0.0,50.0
Max Shikenjanski,173421,QB,MINNESOTA,1,2,0.0,0,225,0,0,0.0,50.0,100.0,0.0,0,0,0,0,1,2,2,0,1,0,0,0,50.0,0.0,0,0.0,0.0
Braedyn Locke,157141,QB,ARIZONA,1,2,0.0,0,109,0,0,50.0,50.0,100.0,0.0,0,0,0,1,1,2,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Ethan Grunkemeyer,183606,QB,PENN STATE,2,2,0.0,0,266,0,0,50.0,0.0,100.0,0.0,0,0,0,1,0,2,2,0,2,0,0,0,100.0,0.0,0,0.0,0.0
Christian Veilleux,145086,QB,GA STATE,1,2,0.0,0,175,0,1,50.0,0.0,50.0,0.0,0,1,0,1,0,2,1,0,0,0,1,0,0.0,0.0,0,50.0,0.0
Roman Gagliano,183961,QB,MIDDLE TN,1,2,50.0,0,224,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,2,2,0,2,0,0,0,100.0,0.0,0,0.0,0.0
Emory Williams,170099,QB,MIAMI FL,2,2,0.0,0,220,0,0,50.0,0.0,100.0,0.0,0,1,0,1,0,2,2,0,0,1,1,0,0.0,50.0,1,50.0,0.0
Tahj Bullock,144070,QB,COLO STATE,2,2,0.0,0,144,0,0,0.0,0.0,0.0,100.0,0,1,0,0,0,2,0,2,0,0,0,0,0.0,0.0,1,0.0,0.0
KJ Jackson,184386,QB,ARKANSAS,2,2,50.0,0,111,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,2,2,0,0,1,0,0,0.0,50.0,0,0.0,0.0
Hank Brown,172439,QB,IOWA,2,2,0.0,0,192,0,0,50.0,0.0,100.0,0.0,0,0,0,1,0,2,2,0,0,1,0,0,0.0,50.0,0,0.0,0.0
AJ Surace,184666,QB,RUTGERS,1,2,0.0,0,278,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,2,0,0,0,0,2,0,0.0,0.0,2,100.0,0.0
Malachi Singleton,172426,QB,PURDUE,1,2,0.0,0,273,0,1,0.0,0.0,50.0,0.0,0,1,0,0,0,2,1,0,0,0,1,1,0.0,0.0,0,50.0,50.0
Nate Bennett,184815,QB,BAYLOR,1,2,0.0,0,118,0,1,0.0,0.0,0.0,50.0,0,1,0,0,0,2,0,1,0,0,1,0,0.0,0.0,0,50.0,0.0
Jake Merklinger,184888,QB,TENNESSEE,1,2,0.0,0,307,0,0,0.0,50.0,100.0,0.0,0,0,0,0,1,2,2,0,1,0,0,0,50.0,0.0,0,0.0,0.0
Cole Gonzales,159939,QB,PITTSBURGH,2,2,0.0,0,268,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,2,2,0,0,1,0,1,0.0,50.0,0,0.0,50.0
Skyler Locklear,164027,QB,UTEP,1,2,0.0,0,330,0,0,50.0,50.0,100.0,-50.0,0,2,0,1,1,2,2,-1,0,0,2,1,0.0,0.0,2,100.0,50.0
Khristian Martin,188254,QB,MARYLAND,3,2,50.0,0,215,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,2,2,0,0,1,0,0,0.0,50.0,0,0.0,0.0
Michael Johnson Jr.,97796,QB,AKRON,2,2,50.0,0,102,0,0,0.0,0.0,50.0,0.0,0,1,1,0,0,2,1,0,0,0,1,0,0.0,0.0,1,50.0,0.0
Rodney Tisdale Jr.,188754,QB,W KENTUCKY,1,2,0.0,0,346,0,0,0.0,100.0,100.0,0.0,0,0,0,0,2,2,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0
