player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
D.J. McKinney,175620,HB,NEW MEXICO,2,50.0,2,3,4.5,3.23,0,0,0.0,33.3,1,1,2,0.0,3,0,1,241,87.0,68.2,65.8,70.3,1,0,3,1,0.0,81.9,0.0,0,0,0,0,1,0,0.0,9,3.0
Cade Cunningham,145264,QB,JVILLE ST,1,66.7,3,3,6.3,2.5,0,0,0.0,33.3,1,0,1,50.0,3,1,0,196,62.7,68.6,68.1,,0,0,3,0,0.0,42.4,0.0,0,0,0,0,0,0,0.0,-1,-0.3
Oscar Doyle,192649,P,BOISE ST,2,100.0,2,2,4.5,3.1,0,0,0.0,100.0,2,0,1,0.0,2,0,2,120,61.8,85.9,92.1,,0,0,2,0,0.0,150.0,0.0,0,0,0,0,1,0,0.0,21,10.5
OJ Arnold,158336,HB,GA SOUTHRN,2,100.0,2,2,23.0,2.9,0,1,50.0,100.0,2,0,0,0.0,2,0,2,174,66.6,86.1,91.9,87.3,0,0,2,0,,158.3,0.0,0,0,0,0,2,0,0.0,85,42.5
Easton Messer,163051,WR,FAU,2,100.0,2,2,20.0,3.15,0,1,50.0,100.0,2,0,1,0.0,2,0,1,165,67.6,72.3,86.6,63.4,0,0,2,0,0.0,158.3,0.0,0,0,0,0,1,0,0.0,55,27.5
Tucker Parks,184002,QB,W KENTUCKY,1,,0,2,,5.8,0,0,0.0,0.0,0,0,1,,2,0,0,346,69.6,64.0,55.4,64.8,0,0,2,0,0.0,39.6,0.0,0,0,0,2,0,0,0.0,0,0.0
Michael Buckley,156001,WR,NEW MEXICO,2,50.0,2,2,35.0,3.35,0,2,100.0,50.0,1,0,1,0.0,2,0,1,241,74.4,58.9,94.7,,0,0,2,0,0.0,135.4,0.0,0,0,0,0,1,0,0.0,41,20.5
Cole Geer,200287,QB,VIRGINIA,1,100.0,2,2,2.0,1.55,0,0,0.0,100.0,2,0,0,0.0,2,0,1,335,68.7,76.3,73.0,63.9,0,0,2,0,,83.3,0.0,0,0,0,0,0,0,0.0,8,4.0
Mason Bray,189620,QB,ARIZONA,1,100.0,2,2,4.0,1.75,0,0,0.0,50.0,1,0,0,50.0,2,1,1,109,66.2,78.1,54.3,75.7,0,0,2,0,,89.6,0.0,0,0,0,0,0,0,0.0,22,11.0
Germie Bernard,158374,WR,ALABAMA,3,100.0,2,2,-2.5,4.6,0,0,0.0,100.0,2,0,1,0.0,4,0,2,103,76.9,72.0,52.5,75.2,0,0,4,2,100.0,97.9,25.0,1,1,0,0,0,0,0.0,15,7.5
