player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jacob Huesman,41939,QB,APP STATE,4,16.67,0,22,108,68.4,19,19,9.9,1.94,0,1,5.3,52.6,10,2,23.1,20,90.9,3,6,,,,,69.2,42.1,26.0,,39.9,,,59.4,,,0,1,21,50.0,64.4,5.0,1,0,0,0,1,2,9.5,104,5.5,58.3,12,12,8.8,1.99,0,0,0.0,50.0,6,2,14.3,12,54.5,1,2,,,,,68.6,34.7,22.8,,29.7,,,59.4,,,0,1,13,0.0,24.3,0.0,0,0,0,0,0,2,15.4,44,3.7,88.9,9,9,8.6,1.75,0,1,11.1,66.7,6,0,25.0,10,45.5,2,5,,,,,65.4,64.5,70.1,,64.2,,,,,,0,0,10,,128.0,10.0,1,0,0,0,1,0,0.0,72,8.0,0,100.0,2,2,-2.5,1.35,0,0,0.0,100.0,2,0,0.0,2,9.1,0,1,,,,,61.8,62.8,65.5,,62.6,,,,,,0,0,2,,91.7,0.0,0,0,0,0,0,0,0.0,12,6.0,4.33
Chance Lovertich,121427,QB,MISS STATE,2,33.33,0,21,227,66.7,12,13,8.2,3.24,1,0,0.0,61.5,8,4,0.0,16,76.2,0,6,,,,,67.4,56.1,73.0,,58.9,,,55.2,,,0,0,16,0.0,125.5,0.0,0,3,0,0,1,0,0.0,145,11.2,71.4,14,15,7.1,2.97,1,0,0.0,66.7,10,4,0.0,18,85.7,0,6,,,,,67.6,57.2,73.3,,60.0,,,55.2,,,0,0,18,0.0,117.1,0.0,0,3,0,0,1,0,0.0,134,8.9,100.0,3,3,-0.7,2.13,0,0,0.0,100.0,3,0,0.0,3,14.3,0,1,,,,,62.7,55.9,66.6,,55.9,,,,,,0,0,3,,118.8,0.0,0,0,0,0,0,0,0.0,45,15.0,0,100.0,5,5,-0.2,1.58,0,0,0.0,100.0,5,0,0.0,5,23.8,0,1,,,,,63.8,58.9,68.1,,58.7,,,,,,0,0,5,,95.0,0.0,0,0,0,0,0,0,0.0,34,6.8,6.07
Maasai Maynor,101057,QB,NAVY,3,-46.15,0,21,237,66.7,12,12,9.7,2.91,0,0,0.0,50.0,6,12,25.0,20,95.2,2,5,,,,,67.4,54.9,73.7,,55.1,57.2,,58.5,,,0,0,22,41.7,69.4,25.0,5,3,0,0,0,0,0.0,74,6.2,66.7,12,13,9.7,2.93,1,0,0.0,46.2,6,11,25.0,19,90.5,2,5,,,,,67.2,55.5,73.6,,55.8,57.2,,58.5,,,0,0,21,27.3,64.3,15.8,3,3,0,0,0,0,0.0,74,5.7,,0,0,,2.7,0,0,,,0,2,,2,9.5,0,0,,,,,61.8,55.2,65.5,,55.4,,,,,,0,0,2,100.0,0.0,100.0,2,0,0,0,0,0,0.0,0,,0,,0,1,,2.8,1,0,0.0,0.0,0,1,,1,4.8,0,0,,,,,60.3,59.7,63.6,,60.0,,,,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,-5.69
Mariano Valenti,97604,QB,TEMPLE,2,-6.06,0,21,306,55.6,9,9,11.1,3.05,0,1,11.1,55.6,5,8,0.0,16,76.2,0,4,,,,,71.1,67.8,74.4,,63.7,,,65.0,,,0,0,16,37.5,75.2,18.8,3,4,0,0,0,0,0.0,58,6.4,72.7,11,11,5.5,2.66,0,1,9.1,72.7,8,9,0.0,17,81.0,0,3,,,,,71.2,64.5,74.5,,62.5,,,62.2,,,0,0,17,33.3,79.0,17.6,3,3,0,0,0,0,0.0,43,3.9,66.7,3,3,7.7,2.63,0,0,0.0,66.7,2,0,0.0,4,19.0,0,3,,,,,63.8,74.6,68.1,,68.1,,,64.3,,,0,0,5,,99.3,0.0,0,1,0,0,0,0,0.0,30,10.0,0,100.0,5,5,-3.2,1.4,0,0,0.0,100.0,5,1,0.0,5,23.8,0,2,,,,,64.2,66.2,68.6,,65.9,,,,,,0,0,6,0.0,79.2,0.0,0,0,0,0,0,0,0.0,15,3.0,6.09
Chase Wolf,51692,QB,WISCONSIN,4,20.51,0,21,349,63.6,11,15,13.4,3.21,1,2,13.3,46.7,7,10,0.0,20,95.2,0,6,,,,,24.3,50.7,77.0,,50.2,,,54.2,,,1,2,20,40.0,55.6,20.0,4,1,0,2,1,2,10.0,115,7.7,60.0,10,13,11.9,3.12,1,1,7.7,46.2,6,10,0.0,18,85.7,0,5,,,,,23.3,45.7,76.9,,44.1,,,54.2,,,1,2,18,40.0,56.7,22.2,4,1,0,1,1,2,11.1,94,7.2,100.0,2,3,11.0,3.13,0,1,33.3,66.7,2,1,0.0,3,14.3,0,2,,,,,62.7,73.8,66.6,,73.4,,,,,,0,0,3,0.0,99.3,0.0,0,0,0,1,0,0,0.0,30,10.0,0,100.0,1,1,-6.0,1.5,0,0,0.0,100.0,1,1,0.0,1,4.8,0,1,,,,,60.3,61.1,63.6,,61.0,,,,,,0,0,1,0.0,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,2.77
Taisun Phommachanh,99577,QB,CLEMSON,4,-11.54,0,19,140,57.1,14,14,14.2,2.26,0,0,0.0,50.0,7,2,12.5,14,73.7,1,4,,,,,72.9,73.1,74.8,,56.7,,,78.0,,,0,1,16,0.0,42.9,0.0,0,0,0,0,0,1,6.3,97,6.9,69.2,13,13,8.2,2.1,0,0,0.0,61.5,8,1,11.1,13,68.4,1,5,,,,,72.9,68.8,74.6,,47.7,,,78.0,,,0,0,14,0.0,103.7,0.0,0,0,0,0,1,1,7.1,77,5.9,66.7,6,6,13.0,2.07,0,0,0.0,50.0,3,1,25.0,6,31.6,1,2,,,,,64.6,76.6,69.1,,76.1,,,,,,0,1,7,0.0,41.7,0.0,0,0,0,0,0,0,0.0,54,9.0,0,100.0,5,5,-3.0,1.62,0,0,0.0,80.0,4,0,20.0,5,26.3,1,3,,,,,63.8,65.6,68.1,,65.4,,,,,,0,0,5,,134.6,0.0,0,0,0,0,1,0,0.0,34,6.8,3.08
Frank Gore Jr.,121457,HB,SO MISS,3,-62.5,0,19,296,61.5,13,14,17.8,2.96,0,4,28.6,57.1,8,5,0.0,17,89.5,0,6,,,,70.9,90.6,77.7,11.5,,80.9,67.4,,76.6,,,0,1,17,0.0,111.6,0.0,0,3,0,1,4,1,5.9,175,12.5,66.7,15,16,15.1,2.83,0,4,25.0,62.5,10,5,0.0,18,94.7,0,7,,,,71.9,90.6,78.0,9.3,,80.6,63.4,,76.9,,,0,1,18,0.0,116.9,0.0,0,2,0,1,4,1,5.6,189,11.8,,0,0,,3.9,0,0,,,0,1,,1,5.3,0,0,,,,73.1,64.6,61.4,77.1,,,76.7,,57.3,,,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,,0,100.0,2,2,-2.0,2.2,0,0,0.0,100.0,2,1,0.0,2,10.5,0,1,,,,74.9,65.6,62.3,74.8,,62.7,63.6,,,,,0,0,2,0.0,95.8,0.0,0,0,0,0,0,0,0.0,14,7.0,-11.81
TJ McMahon,83521,QB,RICE,1,20.45,0,19,275,72.2,18,19,11.3,2.24,1,2,9.1,63.2,12,7,7.7,19,100.0,1,7,,,,,69.3,71.7,2.5,,75.9,,,56.4,,,0,1,22,0.0,109.8,0.0,0,0,0,0,2,1,4.5,191,10.1,70.0,10,11,8.7,1.95,1,0,0.0,54.5,6,3,14.3,11,57.9,1,2,,,,,68.5,50.6,0.0,,55.6,,,56.4,,,0,1,12,0.0,33.5,0.0,0,0,0,0,0,1,8.3,63,5.7,75.0,8,8,14.6,2.64,0,2,20.0,75.0,6,4,0.0,8,42.1,0,5,,,,,65.4,90.3,70.1,,90.0,,,,,,0,0,10,0.0,156.3,0.0,0,0,0,0,2,0,0.0,128,16.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,10.27
Tyler Macon,146873,QB,MISSOURI,2,-56.06,0,19,229,69.2,13,14,9.1,2.74,1,1,6.7,42.9,6,5,33.3,16,84.2,3,3,,,,,73.7,67.6,75.7,,66.3,,,62.8,,,0,0,17,20.0,102.7,6.3,1,1,0,0,1,0,0.0,138,9.9,80.0,10,11,9.4,2.35,1,1,8.3,72.7,8,4,0.0,13,68.4,0,4,,,,,73.7,71.3,75.5,,72.4,,,62.8,,,0,0,14,25.0,145.1,7.7,1,1,0,0,1,0,0.0,140,12.7,66.7,6,6,2.2,2.72,0,0,0.0,16.7,1,1,75.0,6,31.6,3,0,,,,,64.2,53.0,68.6,,53.0,,,,,,0,0,6,0.0,39.6,0.0,0,0,0,0,0,0,0.0,3,0.5,0,100.0,3,3,-3.7,1.03,0,0,0.0,100.0,3,0,0.0,3,15.8,0,1,,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,5,1.7,-12.23
Micah Leon,60486,QB,UCONN,1,30.0,0,18,146,70.0,10,10,6.4,2.8,0,0,0.0,70.0,7,10,0.0,15,83.3,0,3,,,,,22.8,40.1,73.0,,33.2,60.0,,62.4,,,0,0,16,40.0,86.7,26.7,4,1,0,0,0,1,6.3,63,6.3,70.0,10,10,2.3,2.65,0,0,0.0,70.0,7,8,0.0,13,72.2,0,2,,,,,21.7,37.5,72.5,,29.9,,,62.4,,,0,0,14,25.0,72.9,15.4,2,1,0,0,0,1,7.1,25,2.5,100.0,3,3,10.7,3.16,0,0,0.0,100.0,3,2,0.0,5,27.8,0,1,,,,,63.8,63.6,68.6,,64.1,60.0,,,,,0,0,5,100.0,118.1,40.0,2,0,0,0,0,0,0.0,37,12.3,0,100.0,3,3,-3.0,2.73,0,0,0.0,100.0,3,0,0.0,3,16.7,0,0,,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-0.3,9.83
