player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Christian Gray,128036,CB,NOTRE DAME,1,1,,0,0,258,59.1,61.4,77.6,,71.4,39.1,0.0,0,0,23,25,0.0,0,0
Arion Carter,129186,LB,TENNESSEE,1,1,1.0,0,0,307,63.2,51.0,76.3,55.8,35.8,77.6,0.0,0,0,18,18,5.6,1,1
Bryson Bonds,129435,S,INDIANA,1,0,4.0,0,0,190,60.0,27.1,66.3,,49.4,73.0,0.0,0,0,4,4,0.0,0,1
Mitchell Melton,129753,ED,OHIO STATE,1,1,,0,0,260,,64.5,75.4,58.9,66.6,71.1,0.0,0,0,6,6,0.0,0,0
Lathan Ransom,129755,S,OHIO STATE,1,1,-2.0,0,0,260,62.9,67.8,78.1,,75.8,81.5,0.0,0,0,19,19,5.3,1,2
Cody Simon,129757,LB,OHIO STATE,1,1,5.5,0,0,260,79.6,74.5,75.7,60.8,59.4,67.8,25.0,1,0,19,19,0.0,0,2
Tyler Elsdon,129775,LB,PENN STATE,1,0,3.0,0,0,266,71.7,84.7,70.5,67.2,68.7,76.3,0.0,0,0,4,4,25.0,1,1
Coziah Izzard,129784,DI,PENN STATE,1,0,0.7,0,0,266,,57.7,75.8,56.7,58.7,73.2,0.0,0,0,21,21,14.3,3,3
Amin Vanover,129797,ED,PENN STATE,1,0,0.0,0,0,266,68.1,62.6,0.0,65.2,61.3,29.1,0.0,0,1,13,13,7.7,1,1
CJ West,130507,DI,INDIANA,1,2,1.0,0,0,190,60.0,81.4,78.7,60.1,85.8,74.9,0.0,0,0,21,21,14.3,3,3
Omarr Norman-Lott,131624,DI,TENNESSEE,1,0,,0,0,307,,55.1,71.8,65.6,50.9,,,0,0,6,6,0.0,0,0
Mikail Kamara,138455,ED,INDIANA,1,2,0.0,0,0,190,60.9,58.6,78.5,60.4,55.4,27.4,25.0,1,0,27,27,3.7,1,1
Shawn Asbury II,143814,S,INDIANA,1,0,6.5,0,0,190,66.8,63.5,78.4,,54.3,34.1,33.3,2,0,23,23,4.3,1,4
Barrett Carter,144109,LB,CLEMSON,1,0,2.3,0,0,140,41.8,51.5,79.9,57.2,64.3,80.6,0.0,0,0,43,43,7.0,3,4
Cade Denhoff,144114,ED,CLEMSON,1,0,4.0,0,0,140,60.5,55.0,78.2,53.7,57.0,71.1,0.0,0,0,14,14,0.0,0,1
Andrew Mukuba,144129,S,TEXAS,1,1,41.0,0,0,311,76.6,76.5,76.3,,67.9,80.5,0.0,0,0,15,15,0.0,0,1
Payton Page,144131,DI,CLEMSON,1,3,7.7,0,0,140,59.6,73.3,76.4,59.1,77.2,76.4,0.0,0,0,34,34,5.9,2,3
Isaiah Nwokobia,144373,S,SMU,1,1,6.5,0,0,287,62.5,60.8,76.8,59.1,58.0,60.8,25.0,1,0,33,33,0.0,0,2
Jalen McMurray,144393,CB,TENNESSEE,1,0,,0,0,307,56.3,49.3,72.0,,45.0,27.9,100.0,1,0,9,9,0.0,0,0
Jamier Johnson,144730,CB,INDIANA,1,1,,0,0,190,56.4,50.6,72.3,,46.5,28.1,0.0,0,0,7,7,0.0,0,0
Michael Taaffe,144732,S,TEXAS,1,1,4.0,0,0,311,52.2,53.3,78.8,,58.8,24.3,33.3,1,0,14,14,7.1,1,1
Morice Blackwell Jr.,144733,LB,TEXAS,1,0,8.0,0,0,311,62.8,71.4,73.5,,72.3,77.2,0.0,0,0,6,6,0.0,0,2
Barryn Sorrell,144739,ED,TEXAS,1,0,-1.0,0,0,311,63.0,73.3,77.9,70.8,65.2,76.2,0.0,0,0,10,10,10.0,1,1
Blake Burris,144770,DI,SMU,1,0,,0,0,287,,61.8,66.6,,60.1,,,0,0,2,2,0.0,0,0
Jordan Hancock,145067,S,OHIO STATE,1,0,,0,0,260,62.7,63.3,79.1,,63.3,76.2,,0,0,18,18,0.0,0,0
Denzel Burke,145070,CB,OHIO STATE,1,0,,0,0,260,64.2,64.8,76.1,,62.7,,,0,0,17,17,0.0,0,0
Jack Sawyer,145071,ED,OHIO STATE,1,1,3.0,0,0,260,60.0,79.5,77.6,75.6,71.0,61.3,0.0,0,0,16,16,6.3,1,2
Andre Turrentine,145072,S,TENNESSEE,1,0,4.0,0,0,307,61.5,56.7,77.4,,46.8,62.9,50.0,1,0,20,20,5.0,1,1
JT Tuimoloau,145074,ED,OHIO STATE,1,1,2.0,0,0,260,66.7,88.3,77.5,89.4,65.3,65.8,0.0,0,0,14,14,0.0,0,2
Tyleik Williams,145080,DI,OHIO STATE,1,2,1.0,0,0,260,,68.8,75.6,55.1,77.3,31.2,0.0,0,0,16,16,12.5,2,2
Dominic DeLuca,145095,LB,PENN STATE,1,1,3.5,0,0,266,76.5,76.5,76.7,88.3,53.9,27.6,40.0,2,0,19,19,0.0,0,2
Kobe King,145097,LB,PENN STATE,1,1,4.0,0,0,266,65.4,70.2,76.4,54.7,73.6,82.7,0.0,0,0,28,28,10.7,3,5
Zakee Wheatley,145099,S,PENN STATE,1,1,7.0,0,0,266,63.2,66.2,78.4,,71.0,64.2,0.0,0,0,28,28,0.0,0,2
Jaylen Reed,145100,S,PENN STATE,1,1,8.0,0,0,266,64.4,68.8,76.8,,75.2,83.2,0.0,0,0,28,28,3.6,1,3
Jakobe Thomas,145309,S,TENNESSEE,1,0,,0,0,307,43.0,47.8,69.6,,61.9,74.8,,0,0,9,9,0.0,0,0
Trey Moore,145527,ED,TEXAS,1,0,4.0,0,0,311,63.6,64.8,79.2,65.2,57.4,73.7,0.0,0,0,10,10,20.0,2,2
Cale Sanders Jr.,146036,S,SMU,1,0,,0,0,287,53.1,52.4,76.0,47.5,63.5,28.7,,0,0,12,12,0.0,0,0
Jonathan Jefferson,146731,DI,SMU,1,0,1.5,0,0,287,,65.9,73.3,58.6,66.0,72.4,0.0,0,0,16,16,12.5,2,2
Tywone Malone Jr.,146832,DI,OHIO STATE,1,1,,0,0,260,,67.9,69.3,58.1,67.4,69.7,0.0,0,0,4,4,0.0,0,0
Christian Charles,146944,S,TENNESSEE,1,1,,0,0,307,63.4,65.1,72.9,,63.8,37.9,0.0,0,0,9,9,0.0,0,0
Marcus Burris Jr.,146987,DI,INDIANA,1,0,,0,0,190,,59.8,70.3,58.3,60.2,,,0,0,2,2,0.0,0,0
Deuce Harmon,146998,CB,SMU,1,0,13.5,0,0,287,67.1,65.1,75.4,,57.7,37.7,33.3,1,0,29,29,0.0,0,2
Gabriel Rubio,147499,DI,NOTRE DAME,1,1,,0,0,258,60.0,58.9,74.4,55.6,60.7,72.4,0.0,0,0,11,12,0.0,0,0
Ahmad Walker,147555,LB,SMU,1,2,9.2,0,0,287,77.3,78.2,76.1,63.0,70.5,84.6,0.0,0,0,27,27,3.7,1,5
Jailin Walker,148369,LB,INDIANA,1,3,,0,0,190,69.6,67.5,80.5,55.1,63.4,69.5,0.0,0,0,27,27,0.0,0,0
Eli Purcell,150040,LB,TENNESSEE,1,0,,0,0,307,,60.5,66.3,,60.0,,,0,0,2,2,0.0,0,0
Jahiem Lawson,156235,ED,CLEMSON,1,0,1.0,0,0,140,,54.2,73.7,57.6,55.4,71.5,0.0,0,0,9,9,11.1,1,1
Wade Woodaz,156237,LB,CLEMSON,1,1,2.7,0,0,140,73.4,72.2,80.8,58.3,67.1,45.7,20.0,1,0,43,43,4.7,2,3
