player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Gabriel Rubio,147499,DI,NOTRE DAME,1,2,1.0,0,0,258,61.8,64.2,75.9,53.8,64.9,50.6,25.0,1,0,27,27,3.7,1,1
C.J. Hicks,156483,LB,OHIO STATE,1,0,,0,0,260,,60.0,66.0,,60.0,,,0,0,1,1,0.0,0,0
Caden Curry,156488,ED,OHIO STATE,1,0,,0,0,260,,59.5,72.3,57.1,61.0,,,0,0,3,3,0.0,0,0
Donovan Hinish,156961,DI,NOTRE DAME,1,0,6.0,0,0,258,,56.3,74.3,67.9,50.8,69.7,0.0,0,0,16,16,0.0,0,1
Jaylen Sneed,156972,LB,NOTRE DAME,1,3,5.7,0,0,258,37.0,59.7,73.8,61.6,73.0,57.3,25.0,2,0,18,18,11.1,2,3
Joshua Burnham,156977,ED,NOTRE DAME,1,1,-2.0,0,0,258,,71.4,77.5,67.6,68.4,74.8,0.0,0,0,23,23,4.3,1,1
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,0,4.0,0,0,258,,53.7,77.8,54.0,56.2,46.2,33.3,1,0,13,13,7.7,1,2
Davison Igbinosun,157129,CB,OHIO STATE,1,0,3.0,0,0,260,55.9,60.4,76.7,71.8,71.0,60.4,0.0,0,1,21,21,0.0,0,1
Jaylon Guilbeau,157307,CB,TEXAS,1,0,,0,0,311,59.4,55.9,78.7,56.1,47.4,26.0,,0,0,12,12,0.0,0,0
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,1,0,,0,0,260,52.7,41.2,75.3,58.5,56.4,,,0,0,4,4,0.0,0,0
Hero Kanu,162870,DI,OHIO STATE,1,0,3.0,0,0,260,59.2,62.8,70.0,58.5,67.0,70.2,0.0,0,0,3,3,33.3,1,1
Sonny Styles,162876,LB,OHIO STATE,1,1,1.5,0,0,260,55.5,63.1,78.1,92.5,52.3,45.8,40.0,2,0,24,24,4.2,1,2
Audavion Collins,163676,CB,PENN STATE,1,0,12.0,0,0,266,65.4,67.3,73.0,,66.2,74.2,0.0,0,0,11,11,0.0,0,1
Ethan Burke,163843,ED,TEXAS,1,0,-2.0,0,0,311,60.4,70.4,74.0,60.9,71.3,71.5,0.0,0,0,6,6,16.7,1,1
Abdul Carter,164160,ED,PENN STATE,1,1,1.5,0,0,266,60.7,80.8,80.2,73.6,78.1,79.1,0.0,0,0,30,30,10.0,3,4
Dani Dennis-Sutton,164163,ED,PENN STATE,1,2,1.0,0,0,266,73.3,88.1,5.4,73.4,75.9,78.2,0.0,0,1,28,28,3.6,1,1
Zane Durant,164166,DI,PENN STATE,1,1,-4.0,0,0,266,66.8,64.0,0.0,57.1,68.8,74.5,0.0,0,1,27,27,3.7,1,1
Cam Miller,164178,CB,PENN STATE,1,0,,0,0,266,50.7,51.7,78.1,,60.9,77.3,,0,0,6,6,0.0,0,0
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,1,,0,0,260,61.9,65.2,76.2,71.9,65.7,76.4,0.0,0,1,15,15,0.0,0,0
Kayden McDonald,170258,DI,OHIO STATE,1,1,,0,0,260,,65.2,70.6,59.1,64.6,69.7,0.0,0,0,4,4,0.0,0,0
Arvell Reese,170264,LB,OHIO STATE,1,1,,0,0,260,60.9,68.7,69.7,,67.0,73.1,0.0,0,0,4,4,0.0,0,0
Tony Rojas,170297,LB,PENN STATE,1,1,4.0,0,0,266,51.6,49.1,75.6,58.0,51.8,49.1,25.0,1,0,26,26,3.8,1,2
Zion Tracy,170301,CB,PENN STATE,1,0,,0,0,266,52.8,51.7,78.6,55.1,54.3,28.9,100.0,1,0,29,29,0.0,0,0
Elliot Washington II,170303,CB,PENN STATE,1,0,,0,0,266,64.3,64.7,74.0,,60.0,78.2,,0,0,4,4,0.0,0,0
Jaiden Ausberry,171075,LB,NOTRE DAME,1,0,8.0,0,0,258,29.3,28.0,72.4,48.8,38.5,59.6,0.0,0,0,17,17,5.9,1,2
Drayk Bowen,171077,LB,NOTRE DAME,1,3,4.8,0,0,258,58.1,68.7,77.2,65.0,72.1,82.6,0.0,0,0,32,32,9.4,3,4
Adon Shuler,171098,S,NOTRE DAME,1,0,6.5,0,0,258,48.5,38.6,75.9,,29.3,27.8,60.0,3,1,20,20,5.0,1,2
Caleb Downs,172375,S,OHIO STATE,1,1,0.7,0,0,260,69.3,71.1,77.8,59.2,72.5,72.9,20.0,1,0,24,24,8.3,2,3
Anthony Hill Jr.,173158,LB,TEXAS,1,0,,0,0,311,50.6,54.8,75.5,75.5,54.0,60.1,100.0,1,0,17,17,0.0,0,0
Liona Lefau,173161,LB,TEXAS,1,2,,0,0,311,47.5,41.6,73.8,57.3,44.3,33.8,33.3,1,0,13,13,0.0,0,0
Malik Muhammad,173165,CB,TEXAS,1,0,,0,0,311,59.8,57.4,76.1,,47.0,38.3,,0,1,19,20,0.0,0,0
Colton Vasek,173168,ED,TEXAS,1,1,,0,0,311,,59.7,70.6,57.1,61.3,73.0,0.0,0,0,2,3,0.0,0,0
A.J. Harris,173534,CB,PENN STATE,1,1,6.0,0,0,266,58.9,62.1,77.0,,69.4,79.9,0.0,0,0,35,35,2.9,1,1
Jelani McDonald,176180,S,TEXAS,1,0,,0,0,311,71.2,78.4,73.3,79.6,60.0,,,0,0,2,3,0.0,0,0
Eddrick Houston,183699,DI,OHIO STATE,1,0,,0,0,260,,72.7,72.2,72.0,63.8,,,0,0,6,6,0.0,0,0
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,1,1,6.0,0,0,258,72.6,73.6,76.7,58.5,70.2,60.0,0.0,0,0,11,11,0.0,0,2
Bryce Young,184110,ED,NOTRE DAME,1,0,5.0,0,0,258,,66.1,76.3,67.8,60.9,74.9,0.0,0,0,16,16,6.3,1,2
Alex January,184510,DI,TEXAS,1,0,,0,0,311,,67.7,69.7,66.3,60.7,,,0,0,2,2,0.0,0,0
Colin Simmons,184515,ED,TEXAS,1,2,1.0,0,0,311,54.1,75.6,78.8,73.9,79.0,78.6,0.0,0,0,10,11,10.0,1,1
Leonard Moore,189882,CB,NOTRE DAME,1,0,1.0,0,0,258,72.7,67.0,77.8,,45.1,29.3,50.0,1,0,37,37,2.7,1,1
