player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jaylan Foster,13095,S,S CAROLINA,1,5,6.3,0,0,289,37.2,50.4,76.2,60.0,66.4,56.2,10.0,1,0,44,45,2.3,1,4
Devin Taylor,22317,CB,BOWL GREEN,1,1,-1.5,0,0,122,65.6,67.9,77.5,,70.7,80.6,0.0,0,1,39,39,2.6,1,2
Cortez Davis,22974,CB,HAWAII,1,1,16.3,0,0,180,71.3,66.0,78.1,69.8,45.4,71.4,0.0,0,1,47,49,2.1,1,3
Dru Prox,23093,LB,UTSA,1,0,,0,0,331,,41.9,70.0,,45.4,,,0,0,5,5,0.0,0,0
Reggie Stubblefield,23441,S,KANSAS ST,1,1,3.0,0,0,199,61.3,61.8,78.8,52.5,67.4,67.1,0.0,0,0,18,19,5.6,1,1
Mikel Horton,23509,DI,CHARLOTTE,1,1,3.3,0,0,136,,53.3,76.7,63.7,49.4,47.7,12.5,1,0,33,33,12.1,4,6
Colby Burton,23898,CB,HAWAII,1,0,,0,0,180,63.3,64.1,70.4,,60.0,,,0,0,3,3,0.0,0,0
Darion Dunn,23963,CB,TEXAS,1,0,,0,0,311,68.0,68.4,74.6,59.8,62.2,21.7,,0,0,15,15,0.0,0,0
Darren Evans,24171,CB,LSU,1,0,,0,0,211,69.5,66.2,76.6,71.0,45.1,22.9,100.0,2,0,24,25,0.0,0,0
Alvinoski LaFleur,24504,S,E MICHIGAN,1,0,9.5,0,0,160,65.9,59.4,76.6,,50.3,39.8,33.3,1,0,35,35,0.0,0,2
Jeremiah Moon,26453,LB,FLORIDA,1,0,9.0,0,0,163,,52.0,70.3,59.9,54.3,74.1,0.0,0,0,2,2,0.0,0,2
Brenden Schooler,28253,S,TEXAS,1,1,11.0,0,0,311,81.5,79.0,75.7,80.8,58.3,62.9,40.0,2,0,30,30,3.3,1,2
Richard Moore,28853,LB,SMU,1,0,,0,0,287,49.2,47.4,0.0,68.3,58.1,,,0,1,8,8,0.0,0,0
Jack Jones,29050,CB,ARIZONA ST,1,0,,0,0,110,70.1,66.1,75.4,,49.0,28.3,100.0,1,0,18,18,0.0,0,0
Marshaun Cameron,30624,CB,COLO STATE,1,0,9.0,0,0,144,71.4,57.0,0.0,,50.1,36.4,50.0,1,1,56,56,0.0,0,1
Brock Nichols,33753,S,USF,1,0,,0,0,327,43.6,46.7,70.1,,60.3,,,0,0,4,4,0.0,0,0
Denzel Feaster,34561,LB,UTSA,1,1,1.0,0,0,331,,58.7,69.1,,58.8,31.8,33.3,1,0,4,4,25.0,1,1
Ferrod Gardner,34595,LB,LA LAFAYET,1,0,1.8,0,0,207,52.9,63.6,74.7,55.3,84.9,52.1,0.0,0,0,18,18,27.8,5,5
John Petrishen,35069,LB,PITTSBURGH,1,0,16.0,0,0,268,59.5,52.7,74.3,53.5,43.5,82.6,0.0,0,0,14,15,0.0,0,1
Cristian Williams,36151,S,TULSA,1,2,6.0,0,0,320,66.5,64.5,78.0,59.4,58.7,30.0,25.0,1,0,20,20,0.0,0,1
Scott Patchan,36449,ED,COLO STATE,1,2,6.8,0,0,144,61.9,62.7,82.8,64.3,60.5,39.3,22.2,2,0,69,70,2.9,2,5
Elijah Taylor,36723,ED,TULSA,1,0,2.0,0,0,320,60.0,51.3,0.0,62.1,53.6,73.9,0.0,0,1,12,12,8.3,1,1
Thad Mangum,36819,DI,USF,1,2,,0,0,327,,49.4,75.9,61.6,44.0,28.3,33.3,1,0,23,23,0.0,0,0
Micah Dew-Treadway,37050,DI,MINNESOTA,1,0,-0.5,0,0,225,,57.0,75.0,56.9,57.7,72.4,0.0,0,0,16,16,12.5,2,2
Jordan Carmouche,39951,LB,HOUSTON,1,0,5.0,0,0,182,63.1,67.5,68.8,,65.3,73.2,0.0,0,0,4,4,0.0,0,1
Derrion Rakestraw,39968,S,TULANE,1,0,5.0,0,0,319,57.7,60.6,73.0,,64.1,79.2,0.0,0,0,10,10,10.0,1,1
Brandon Martin,40066,LB,BALL ST,1,0,3.3,0,0,117,63.2,53.6,0.0,,50.8,33.6,25.0,2,1,27,29,7.4,2,6
Phillip Howard,40350,CB,MINNESOTA,1,0,,0,0,225,62.7,63.3,69.7,,60.0,,,0,0,2,2,0.0,0,0
Kumehnnu Gwilly,40495,LB,C MICHIGAN,1,0,,0,0,134,60.0,52.9,71.1,,55.1,,,0,0,3,3,0.0,0,0
Jahaziel Lee,40537,DI,LA MONROE,1,1,,0,0,209,,62.5,74.8,65.1,57.4,22.5,50.0,1,0,12,12,0.0,0,0
Justin Rice,40640,LB,UTAH ST,1,0,2.0,0,0,329,74.9,73.0,76.5,60.6,62.6,81.5,0.0,0,0,17,17,11.8,2,3
Aaron Hansford,40694,LB,TEXAS A&M,1,2,2.4,0,0,312,53.9,59.3,77.3,82.1,57.4,39.3,30.0,3,0,51,52,7.8,4,5
Deonte Perry,41092,S,FRESNO ST,1,0,4.0,0,0,169,61.4,53.9,71.4,,50.0,75.3,0.0,0,0,9,9,11.1,1,1
Eric Sutton,41489,CB,TEXAS ST,1,0,,0,0,314,61.2,62.0,68.2,,60.0,,,0,0,3,3,0.0,0,0
Jaquel Pierce,41589,ED,TEXAS ST,1,1,,0,0,314,,71.0,70.3,60.0,69.0,71.5,0.0,0,0,7,8,0.0,0,0
Ty Shelby,41752,ED,LA MONROE,1,1,,0,0,209,61.8,60.9,79.5,52.3,66.3,71.5,0.0,0,0,27,27,0.0,0,0
Sam Hammond,41836,ED,NEVADA,1,2,2.5,0,0,239,60.7,56.9,78.5,60.4,52.5,48.0,33.3,2,0,27,27,3.7,1,2
Ben Davis,41960,ED,TEXAS,1,0,,0,0,311,62.0,61.9,76.6,56.6,62.2,71.5,,0,0,8,8,0.0,0,0
Freddie Johnson,42129,CB,TEMPLE,1,0,6.5,0,0,306,51.8,60.4,71.7,,74.7,77.1,0.0,0,0,17,18,5.9,1,2
Avien Peah,42158,ED,UMASS,1,0,,0,0,216,60.0,47.2,77.9,56.9,40.4,24.5,100.0,1,0,24,24,0.0,0,0
Nick Grant,42242,S,VIRGINIA,1,0,4.0,0,0,335,38.1,46.3,75.0,60.0,62.4,34.1,25.0,1,0,25,25,4.0,1,3
Alonzo McCoy,42383,CB,C MICHIGAN,1,0,,0,0,134,69.5,64.1,82.2,,41.2,23.5,100.0,2,0,32,34,0.0,0,0
