player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Devon Jackson,157253,LB,OREGON,1,1,1.5,0,0,264,76.4,67.6,73.8,78.1,39.3,79.9,0.0,0,0,11,11,9.1,1,2
Harrison Taggart,157254,LB,BYU,1,2,3.8,0,0,128,56.8,70.2,75.9,56.6,79.8,80.6,0.0,0,0,23,23,4.3,1,4
Anthony Jones,157255,ED,MICH STATE,1,1,-1.0,0,0,223,62.0,65.1,76.3,56.4,65.9,75.7,0.0,0,0,10,10,10.0,1,1
David Bailey,157272,ED,STANFORD,1,0,18.3,0,0,300,72.0,69.1,0.0,75.6,55.3,50.3,25.0,1,1,13,14,0.0,0,3
Matt Rose,157275,LB,STANFORD,1,0,,0,0,300,,60.0,63.9,,60.0,,,0,0,1,1,0.0,0,0
Collin Wright,157276,CB,STANFORD,1,0,,0,0,300,67.9,68.2,79.2,,64.6,75.1,,0,0,29,30,0.0,0,0
Ernest Cooper,157278,ED,STANFORD,1,0,0.0,0,0,300,65.6,61.5,80.8,60.3,56.8,77.0,0.0,0,0,23,24,4.3,1,1
Jaxson Moi,157280,DI,TENNESSEE,1,0,0.5,0,0,307,,54.4,75.5,49.5,62.4,37.1,0.0,0,0,8,8,25.0,2,2
Tevarua Tafiti,157281,ED,STANFORD,1,0,2.5,0,0,300,63.0,68.8,79.4,62.6,68.5,76.0,0.0,0,0,22,22,4.5,1,2
Zach Rowell,157284,DI,STANFORD,1,0,,0,0,300,,51.4,73.7,55.4,52.1,,,0,0,14,14,0.0,0,0
Namdi Obiazor,157288,LB,TCU,1,2,-1.0,0,0,305,65.6,53.5,0.0,54.8,46.1,48.5,25.0,1,1,14,15,7.1,1,1
Damonic Williams,157291,DI,OKLAHOMA,1,3,-2.0,0,0,261,,73.9,73.7,63.6,73.9,74.9,0.0,0,0,13,13,7.7,1,1
Connor Lingren,157293,DI,TCU,1,1,,0,0,305,,57.3,73.1,64.2,53.1,71.9,0.0,0,0,5,5,0.0,0,0
Kyron Chambers,157300,CB,SMU,1,0,,0,0,287,67.5,67.8,74.9,,60.2,76.8,,0,0,5,5,0.0,0,0
Jaylon Guilbeau,157307,CB,TEXAS,1,0,7.0,0,0,311,57.5,55.6,78.6,,50.0,79.5,0.0,0,0,13,13,0.0,0,1
Larry Turner-Gooden,157308,S,S JOSE ST,1,0,,0,0,285,48.2,50.3,71.9,,60.0,74.8,,0,0,5,5,0.0,0,0
Terrance Brooks,157312,CB,ILLINOIS,1,0,,0,0,187,64.5,65.0,71.4,,60.0,,,0,0,3,3,0.0,0,0
Tre'Von McAlpine,157324,DI,TEXAS TECH,1,0,2.0,0,0,315,61.5,70.0,74.3,65.6,64.0,72.2,0.0,0,0,16,16,6.3,1,1
Harvey Dyson,157327,ED,TEXAS TECH,1,0,2.0,0,0,315,45.1,48.5,79.1,57.4,56.9,74.7,0.0,0,0,14,14,14.3,2,2
Ben Roberts,157332,LB,TEXAS TECH,1,2,2.3,0,0,315,62.4,50.5,77.8,56.8,40.6,68.5,0.0,0,0,26,26,11.5,3,3
Asani Redwood,157354,ED,W VIRGINIA,1,1,,0,0,343,,50.4,74.6,54.2,51.6,71.3,0.0,0,0,12,12,0.0,0,0
Hershey McLaurin,157356,S,HOUSTON,1,0,-5.0,0,0,182,56.6,55.5,78.5,55.3,57.0,46.8,0.0,0,0,27,28,7.4,2,2
Jacolby Spells,157358,CB,W VIRGINIA,1,0,,0,0,343,65.9,66.5,71.9,,62.0,,,0,0,9,9,0.0,0,0
Trey Lathan,157359,LB,W VIRGINIA,1,0,,0,0,343,61.5,54.2,75.4,54.2,47.3,40.8,100.0,1,0,22,22,0.0,0,0
Jackson Vick,157406,CB,NC STATE,1,0,,0,0,248,72.1,72.7,72.2,,60.0,77.0,,0,0,4,4,0.0,0,0
Isaiah Crowell,157407,S,NC STATE,1,0,,0,0,248,71.4,66.9,74.5,58.3,53.0,28.2,100.0,1,0,9,9,0.0,0,0
Brandon Cleveland,157411,DI,NC STATE,1,0,2.0,0,0,248,60.0,64.8,79.0,56.1,69.8,68.7,0.0,0,0,15,16,6.7,1,1
DJ Jackson,157413,DI,NC STATE,1,0,-1.0,0,0,248,,64.9,75.2,57.1,67.3,70.1,0.0,0,0,7,7,14.3,1,1
Aisea Moa,157430,LB,BYU,1,0,5.0,0,0,128,61.1,64.5,68.5,,60.4,72.2,0.0,0,0,1,1,0.0,0,1
Logan Fano,157432,ED,UTAH,1,1,8.0,0,0,328,53.8,57.7,80.8,63.9,54.4,76.7,0.0,0,0,31,31,0.0,0,1
Michael Daley,157435,ED,RICE,1,0,8.0,0,0,275,60.9,73.7,78.0,91.1,51.8,76.0,0.0,0,0,13,13,7.7,1,2
Isaiah Glasker,157436,LB,BYU,1,3,1.0,0,0,128,60.9,65.5,76.8,58.1,68.5,83.7,0.0,0,0,32,32,9.4,3,4
J.D. Lampley,157442,ED,E CAROLINA,1,0,2.3,0,0,156,,54.0,74.9,64.9,51.9,53.1,20.0,1,0,28,28,7.1,2,4
Samuel Dankah,157444,ED,E CAROLINA,1,2,3.3,0,0,156,52.3,56.8,78.4,57.9,60.9,57.4,14.3,1,0,29,29,10.3,3,4
Isaiah Brown-Murray,157447,CB,E CAROLINA,1,0,26.0,0,0,156,44.6,53.8,72.9,,63.9,81.2,0.0,0,0,56,57,0.0,0,2
Zakye Barker,157449,LB,E CAROLINA,1,2,2.4,0,0,156,51.0,40.1,0.0,56.0,46.1,43.8,30.0,3,1,48,49,8.3,4,5
Joey Zelinsky,157453,ED,E MICHIGAN,1,0,,0,0,160,,36.3,76.8,55.1,34.4,,,0,0,19,19,0.0,0,0
Barry Manning,157476,S,E MICHIGAN,1,2,18.0,0,1,160,53.0,63.9,70.5,,73.6,81.3,0.0,0,0,21,21,0.0,0,1
Tariq Watson,157504,CB,UAB,1,0,,0,0,321,66.2,66.6,73.7,,60.0,,,0,0,7,7,0.0,0,0
Jamare Glasker,157528,CB,WAKE,1,0,,0,0,339,59.8,60.9,76.7,,64.7,53.5,,0,0,23,23,0.0,0,0
Donovan Spellman,157558,ED,CHARLOTTE,1,0,,0,0,136,,60.9,70.8,59.7,60.7,,,0,0,3,3,0.0,0,0
