player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Korey Foreman,70831,ED,FRESNO ST,1,0,6.0,0,0,169,46.2,45.5,75.2,53.8,59.4,52.2,0.0,0,0,11,12,18.2,2,3
Justin Flowe,72388,LB,UNLV,1,1,4.0,0,0,325,60.7,76.6,71.7,55.6,83.1,76.3,0.0,0,0,5,5,20.0,1,1
Jadon Pearson,72538,LB,FRESNO ST,1,3,7.8,0,0,169,44.6,51.2,76.5,57.3,61.2,85.7,0.0,0,0,27,31,3.7,1,4
Ose Egbase,90529,ED,UNLV,1,1,10.0,0,0,325,60.5,54.4,77.0,74.1,37.8,22.0,60.0,3,0,15,15,0.0,0,1
Virdel Edwards II,99286,CB,HAWAII,1,0,,0,0,180,77.7,73.7,75.6,,52.5,38.8,100.0,1,0,27,27,0.0,0,0
Cecil Powell,99735,CB,SM HOUSTON,1,0,,1,0,281,69.5,70.0,79.6,57.6,69.0,82.1,,0,1,19,19,0.0,0,0
De'Jon Benton,100445,DI,HAWAII,1,2,3.0,0,0,180,,57.5,0.0,62.0,60.3,35.6,33.3,2,1,28,28,3.6,1,2
Clay Patterson,106446,DI,STANFORD,1,0,,0,0,300,,90.3,0.0,92.5,60.7,34.4,100.0,1,1,6,6,0.0,0,0
Kenean Caldwell,122551,DI,KANSAS,1,0,1.0,0,0,198,,72.0,74.7,64.2,70.3,44.1,25.0,1,0,14,14,21.4,3,3
Cody Stufflebean,122619,ED,KANSAS ST,1,0,4.0,0,0,199,57.8,54.6,77.2,61.2,57.0,27.5,0.0,0,0,26,26,3.8,1,2
Bangally Kamara,123012,LB,KANSAS,1,0,-1.0,0,0,198,52.7,64.7,74.7,84.4,64.1,29.0,66.7,2,0,15,15,6.7,1,1
Dave Herard,123779,S,W KENTUCKY,1,1,1.0,0,0,346,71.0,73.3,75.9,,71.9,86.3,0.0,0,0,13,13,7.7,1,1
Jalen Lee,124385,DI,UNLV,1,0,,0,0,325,,58.7,77.7,54.8,62.1,,,0,0,18,20,0.0,0,0
Waisale Muavesi,128364,DI,UNLV,1,0,,0,0,325,,65.1,72.2,62.8,62.6,,,0,0,4,5,0.0,0,0
Jaheem Joseph,129726,S,UNLV,1,0,13.0,0,0,325,66.1,58.6,0.0,60.0,55.3,44.6,33.3,1,1,10,11,0.0,0,2
Gunner Maldonado,129727,S,KANSAS ST,1,0,15.0,0,0,199,48.5,45.8,72.9,,51.0,28.7,50.0,1,0,5,5,0.0,0,1
CJ Brown,130541,S,SM HOUSTON,1,1,18.0,0,0,281,67.8,65.8,77.4,57.3,57.8,86.5,0.0,0,0,18,18,0.0,0,1
Jamar Sekona,131836,DI,HAWAII,1,0,2.5,0,0,180,,59.9,0.0,63.8,67.4,35.5,33.3,1,1,8,8,25.0,2,2
Christopher Eaton Jr.,142080,ED,SM HOUSTON,1,1,0.5,0,0,281,59.4,66.5,75.9,58.0,75.1,75.4,0.0,0,0,14,14,14.3,2,2
Zeiqui Lawton,144225,DI,SM HOUSTON,1,0,0.0,0,0,281,58.6,69.1,75.0,61.5,76.9,73.2,0.0,0,0,13,13,7.7,1,1
Jalen Emery,144247,CB,W KENTUCKY,1,0,,0,0,346,40.4,45.1,75.8,59.5,67.5,22.3,,0,0,7,7,0.0,0,0
Jayden Gray,144555,ED,W KENTUCKY,1,0,1.5,0,0,346,,74.1,74.3,66.5,71.3,74.9,0.0,0,0,6,6,33.3,2,2
D.J. Withers,144582,DI,KANSAS,1,0,,0,0,198,,64.9,75.4,71.5,55.1,,,0,0,14,14,0.0,0,0
Tommy Dunn Jr.,144584,DI,KANSAS,1,2,3.0,0,0,198,56.7,50.9,0.0,54.9,72.0,73.6,0.0,0,1,12,12,8.3,1,1
Desmond Purnell,144611,LB,KANSAS ST,1,0,3.0,0,0,199,73.8,66.1,76.8,70.6,47.2,40.2,0.0,0,0,33,33,3.0,1,1
Damian Ilalio,144614,DI,KANSAS ST,1,0,1.5,0,0,199,,61.9,77.2,60.9,61.0,35.5,33.3,1,0,34,34,5.9,2,2
Lyrik Rawls,144661,S,KANSAS,1,0,4.7,0,0,198,67.9,72.2,75.5,60.0,75.7,42.2,0.0,0,0,15,15,13.3,2,3
Luther McCoy,144986,DI,HAWAII,1,0,1.0,0,0,180,,33.1,0.0,55.6,41.7,69.7,0.0,0,1,13,13,0.0,0,1
Al'zillion Hamilton,146042,CB,FRESNO ST,1,0,7.0,0,0,169,59.0,55.7,77.2,,48.3,77.9,0.0,0,1,32,36,0.0,0,1
Tariq Jones,146073,ED,HAWAII,1,1,4.0,0,0,180,,58.5,77.6,70.8,50.1,74.4,0.0,0,0,27,27,3.7,1,1
Dominic Oliver,146147,ED,W KENTUCKY,1,0,,0,0,346,48.9,59.3,78.2,65.1,61.7,,,0,0,8,8,0.0,0,0
Kilinahe Mendiola-Jensen,146198,S,HAWAII,1,0,4.8,0,0,180,89.5,90.1,77.8,,76.2,80.6,0.0,0,0,25,25,8.0,2,4
Marsel McDuffie,146212,LB,UNLV,1,3,30.0,0,0,325,85.7,87.8,77.5,75.7,69.4,83.2,0.0,0,0,19,22,0.0,0,1
Hunter Barth,146299,LB,STANFORD,1,0,5.0,0,0,300,57.2,58.0,77.2,63.7,56.3,44.0,50.0,1,0,9,9,11.1,1,1
Ese Dubre,146374,ED,STANFORD,1,0,,0,0,300,,75.9,73.3,74.8,60.0,,,0,0,1,1,0.0,0,0
Mitch Leigber,146375,S,STANFORD,1,0,,0,0,300,56.7,57.6,78.4,,61.5,40.3,,0,0,14,14,0.0,0,0
Wilfredo Aybar,146378,ED,STANFORD,1,1,6.0,0,0,300,60.8,63.0,78.7,61.0,62.1,75.2,0.0,0,0,10,10,0.0,0,1
Anthony Franklin,146379,DI,STANFORD,1,1,,0,0,300,,54.3,74.2,60.2,51.6,70.2,0.0,0,0,6,6,0.0,0,0
Zach Buckey,146383,DI,STANFORD,1,0,0.0,0,0,300,,76.6,73.0,71.1,67.9,28.0,50.0,1,0,3,3,33.3,1,1
Darrien Stewart,146445,CB,UNLV,1,0,,0,0,325,52.6,53.5,71.3,,60.0,76.2,,0,0,2,3,0.0,0,0
Giovanni Iovino,146522,LB,HAWAII,1,0,,0,0,180,60.0,74.4,66.2,60.0,60.0,,,0,0,1,1,0.0,0,0
Chief Borders,146707,ED,UNLV,1,1,0.0,0,0,325,64.0,67.7,80.2,66.4,61.8,26.0,33.3,1,0,19,20,5.3,1,1
Demarko Williams,146825,CB,W KENTUCKY,1,1,,0,0,346,62.5,64.9,79.7,59.2,70.8,78.0,0.0,0,0,14,14,0.0,0,0
Zachary Lovett,146889,LB,IOWA STATE,1,0,,0,0,193,62.6,55.7,72.9,56.6,52.7,,,0,0,6,6,0.0,0,0
Tunmise Adeleye,146982,ED,UNLV,1,0,1.0,0,0,325,60.0,74.0,78.7,77.2,57.3,74.7,0.0,0,0,8,10,12.5,1,2
Dylan Flowers,147839,CB,W KENTUCKY,1,0,,0,0,346,64.8,65.2,71.9,,60.4,,,0,0,5,5,0.0,0,0
Carsen Stocklinski,148415,DI,HAWAII,1,0,2.5,0,0,180,,47.9,75.9,61.4,44.6,71.9,0.0,0,0,22,22,9.1,2,2
Trey Harris,148808,S,SM HOUSTON,1,0,2.0,0,0,281,64.9,64.6,73.0,60.0,61.4,75.3,0.0,0,0,10,10,10.0,1,1
Jordan Washington,148854,CB,STANFORD,1,0,,0,0,300,57.7,57.2,74.7,55.4,60.0,79.3,,0,0,7,7,0.0,0,0
Finn Claypool,149576,ED,FRESNO ST,1,0,15.0,0,0,169,,67.5,76.7,71.9,58.5,75.7,0.0,0,0,13,15,0.0,0,2
Emon Allen,150299,CB,SM HOUSTON,1,0,7.0,0,0,281,54.7,58.6,77.4,,76.6,64.6,0.0,0,0,23,23,4.3,1,4
Jaden Hardy,150904,DI,W KENTUCKY,1,0,0.0,0,0,346,,68.4,75.4,67.5,64.1,70.1,0.0,0,0,11,11,9.1,1,1
Tamatoa McDonough,151151,ED,IOWA STATE,1,0,,0,0,193,,43.5,77.7,54.1,39.7,,,0,0,19,20,0.0,0,0
Al-Ma'hi Ali,154696,S,W KENTUCKY,1,0,52.0,0,0,346,75.0,60.0,75.3,,29.0,50.8,66.7,2,0,15,15,0.0,0,1
Aamaris Brown,156213,CB,UNLV,1,0,12.0,0,0,325,71.1,71.0,81.5,65.7,61.4,71.7,33.3,1,1,21,23,4.8,1,2
Gabe Powers,156486,LB,KANSAS ST,1,1,2.0,0,0,199,52.2,66.4,72.9,,75.0,78.0,0.0,0,0,18,18,11.1,2,2
Jaylen Wester,156530,LB,W KENTUCKY,1,0,1.0,0,0,346,58.2,70.7,74.4,67.9,79.7,79.4,0.0,0,0,12,12,16.7,2,2
Alonzo Edwards Jr.,156859,CB,SM HOUSTON,1,0,4.0,0,0,281,49.2,49.7,78.0,58.7,59.1,69.5,33.3,1,1,27,27,3.7,1,2
Jaylen Lewis,157018,S,W KENTUCKY,1,1,9.0,0,0,346,75.3,71.1,76.1,,56.8,79.9,0.0,0,0,14,14,7.1,1,2
Laterrance Welch,157115,CB,UNLV,1,0,,0,0,325,65.7,66.1,76.8,,62.1,21.4,,0,0,12,14,0.0,0,0
Robby Harrison,157195,DI,W KENTUCKY,1,1,,0,0,346,,60.8,73.2,63.5,57.6,70.2,0.0,0,0,6,6,0.0,0,0
Matt Rose,157275,LB,STANFORD,1,1,2.2,0,0,300,68.2,63.6,0.0,66.4,58.4,72.0,14.3,1,1,12,12,25.0,3,5
Ernest Cooper,157278,ED,STANFORD,1,1,8.0,0,0,300,60.0,48.0,76.8,58.5,61.3,75.2,0.0,0,0,6,6,0.0,0,1
Tevarua Tafiti,157281,ED,STANFORD,1,0,,0,0,300,55.7,62.6,80.7,62.2,64.3,24.9,,0,0,10,10,0.0,0,0
Zach Rowell,157284,DI,STANFORD,1,1,,0,0,300,,64.7,73.9,59.5,66.4,69.7,0.0,0,0,5,5,0.0,0,0
Justice Finkley,157306,ED,KANSAS,1,0,2.0,0,0,198,60.0,68.9,77.1,61.1,71.2,70.2,0.0,0,0,12,12,8.3,1,1
Trey Lathan,157359,LB,KANSAS,1,4,0.7,0,0,198,52.3,65.3,75.6,73.5,71.5,82.8,0.0,0,0,20,20,15.0,3,3
Donovan Spellman,157558,ED,UNLV,1,0,,0,0,325,60.0,46.3,76.2,52.5,48.7,,,0,0,5,7,0.0,0,0
Caleb Bacon,157561,LB,IOWA STATE,1,0,1.0,0,0,193,43.4,52.8,76.9,65.5,65.3,55.0,25.0,1,0,19,21,15.8,3,3
Will McLaughlin,157562,LB,IOWA STATE,1,0,2.0,0,0,193,61.7,53.6,72.1,57.6,49.9,27.8,50.0,1,0,10,10,10.0,1,1
Jontez Williams,157583,CB,IOWA STATE,1,1,7.0,0,0,193,75.9,75.2,76.3,,65.0,81.7,0.0,0,0,18,20,5.6,1,2
Ikenna Ezeogu,157591,ED,IOWA STATE,1,0,,0,0,193,59.8,58.3,75.4,62.4,58.2,29.6,,0,0,19,20,0.0,0,0
Carson Willich,157592,LB,IOWA STATE,1,1,2.0,0,0,193,60.9,64.1,74.5,56.4,68.9,65.6,25.0,1,0,12,13,16.7,2,2
Domonique Orange,157602,DI,IOWA STATE,1,0,2.5,0,0,193,60.0,70.4,78.0,71.7,63.3,73.6,0.0,0,0,19,20,10.5,2,2
Jeremiah Cooper,157608,CB,IOWA STATE,1,0,-2.0,0,0,193,59.5,64.4,76.5,,75.7,77.7,0.0,0,0,23,24,8.7,2,2
Simeon Harris,157706,S,FRESNO ST,1,0,5.7,0,0,169,66.7,67.2,77.2,57.5,66.1,81.1,0.0,0,0,21,23,9.5,2,3
Uso Seumalo,157775,DI,KANSAS ST,1,1,3.0,0,0,199,,65.9,74.7,59.9,66.8,28.0,50.0,2,0,17,17,0.0,0,1
VJ Payne,157780,S,KANSAS ST,1,1,4.5,0,0,199,68.4,64.9,77.8,,56.7,45.1,40.0,2,1,35,35,0.0,0,2
Tobi Osunsanmi,157786,ED,KANSAS ST,1,0,,0,0,199,57.2,69.8,80.0,80.3,59.8,78.0,,0,0,26,26,0.0,0,0
Andre Cobb,158056,CB,FRESNO ST,1,1,,0,0,169,33.7,39.5,74.4,59.7,64.6,74.8,0.0,0,0,7,7,0.0,0,0
Peter Manuma,158178,S,HAWAII,1,3,5.6,0,0,180,63.2,66.8,76.0,59.2,70.1,69.0,11.1,1,0,41,41,4.9,2,5
Jalen Smith,158187,LB,HAWAII,1,1,3.5,0,0,180,55.7,55.8,76.8,55.2,58.1,59.5,18.2,2,1,41,41,12.2,5,8
