player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Colby Reeder,30285,LB,IOWA STATE,1,2,,0,0,193,75.7,71.3,77.9,57.3,57.2,47.5,0.0,0,0,11,12,0.0,0,0
Kyle Pugh,35900,LB,N ILLINOIS,1,4,9.7,0,0,254,73.3,71.9,77.4,69.6,62.3,76.4,9.1,1,0,38,38,7.9,3,6
Jordan Carmouche,39951,LB,ARK STATE,1,4,3.7,0,0,113,43.4,49.3,78.3,53.4,61.1,84.1,0.0,0,0,39,39,10.3,4,6
Bricen Garner,42520,S,W MICHIGAN,1,2,7.1,0,0,347,33.9,41.3,75.9,58.6,46.9,67.5,15.4,2,0,51,51,3.9,2,9
Brandon Moore,42620,CB,NEBRASKA,1,0,,0,0,238,65.0,65.2,71.5,60.0,60.2,,,0,0,4,4,0.0,0,0
Brandon Bouyer-Randle,42637,LB,UCONN,1,2,4.0,0,0,146,64.8,67.1,73.4,70.8,61.8,81.5,0.0,0,0,27,27,3.7,1,3
Clifford Chattman,42657,S,UTSA,1,0,8.3,0,0,331,64.4,58.0,76.7,,46.8,54.0,20.0,1,0,23,23,4.3,1,4
Anthony Watts,42807,DI,MARSHALL,1,1,,0,0,214,60.0,69.9,76.2,64.3,69.4,72.8,0.0,0,0,9,9,0.0,0,0
Justin Clark,43185,CB,WISCONSIN,1,0,,0,0,349,64.2,64.6,73.6,,60.2,,,0,0,6,6,0.0,0,0
Ryan McWood,43189,LB,MIAMI OH,1,1,3.8,0,0,221,45.1,52.0,75.3,56.4,64.4,58.3,10.0,1,0,28,29,17.9,5,8
Jaydon Grant,43354,S,OREGON ST,1,1,7.0,0,0,265,68.6,73.4,75.8,59.2,77.3,81.7,0.0,0,0,23,23,4.3,1,2
Jon-Michael Terry,43635,LB,TULSA,1,2,4.0,0,0,320,60.7,71.2,75.8,57.0,79.2,64.2,0.0,0,0,22,22,4.5,1,2
Tyrone Hopper,43714,ED,MISSOURI,1,0,,0,0,229,,55.4,74.8,56.1,57.0,23.9,100.0,1,0,10,10,0.0,0,0
Sione Tupou,44093,LB,TEXAS ST,1,1,3.3,0,0,314,74.1,68.8,76.3,59.3,59.4,80.7,0.0,0,0,36,38,8.3,3,3
Antwaine Richardson,49364,S,KENT STATE,1,0,6.0,0,0,201,45.6,50.6,77.0,,65.6,73.1,0.0,0,0,24,24,4.2,1,1
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,1,1,4.5,0,0,174,41.6,51.9,72.1,56.3,63.5,55.2,16.7,1,0,27,28,7.4,2,4
Penei Pavihi,52079,LB,HAWAII,1,1,3.5,0,0,180,49.7,55.7,76.2,76.3,56.0,48.9,0.0,0,0,24,24,4.2,1,2
George Nyakwol,52203,S,RICE,1,1,,0,0,275,73.1,75.5,74.8,75.2,64.6,78.8,0.0,0,0,11,11,0.0,0,0
Trey Schuman,52216,ED,RICE,1,0,0.0,0,0,275,62.6,84.6,75.7,73.3,73.0,73.6,0.0,0,0,9,10,11.1,1,1
