player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Mark Williams,21922,CB,LA MONROE,1,0,4.0,0,0,209,49.9,52.1,72.9,,64.2,79.8,0.0,0,0,7,7,0.0,0,1
Devin Taylor,22317,CB,BOWL GREEN,1,0,4.0,0,0,122,67.9,67.4,0.0,63.2,68.9,81.1,0.0,0,4,49,50,2.0,1,1
Cortez Davis,22974,CB,HAWAII,1,1,,0,0,180,64.9,65.8,79.2,,65.7,42.3,50.0,1,1,51,53,0.0,0,0
Reggie Stubblefield,23441,S,KANSAS ST,1,0,-0.5,0,0,199,45.4,49.9,0.0,56.9,74.0,33.4,0.0,0,1,23,23,8.7,2,2
Mikel Horton,23509,DI,CHARLOTTE,1,2,3.0,1,0,136,60.0,62.8,0.0,63.2,67.6,74.6,0.0,0,1,12,12,8.3,1,1
Colby Burton,23898,CB,HAWAII,1,0,3.0,0,0,180,52.9,55.4,75.8,,65.8,81.9,0.0,0,1,22,24,4.5,1,1
Darion Dunn,23963,CB,TEXAS,1,0,6.0,0,0,311,81.7,80.8,73.8,,65.9,73.5,0.0,0,0,12,13,0.0,0,1
Luc Bequette,25776,DI,CAL,1,0,3.5,0,0,130,59.7,41.7,75.5,53.6,41.4,72.6,0.0,0,0,25,27,8.0,2,2
Jeremiah Moon,26453,LB,FLORIDA,1,0,2.5,0,1,163,31.2,55.3,75.9,65.0,79.4,44.2,20.0,1,0,22,23,13.6,3,4
Brenden Schooler,28253,S,TEXAS,1,0,18.0,0,0,311,69.1,61.4,78.3,59.4,46.0,81.7,0.0,0,0,22,22,0.0,0,1
Richard Moore,28853,LB,SMU,1,2,1.0,0,0,287,47.1,53.5,73.6,59.4,66.6,79.9,0.0,0,0,11,11,18.2,2,2
Jack Jones,29050,CB,ARIZONA ST,1,0,3.5,0,0,110,59.7,56.3,77.2,,47.7,48.4,33.3,1,0,37,38,2.7,1,2
Marshaun Cameron,30624,CB,COLO STATE,1,0,5.0,0,0,144,56.2,55.6,77.3,,54.9,82.8,0.0,0,0,34,35,0.0,0,1
Brian Cavicante,33444,LB,MARSHALL,1,0,1.0,0,0,214,27.6,29.1,72.3,57.3,73.6,76.1,0.0,0,1,6,6,16.7,1,1
Brock Nichols,33753,S,USF,1,0,,0,0,327,42.2,40.4,70.4,,56.1,,,0,0,7,7,0.0,0,0
Ferrod Gardner,34595,LB,LA LAFAYET,1,2,0.5,0,0,207,62.7,55.3,69.9,56.6,53.2,78.7,0.0,0,0,23,23,8.7,2,2
John Petrishen,35069,LB,PITTSBURGH,1,0,,0,0,268,50.8,50.1,74.0,59.1,55.5,28.9,100.0,1,0,10,10,0.0,0,0
Scott Patchan,36449,ED,COLO STATE,1,0,2.3,0,0,144,51.1,62.3,14.5,76.3,59.5,25.6,25.0,1,1,46,47,4.3,2,3
Elijah Taylor,36723,ED,TULSA,1,0,2.0,0,0,320,,56.5,72.0,,56.6,27.8,50.0,1,0,13,13,7.7,1,1
Thad Mangum,36819,DI,USF,1,0,1.0,0,0,327,,58.7,76.2,55.7,60.3,21.0,50.0,1,0,24,24,4.2,1,1
Micah Dew-Treadway,37050,DI,MINNESOTA,1,0,,0,0,225,,56.9,78.5,57.0,57.0,,,0,0,21,22,0.0,0,0
Tony Fair,37101,DI,AUBURN,1,0,1.0,0,0,115,,52.9,73.1,63.6,48.5,70.1,0.0,0,0,5,5,20.0,1,1
Josh Drayden,38498,CB,CAL,1,1,-2.0,0,0,130,57.1,64.3,78.2,83.6,67.2,41.3,0.0,0,0,29,31,3.4,1,1
