player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kwabena Bonsu,82237,DI,ARMY,1,1,0.0,0,0,114,,71.7,73.7,54.9,73.2,73.8,0.0,0,0,22,22,4.5,1,1
Eavan Gibbons,85696,S,NAVY,1,1,3.3,0,0,237,69.8,52.6,76.2,,37.8,52.8,20.0,1,0,44,45,4.5,2,3
Camden O'Gara,86506,LB,ARMY,1,5,2.0,0,0,114,61.2,82.3,75.3,,83.3,51.9,23.1,3,0,46,46,8.7,4,5
Nicholas Straw,100994,ED,NAVY,1,4,6.0,0,0,237,61.9,61.6,82.2,60.2,60.2,38.9,25.0,2,0,44,45,2.3,1,2
John Marshall,101082,S,NAVY,1,3,4.2,0,0,237,62.8,74.5,80.4,68.5,75.1,66.5,11.1,1,0,44,45,6.8,3,5
Taylor Robinson,101083,S,NAVY,1,0,,0,0,237,60.6,59.4,67.2,57.7,60.0,,,0,0,1,1,0.0,0,0
Marquel Broughton,102671,S,ARMY,1,4,6.3,0,0,114,57.5,71.7,76.7,,79.8,76.1,7.7,1,1,54,54,5.6,3,8
Quindrelin Hammonds,102679,S,ARMY,1,2,7.7,0,0,114,55.4,57.6,78.5,,58.5,49.2,28.6,2,0,54,54,1.9,1,3
Jabari Moore,102681,CB,ARMY,1,0,,0,0,114,63.9,60.6,75.2,,56.5,21.7,100.0,1,0,45,45,0.0,0,0
Darius Richardson,102716,DI,ARMY,1,0,1.0,0,0,114,,57.9,78.8,58.9,57.4,71.5,0.0,0,0,34,34,2.9,1,2
Chris Frey,102720,DI,ARMY,1,4,1.2,0,0,114,60.0,85.9,74.7,65.8,84.3,79.4,0.0,0,0,32,32,15.6,5,6
Andre Carter II,102780,ED,ARMY,1,2,1.5,0,0,114,69.6,73.8,81.7,54.0,71.1,58.8,20.0,1,0,54,54,3.7,2,2
Nathaniel Smith,102783,ED,ARMY,1,0,2.3,0,0,114,60.0,48.7,72.9,63.8,45.8,76.2,0.0,0,0,17,17,17.6,3,3
Jimmy Ciarlo,121563,ED,ARMY,1,4,1.8,0,0,114,61.2,70.2,81.4,56.8,70.7,55.9,16.7,2,0,54,54,9.3,5,6
Austin Hill,121576,ED,ARMY,1,2,1.7,0,0,114,,71.4,75.5,54.9,72.7,76.8,0.0,0,0,37,37,8.1,3,3
Cameron Jones,121581,CB,ARMY,1,0,,0,0,114,61.7,64.9,74.6,,66.2,,,0,0,35,35,0.0,0,0
Leo Lowin,121586,LB,ARMY,1,3,3.4,0,0,114,62.2,71.3,78.1,,71.6,85.9,0.0,0,0,54,54,16.7,9,12
Bo Nicolas-Paul,121595,CB,ARMY,1,1,,0,0,114,62.9,69.9,73.2,,74.3,73.5,0.0,0,0,28,28,0.0,0,0
Donald Berniard Jr.,121832,DI,NAVY,1,1,2.0,0,0,237,60.0,71.7,79.1,68.7,66.8,72.2,0.0,0,0,44,45,4.5,2,2
Jacob Busic,121837,ED,NAVY,1,0,0.5,0,0,237,,48.3,77.5,52.7,48.6,41.6,33.3,1,0,43,44,4.7,2,2
Clay Cromwell,121840,DI,NAVY,1,2,0.8,0,0,237,,67.6,76.2,54.6,70.0,76.6,0.0,0,0,43,44,9.3,4,4
Will Harbour,121848,LB,NAVY,1,0,0.9,0,0,237,41.1,58.0,77.8,53.1,71.6,63.1,11.1,1,1,21,22,28.6,6,8
Matthew Peters,121865,CB,NAVY,1,0,-25.0,0,0,237,83.6,78.0,73.5,,58.3,34.4,50.0,1,0,22,23,4.5,1,1
Kyle Jacob,144318,LB,NAVY,1,0,4.0,0,0,237,,65.3,64.4,,62.9,73.6,0.0,0,0,2,2,50.0,1,1
Rayuan Lane III,144326,S,NAVY,1,0,10.3,1,0,237,31.4,34.5,0.0,,48.3,29.1,50.0,3,1,44,45,0.0,0,3
Colin Ramos,144338,LB,NAVY,1,3,5.8,0,0,237,70.9,61.2,76.8,68.5,50.6,43.1,22.2,2,0,42,43,4.8,2,4
Justin Reed,144339,ED,NAVY,1,0,2.0,0,0,237,,73.0,74.8,57.5,73.6,73.9,0.0,0,0,23,23,4.3,1,2
Mbiti Williams Jr.,144352,CB,NAVY,1,2,,0,0,237,48.8,54.9,75.2,70.5,59.3,44.5,33.3,1,1,44,45,0.0,0,0
Jianni Woodson-Brooks,144353,LB,NAVY,1,1,2.5,0,0,237,60.6,74.1,77.9,56.7,76.7,78.9,0.0,0,0,23,23,4.3,1,2
Kalvyn Crummie,147348,LB,ARMY,1,2,2.0,0,1,114,60.8,71.4,70.9,60.0,72.0,77.6,0.0,0,0,8,8,12.5,1,1
Jacob Tuioti,163227,DI,ARMY,1,1,0.0,0,0,114,,62.5,76.6,55.9,63.5,71.5,0.0,0,0,20,20,5.0,1,1
