player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Isaac Terrell,176693,ED,WASH STATE,1,0,,0,0,341,60.0,68.1,72.2,67.4,60.0,,,0,0,1,1,0.0,0,0
Christian Davis,178014,DI,LA TECH,1,4,,0,0,208,,32.7,78.5,56.9,30.8,74.5,0.0,0,0,40,40,0.0,0,0
Jordan Taylor,180977,CB,JAMES MAD,1,1,,0,0,197,64.1,65.2,75.1,,64.5,58.9,0.0,0,0,8,9,0.0,0,0
Daniel Harris,182310,CB,GEORGIA,1,1,7.0,0,0,173,50.0,50.5,76.9,,55.7,77.0,0.0,0,0,32,33,0.0,0,1
Jordan Boyd,183211,ED,GA TECH,1,0,,0,0,176,,50.0,68.7,59.5,56.2,,,0,0,2,2,0.0,0,0
Tah'j Butler,183212,LB,GA TECH,1,1,1.3,0,0,176,63.0,80.2,74.0,59.1,85.7,79.7,0.0,0,0,12,12,33.3,4,4
Zaquan Patterson,183237,S,MIAMI FL,1,1,1.7,0,0,220,36.5,55.1,76.1,,78.4,82.2,0.0,0,1,18,18,11.1,2,3
Cam Pruitt,183239,LB,MIAMI FL,1,0,12.0,0,0,220,63.1,61.4,75.2,59.7,58.8,73.0,0.0,0,0,8,8,0.0,0,1
Isaiah Crosby,183258,S,CAL,1,1,1.0,0,0,130,63.9,58.4,73.1,,54.1,40.9,33.3,1,0,22,22,4.5,1,1
Ja'ir Smith,183264,CB,CAL,1,0,3.0,0,0,130,28.8,30.5,73.1,,51.7,28.9,50.0,1,0,21,21,4.8,1,1
Francis Brewu,183267,DI,PITTSBURGH,1,0,0.0,0,0,268,60.0,66.4,75.1,67.4,66.7,36.3,0.0,0,0,10,10,10.0,1,1
Sincere Edwards,183270,ED,PITTSBURGH,1,0,,0,0,268,60.1,75.4,77.3,77.0,62.2,,,0,0,9,9,0.0,0,0
Daniel Anderson,183323,ED,N CAROLINA,1,0,,0,0,245,,62.4,69.5,,61.0,,,0,0,3,3,0.0,0,0
Tyrane Stewart,183340,CB,N CAROLINA,1,0,6.0,0,0,245,59.1,62.7,74.6,,68.6,48.0,0.0,0,0,23,24,4.3,1,3
Malcolm Ziglar,183346,S,N CAROLINA,1,0,,0,0,245,64.4,64.6,68.7,,60.0,76.9,,0,0,2,2,0.0,0,0
Zane Williams,183368,LB,NC STATE,1,1,6.0,0,0,248,62.4,76.4,72.9,60.3,71.2,75.7,0.0,0,0,8,8,0.0,0,1
Caden Brown,183371,ED,SYRACUSE,1,0,,0,0,304,,57.4,71.4,56.8,60.0,,,0,0,2,2,0.0,0,0
KingJoseph Edwards,183372,ED,SYRACUSE,1,0,2.0,0,0,304,,58.6,74.6,48.5,66.0,46.5,0.0,0,0,7,7,28.6,2,2
Jahide Lesaine Jr.,183375,ED,SYRACUSE,1,0,4.0,0,0,304,,64.9,75.6,54.1,74.1,71.5,0.0,0,0,5,5,20.0,1,1
Braheem Long Jr.,183376,S,SYRACUSE,1,0,,0,0,304,59.5,60.0,74.3,,60.0,81.5,,0,0,4,4,0.0,0,0
Maraad Watson,183380,DI,SYRACUSE,1,0,4.5,0,0,304,,55.2,0.0,58.8,60.8,71.9,0.0,0,1,19,19,0.0,0,2
Dinellson Exume,183436,DI,USF,1,0,,0,0,327,,60.6,75.0,56.5,63.0,,,0,0,5,5,0.0,0,0
Fred Lewis,183462,LB,UTSA,1,0,,0,0,331,,62.6,64.0,,61.2,,,0,0,3,3,0.0,0,0
Jayden Hill,183476,S,N TEXAS,1,3,10.0,0,0,251,62.9,63.3,78.5,59.8,63.0,35.1,33.3,2,0,39,40,0.0,0,1
Jaedon Langley,183477,DI,N TEXAS,1,0,-3.0,0,0,251,,53.1,0.0,56.0,65.1,71.1,0.0,0,1,9,9,11.1,1,1
Joe Barna,183498,ED,ILLINOIS,1,0,3.0,0,0,187,,62.3,74.5,53.0,71.3,72.2,0.0,0,0,6,6,16.7,1,1
Daniel Brown,183500,ED,ILLINOIS,1,0,1.0,0,0,187,64.3,70.4,75.1,72.5,63.7,72.2,0.0,0,0,5,5,0.0,0,1
Caleb Benning,183549,S,NEBRASKA,1,0,,0,0,238,73.4,79.4,70.1,,69.9,76.7,,0,0,1,2,0.0,0,0
Donovan Jones,183564,S,NEBRASKA,1,0,,0,0,238,64.8,65.7,75.9,63.8,61.8,48.1,,0,0,10,11,0.0,0,0
Willis McGahee IV,183570,ED,NEBRASKA,1,2,2.0,0,0,238,54.4,66.3,78.6,61.0,73.5,78.9,0.0,0,0,6,7,16.7,1,1
Jordan Ochoa,183574,ED,NEBRASKA,1,0,,0,0,238,,48.4,70.2,55.6,60.0,,,0,0,1,1,0.0,0,0
Vincent Shavers Jr.,183585,LB,NEBRASKA,1,0,0.5,0,0,238,71.2,71.2,0.0,67.7,70.4,82.0,0.0,0,1,10,11,20.0,2,2
Jide Abasiri,183614,DI,USC,1,0,,0,0,326,,54.0,0.0,60.7,62.9,,,0,1,6,6,0.0,0,0
Kameryn Fountain,183618,ED,USC,1,0,1.0,0,0,326,60.6,58.4,0.0,54.5,69.1,76.6,0.0,0,1,19,19,10.5,2,3
Desman Stephens II,183628,LB,USC,1,1,8.0,0,0,326,63.4,59.1,74.7,64.1,49.5,77.6,0.0,0,0,9,9,0.0,0,2
Jeremiah Beasley,183682,LB,MISSOURI,1,0,6.0,0,0,229,60.8,47.9,0.0,59.7,62.9,74.3,0.0,0,1,2,2,0.0,0,1
Dominic Nichols,183687,ED,MICHIGAN,1,0,,0,0,222,62.8,70.5,73.4,68.4,60.5,72.2,,0,0,3,3,0.0,0,0
Eddrick Houston,183699,DI,OHIO STATE,1,0,,0,0,260,,79.3,71.9,76.7,64.4,,,0,0,3,3,0.0,0,0
Orion Maile-Kaufusi,183777,ED,BYU,1,0,,0,0,128,,60.1,68.1,60.0,60.0,,,0,0,1,1,0.0,0,0
Tommy Prassas,183780,S,BYU,1,0,,0,0,128,77.1,74.3,72.8,58.3,60.0,78.3,,0,0,2,2,0.0,0,0
Danny Saili,183781,DI,ARKANSAS,1,0,,0,0,111,,67.0,72.8,58.2,68.0,,,0,0,9,9,0.0,0,0
John Taumoepeau,183783,DI,BYU,1,0,,0,0,128,,69.3,73.8,62.2,66.9,,,0,0,3,3,0.0,0,0
Devyn Hidrogo,183825,S,TCU,1,0,6.0,0,0,305,62.0,66.5,70.1,,64.6,77.6,0.0,0,0,6,6,0.0,0,1
Travis Jackson,183828,ED,TCU,1,0,3.0,0,0,305,60.1,70.1,74.9,56.4,74.0,71.1,0.0,0,0,10,10,10.0,1,1
Julian Knox,183830,CB,TCU,1,0,,0,0,305,60.0,46.1,68.9,,53.1,,,0,0,6,6,0.0,0,0
Kaden McFadden,183833,S,TCU,1,0,36.0,0,0,305,60.0,52.2,69.9,,50.1,28.1,50.0,1,0,6,6,0.0,0,1
Devondre McGee,183834,CB,TCU,1,0,,0,0,305,61.6,62.7,70.5,,60.1,,,0,0,6,6,0.0,0,0
Israel Boyce,183875,S,W VIRGINIA,1,0,1.0,0,0,343,58.1,62.3,70.3,,67.4,77.0,0.0,0,0,3,3,33.3,1,1
Nate Gabriel,183878,DI,W VIRGINIA,1,1,,0,0,343,,52.6,72.4,57.8,55.7,70.1,0.0,0,0,2,2,0.0,0,0
Elijah Kinsler,183880,DI,W VIRGINIA,1,0,2.0,0,0,343,,48.2,67.7,,52.8,70.8,0.0,0,0,3,3,33.3,1,1
Harper Holloman,184000,ED,W KENTUCKY,1,0,,0,0,346,,44.3,71.9,58.6,46.8,,,0,0,8,8,0.0,0,0
Javon Hammonds,184082,ED,MIAMI OH,1,0,,0,0,221,,44.0,72.0,55.2,50.1,,,0,0,2,3,0.0,0,0
