player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Trey Moore,145527,ED,TEXAS,1,0,11.0,100.0,12.0,3.0,3.0,0,0,0,0.0,311,67.9,64.1,78.7,65.6,50.8,72.2,0,14,0.0,0,0,0,118.8,1,3,25,1,1,1,0,14,3,4.7,14.0
Lorenzo Styles Jr.,147474,CB,OHIO STATE,1,0,,,90.0,,,0,0,0,,260,64.0,63.3,73.8,58.6,60.0,,0,,,0,0,0,0.0,0,9,10,0,0,0,0,0,0,0.0,
Jaylen Sneed,156972,LB,NOTRE DAME,1,0,2.0,0.0,58.8,,4.5,0,0,0,0.0,258,37.0,59.7,73.8,61.6,73.0,57.3,0,,,0,0,0,39.6,0,10,17,0,0,2,0,0,0,0.0,
Davison Igbinosun,157129,CB,OHIO STATE,1,0,18.3,50.0,97.7,13.3,6.7,0,0,0,0.0,260,55.9,60.4,76.7,71.8,71.0,60.4,0,24,16.7,1,0,1,68.1,3,43,44,0,5,6,0,35,6,0.9,11.7
Jaylon Guilbeau,157307,CB,TEXAS,1,0,0.6,100.0,93.5,5.8,5.8,0,0,0,0.0,311,59.4,55.9,78.7,56.1,47.4,26.0,0,14,66.7,2,0,0,93.3,5,29,31,1,1,5,0,32,29,1.1,6.4
Kenyatta Jackson Jr.,162868,ED,OHIO STATE,1,0,13.0,100.0,14.3,2.0,2.0,0,0,0,0.0,260,52.7,41.2,75.3,58.5,56.4,,0,26,,0,0,0,158.3,1,2,14,0,0,1,1,26,13,13.0,26.0
Hero Kanu,162870,DI,OHIO STATE,1,0,,,25.0,,,0,0,0,,260,59.2,62.8,70.0,58.5,67.0,70.2,0,,,0,0,0,0.0,0,1,4,0,0,0,0,0,0,0.0,
Sonny Styles,162876,LB,OHIO STATE,1,0,5.4,75.0,89.1,6.3,4.8,0,0,1,12.5,260,55.5,63.1,78.1,92.5,52.3,45.8,0,22,20.0,1,1,0,138.0,6,41,46,3,4,8,1,65,55,1.7,10.8
Audavion Collins,163676,CB,PENN STATE,1,0,,,100.0,,,0,0,0,,266,65.4,67.3,73.0,,66.2,74.2,0,,,0,0,0,0.0,0,12,12,0,0,0,0,0,0,0.0,
Ethan Burke,163843,ED,TEXAS,1,0,,,20.0,,,0,0,0,,311,60.4,70.4,74.0,60.9,71.3,71.5,0,,,0,0,0,0.0,0,2,10,0,0,0,0,0,0,0.0,
Abdul Carter,164160,ED,PENN STATE,1,0,,,8.3,,,0,0,0,,266,60.7,80.8,80.2,73.6,78.1,79.1,0,,,0,0,0,0.0,0,3,36,1,0,0,0,0,0,0.0,
Dani Dennis-Sutton,164163,ED,PENN STATE,1,0,17.0,0.0,11.1,,4.0,0,0,0,0.0,266,73.3,88.1,5.4,73.4,75.9,78.2,1,,0.0,0,0,1,0.0,0,4,36,3,1,1,0,0,0,0.0,
Cam Miller,164178,CB,PENN STATE,1,0,8.7,66.7,100.0,10.5,7.0,0,0,0,0.0,266,50.7,51.7,78.1,,60.9,77.3,0,54,0.0,0,0,0,149.3,2,21,21,0,2,3,1,65,42,3.1,32.5
Malik Hartford,170252,S,OHIO STATE,1,0,,,100.0,,,0,1,0,,260,60.0,60.0,63.1,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,0,-4.0,100.0,93.8,14.0,14.0,0,0,0,0.0,260,61.9,65.2,76.2,71.9,65.7,76.4,0,5,0.0,0,0,1,81.3,2,30,32,0,1,2,0,7,15,0.3,3.5
Arvell Reese,170264,LB,OHIO STATE,1,0,,,100.0,,,0,0,0,,260,60.9,68.7,69.7,,67.0,73.1,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Tony Rojas,170297,LB,PENN STATE,1,0,5.0,100.0,82.4,14.0,14.0,0,0,0,0.0,266,51.6,49.1,75.6,58.0,51.8,49.1,0,6,0.0,0,0,0,91.7,1,14,17,0,1,1,0,6,1,0.4,6.0
Zion Tracy,170301,CB,PENN STATE,1,0,11.0,100.0,88.2,6.5,6.5,0,0,0,0.0,266,52.8,51.7,78.6,55.1,54.3,28.9,0,17,33.3,1,0,0,118.8,2,15,17,0,2,2,0,27,5,2.1,13.5
Elliot Washington II,170303,CB,PENN STATE,1,1,-1.0,100.0,100.0,20.0,20.0,0,0,0,0.0,266,64.3,64.7,74.0,,60.0,78.2,0,4,0.0,0,0,0,83.3,1,21,21,0,2,1,0,4,5,0.2,4.0
Jaiden Ausberry,171075,LB,NOTRE DAME,1,0,13.5,50.0,100.0,5.5,2.8,0,0,0,0.0,258,29.3,28.0,72.4,48.8,38.5,59.6,0,22,50.0,1,0,0,74.0,2,11,11,0,1,4,0,29,12,2.6,14.5
Drayk Bowen,171077,LB,NOTRE DAME,1,0,,,81.8,,,0,0,0,,258,58.1,68.7,77.2,65.0,72.1,82.6,0,,0.0,0,0,0,0.0,0,18,22,1,1,0,0,0,0,0.0,
Adon Shuler,171098,S,NOTRE DAME,1,2,18.0,100.0,100.0,19.0,19.0,0,0,0,0.0,258,48.5,38.6,75.9,,29.3,27.8,0,27,0.0,0,0,1,118.8,1,20,20,0,0,1,0,27,9,1.4,27.0
Caleb Downs,172375,S,OHIO STATE,1,0,5.4,60.0,97.9,14.3,8.6,0,0,0,0.0,260,69.3,71.1,77.8,59.2,72.5,72.9,1,34,0.0,0,0,0,52.5,3,46,47,1,3,5,0,48,40,1.1,16.0
Anthony Hill Jr.,173158,LB,TEXAS,1,1,8.6,100.0,87.9,5.6,5.6,0,0,0,0.0,311,50.6,54.8,75.5,75.5,54.0,60.1,0,75,0.0,0,0,0,158.3,5,29,33,1,4,5,1,128,85,4.6,25.6
Liona Lefau,173161,LB,TEXAS,1,2,1.8,100.0,87.0,4.8,4.8,0,0,0,0.0,311,47.5,41.6,73.8,57.3,44.3,33.8,0,13,25.0,1,0,0,104.2,4,20,23,0,1,4,0,36,29,1.9,9.0
Malik Muhammad,173165,CB,TEXAS,1,0,9.8,40.0,100.0,17.0,6.8,0,0,0,0.0,311,59.8,57.4,76.1,,47.0,38.3,0,11,33.3,1,0,1,50.4,2,36,36,0,2,5,0,18,16,0.5,9.0
A.J. Harris,173534,CB,PENN STATE,1,0,18.3,33.3,100.0,26.0,8.7,0,0,1,33.3,266,58.9,62.1,77.0,,69.4,79.9,0,32,0.0,0,0,0,74.3,1,28,28,0,2,3,0,32,9,1.2,32.0
Jelani McDonald,176180,S,TEXAS,1,0,,,81.8,,,0,0,0,,311,71.2,78.4,73.3,79.6,60.0,,0,,,0,0,0,0.0,0,9,11,0,0,0,0,0,0,0.0,
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,1,1,-1.0,100.0,42.9,6.0,6.0,0,0,0,0.0,258,72.6,73.6,76.7,58.5,70.2,60.0,0,1,50.0,1,0,0,79.2,1,6,14,0,0,1,0,1,2,0.2,1.0
Colin Simmons,184515,ED,TEXAS,1,0,7.0,100.0,33.3,7.0,7.0,0,0,0,0.0,311,54.1,75.6,78.8,73.9,79.0,78.6,0,15,0.0,0,0,0,118.8,1,7,21,2,2,1,0,15,8,2.1,15.0
Leonard Moore,189882,CB,NOTRE DAME,1,0,7.5,25.0,100.0,28.0,7.0,0,0,0,0.0,258,72.7,67.0,77.8,,45.1,29.3,0,6,50.0,1,0,0,39.6,1,30,30,0,1,4,0,6,1,0.2,6.0
