player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Colby Reeder,30285,LB,IOWA STATE,1,0,3.8,33.3,88.9,11.5,3.8,0,0,0,0.0,193,75.7,71.3,77.9,57.3,57.2,47.5,1,6,0.0,0,0,0,2.8,2,24,27,0,1,6,0,12,8,0.5,6.0
Kyle Pugh,35900,LB,N ILLINOIS,1,1,,,76.7,,,0,0,0,,254,73.3,71.9,77.4,69.6,62.3,76.4,0,,0.0,0,0,0,0.0,0,23,30,0,2,0,0,0,0,0.0,
Jordan Carmouche,39951,LB,ARK STATE,1,1,14.0,66.7,84.2,14.0,9.3,0,0,0,0.0,113,43.4,49.3,78.3,53.4,61.1,84.1,0,17,0.0,0,0,0,143.1,2,32,38,0,1,3,1,33,20,1.2,16.5
Bricen Garner,42520,S,W MICHIGAN,1,0,20.0,100.0,85.7,11.0,11.0,0,0,0,0.0,347,33.9,41.3,75.9,58.6,46.9,67.5,0,37,,0,0,0,118.8,1,12,14,0,0,1,0,37,17,3.4,37.0
Brandon Moore,42620,CB,NEBRASKA,1,0,,,88.9,,,0,0,0,,238,65.0,65.2,71.5,60.0,60.2,,0,,,0,0,0,0.0,0,8,9,0,0,0,0,0,0,0.0,
Brandon Bouyer-Randle,42637,LB,UCONN,1,0,1.0,100.0,82.6,9.5,9.5,0,0,0,0.0,146,64.8,67.1,73.4,70.8,61.8,81.5,0,6,,0,0,0,87.5,2,19,23,1,0,2,0,10,8,0.5,5.0
Clifford Chattman,42657,S,UTSA,1,0,,,100.0,,,0,0,0,,331,64.4,58.0,76.7,,46.8,54.0,0,,25.0,1,0,0,0.0,0,20,20,0,3,0,0,0,0,0.0,
Justin Clark,43185,CB,WISCONSIN,1,0,12.5,0.0,100.0,,7.0,0,0,1,50.0,349,64.2,64.6,73.6,,60.2,,0,,,0,0,0,39.6,0,14,14,0,0,2,0,0,0,0.0,
Ryan McWood,43189,LB,MIAMI OH,1,2,11.6,100.0,95.2,7.6,7.6,0,0,0,0.0,221,45.1,52.0,75.3,56.4,64.4,58.3,0,19,25.0,1,0,0,118.8,5,40,42,0,1,5,0,76,18,2.0,15.2
Jaydon Grant,43354,S,OREGON ST,1,1,8.5,50.0,93.8,15.0,7.5,0,0,0,0.0,265,68.6,73.4,75.8,59.2,77.3,81.7,1,8,0.0,0,0,0,20.8,1,15,16,0,0,2,0,8,8,0.5,8.0
Jon-Michael Terry,43635,LB,TULSA,1,1,,,81.3,,,0,0,0,,320,60.7,71.2,75.8,57.0,79.2,64.2,0,,50.0,1,0,0,0.0,0,13,16,0,0,0,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,1,0,11.0,66.7,96.7,7.0,4.7,0,0,1,16.7,314,74.1,68.8,76.3,59.3,59.4,80.7,1,45,0.0,0,1,0,109.7,4,29,30,0,2,6,1,97,50,3.5,24.3
Antwaine Richardson,49364,S,KENT STATE,1,0,13.0,0.0,100.0,,22.0,0,0,0,0.0,201,45.6,50.6,77.0,,65.6,73.1,0,,,0,0,0,39.6,0,22,22,0,0,1,0,0,0,0.0,
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,1,0,1.0,100.0,83.3,7.5,7.5,0,0,0,0.0,174,41.6,51.9,72.1,56.3,63.5,55.2,0,10,,0,0,0,97.9,2,15,18,0,0,2,0,15,13,1.0,7.5
Penei Pavihi,52079,LB,HAWAII,1,0,4.4,100.0,84.0,4.2,4.2,0,0,0,0.0,180,49.7,55.7,76.2,76.3,56.0,48.9,1,32,100.0,1,0,0,79.2,5,21,25,1,0,5,0,78,56,3.7,15.6
George Nyakwol,52203,S,RICE,1,0,18.0,50.0,93.5,26.0,13.0,0,0,1,50.0,275,73.1,75.5,74.8,75.2,64.6,78.8,1,16,0.0,0,1,0,37.5,1,29,31,0,1,2,0,16,0,0.6,16.0
Trey Schuman,52216,ED,RICE,1,0,,,7.7,,,0,0,0,,275,62.6,84.6,75.7,73.3,73.0,73.6,0,,0.0,0,0,0,0.0,0,1,13,1,1,0,0,0,0,0.0,
Gabe Reid,52273,ED,UTAH,1,0,,,6.3,,,0,0,0,,328,60.0,85.7,76.6,76.6,80.6,77.5,0,,,0,0,0,0.0,0,1,16,0,0,0,0,0,0,0.0,
Bentlee Sanders,52291,S,NEVADA,1,0,10.3,50.0,100.0,14.5,7.3,0,0,0,0.0,239,57.8,58.1,77.8,,58.8,45.2,0,10,0.0,0,0,1,58.3,2,31,31,1,2,4,0,14,1,0.5,7.0
Mekhi LaPointe,52315,S,USF,1,0,1.0,100.0,100.0,20.0,20.0,0,0,0,0.0,327,77.9,70.8,76.4,64.5,53.3,68.5,0,4,0.0,0,0,0,83.3,1,20,20,4,3,1,0,4,3,0.2,4.0
Nick Roberts,52318,S,SMU,1,0,23.5,50.0,100.0,28.0,14.0,0,0,0,0.0,287,41.7,43.5,76.7,,51.1,78.7,0,25,0.0,0,0,0,95.8,1,29,29,0,1,2,0,25,9,0.9,25.0
Xavier Peters,52819,ED,FAU,1,0,,,25.0,,,0,0,0,,165,60.0,51.6,0.0,58.1,65.7,,0,,,0,0,1,0.0,0,1,4,0,0,0,0,0,0,0.0,
Cole Pearce,52970,LB,BALL ST,1,0,3.0,0.0,81.0,,17.0,0,0,0,0.0,117,64.2,80.8,74.5,67.6,84.0,80.9,0,,,0,0,0,39.6,0,17,21,0,0,1,0,0,0,0.0,
DeShawn Pace,53549,LB,CINCINNATI,1,0,-0.7,33.3,89.5,16.0,5.3,0,0,1,33.3,138,68.6,69.8,69.6,72.6,60.7,81.5,0,4,0.0,0,1,0,42.4,1,17,19,1,2,3,0,4,7,0.3,4.0
Ja'von Hicks,53569,S,CINCINNATI,1,0,4.7,33.3,100.0,26.0,8.7,0,0,0,0.0,138,68.3,69.6,77.8,,68.2,80.0,0,7,0.0,0,0,0,42.4,1,28,28,1,2,3,0,7,8,0.3,7.0
Ivan Pace Jr.,53587,LB,CINCINNATI,1,0,-2.0,100.0,66.7,18.0,18.0,0,0,0,0.0,138,52.4,82.2,78.0,67.3,92.3,74.6,0,2,100.0,1,0,0,118.8,1,20,30,1,0,1,1,2,4,0.1,2.0
Carrington Valentine,53750,CB,KENTUCKY,1,0,12.4,42.9,93.8,5.0,2.1,0,0,2,28.6,202,65.6,62.5,74.4,59.1,53.4,42.6,1,27,50.0,1,2,1,22.6,3,15,16,0,1,7,0,41,10,2.7,13.7
Jaheim Thomas,54193,LB,CINCINNATI,1,0,-1.0,0.0,80.0,,8.0,0,0,0,0.0,138,62.9,60.4,73.2,66.8,53.1,20.1,0,,,0,0,0,39.6,0,8,10,0,0,1,0,0,0,0.0,
Aapri Washington,55013,CB,E CAROLINA,1,0,2.0,0.0,100.0,,4.0,0,0,0,0.0,156,63.3,64.2,70.5,,60.0,,0,,,0,0,0,39.6,0,4,4,0,0,1,0,0,0,0.0,
Isaiah King,55037,CB,BUFFALO,1,0,14.0,50.0,100.0,4.0,2.0,0,0,0,0.0,126,62.8,65.3,72.1,,63.9,73.5,0,32,,0,0,0,95.8,1,4,4,0,0,2,0,32,8,8.0,32.0
Devonni Reed,55046,S,S CAROLINA,1,0,6.5,100.0,100.0,4.3,4.3,0,0,0,0.0,289,35.3,29.3,75.1,,28.1,40.8,0,78,25.0,1,0,0,158.3,4,17,17,0,3,4,1,113,87,6.6,28.3
Troy Brown,55050,LB,OLE MISS,1,0,-0.5,0.0,83.3,,4.5,0,0,0,0.0,226,55.9,51.0,0.0,57.4,67.7,45.0,0,,0.0,0,0,1,39.6,0,10,12,1,1,2,0,0,0,0.0,
Wilson Huber,55090,LB,CINCINNATI,1,1,,,73.9,,,0,0,0,,138,64.3,67.9,77.8,57.6,69.1,80.7,0,,0.0,0,0,1,0.0,0,17,23,1,1,0,0,0,0,0.0,
Ian Swenson,55104,LB,UCONN,1,0,1.3,100.0,78.3,6.0,6.0,0,0,0,0.0,146,61.2,60.3,73.7,66.4,56.8,50.3,0,12,50.0,1,0,0,106.9,3,18,23,0,1,3,0,29,25,1.6,9.7
Chris Bacon,55196,S,BOWL GREEN,1,0,8.8,75.0,100.0,14.3,10.8,0,0,0,0.0,122,59.0,60.7,79.3,,64.3,55.5,0,15,20.0,1,0,0,96.9,3,45,45,1,4,4,0,31,13,0.7,10.3
Jaylon Jones,55197,CB,GA STATE,1,0,13.5,66.7,100.0,6.5,4.3,0,0,2,33.3,175,65.8,66.1,74.8,,62.0,76.6,0,13,0.0,0,2,1,116.7,4,27,27,0,2,6,1,28,1,1.1,7.0
Zachary Ford,55353,S,TOLEDO,1,0,10.0,100.0,91.3,10.5,10.5,0,0,0,0.0,316,60.0,58.1,79.9,57.4,54.3,42.4,0,38,0.0,0,0,0,118.8,2,21,23,0,1,2,0,45,25,2.1,22.5
Troy Simon,55427,S,TOLEDO,1,0,16.3,66.7,91.7,5.5,3.7,0,0,0,0.0,316,26.3,25.8,72.8,60.0,42.3,79.4,0,42,0.0,0,0,0,149.3,2,11,12,0,1,3,1,49,16,4.5,24.5
Mike Allen,55430,ED,W KENTUCKY,1,0,5.0,100.0,5.9,1.0,1.0,0,0,0,0.0,346,55.9,51.8,75.7,52.4,62.8,45.3,0,10,33.3,1,0,0,108.3,1,1,17,0,2,1,0,10,5,10.0,10.0
DJ Taylor,55438,LB,BOWL GREEN,1,1,0.3,83.3,88.9,4.4,3.7,0,0,0,0.0,122,52.8,46.1,73.2,56.8,40.9,57.1,0,51,0.0,0,0,0,158.3,5,24,27,1,3,6,1,75,73,3.4,15.0
Chase Monroe,55439,LB,CHARLOTTE,1,0,,,100.0,,,0,0,0,,136,53.9,45.6,73.6,,46.3,25.0,0,,0.0,0,0,0,0.0,0,10,10,0,1,0,0,0,0,0.0,
Malik Hausman,55567,CB,HAWAII,1,0,13.5,28.6,97.8,10.5,3.0,0,0,1,7.1,180,63.8,64.5,82.6,58.9,64.9,75.1,2,29,0.0,0,1,0,29.2,4,44,45,0,1,14,1,60,9,1.4,15.0
