player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,1,0,5.0,100.0,61.5,14.0,14.0,0,0,0,0.0,193,63.8,76.8,77.2,69.0,79.9,64.5,1,9,0.0,0,0,0,64.6,1,16,26,0,1,1,0,9,4,0.6,9.0
Kyle Pugh,35900,LB,N ILLINOIS,1,0,,,100.0,,,0,0,0,,254,64.7,67.5,72.7,,65.4,77.5,0,,0.0,0,0,0,0.0,0,12,12,0,1,0,0,0,0,0.0,
Jordan Carmouche,39951,LB,ARK STATE,1,0,17.0,100.0,100.0,26.0,26.0,0,0,0,0.0,113,56.0,49.0,76.2,65.1,39.3,26.1,0,51,0.0,0,0,0,158.3,1,28,28,1,1,1,1,51,34,2.0,51.0
Bricen Garner,42520,S,W MICHIGAN,1,0,2.0,0.0,100.0,,40.0,0,0,0,0.0,347,71.9,65.8,77.4,,51.6,38.8,0,,0.0,0,0,0,39.6,0,43,43,0,4,1,0,0,0,0.0,
Brandon Moore,42620,CB,NEBRASKA,1,0,4.0,100.0,100.0,2.0,2.0,0,0,0,0.0,238,71.3,60.8,0.0,,,73.5,0,5,0.0,0,0,1,87.5,1,2,2,0,1,1,0,5,1,2.5,5.0
Brandon Bouyer-Randle,42637,LB,UCONN,1,1,-2.0,100.0,38.9,14.0,14.0,0,0,0,0.0,146,72.0,71.7,78.4,58.1,71.2,83.4,0,3,0.0,0,0,0,79.2,1,14,36,1,1,1,0,3,5,0.2,3.0
Clifford Chattman,42657,S,UTSA,1,0,21.7,66.7,100.0,6.5,4.3,0,0,1,33.3,331,56.1,69.4,75.9,,79.2,85.2,0,42,0.0,0,1,0,109.7,2,14,14,0,1,3,0,51,4,3.9,25.5
Ryan McWood,43189,LB,MIAMI OH,1,0,-1.5,100.0,87.0,10.0,10.0,0,0,0,0.0,221,67.5,58.6,74.1,66.3,42.7,37.3,1,7,0.0,0,0,0,39.6,2,20,23,0,1,2,0,4,7,0.2,2.0
Jaydon Grant,43354,S,OREGON ST,1,0,16.3,100.0,98.1,12.0,12.0,0,0,0,0.0,265,65.1,63.9,78.6,60.0,56.5,81.2,0,60,0.0,0,0,0,118.8,4,53,54,1,4,4,0,89,24,1.9,22.3
Jon-Michael Terry,43635,LB,TULSA,1,0,8.3,33.3,78.8,25.0,8.3,0,0,0,0.0,320,52.2,53.7,78.3,55.3,57.9,64.3,0,18,,0,0,0,54.9,1,26,33,0,0,3,0,18,1,0.7,18.0
Sione Tupou,44093,LB,TEXAS ST,1,1,5.4,85.7,94.5,8.2,7.0,0,0,0,0.0,314,50.5,56.7,76.1,83.5,63.0,82.7,0,23,0.0,0,0,0,109.5,6,52,55,1,4,7,0,72,48,1.5,12.0
Antwaine Richardson,49364,S,KENT STATE,1,1,5.0,100.0,100.0,10.7,10.7,0,0,0,0.0,201,66.3,67.4,77.3,,66.9,51.5,0,9,25.0,2,0,0,97.2,3,34,34,2,5,3,0,22,7,0.7,7.3
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,1,1,11.0,66.7,89.5,8.5,5.7,0,0,0,0.0,174,28.8,29.3,75.7,56.9,45.3,28.4,0,21,60.0,3,0,0,138.9,2,17,19,1,1,3,1,30,6,1.8,15.0
