player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Kyle Pugh,35900,LB,N ILLINOIS,1,0,,,93.8,,,0,0,0,,254,70.7,70.9,73.8,59.5,65.7,55.7,0,,0.0,0,0,0,0.0,0,15,16,1,1,0,0,0,0,0.0,
Jordan Carmouche,39951,LB,ARK STATE,1,1,5.0,66.7,82.8,5.8,3.8,0,0,0,0.0,113,54.5,55.8,76.2,53.9,61.3,81.7,0,13,0.0,0,0,0,79.2,4,24,29,0,2,6,0,31,12,1.3,7.8
Monte McGary,42477,CB,KANSAS,1,0,9.0,100.0,100.0,3.0,3.0,0,0,0,0.0,198,52.6,50.8,65.8,,,75.1,0,12,0.0,0,0,0,116.7,1,3,3,0,1,1,0,12,3,4.0,12.0
Bricen Garner,42520,S,W MICHIGAN,1,2,7.2,80.0,98.1,12.8,10.2,0,0,0,0.0,347,61.4,56.4,77.6,60.0,40.3,59.3,0,16,10.0,1,0,0,92.5,4,52,53,2,7,5,0,31,9,0.6,7.8
Clifford Chattman,42657,S,UTSA,1,0,10.2,66.7,94.3,7.8,5.2,0,0,1,16.7,331,62.6,68.5,77.8,59.6,80.9,85.1,0,20,0.0,0,1,0,89.6,4,33,35,1,4,6,0,46,7,1.5,11.5
Justin Clark,43185,CB,WISCONSIN,1,0,20.0,33.3,100.0,22.0,7.3,0,0,2,66.7,349,67.8,67.7,75.2,,61.3,54.0,0,29,0.0,0,0,0,70.1,1,24,24,0,1,3,0,29,6,1.3,29.0
Ryan McWood,43189,LB,MIAMI OH,1,1,-2.0,100.0,80.6,29.0,29.0,0,0,1,100.0,221,79.1,71.3,73.2,59.3,61.3,42.1,0,6,0.0,0,1,0,91.7,1,29,36,1,2,1,0,6,8,0.2,6.0
Jaydon Grant,43354,S,OREGON ST,1,0,8.7,33.3,94.3,28.0,9.3,0,0,0,0.0,265,64.8,63.9,0.0,59.8,70.9,62.1,1,5,25.0,1,0,2,2.8,1,33,35,1,3,3,0,5,8,0.2,5.0
Jon-Michael Terry,43635,LB,TULSA,1,0,8.7,33.3,86.3,41.0,13.7,0,0,0,0.0,320,59.8,51.0,75.1,61.8,36.0,73.1,0,2,0.0,0,0,0,42.4,1,44,51,1,1,3,0,2,3,0.0,2.0
Sione Tupou,44093,LB,TEXAS ST,1,1,8.3,66.7,81.3,12.0,8.0,0,0,0,0.0,314,60.7,68.9,76.0,63.4,73.0,60.7,1,7,20.0,1,0,0,34.7,2,26,32,1,3,3,0,12,4,0.5,6.0
