player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Joshua Harris,98317,DI,N CAROLINA,1,0,,,8.3,,,0,0,0,,245,59.7,61.8,0.0,58.1,72.0,,0,,,0,0,1,0.0,0,1,12,0,0,0,0,0,0,0.0,
R.J. Oben,98342,ED,NOTRE DAME,1,0,,,9.1,,,0,0,0,,258,60.0,66.8,75.0,60.3,67.4,71.5,0,,,0,0,0,0.0,0,1,11,0,0,0,0,0,0,0.0,
DeShawn Holt,98439,ED,TOLEDO,1,0,,,6.9,,,0,0,0,,316,62.3,66.7,79.5,58.7,70.2,78.6,0,,0.0,0,0,0,0.0,0,2,29,0,1,0,0,0,0,0.0,
Jason Vaughn,98440,ED,USF,1,0,3.0,0.0,29.2,,7.0,0,0,0,0.0,327,61.9,66.6,78.3,61.9,67.0,74.7,0,,,0,0,0,39.6,0,7,24,0,0,1,0,0,0,0.0,
Shitta Sillah,98442,ED,PURDUE,1,0,,,45.2,,,0,0,0,,273,63.5,67.2,81.4,66.5,63.6,76.3,0,,100.0,1,0,0,0.0,0,14,31,1,0,0,0,0,0,0.0,
Seth Coleman,98443,ED,ILLINOIS,1,0,9.0,100.0,17.9,5.0,5.0,0,0,0,0.0,187,48.4,60.4,81.2,71.1,56.9,79.8,0,12,,0,0,0,116.7,1,5,28,0,0,1,0,12,3,2.4,12.0
Fentrell Cypress II,98591,CB,FLORIDA ST,1,0,15.7,66.7,97.5,19.0,12.7,0,0,1,33.3,167,76.5,76.8,77.3,60.0,68.1,81.5,0,43,0.0,0,1,0,109.7,2,39,40,1,4,3,0,50,7,1.3,25.0
Nick Jackson,98640,LB,IOWA,1,1,15.0,100.0,88.0,20.0,20.0,0,0,0,0.0,192,65.3,67.8,75.1,57.4,69.1,78.5,0,15,0.0,0,0,0,118.8,1,22,25,0,0,1,0,15,0,0.8,15.0
Jaydon Hill,98645,CB,TEXAS A&M,1,1,10.7,66.7,100.0,16.0,10.7,0,0,0,0.0,312,71.3,65.5,0.0,,57.8,54.1,0,19,0.0,0,0,1,88.2,2,36,36,1,2,3,0,22,6,0.7,11.0
Jesiah Pierre,98782,LB,UCF,1,0,6.0,100.0,83.3,5.0,5.0,0,0,0,0.0,323,51.8,49.4,71.7,59.6,60.0,73.2,0,10,0.0,0,0,0,108.3,1,5,6,0,1,1,0,10,4,2.0,10.0
Khris Bogle,98783,ED,MICH STATE,1,0,,,17.6,,,0,0,0,,223,61.1,85.8,77.2,77.1,80.8,74.1,0,,,0,0,0,0.0,0,3,17,0,0,0,0,0,0,0.0,
Dylan Lawrence,98829,S,SO MISS,1,0,4.0,0.0,91.7,,30.0,0,0,0,0.0,296,64.2,49.4,78.1,58.0,28.4,37.2,0,,33.3,1,0,0,39.6,0,33,36,1,2,1,0,0,0,0.0,
Warren Burrell,98842,CB,GA TECH,1,0,,,100.0,,,0,0,0,,176,64.1,64.6,72.5,,61.2,,0,,,0,0,0,0.0,0,10,10,0,0,0,0,0,0,0.0,
Brandon Turnage,98859,CB,OLE MISS,1,0,12.0,0.0,100.0,,9.0,0,0,1,100.0,226,74.7,76.0,72.1,,60.0,,0,,,0,1,0,39.6,0,9,9,0,0,1,0,0,0,0.0,
