player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Bud Clark,123066,S,TCU,1,0,13.8,50.0,100.0,12.5,6.3,0,0,1,25.0,305,62.0,64.8,76.8,,68.6,80.3,0,25,0.0,0,1,0,78.1,2,26,26,0,2,4,0,33,3,1.3,16.5
Khari Coleman,123067,LB,OLE MISS,1,0,-1.0,75.0,81.3,12.3,9.3,0,0,0,0.0,226,57.3,67.7,74.7,64.8,79.3,81.2,0,13,0.0,0,0,0,96.9,3,39,48,1,1,4,0,31,30,0.8,10.3
Jai'Onte' McMillan,123089,CB,MINNESOTA,1,0,,,100.0,,,0,0,0,,225,64.3,65.9,70.8,,62.3,,0,,,0,0,0,0.0,0,10,10,0,0,0,0,0,0,0.0,
Xavion Alford,123103,S,ARIZONA ST,1,1,18.0,0.0,100.0,,37.0,0,0,0,0.0,110,57.8,60.9,77.2,,68.2,82.9,0,,0.0,0,0,0,39.6,0,40,40,0,2,1,0,0,0,0.0,
Jahdae Barron,123105,CB,TEXAS,1,0,10.5,50.0,89.5,23.5,11.8,0,0,1,25.0,311,68.9,71.7,78.6,51.6,81.0,76.0,0,7,50.0,1,1,1,56.3,2,51,57,0,1,4,0,12,2,0.3,6.0
Prince Dorbah,123113,ED,ARIZONA ST,1,0,,,13.8,,,0,0,0,,110,60.5,66.3,77.7,65.8,62.3,29.9,0,,,0,0,0,0.0,0,4,29,1,0,0,0,0,0,0.0,
Sawyer Goram-Welch,123116,DI,COAST CAR,1,0,,,7.4,,,0,0,0,,141,56.4,54.8,77.5,59.2,54.3,49.4,0,,0.0,0,0,0,0.0,0,2,27,0,2,0,0,0,0,0.0,
Kobee Minor,123148,CB,MEMPHIS,1,0,16.0,66.7,97.8,10.8,7.2,0,0,2,33.3,218,61.9,62.0,77.9,60.0,60.6,82.0,0,33,0.0,0,1,0,136.8,4,44,45,0,4,6,2,57,2,1.3,14.3
Joseph Plunk,123152,S,TEXAS TECH,1,0,31.0,100.0,92.3,12.0,12.0,0,0,0,0.0,315,54.9,54.7,76.7,58.8,56.5,54.7,0,31,0.0,0,0,0,118.8,1,12,13,0,2,1,0,31,0,2.6,31.0
Shi'Keem Laister,123221,ED,TULANE,1,0,4.0,0.0,80.0,,4.0,0,0,0,0.0,319,61.0,61.5,71.3,60.0,,,0,,,0,0,0,39.6,0,4,5,0,0,1,0,0,0,0.0,
Reggie Neely,123227,CB,S ALABAMA,1,0,13.5,100.0,100.0,9.0,9.0,0,0,0,0.0,288,56.9,59.1,77.3,,65.3,38.3,0,21,50.0,1,0,0,118.8,2,18,18,0,1,2,0,40,13,2.2,20.0
Mac Harris,123285,LB,USF,1,0,-1.0,50.0,62.1,30.0,15.0,0,0,0,0.0,327,68.7,77.0,80.0,69.3,75.0,60.9,0,9,0.0,0,0,0,62.5,1,36,58,0,1,2,0,9,15,0.3,9.0
Ben Knox,123286,CB,USF,1,1,7.0,37.5,100.0,15.3,5.8,0,0,1,12.5,327,78.3,79.5,77.9,,72.7,58.3,0,15,25.0,1,0,0,45.8,3,53,53,1,2,8,0,23,27,0.5,7.7
Tramel Logan,123287,ED,LOUISVILLE,1,1,,,11.1,,,0,0,0,,210,74.2,73.4,80.5,65.6,66.3,61.6,0,,40.0,2,0,0,0.0,0,4,36,0,2,0,0,0,0,0.0,
Jamal Ligon,123320,LB,UTSA,1,0,17.0,100.0,50.0,13.0,13.0,0,0,0,0.0,331,43.4,57.8,76.0,70.2,63.8,55.6,0,17,100.0,1,0,0,118.8,1,15,30,1,0,1,0,17,0,1.3,17.0
Donyai Taylor,123335,CB,UTSA,1,0,5.0,100.0,64.7,11.0,11.0,0,0,0,0.0,331,72.2,75.8,80.2,82.7,60.3,49.9,0,5,0.0,0,0,0,87.5,1,11,17,2,2,1,0,5,0,0.5,5.0
Alec Bryant,123343,ED,ILLINOIS,1,0,,,6.7,,,0,0,0,,187,60.0,61.1,78.0,65.1,55.2,72.2,0,,,0,0,0,0.0,0,1,15,0,0,0,0,0,0,0.0,
Gavin Holmes,123389,CB,TEXAS,1,0,29.0,0.0,100.0,,13.0,0,0,0,0.0,311,64.9,59.0,74.2,,45.0,21.4,0,,,0,0,0,39.6,0,13,13,0,0,1,0,0,0,0.0,
Akheem Mesidor,123427,ED,MIAMI FL,1,0,,,25.0,,,0,0,0,,220,61.2,68.1,78.2,68.1,63.9,71.1,0,,,0,0,0,0.0,0,6,24,0,0,0,0,0,0,0.0,
Aaron Key,123454,ED,UCONN,1,1,13.0,100.0,69.2,9.0,9.0,0,0,0,0.0,146,65.7,69.2,77.4,67.6,61.4,78.8,0,13,0.0,0,0,0,118.8,1,9,13,1,2,1,0,13,0,1.4,13.0
Kendrick Simpkins,123466,S,BAYLOR,1,0,12.0,50.0,90.9,10.0,5.0,0,0,0,0.0,118,52.2,56.3,75.3,57.7,69.1,76.9,0,14,,0,0,0,72.9,1,10,11,0,0,2,0,14,18,1.4,14.0
Joe Marinaro,123546,LB,BOSTON COL,1,0,-1.0,100.0,65.2,5.0,5.0,0,0,0,0.0,121,50.9,46.8,74.6,54.8,49.6,42.3,0,7,33.3,1,0,0,86.1,3,15,23,1,2,3,0,14,17,0.9,4.7
Todd Bumphis,123557,CB,BOWL GREEN,1,2,19.1,44.4,100.0,5.8,2.6,0,0,2,22.2,122,47.3,48.2,74.3,,57.7,79.8,0,18,0.0,0,1,0,56.3,4,24,24,0,1,9,0,37,18,1.6,9.3
Justin Hodges,123748,CB,ARK STATE,1,0,18.7,100.0,100.0,8.0,8.0,0,0,0,0.0,113,45.8,45.2,0.0,,65.8,77.6,0,43,0.0,0,0,2,158.3,3,25,25,0,1,3,2,77,21,3.2,25.7
Corey Thornton,123763,CB,LOUISVILLE,1,1,8.6,40.0,94.3,23.5,9.4,0,0,0,0.0,210,71.1,70.0,76.5,53.4,64.0,61.8,0,12,14.3,1,0,0,50.4,2,50,53,1,5,5,0,18,3,0.4,9.0
Dave Herard,123779,S,W KENTUCKY,1,0,,,100.0,,,0,0,0,,346,64.6,67.0,71.9,,65.1,78.7,0,,0.0,0,0,0,0.0,0,3,3,0,1,0,0,0,0,0.0,
Nusi Malani,123785,ED,WASH STATE,1,1,,,16.7,,,0,0,0,,341,61.5,68.9,76.0,62.6,67.5,76.5,0,,0.0,0,0,0,0.0,0,2,12,1,0,0,0,0,0,0.0,
Teylor Jackson,123817,LB,LIBERTY,1,1,2.5,50.0,75.0,14.0,7.0,0,0,1,50.0,206,69.2,66.6,77.8,74.9,56.7,82.0,0,35,0.0,0,1,0,95.8,1,15,20,2,1,2,0,35,34,2.5,35.0
D'Anta Johnson,123819,DI,E CAROLINA,1,0,,,11.1,,,0,0,0,,156,58.8,63.4,0.0,60.0,70.7,43.7,0,,,0,0,1,0.0,0,2,18,0,0,0,0,0,0,0.0,
Kendy Charles,123873,DI,DUKE,1,0,,,4.0,,,0,0,0,,154,59.3,61.2,75.9,58.7,64.0,70.1,0,,,0,0,0,0.0,0,1,25,0,0,0,0,0,0,0.0,
Quinton Reese,123890,S,LIBERTY,1,0,0.0,0.0,89.5,,16.0,0,0,0,0.0,206,59.2,65.4,76.5,58.3,71.5,82.3,0,,0.0,0,0,0,39.6,0,17,19,0,1,1,0,0,0,0.0,
Aakil Washington,123896,ED,S ALABAMA,1,1,5.3,66.7,52.4,5.5,3.7,0,1,1,33.3,288,75.3,69.9,0.0,64.2,66.4,78.5,0,11,0.0,0,1,1,78.5,2,11,21,1,2,3,0,15,8,1.4,7.5
Jah-Marien Latham,123924,ED,ALABAMA,1,0,,,12.5,,,0,0,0,,103,61.2,62.9,78.6,55.1,63.6,53.7,0,,0.0,0,0,0,0.0,0,1,8,1,1,0,0,0,0,0.0,
