player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jahsen Wint,42914,S,MARSHALL,1,0,,,100.0,,,0,0,0,,214,60.5,49.5,65.5,,50.1,74.3,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Mason White,43872,CB,TCU,1,0,,,100.0,,,0,0,0,,305,64.8,65.5,75.0,,61.0,,0,,,0,0,0,0.0,0,9,9,0,0,0,0,0,0,0.0,
Cole Pearce,52970,LB,BALL ST,1,0,10.7,100.0,84.8,9.0,9.0,0,0,0,0.0,117,46.1,61.4,76.4,70.0,71.7,64.7,0,32,0.0,0,0,0,118.8,3,28,33,0,2,3,0,46,14,1.7,15.3
DeShawn Pace,53549,S,CINCINNATI,1,0,12.0,100.0,96.9,7.3,7.3,0,0,0,0.0,138,60.3,67.2,79.3,60.0,75.2,65.7,0,14,0.0,0,0,0,143.8,4,31,32,2,4,4,2,36,2,1.2,9.0
Jaheim Thomas,54193,LB,ARKANSAS,1,0,21.0,100.0,76.0,9.5,9.5,0,0,0,0.0,111,54.4,65.9,76.8,78.6,65.6,84.4,0,29,0.0,0,0,0,158.3,2,19,25,3,4,2,1,43,1,2.3,21.5
Jordan Strachan,55198,ED,S CAROLINA,1,0,,,5.6,,,0,0,0,,289,70.5,57.2,0.0,55.7,61.8,45.6,0,,50.0,1,0,1,0.0,0,2,36,2,1,0,0,0,0,0.0,
Zachary Ford,55353,S,TOLEDO,1,0,19.0,0.0,100.0,,19.0,0,0,0,0.0,316,69.4,65.3,73.7,,58.0,59.6,0,,,0,0,0,39.6,0,20,20,0,0,1,0,0,0,0.0,
Korey Hernandez,55796,CB,E MICHIGAN,1,0,12.0,0.0,100.0,,5.5,0,1,0,0.0,160,62.8,67.4,75.4,,72.1,77.6,0,,,0,0,0,39.6,0,12,12,0,0,2,0,0,0,0.0,
Myles Jones,56220,CB,DUKE,1,0,27.0,50.0,100.0,41.0,20.5,0,1,0,0.0,154,79.5,79.0,76.9,,62.6,74.2,0,16,0.0,0,0,0,77.1,1,43,43,1,1,2,0,16,1,0.4,16.0
John Davis,56230,CB,N TEXAS,1,0,8.0,100.0,100.0,4.0,4.0,0,0,0,0.0,251,51.2,51.1,71.5,,60.0,76.2,0,11,0.0,0,0,0,110.4,2,9,9,0,2,2,0,21,5,2.6,10.5
Jerry Roberts,57759,LB,UMASS,1,0,23.0,100.0,100.0,20.0,20.0,0,0,0,0.0,216,54.0,43.3,76.2,,39.6,64.0,0,30,,0,0,0,158.3,1,21,21,0,0,1,1,30,7,1.5,30.0
Malik Robinson,58044,LB,HOUSTON,1,1,5.9,85.7,83.3,5.5,4.7,0,0,1,14.3,182,49.1,49.5,77.0,51.5,56.8,69.7,0,21,0.0,0,1,0,106.0,6,35,42,0,4,7,0,66,24,2.0,11.0
Eddie Heckard,63024,CB,BYU,1,0,9.8,66.7,100.0,9.3,6.2,0,0,1,11.1,128,75.4,75.4,80.8,,63.4,38.4,1,42,33.3,1,1,0,103.7,6,58,58,0,2,9,1,105,43,1.9,17.5
Jeremiah Harris,63043,S,JVILLE ST,1,0,,,100.0,,,0,0,0,,196,72.6,72.3,75.8,,65.1,74.3,0,,,0,0,0,0.0,0,19,19,0,0,0,0,0,0,0.0,
Josh Minkins,66051,S,LOUISVILLE,1,0,,,100.0,,,0,0,0,,210,61.7,62.2,70.3,,60.0,,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Jeremiah Wood,66274,S,OHIO,1,0,5.0,100.0,100.0,2.0,2.0,0,0,0,0.0,259,30.7,38.9,68.7,,70.7,77.8,0,58,,0,0,0,158.3,1,2,2,0,0,1,1,58,53,29.0,58.0
Blake Antzoulatos,70424,LB,CAL,1,0,15.0,0.0,85.7,,3.0,0,0,0,0.0,130,42.7,48.3,72.6,59.1,62.6,78.4,0,,,0,0,0,39.6,0,6,7,0,0,2,0,0,0,0.0,
Tarik Luckett,71171,CB,N TEXAS,1,0,23.5,0.0,100.0,,4.0,0,0,0,0.0,251,70.1,70.8,71.0,,60.0,,0,,,0,0,0,39.6,0,9,9,0,0,2,0,0,0,0.0,
Domani Jackson,71370,CB,USC,1,0,,,100.0,,,0,0,0,,326,67.9,69.9,75.6,,68.7,75.8,0,,,0,0,0,0.0,0,21,21,0,0,0,0,0,0,0.0,
William Nimmo Jr.,71391,S,UCLA,1,0,6.0,0.0,100.0,,11.0,0,0,0,0.0,324,55.6,58.8,73.4,,62.9,44.4,0,,100.0,1,0,0,39.6,0,11,11,0,0,1,0,0,0,0.0,
Akili Arnold,71406,S,OREGON ST,1,0,17.1,25.0,88.9,19.5,4.9,0,2,1,12.5,265,80.5,80.2,79.9,61.6,74.2,86.7,1,27,0.0,0,1,0,2.1,2,40,45,2,3,8,0,28,4,0.7,14.0
Easton Mascarenas-Arnold,71410,LB,OREGON ST,1,0,5.3,75.0,91.3,13.3,10.0,0,0,0,0.0,265,39.0,49.3,79.1,74.8,60.5,58.1,0,34,25.0,1,0,0,116.7,3,42,46,1,3,4,0,63,50,1.6,21.0
