player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jahsen Wint,42914,S,MARSHALL,11,74,0,214,0,27.0,0.0,92.6,,23.0,0,0,0.0,61.8,0,,,0,0,39.6,0,25,33.8,27,0,0,1,0,0,0,0.0,,0,0,-2.0,100.0,90.2,12.0,12.0,0,0,0.0,64.4,0,9,0.0,0,0,97.2,3,37,50.0,41,0,1,3,0,22,28,0.6,7.3
Mason White,43872,CB,TCU,3,25,0,305,0,6.0,50.0,100.0,16.0,8.0,0,0,0.0,65.9,0,8,,0,0,60.4,1,16,64.0,16,0,0,2,0,8,0,0.5,8.0,0,0,9.0,100.0,100.0,3.0,3.0,0,0,0.0,52.4,0,14,0.0,0,0,118.8,1,3,12.0,3,0,1,1,0,14,5,4.7,14.0
Chaz Ah You,51989,LB,BYU,2,20,0,128,0,,,72.7,,,0,0,,63.0,0,,,0,0,0.0,0,8,40.0,11,0,0,0,0,0,0,0.0,,0,0,6.3,100.0,100.0,2.3,2.3,0,0,0.0,35.2,0,20,0.0,0,0,118.8,3,7,35.0,7,0,1,3,0,47,28,6.7,15.7
Xavier Peters,52819,ED,FAU,6,2,0,165,0,,,16.7,,,0,0,,60.4,0,,,0,0,0.0,0,2,100.0,12,0,0,0,0,0,0,0.0,,0,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,54,1,0,0,0,0,0,,
Cole Pearce,52970,LB,BALL ST,12,370,0,117,0,3.8,62.5,72.8,20.6,12.9,0,0,0.0,65.6,1,28,12.5,1,0,38.0,5,110,29.7,151,7,7,8,0,45,41,0.4,9.0,0,2,4.3,88.2,91.6,7.0,6.1,0,1,2.9,42.7,0,32,19.2,5,1,124.1,30,218,58.9,238,7,19,34,2,309,195,1.5,10.3
DeShawn Pace,53549,S,CINCINNATI,11,290,0,138,2,15.1,37.5,77.7,23.7,8.9,0,1,12.5,67.8,1,21,12.5,1,1,13.5,3,80,27.6,103,0,5,8,0,38,17,0.5,12.7,0,1,9.2,65.0,90.6,11.4,7.4,0,1,5.0,66.1,0,21,0.0,0,1,117.9,13,155,53.4,171,4,9,20,2,136,44,0.9,10.5
Jaheim Thomas,54193,LB,ARKANSAS,12,206,0,111,0,2.6,100.0,56.7,8.3,8.3,0,0,0.0,48.6,0,17,60.0,3,0,104.2,7,59,28.6,104,5,2,7,0,63,45,1.1,9.0,0,4,7.0,60.0,93.9,20.0,12.0,1,1,10.0,59.5,0,29,7.1,1,1,121.7,6,123,59.7,131,6,9,10,1,87,53,0.7,14.5
Jordan Strachan,55198,ED,S CAROLINA,12,18,0,289,1,0.5,50.0,8.6,9.0,4.5,0,1,50.0,60.7,0,4,50.0,1,1,56.3,1,9,50.0,105,1,0,2,0,4,1,0.4,4.0,0,1,-2.0,100.0,5.8,8.0,8.0,0,0,0.0,63.8,0,8,20.0,1,0,100.0,1,8,44.4,137,6,3,1,0,8,10,1.0,8.0
Zachary Ford,55353,S,TOLEDO,14,483,0,316,0,15.6,41.2,92.5,17.9,7.4,0,0,0.0,51.8,0,15,33.3,2,0,73.7,7,136,28.2,147,0,4,17,1,72,33,0.6,10.3,0,4,7.9,65.1,95.7,9.7,6.3,1,1,2.3,65.8,0,34,7.4,2,1,82.8,28,287,59.4,300,5,21,43,0,273,146,1.0,9.8
Korey Hernandez,55796,CB,E MICHIGAN,11,103,0,160,0,15.3,28.6,98.1,24.5,7.0,1,0,0.0,51.9,0,6,0.0,0,0,39.6,2,53,51.5,54,0,2,7,0,10,3,0.2,5.0,0,0,7.8,100.0,100.0,5.8,5.8,0,0,0.0,54.9,0,15,25.0,1,0,110.4,4,25,24.3,25,0,3,4,0,42,11,1.8,10.5
Deangelo Gibbs,55917,CB,S CAROLINA,1,2,0,289,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,100.0,2,0,0,0,0,0,0,0.0,
Myles Jones,56220,CB,DUKE,4,124,0,154,0,17.1,28.6,100.0,17.5,5.0,0,2,28.6,76.2,1,12,0.0,0,1,39.6,2,37,29.8,37,0,1,7,1,21,2,0.6,10.5,0,0,13.5,62.5,100.0,14.8,9.3,1,1,12.5,87.9,1,16,20.0,1,1,42.7,5,76,61.3,76,1,4,8,0,54,28,0.7,10.8
John Davis,56230,CB,N TEXAS,9,167,0,251,0,5.7,100.0,97.1,10.3,10.3,0,0,0.0,65.9,0,19,0.0,0,0,112.5,3,33,19.8,34,0,2,3,0,33,16,1.1,11.0,0,1,13.9,66.7,100.0,9.8,6.5,0,2,13.3,59.1,1,40,30.0,3,1,120.0,10,102,61.1,102,1,6,15,2,182,51,1.9,18.2
Taijh Alston,56348,ED,COLORADO,10,1,0,143,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,69,3,1,0,0,0,0,,,0,0,,,1.4,,,0,0,,61.1,0,,0.0,0,0,0.0,0,1,100.0,72,1,1,0,0,0,0,0.0,
JB Brown,57701,ED,UMASS,12,1,0,216,0,,,1.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,75,1,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,63,0,0,0,0,0,0,,
Bryson Jackson,57738,S,BAYLOR,12,90,0,118,0,8.3,66.7,60.0,9.0,6.0,0,1,33.3,53.6,0,21,100.0,1,0,104.9,2,18,20.0,30,0,0,3,0,34,21,1.9,17.0,0,2,8.2,75.0,75.9,6.7,5.0,0,1,8.3,46.6,0,35,42.9,3,1,103.5,9,63,70.0,83,1,2,12,0,112,86,1.9,12.4
Jerry Roberts,57759,LB,UMASS,10,172,0,216,0,2.5,50.0,95.0,50.0,25.0,0,1,50.0,60.2,0,17,100.0,2,1,79.2,1,57,33.1,60,0,0,2,0,17,26,0.3,17.0,0,0,4.0,0.0,81.0,,60.0,0,0,0.0,67.3,0,,100.0,1,0,39.6,0,64,37.2,79,0,0,1,0,0,0,0.0,
Isaac Ukwu,57888,ED,OLE MISS,13,63,0,226,1,,,5.3,,,0,0,,65.2,0,,0.0,0,0,0.0,0,5,7.9,94,3,2,0,0,0,0,0.0,,0,1,1.8,100.0,26.9,12.3,12.3,0,0,0.0,70.7,0,9,14.3,1,0,85.4,4,50,79.4,186,5,5,4,0,18,11,0.4,4.5
Malik Robinson,58044,LB,HOUSTON,12,352,0,182,0,-0.5,100.0,73.1,25.5,25.5,0,0,0.0,68.9,0,9,33.3,1,0,89.6,2,57,16.2,78,1,2,2,0,11,12,0.2,5.5,0,7,5.7,96.4,96.3,9.4,9.0,0,1,3.6,30.4,1,23,4.0,1,1,113.4,27,259,73.6,269,4,17,28,1,334,173,1.3,12.4
Monty Montgomery,58203,LB,OLE MISS,10,82,0,226,0,2.0,100.0,60.0,20.0,20.0,0,0,0.0,51.4,0,14,0.0,0,0,118.8,1,21,25.6,35,0,1,1,0,14,12,0.7,14.0,0,1,7.9,57.1,81.5,10.5,6.0,0,0,0.0,33.3,0,23,25.0,1,0,83.0,4,44,53.7,54,1,2,7,0,56,27,1.3,14.0
Londyn Craft,60689,LB,E MICHIGAN,7,77,0,160,0,,,87.9,,,0,0,,71.6,0,,0.0,0,0,0.0,0,29,37.7,33,1,2,0,0,0,0,0.0,,0,2,2.4,100.0,100.0,8.2,8.2,0,0,0.0,77.4,0,5,0.0,0,0,79.2,5,43,55.8,43,2,4,5,0,14,2,0.3,2.8
Takulve Williams,61346,S,W KENTUCKY,9,156,0,346,0,4.2,60.0,70.5,13.0,7.8,0,0,0.0,47.3,1,9,33.3,1,0,29.2,3,43,27.6,61,0,2,5,0,20,7,0.5,6.7,0,2,6.3,50.0,80.0,38.0,19.0,0,0,0.0,66.9,0,15,25.0,3,0,75.0,2,80,51.3,100,0,7,4,0,30,11,0.4,15.0
Eddie Heckard,63024,CB,BYU,12,428,0,128,1,10.8,55.0,100.0,6.5,3.6,1,6,15.0,48.5,2,66,6.3,1,3,90.9,22,152,35.5,152,1,14,40,4,293,163,2.1,13.3,0,3,5.4,89.3,95.4,7.7,6.9,0,1,3.6,68.6,2,72,23.8,5,0,89.7,25,207,48.4,217,11,13,28,1,275,168,1.4,11.0
