player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Chachi Perez,165348,S,STETSON,2,5,,1.7,302,0,39.6,0,3,0,0,0,0.0
Da'Veawn Armstead,144700,CB,SM HOUSTON,3,5,,2.5,281,0,39.6,0,2,0,0,0,0.0
Jordan Mukes,144633,CB,ABILENE CH,3,3,,3.0,100,0,39.6,0,1,0,0,0,0.0
Dylan Tooker,173920,S,STF AUSTIN,7,16,,16.0,301,0,39.6,0,1,0,0,0,0.0
Kavon Miller,173905,S,PRINCETON,8,12,,6.0,272,0,39.6,0,2,0,0,0,0.0
Lance Byndon,173817,ED,MORGAN ST,3,3,,3.0,235,0,39.6,0,1,0,0,0,0.0
Ormanie Arnold,158982,CB,CINCINNATI,5,5,,5.0,138,0,39.6,0,1,0,0,0,0.0
Garrett Hawkins,173754,LB,AUSTINPEAY,5,6,,6.0,116,0,39.6,0,1,0,0,0,0.0
Ezra Ekuban,159031,ED,N COLORADO,5,4,,2.0,253,0,39.6,0,2,0,0,0,0.0
LaDavion Osborn,159035,CB,N COLORADO,6,9,,9.0,253,0,39.6,0,1,0,0,0,0.0
Noah Mangham,159039,CB,N COLORADO,3,7,,7.0,253,0,39.6,0,1,0,0,0,0.0
Montae Pate,159083,CB,WEBER ST,5,7,,7.0,342,0,39.6,0,1,0,0,0,0.0
Nyair Domnie,173609,CB,DELAWARE,2,4,,4.0,151,0,39.6,0,1,0,0,0,0.0
Gunner Maldonado,129727,S,ARIZONA,2,4,,4.0,109,0,39.6,0,1,0,0,0,0.0
Robert Lamar,173591,LB,DAVIDSON,1,3,,3.0,149,1,0.0,0,1,0,0,0,0.0
Isas Waxter,105977,CB,VILLANOVA,8,15,,15.0,334,0,39.6,0,1,0,0,0,0.0
RJ Chapman,159216,CB,MERRIMACK,2,2,,2.0,385,0,39.6,0,1,0,0,0,0.0
Bilhal Kone,159385,CB,W MICHIGAN,7,12,,4.0,347,0,39.6,0,3,0,0,0,0.0
Jayden Brown,159516,CB,WAGNER,4,7,,7.0,338,0,39.6,0,1,0,0,0,0.0
Bryson Bright,159755,LB,LAFAYETTE,2,4,,4.0,203,0,39.6,0,1,0,0,0,0.0
Jordan Morant,129588,S,MISS STATE,4,12,,12.0,227,0,39.6,0,1,0,0,0,0.0
Dylan Phelps,173470,CB,COLO STATE,3,3,,3.0,144,0,39.6,0,1,0,0,0,0.0
Garrison Monroe,173414,S,MINNESOTA,2,4,,4.0,225,0,39.6,0,1,0,0,0,0.0
Charles Ingram V,159812,CB,FURMAN,1,1,,1.0,170,0,39.6,0,1,0,0,0,0.0
Jalen Gummer,159826,S,FURMAN,2,4,,4.0,170,0,39.6,0,1,0,0,0,0.0
Zyil Powell,173279,S,TEMPLE,1,1,,1.0,306,0,39.6,0,1,0,0,0,0.0
Bryson Bonds,129435,S,INDIANA,3,3,,3.0,190,1,0.0,0,1,0,0,0,0.0
Aaron Anderson Jr.,173254,S,TEMPLE,1,1,,1.0,306,0,39.6,0,1,0,0,0,0.0
"Brian Nelson, II",173211,CB,N TEXAS,3,5,,5.0,251,0,39.6,0,1,0,0,0,0.0
David Powers,160012,LB,WOFFORD,3,5,,5.0,350,0,39.6,0,1,0,0,0,0.0
Aiden Aguayo,172994,CB,UTAHTC,1,10,,3.3,1285,1,0.0,0,3,0,0,0,0.0
D'Arius Carmouche,172941,CB,INCAR WORD,2,2,,2.0,189,0,39.6,0,1,0,0,0,0.0
Elijah Culp,121345,CB,CHARLOTTE,4,6,,3.0,136,0,39.6,0,2,0,0,0,0.0
Kendarius Smith,172780,CB,NICHOLLS,9,34,,17.0,243,0,39.6,0,2,0,0,0,0.0
Kandyn Cordova,172741,CB,MCNEESE,3,6,,6.0,217,0,39.6,0,1,0,0,0,0.0
A.J. Seay,128788,CB,N ALABAMA,4,6,,6.0,389,0,39.6,0,1,0,0,0,0.0
Isaiah Grevious,172720,LB,VA MILT IN,7,15,,7.5,336,0,39.6,0,2,0,0,0,0.0
Colby Dempsey,121487,CB,UAB,5,10,,5.0,321,0,39.6,0,2,0,0,0,0.0
Hysan Dalton,172641,CB,FURMAN,2,2,,2.0,170,0,39.6,0,1,0,0,0,0.0
Kaleb Gallop,160527,S,HOWARD,2,8,,8.0,184,0,39.6,0,1,0,0,0,0.0
Hamilton Baker,121551,CB,ARMY,3,18,,18.0,114,0,39.6,0,1,0,0,0,0.0
Caleb King,161415,S,HOUCHR,1,2,,2.0,183,1,0.0,0,1,0,0,0,0.0
Brice Pollock,172553,CB,MISS STATE,4,6,,3.0,227,0,39.6,0,2,0,0,0,0.0
Will James,172547,CB,SO MISS,2,2,,2.0,296,0,39.6,0,1,0,0,0,0.0
Devion Hargrove,121681,CB,HOUCHR,5,10,,10.0,183,0,39.6,0,1,0,0,0,0.0
Jaden King,161416,CB,HOUCHR,2,2,,2.0,183,0,39.6,0,1,0,0,0,0.0
Vince Solano,161475,S,INWSLY,1,3,,3.0,1451,0,39.6,0,1,0,0,0,0.0
Kylin Jackson,172482,S,LSU,4,14,,14.0,211,0,39.6,0,1,0,0,0,0.0
Terrance Love,172457,S,AUBURN,3,4,,4.0,115,0,39.6,0,1,0,0,0,0.0
Andrew Sherry,161992,S,MCKENDREE,1,4,,4.0,384,0,39.6,0,1,0,0,0,0.0
Kaylon Walters,162127,CB,CHARLES SO,2,2,,2.0,135,0,39.6,0,1,0,0,0,0.0
Anshon Camp,172267,CB,NC CENT,2,6,,6.0,247,0,39.6,0,1,0,0,0,0.0
Jamal Dixon,162164,CB,N DAKOTA,1,1,,1.0,249,0,39.6,0,1,0,0,0,0.0
Logan Doell,162165,LB,N DAKOTA,1,3,,3.0,249,0,39.6,0,1,0,0,0,0.0
Dontay Joyner,172197,CB,ARK STATE,3,5,,2.5,113,0,39.6,0,2,0,0,0,0.0
Peyton Himley,172156,S,STTHOM,3,8,,2.7,1129,0,39.6,0,3,0,0,0,0.0
Elijah Graham,172137,CB,MERCYHURST,4,6,,6.0,977,0,39.6,0,1,0,0,0,0.0
Rodney Johnson,122103,CB,SOUTHERN U,5,5,,5.0,297,0,39.6,0,1,0,0,0,0.0
Jeremiah Walker,122125,CB,STF AUSTIN,6,13,,6.5,301,0,39.6,0,2,0,0,0,0.0
Henry Blackburn,128146,S,COLO STATE,9,29,,29.0,144,0,39.6,0,1,0,0,0,0.0
Darius Givance,162201,S,N DAK ST,12,18,,6.0,250,0,39.6,0,3,0,0,0,0.0
Caleb Francis,162241,CB,PRESBYTERN,3,5,,5.0,271,0,39.6,0,1,0,0,0,0.0
Courtland Stephens,162363,LB,TARLETON,1,8,,8.0,401,0,39.6,0,1,0,0,0,0.0
Marcus Clarke,122208,CB,MISSOURI,1,2,,1.0,229,0,39.6,0,2,0,0,0,0.0
Bijay Boldin,172016,S,GEORGETOWN,3,8,,8.0,172,0,39.6,0,1,0,0,0,0.0
Nate Lindsey-Gill,172006,S,FORDHAM,1,2,,2.0,168,0,39.6,0,1,0,0,0,0.0
Noble Thomas Jr.,162451,CB,OREGON ST,1,38,,7.6,265,0,39.6,0,5,0,0,0,0.0
Jamar Rucks,122252,ED,KENNESAW,2,2,,2.0,200,0,39.6,0,1,0,0,0,0.0
Jalen Woods,162470,LB,UCLA,4,10,,10.0,324,0,39.6,0,1,0,0,0,0.0
Charles Yates Jr.,171874,CB,LIBERTY,4,6,,6.0,206,0,39.6,0,1,0,0,0,0.0
Markeith Williams,162738,S,MIAMI FL,4,5,,5.0,220,0,39.6,0,1,0,0,0,0.0
Tayon Holloway,162754,CB,LOUISVILLE,3,3,,3.0,210,0,39.6,0,1,0,0,0,0.0
Braydon Brus,162836,LB,NWESTERN,2,6,,3.0,256,0,39.6,0,2,0,0,0,0.0
Joshua Cobbs,162955,S,LA TECH,1,1,,1.0,208,0,39.6,0,1,0,0,0,0.0
Abdoul Idriss,171710,ED,WAGNER,2,3,,3.0,338,0,39.6,0,1,0,0,0,0.0
Chibby Nwajuaku,163005,ED,RICE,1,1,,1.0,275,0,39.6,0,1,0,0,0,0.0
