player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Chase Smith,143952,LB,MIAMI FL,1,0,4.0,100.0,100.0,4.5,4.5,0,0,0,0.0,220,65.5,77.5,72.1,,79.2,56.8,0,10,33.3,1,0,0,95.8,2,9,9,1,2,2,0,14,6,1.6,7.0
Dontae Balfour,143957,CB,TEXAS TECH,1,0,6.0,100.0,85.7,6.0,6.0,0,0,0,0.0,315,66.0,66.0,71.8,60.0,60.1,76.6,0,7,0.0,0,0,0,95.8,1,6,7,0,2,1,0,7,1,1.2,7.0
TyMir Brown,143960,CB,E CAROLINA,2,0,19.7,100.0,100.0,9.7,9.7,0,0,0,0.0,156,59.6,60.6,75.8,,63.5,76.6,0,46,0.0,0,0,0,118.8,3,33,33,0,2,3,0,58,-1,2.0,19.3
Sean Brown,143986,LB,NC STATE,2,2,4.0,85.7,80.6,9.7,8.3,0,0,0,0.0,248,55.3,68.9,76.7,70.9,78.8,55.4,0,79,28.6,2,0,0,158.3,6,58,72,1,3,7,1,110,79,1.9,18.3
Nate Evans,143991,CB,DELAWARE,2,0,12.3,50.0,100.0,24.5,12.3,0,0,2,50.0,151,71.7,70.7,78.9,,60.7,74.3,0,17,,0,1,0,70.8,2,51,51,0,0,4,0,26,30,0.5,13.0
Caden Fordham,143992,LB,NC STATE,2,1,4.3,57.1,81.7,11.5,6.6,0,0,0,0.0,248,48.8,62.8,78.5,72.1,73.1,76.8,0,19,0.0,0,0,0,78.9,4,49,60,0,4,7,0,49,31,1.1,12.3
Khalil Anderson,144012,S,MO STATE,1,0,,,100.0,,,0,0,0,,230,75.7,73.0,71.6,,60.0,,0,,,0,0,0,0.0,0,6,6,0,0,0,0,0,0,0.0,
Tamarion Crumpley,144018,CB,UAB,2,2,11.0,57.1,100.0,7.8,4.4,1,0,1,14.3,321,70.4,67.4,0.0,,65.7,68.5,0,20,0.0,0,1,1,72.3,4,34,34,2,3,7,0,38,4,1.2,9.5
Nick Lapi,144027,LB,PITTSBURGH,2,0,,,60.0,,,0,0,0,,268,62.4,83.3,73.8,55.1,90.1,80.5,0,,,0,0,0,0.0,0,6,10,0,0,0,0,0,0,0.0,
Javon McIntyre,144029,S,PITTSBURGH,2,2,7.4,100.0,98.4,7.3,7.3,0,0,0,0.0,268,59.6,61.6,80.4,59.2,67.2,85.8,0,59,0.0,0,0,0,158.3,8,60,61,2,8,8,1,112,58,1.9,14.0
