player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jahsen Wint,42914,S,MARSHALL,11,4,0,80.0,0,0,214,1,0,65.4,64.3,83.2,53.8,62.7,63.7,0,1,0,0,9,16.7,2,0,0,84.2,4,0,0,30,5,74,150,22,0,0,22,0,1,128,8,68,92,2,6,0,5,1,0,21,34,5.3
Mason White,43872,CB,TCU,3,0,0,66.7,0,0,305,0,0,63.3,64.7,77.0,,65.3,73.5,0,0,0,0,14,0.0,0,0,0,88.2,2,0,0,7,32,25,49,4,0,0,4,0,0,45,0,24,6,0,1,0,3,0,0,22,5,11.0
Chaz Ah You,51989,LB,BYU,2,1,0,100.0,0,0,128,0,0,40.5,41.9,76.2,56.4,54.8,37.6,0,0,0,0,20,33.3,2,0,0,118.8,3,0,0,34,0,20,38,3,0,0,3,0,0,35,3,15,1,2,3,0,3,0,0,47,28,15.7
Sinjun Astani,52257,DI,USC,3,0,0,,0,0,326,0,0,,68.7,73.4,58.4,70.9,23.1,0,2,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,16,16,2,10,0,4,0,0,8,8,0,0,0,0,0,2,0,0,0,
Malik Vann,52555,ED,CINCINNATI,12,5,1,,0,0,138,0,0,,73.6,82.8,65.8,75.7,72.9,2,13,0,0,,7.7,1,0,0,0.0,0,2,0,2,0,0,315,312,0,19,69,224,0,3,179,136,0,7,7,0,0,17,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,12,8,0,,0,0,268,0,0,60.0,55.3,59.7,53.0,57.1,80.8,0,3,0,0,,0.0,0,0,1,0.0,0,0,0,1,0,0,362,361,32,325,2,2,0,1,144,218,0,7,11,2,0,3,0,0,0,
Xavier Peters,52819,ED,FAU,6,1,0,,0,1,165,1,0,61.1,59.0,80.9,58.1,57.9,78.4,1,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,112,112,0,4,90,18,0,0,69,41,0,5,4,0,0,4,0,0,0,
Zaid Hamdan,52925,DI,TULSA,12,4,0,,1,0,320,0,0,65.3,56.8,82.1,60.5,50.6,27.7,3,3,0,0,,29.4,5,0,1,0.0,0,0,0,1,0,1,264,263,8,168,27,60,0,1,141,122,0,6,8,1,0,6,0,0,0,
Cole Pearce,52970,LB,BALL ST,12,12,2,81.6,0,1,117,0,0,48.6,60.8,6.8,75.1,67.7,55.2,6,7,0,1,32,17.1,18,2,3,104.1,40,4,0,678,0,370,738,18,0,0,18,0,0,720,63,305,42,55,75,7,49,17,2,380,264,9.5
James Camden,53418,LB,CINCINNATI,3,1,0,,0,0,138,0,0,,47.1,90.4,,46.7,77.4,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,0,11,0,0,0,0,0,0,11,0,11,2,1,2,0,0,0,0,0,0,
