player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Ben Bogle,160580,LB,W VIRGINIA,6,3,3.1,0,0,343,40.1,70.9,79.3,61.1,87.6,86.6,0.0,0,0,65,66,10.8,7,11
Desman Hearns,160586,CB,WYOMING,6,1,8.9,0,2,351,71.2,71.6,29.7,47.5,78.4,51.9,27.3,3,2,152,156,1.3,2,7
Tayvion Beasley,160755,CB,BYU,6,1,12.0,0,0,128,62.2,65.7,84.3,69.4,68.7,82.0,0.0,0,1,76,77,0.0,0,2
Jelani Davis,160758,DI,KENT STATE,6,3,2.5,0,0,201,,77.9,4.1,78.8,75.4,62.5,11.1,2,2,64,64,10.9,7,13
Eli Ennis,160835,LB,UAB,4,1,2.5,0,0,321,51.4,54.3,79.2,63.5,56.9,66.6,0.0,0,0,44,45,6.8,3,4
Makhi Gilbert,160872,DI,E MICHIGAN,5,1,1.6,0,0,160,60.0,62.7,37.3,60.9,64.0,66.0,10.0,1,1,104,105,4.8,5,8
Wendol Philord,160975,CB,FAU,6,2,3.0,0,0,165,69.8,72.2,83.0,60.8,77.8,70.4,0.0,0,1,58,59,5.2,3,4
Jaelin Willis,160995,LB,APP STATE,5,2,2.5,0,0,108,80.6,67.5,0.0,55.9,55.7,61.6,16.7,2,1,51,52,11.8,6,8
Jaylen George,161246,DI,NEBRASKA,3,1,5.0,0,0,238,,67.7,76.0,60.1,68.6,28.2,50.0,2,0,20,20,0.0,0,1
Jayvon Henderson,161247,CB,S ALABAMA,6,2,6.5,0,0,288,70.0,68.3,81.9,,58.0,29.2,42.9,3,0,150,151,0.7,1,2
Syeed Gibbs,161375,S,KANSAS,5,0,8.0,0,0,198,62.9,61.1,82.7,63.2,52.0,41.3,75.0,3,0,77,77,0.0,0,1
Rylen Su'a-Filo,161397,DI,W KENTUCKY,6,4,1.4,0,0,346,61.5,70.1,80.9,65.0,69.1,64.9,7.1,1,0,88,88,6.8,6,9
Caleb Flagg,161406,S,MISSOURI,2,0,,0,0,229,69.8,69.9,74.4,,64.8,76.5,,0,0,17,18,0.0,0,0
Tre Bell,161488,CB,IOWA STATE,7,1,-0.5,0,0,193,70.4,65.7,81.6,53.3,45.8,59.5,28.6,2,0,130,133,3.1,4,4
