player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Simote Pepa,146457,DI,WASHINGTON,9,0,0,340,59.0,0,1,43,100.0,2.3,1,0,1.2,0,45,45,1,0,65.8,0,1,4,100.0,25.0,1,12.5,0,4,4,1
Davon Banks,146477,S,BOISE ST,4,0,0,120,77.6,1,0,4,5.3,25.0,1,2,12.5,0,75,4,1,0,66.1,1,0,2,8.0,0.0,0,25.0,0,25,2,1
Milton Hopkins Jr.,146484,ED,WASHINGTON,1,0,0,340,66.7,1,1,2,100.0,0.0,0,0,50.0,0,2,2,2,0,58.9,0,1,1,100.0,0.0,0,50.0,0,1,1,1
Jernias Tafia,146499,DI,COLO STATE,9,1,0,144,53.8,0,4,122,100.0,0.0,0,0,1.6,0,130,130,4,1,57.2,0,4,47,100.0,0.0,0,4.3,0,51,51,4
Raam Stevenson,146517,ED,WASH STATE,6,0,0,341,64.1,2,8,71,91.4,14.1,10,0,8.5,1,81,74,11,0,66.2,1,7,38,97.5,21.1,8,13.2,1,40,39,9
Gavin Barthiel,146519,LB,WASH STATE,4,0,0,341,57.3,0,0,5,23.8,0.0,0,0,0.0,0,21,5,0,0,57.6,0,0,2,25.0,0.0,0,0.0,0,8,2,0
Giovanni Iovino,146522,LB,HAWAII,10,0,0,180,69.9,1,2,6,8.8,33.3,2,1,41.7,1,68,6,4,0,68.2,0,1,2,9.1,50.0,1,75.0,1,22,2,2
David Gusta,146524,DI,KENTUCKY,9,0,0,202,69.9,3,7,168,100.0,7.7,13,2,3.6,1,174,174,11,0,69.8,2,2,45,100.0,15.6,7,4.4,0,47,47,4
Sam Carrell,146530,ED,RICE,8,1,0,275,65.4,0,0,38,100.0,7.9,3,0,0.0,0,39,39,0,0,55.6,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Avante Dickerson,146536,CB,ARK STATE,10,0,0,113,58.1,0,1,2,0.6,0.0,0,0,25.0,0,352,2,1,0,,0,0,0,0.0,,0,,0,100,0,0
