player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Ryan Earl,172642,LB,FURMAN,2,14,14.0,14.0,170,0,104.2,1,1,0,9,4,0.64
Jalin Shephard,172555,CB,TENN TECH,2,28,14.0,5.6,309,0,103.3,2,5,1,34,44,1.21
Whit Weeks,172498,LB,LSU,2,14,14.0,4.7,211,0,42.4,1,3,0,5,2,0.36
Jalon Kilgore,174323,S,S CAROLINA,2,42,14.0,6.0,289,0,66.4,3,7,0,48,6,1.14
Jalon Rock,147859,CB,LIBERTY,1,14,14.0,14.0,206,0,100.0,1,1,0,8,0,0.57
Websley Etienne,156663,S,FIU,3,14,14.0,14.0,166,0,87.5,1,1,0,5,0,0.36
Jason Oliver,157710,CB,SACRAMENTO,3,14,14.0,4.7,279,0,42.4,1,3,0,9,4,0.64
Jacquez McGowan,161675,LB,E KENTUCKY,3,14,14.0,14.0,159,0,95.8,1,1,0,7,9,0.5
Brandon Tyson,159102,LB,GA SOUTHRN,3,14,14.0,7.0,174,0,95.8,1,2,0,32,31,2.29
Genesis Smith,171868,S,ARIZONA,3,14,14.0,7.0,109,0,56.3,1,2,0,3,0,0.21
Dathan Hickey,106236,S,YNGTOWN ST,3,14,14.0,14.0,353,1,79.2,1,1,0,20,3,1.43
Cam Junior,133941,LB,E KENTUCKY,3,28,14.0,7.0,159,0,56.3,2,4,0,10,9,0.36
Tormon Laprade,206132,CB,NORFOLK,1,14,14.0,4.7,244,0,42.4,1,3,0,5,11,0.36
Cornell Perry,158305,S,SYRACUSE,2,14,14.0,2.8,304,0,39.6,1,5,0,5,7,0.36
Jelani Vassell,150485,S,NC CENT,3,14,14.0,14.0,247,0,118.8,1,1,0,13,14,0.93
Chris Martin,185641,S,GEORGETOWN,3,14,14.0,4.7,172,0,57.6,1,3,0,20,9,1.43
Chase Hatton,206479,S,MARIST,3,42,14.0,7.0,213,2,21.5,3,6,0,25,11,0.6
Wrook Brown,150691,S,HOUSTON,3,41,13.7,10.3,182,1,42.7,3,4,0,17,18,0.41
Gavin Shields,163219,S,ARMY,2,27,13.5,13.5,114,0,108.3,2,2,0,20,4,0.74
Will Hicks,178234,S,HAMPTON,3,27,13.5,9.0,178,0,70.1,2,3,0,8,0,0.3
Ayden Jackson,174147,S,GA SOUTHRN,3,27,13.5,6.8,174,0,135.4,2,4,1,68,55,2.52
Javhi Blomquist,202485,CB,STTHOM,2,27,13.5,9.0,1129,0,79.9,2,3,0,16,4,0.59
Nasir Bowers,163152,CB,TOLEDO,3,53,13.3,8.8,316,1,30.6,4,6,0,13,5,0.25
Elijah Coker,185498,CB,INDIANA ST,2,40,13.3,10.0,191,0,141.7,3,4,1,36,22,0.9
Lincoln Tuioti-Mariner,73243,CB,SO UTAH,2,40,13.3,4.4,298,0,55.8,3,9,0,56,7,1.4
Alex McLaughlin,170717,S,WASHINGTON,2,26,13.0,5.2,340,0,67.9,2,5,0,39,6,1.5
Aden Tagaloa-Nelson,173190,S,E KENTUCKY,3,26,13.0,6.5,159,0,59.4,2,4,0,15,4,0.58
Jayden Shipps,200309,CB,MARYLAND,3,39,13.0,9.8,215,0,156.3,3,4,1,106,53,2.72
Tyrece Mills,164179,S,UCONN,3,13,13.0,4.3,146,0,42.4,1,3,0,5,1,0.38
Cale Williams,161890,S,CITADEL,2,13,13.0,13.0,139,0,100.0,1,1,0,8,2,0.62
Jackson Benjamin,177688,CB,MOREHEAD,3,78,13.0,6.5,234,0,67.4,6,12,0,68,9,0.87
Tre Fulton,184206,S,UNLV,2,13,13.0,6.5,325,0,95.8,1,2,0,32,2,2.46
Wardell Mack,184513,CB,TEXAS,1,13,13.0,13.0,311,0,83.3,1,1,0,4,0,0.31
Trae Tomlinson,159180,CB,LA LAFAYET,1,13,13.0,13.0,207,0,108.3,1,1,0,10,1,0.77
Nahji Logan,128090,LB,NEVADA,3,13,13.0,6.5,239,0,56.3,1,2,0,5,7,0.38
Tyler McKinstry,190134,CB,TOLEDO,2,13,13.0,13.0,316,0,118.8,1,1,0,23,4,1.77
Ty Benefield,176221,S,BOISE ST,2,13,13.0,13.0,120,0,79.2,1,1,0,2,5,0.15
Nate Ritchie,131875,S,UTAH,3,13,13.0,6.5,328,0,56.3,1,2,0,5,9,0.38
Tyan Milton,190260,S,UTSA,3,13,13.0,4.3,331,0,42.4,1,3,0,-2,2,-0.15
Tawfiq Byard,175309,LB,COLORADO,3,13,13.0,13.0,143,0,79.2,1,1,0,2,0,0.15
Giuseppe Sessi,175264,S,NAVY,3,13,13.0,13.0,237,0,91.7,1,1,0,6,9,0.46
DeMel Turner,170662,CB,CAL POLY,3,39,13.0,4.3,129,0,42.4,3,9,0,22,9,0.56
Geajorm Akpaloo,186457,LB,COAST CAR,3,13,13.0,6.5,141,0,56.3,1,2,0,6,5,0.46
Parker McKenna,143761,LB,WASH STATE,3,13,13.0,6.5,341,0,60.4,1,2,0,8,13,0.62
Akil Lampley,187929,S,WAGNER,3,13,13.0,6.5,338,0,56.3,1,2,0,4,7,0.31
Bobby Salla Jr.,144398,CB,FIU,1,13,13.0,13.0,166,0,118.8,1,1,0,15,0,1.15
Jahleel Culbreath,163527,LB,DOMINION,3,13,13.0,13.0,263,0,95.8,1,1,0,7,10,0.54
Toto Luani,209131,S,THMORE,2,13,13.0,6.5,1296,0,66.7,1,2,0,11,13,0.85
Christian Pierce,174174,S,USC,3,13,13.0,4.3,326,0,45.1,1,3,0,11,0,0.85
Bryce Anderson,158640,S,TEXAS A&M,3,13,13.0,13.0,312,0,79.2,1,1,0,0,0,0.0
Anthony Crenshaw Jr.,173608,LB,DELAWARE,3,26,13.0,5.2,151,0,58.8,2,5,0,28,12,1.08
Daren Omoregie,164553,S,WAGNER,3,52,13.0,8.7,338,0,94.4,4,6,0,53,36,1.02
Gumbo Gaskins,157183,S,SAMFORD,3,38,12.7,6.3,282,2,19.4,3,6,0,22,1,0.58
Ayden Martin,170883,CB,MONMOUTH,2,38,12.7,4.8,231,1,6.3,3,8,0,21,6,0.55
Kyndrich Breedlove,146827,CB,ARIZONA ST,3,63,12.6,7.9,110,0,86.5,5,8,0,62,14,0.98
Hasson Manning Jr.,173614,S,DELAWARE,3,25,12.5,8.3,151,0,70.1,2,3,0,3,3,0.12
Jermaine Mathews Jr.,170257,CB,OHIO STATE,3,25,12.5,12.5,260,0,158.3,2,2,1,38,2,1.52
Jacob Stevenson,171842,S,TENN MARTN,3,25,12.5,8.3,310,0,81.3,2,3,0,17,7,0.68
CJ Brown,130541,S,SM HOUSTON,3,25,12.5,6.3,281,0,68.8,2,4,0,24,8,0.96
Tony Hart III,176925,S,ELON,3,25,12.5,12.5,162,0,118.8,2,2,0,61,26,2.44
Maurion Eleam,156750,CB,LA LAFAYET,3,25,12.5,8.3,207,0,70.1,2,3,0,2,2,0.08
Louis Frye,145850,S,TEMPLE,3,25,12.5,8.3,306,0,91.0,2,3,0,24,9,0.96
Ty Myles,145837,S,N ILLINOIS,2,50,12.5,10.0,254,0,118.8,4,5,0,65,54,1.3
Xavier Smith,157707,S,UTEP,3,25,12.5,5.0,330,0,47.9,2,5,0,14,9,0.56
D.J. Estes,182326,S,NC CENT,3,49,12.3,8.2,247,0,88.9,4,6,0,45,35,0.92
Josh Pierre-Louis,122880,S,MARSHALL,3,49,12.3,8.2,214,0,100.0,4,6,0,61,23,1.24
Chris Tooley III,169928,CB,FAU,3,37,12.3,7.4,165,0,130.0,3,5,1,46,16,1.24
Deuce Cooper,178527,CB,LIUSHAR,3,74,12.3,8.2,1298,0,112.7,6,9,1,39,3,0.53
Vic Shaw,176502,ED,UTSA,3,12,12.0,12.0,331,0,79.2,1,1,0,0,0,0.0
Deuce Walker,189977,S,GA STATE,3,12,12.0,12.0,175,0,104.2,1,1,0,9,3,0.75
Rodney Dansby,154603,LB,HOUCHR,3,12,12.0,12.0,183,0,143.8,1,1,1,9,10,0.75
Daytione Smith,121749,S,MARSHALL,3,12,12.0,4.0,214,0,42.4,1,3,0,1,0,0.08
Koi Perich,188710,S,MINNESOTA,2,12,12.0,6.0,225,0,81.3,1,2,0,18,3,1.5
Jean-Christophe Vital Cloutier,175826,S,MERCYHURST,3,12,12.0,6.0,977,0,56.3,1,2,0,5,12,0.42
Xavier White,184678,LB,C MICHIGAN,3,12,12.0,12.0,134,0,91.7,1,1,0,6,1,0.5
Curtis Jones Jr.,189935,ED,W VIRGINIA,2,12,12.0,12.0,343,0,95.8,1,1,0,7,8,0.58
Jalarrion Andrews,186262,CB,CENT ARK,2,24,12.0,12.0,132,0,85.4,2,2,0,9,17,0.38
Riley Dravet,149563,S,WAGNER,2,12,12.0,6.0,338,0,62.5,1,2,0,9,-1,0.75
Abdul Muhammad,175290,S,SMU,2,12,12.0,12.0,287,0,118.8,1,1,0,31,8,2.58
Antoine Belgrave-Shorter,183596,S,PENN STATE,3,12,12.0,6.0,266,0,64.6,1,2,0,10,5,0.83
Carter Stoutmire,171907,S,COLORADO,3,12,12.0,4.0,143,0,81.9,1,3,0,67,64,5.58
Leroy Bryant,171915,CB,WASHINGTON,2,12,12.0,4.0,340,0,42.4,1,3,0,6,0,0.5
Anthony Mackey,186643,S,MERCYHURST,3,12,12.0,12.0,977,0,118.8,1,1,0,35,4,2.92
Kwantre' Harry,165453,S,SCAR STATE,3,24,12.0,4.8,290,0,121.7,2,5,1,56,10,2.33
Braylon Wise,172038,S,GEORGETOWN,3,36,12.0,6.0,172,0,56.3,3,6,0,0,3,0.0
Tucker Large,148243,S,WASH STATE,3,12,12.0,12.0,341,0,83.3,1,1,0,4,9,0.33
Terrence Jones II,191868,CB,FORDHAM,3,12,12.0,12.0,168,0,91.7,1,1,0,6,7,0.5
Corey Costner,200270,CB,VIRGINIA,3,24,12.0,12.0,335,0,108.3,2,2,0,20,13,0.83
Dylan Layne,158985,LB,IDAHO,3,12,12.0,12.0,185,0,79.2,1,1,0,3,7,0.25
Kennedy Parker,187938,ED,PRVIEW A&M,3,12,12.0,12.0,270,0,118.8,1,1,0,21,10,1.75
Douglas Williams III,189349,S,STETSON,1,12,12.0,6.0,302,0,89.6,1,2,0,22,9,1.83
Lynn Pettway,174379,S,ALAB A&M,1,12,12.0,6.0,104,0,75.0,1,2,0,15,6,1.25
Kamden Wyatt,209783,CB,MERRIMACK,3,36,12.0,6.0,385,0,117.4,3,6,1,49,39,1.36
Travis Arena,184994,LB,N ARIZONA,3,12,12.0,12.0,252,0,118.8,1,1,0,22,4,1.83
Devin Williams,189248,S,GRAMBLING,2,12,12.0,6.0,177,0,60.4,1,2,0,8,4,0.67
Nahamani Harris,167154,S,N ARIZONA,2,12,12.0,12.0,252,0,79.2,1,1,0,2,7,0.17
Mason Rivera,158934,S,CAL POLY,3,12,12.0,12.0,129,0,158.3,1,1,1,29,0,2.42
Justice Cross,145203,LB,FL A&M,2,12,12.0,12.0,164,0,118.8,1,1,0,21,0,1.75
Travor Randle,181171,S,PRVIEW A&M,3,12,12.0,6.0,270,0,70.8,1,2,0,13,17,1.08
Trevon Gola-Callard,172978,S,CINCINNATI,3,12,12.0,6.0,138,0,62.5,1,2,0,9,13,0.75
Jack Beebe,145620,LB,BALL ST,3,12,12.0,12.0,117,0,118.8,1,1,0,16,9,1.33
Jonathan Cabral-Martin,153976,CB,N IOWA,3,47,11.8,4.3,255,0,82.0,4,11,1,51,10,1.09
Che Ojarikre,176625,CB,STANFORD,3,59,11.8,9.8,300,0,83.3,5,6,0,24,15,0.41
Jaheim Ward,149123,S,E KENTUCKY,3,35,11.7,5.8,159,0,56.3,3,6,0,13,7,0.37
Hayden Bender,173574,S,DAVIDSON,2,23,11.5,11.5,149,0,133.3,2,2,1,13,8,0.57
Jackson Vick,157406,CB,NC STATE,3,92,11.5,7.7,248,0,71.2,8,12,0,39,33,0.42
Allen Smith,97148,S,DELWARE ST,2,46,11.5,9.2,152,0,118.3,4,5,0,62,19,1.35
Dontae Lunan,142071,LB,COAST CAR,3,23,11.5,7.7,141,0,91.0,2,3,0,24,6,1.04
Jones Thomas,174829,S,WYOMING,3,23,11.5,5.8,351,0,57.3,2,4,0,13,2,0.57
Drue Watts,146094,LB,MEMPHIS,3,23,11.5,7.7,218,0,70.1,2,3,0,0,8,0.0
Wayne Matthews III,145382,LB,MICH STATE,3,23,11.5,7.7,223,1,34.7,2,3,0,12,23,0.52
Davon Banks,146477,S,BOISE ST,2,23,11.5,7.7,120,0,109.7,2,3,0,53,16,2.3
Bravion Rogers,175941,CB,TEXAS A&M,2,23,11.5,5.8,312,0,75.0,2,4,0,30,13,1.3
TJ Metcalf,172415,S,MICHIGAN,3,57,11.4,8.1,222,0,103.9,5,7,0,71,32,1.25
Tayden Gray,176765,S,MONTANA ST,3,57,11.4,6.3,233,0,64.1,5,9,0,34,20,0.6
Braeden Marshall,174351,CB,UCF,2,34,11.3,8.5,323,0,89.6,3,4,0,24,23,0.71
Perry Fisher,162792,CB,UAB,1,34,11.3,5.7,321,0,63.9,3,6,0,29,8,0.85
Nikolas Mirabella,192446,CB,CITADEL,3,45,11.3,9.0,139,0,98.3,4,5,0,38,8,0.84
Chris Presto,171508,S,S ILLINOIS,3,45,11.3,7.5,295,0,80.6,4,6,0,33,25,0.73
Kapena Gushiken,174157,S,OLE MISS,3,34,11.3,6.8,226,0,64.6,3,5,0,10,16,0.29
Fletcher Marshall Jr.,162650,CB,N IOWA,3,11,11.0,2.8,255,0,39.6,1,4,0,10,2,0.91
Mylan Nettles,195003,CB,MCKENDREE,1,11,11.0,11.0,384,0,83.3,1,1,0,4,7,0.36
Mason Taylor,149276,S,NEWHVN,2,11,11.0,5.5,1013,0,56.3,1,2,0,4,0,0.36
Chris Jones,191241,LB,SO MISS,3,11,11.0,5.5,296,0,75.0,1,2,0,15,0,1.36
Desman Hearns,160586,CB,WYOMING,3,77,11.0,5.9,351,1,56.6,7,13,1,50,19,0.65
Caleb Hardy,175435,LB,VIRGINIA,3,11,11.0,11.0,335,0,87.5,1,1,0,5,8,0.45
Tommy Williams,160517,CB,DRAKE,2,33,11.0,6.6,153,0,64.6,3,5,0,12,-1,0.36
Mekhai Smith,185711,S,LEHIGH,3,11,11.0,5.5,205,1,16.7,1,2,0,6,2,0.55
Nic Land,177921,S,VA MILT IN,3,22,11.0,11.0,336,0,158.3,2,2,1,69,68,3.14
TreShawn Moore,188075,S,W GEORGIA,3,11,11.0,11.0,1177,0,79.2,1,1,0,2,6,0.18
Joenel Figueroa,166446,S,W GEORGIA,3,22,11.0,11.0,1177,0,150.0,2,2,1,21,8,0.95
Kyle Knox,153945,S,ARKAPB,2,11,11.0,11.0,112,0,118.8,1,1,0,14,8,1.27
Jy Gilmore,138115,CB,GA TECH,3,44,11.0,8.8,176,0,118.8,4,5,1,4,13,0.09
Tory Gethers,198935,LB,NEW MEX ST,3,11,11.0,5.5,242,0,56.3,1,2,0,1,4,0.09
Braden Awls,171370,S,TOLEDO,3,11,11.0,5.5,316,0,56.3,1,2,0,3,9,0.27
