player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jaylan Foster,13095,S,S CAROLINA,13,20,0,65.5,0,2,289,0,0,69.7,70.7,54.6,81.5,67.1,64.8,1,1,0,5,61,16.5,19,2,1,108.8,19,2,0,306,3,369,792,9,0,0,9,0,325,783,10,413,149,26,76,3,29,4,6,368,168,19.4
Mark Williams,21922,CB,LA MONROE,7,2,0,81.8,0,1,209,2,0,70.1,69.6,82.8,55.6,62.8,43.9,0,0,0,1,55,24.2,8,2,1,95.3,18,0,0,12,288,196,303,3,0,0,3,0,0,300,2,105,0,9,23,1,22,0,1,171,62,9.5
Devin Taylor,22317,CB,BOWL GREEN,12,7,0,46.7,0,1,122,0,0,70.0,69.5,24.9,53.0,72.9,65.4,1,2,0,2,83,14.6,7,9,7,60.1,21,0,0,39,729,357,803,22,0,0,22,0,2,781,8,438,11,14,34,1,45,3,1,327,133,15.6
Cortez Davis,22974,CB,HAWAII,13,9,0,52.1,0,2,180,0,0,64.7,63.9,88.3,64.1,55.2,58.6,1,2,0,1,44,15.5,9,15,5,79.9,49,1,0,64,905,575,1043,39,0,0,39,0,1,1004,17,451,33,11,40,0,94,4,4,556,252,11.3
Dru Prox,23093,LB,UTSA,9,2,0,57.1,0,1,331,0,0,53.4,66.4,76.7,86.8,67.8,76.6,2,3,0,0,40,5.9,1,1,0,132.7,4,1,0,142,0,67,145,0,0,0,0,0,0,145,11,67,3,9,14,0,7,6,1,73,41,18.3
Reggie Stubblefield,23441,S,KANSAS ST,12,5,1,81.1,0,0,199,1,0,58.3,63.9,48.3,65.7,72.2,46.6,1,6,0,0,21,21.8,12,1,2,107.8,30,1,0,189,2,245,501,54,0,0,54,0,2,447,52,204,254,26,38,7,37,8,2,205,158,6.8
Mikel Horton,23509,DI,CHARLOTTE,7,5,0,,1,0,136,0,0,60.0,71.4,56.2,73.1,67.9,69.8,3,10,0,0,,4.2,1,0,1,0.0,0,1,0,0,0,0,302,302,65,235,0,2,0,0,155,147,0,15,18,1,0,14,0,0,0,
Colby Burton,23898,CB,HAWAII,6,0,0,100.0,0,0,180,0,0,60.0,62.6,79.6,57.2,72.4,83.5,0,0,0,0,22,0.0,0,0,1,109.7,6,0,0,4,94,58,116,0,0,0,0,0,0,116,2,56,18,3,8,1,6,0,0,62,18,10.3
Darion Dunn,23963,CB,TEXAS,11,4,0,56.0,0,1,311,0,0,75.0,74.0,15.8,56.3,71.7,69.7,0,0,0,0,52,12.0,3,2,1,89.6,14,0,0,22,284,171,314,5,0,0,5,0,0,309,6,137,3,4,18,1,25,0,1,165,40,11.8
Darren Evans,24171,CB,LSU,12,4,0,68.8,0,0,211,0,0,64.7,64.6,84.2,68.2,59.5,60.6,1,2,0,0,24,17.9,5,3,1,121.7,22,0,0,37,379,253,471,2,0,0,2,0,10,469,4,214,43,3,19,0,32,3,3,239,110,10.9
Alvinoski LaFleur,24504,S,E MICHIGAN,11,5,0,65.2,0,0,160,1,0,56.0,59.0,86.0,76.5,59.6,51.9,0,1,0,0,44,20.0,12,0,0,92.1,15,2,0,322,8,291,551,4,0,0,4,0,72,547,7,253,145,18,43,0,23,3,0,197,94,13.1
Luc Bequette,25776,DI,CAL,11,10,5,,0,0,130,0,0,55.3,52.8,83.8,66.2,44.5,47.8,3,10,0,0,,18.2,8,0,0,0.0,0,3,0,1,0,8,537,536,25,421,1,89,0,1,294,235,0,19,26,1,0,16,0,0,0,
Jeremiah Moon,26453,LB,FLORIDA,10,7,0,62.5,0,1,163,0,0,57.1,63.5,88.2,68.5,62.2,74.9,1,12,0,0,32,11.8,6,0,0,81.3,5,2,0,198,2,130,416,192,0,2,190,0,0,224,92,194,24,22,38,2,8,15,0,52,43,10.4
