player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Dru Prox,23093,LB,UTSA,4,0,5.0,66.7,87.5,13.5,9.0,0,0,0,0.0,331,58.0,66.8,76.4,55.0,76.3,65.4,0,16,50.0,1,0,0,92.4,2,28,32,0,1,3,0,25,13,0.9,12.5
John Porchivina,28202,LB,OLE MISS,1,0,,,100.0,,,0,0,0,,226,60.3,47.4,67.2,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Colby Reeder,30285,LB,IOWA STATE,8,2,6.3,61.1,75.1,12.5,7.7,0,1,1,5.6,193,73.9,80.1,38.2,75.7,84.0,77.2,2,18,8.3,1,1,1,70.6,11,148,197,5,9,18,2,87,34,0.6,7.9
Kyle Pugh,35900,LB,N ILLINOIS,12,5,10.0,33.3,83.2,66.5,22.2,0,0,2,33.3,254,77.8,72.9,82.0,53.6,68.3,86.7,0,11,6.3,1,2,0,43.1,2,139,167,4,10,6,0,19,12,0.1,9.5
Jordan Carmouche,39951,LB,ARK STATE,12,3,6.0,72.7,87.6,18.6,13.5,0,0,0,0.0,113,56.2,58.4,59.3,52.3,62.3,79.7,0,51,6.3,1,0,1,130.5,16,325,371,3,12,22,2,198,130,0.7,12.4
Monte McGary,42477,CB,KANSAS,7,1,9.0,100.0,91.7,21.0,21.0,0,0,0,0.0,198,63.4,63.7,76.2,69.5,54.7,53.8,0,12,0.0,0,0,0,116.7,1,22,24,0,1,1,0,12,3,0.6,12.0
Bricen Garner,42520,S,W MICHIGAN,12,7,8.5,63.4,97.5,14.2,9.0,0,0,3,7.3,347,69.2,67.7,87.6,64.6,61.6,73.8,2,37,6.8,3,3,0,67.2,26,390,400,10,34,41,0,321,112,0.9,12.3
Brandon Moore,42620,CB,NEBRASKA,6,1,10.6,55.6,98.8,15.4,8.6,0,0,0,0.0,238,75.5,73.4,0.0,60.0,66.2,61.8,1,13,16.7,1,0,1,28.7,5,83,84,1,4,9,0,43,19,0.6,8.6
Brandon Bouyer-Randle,42637,LB,UCONN,13,4,1.5,85.2,58.2,9.0,7.7,0,0,0,0.0,146,66.6,65.8,87.1,64.2,62.7,84.8,2,30,11.5,3,0,0,65.1,23,226,388,9,19,27,0,190,162,0.9,8.3
Clifford Chattman,42657,S,UTSA,14,6,13.4,45.5,98.5,17.7,8.0,0,1,9,16.4,331,62.7,67.3,59.2,74.9,74.4,67.9,5,56,10.3,4,7,4,45.1,25,467,474,6,29,55,2,408,178,0.9,16.3
Anthony Watts,42807,DI,MARSHALL,13,0,17.0,100.0,4.2,10.0,10.0,0,0,0,0.0,214,50.3,57.9,62.5,58.8,63.6,56.1,0,49,33.3,1,0,1,118.8,1,10,240,2,2,1,0,49,32,4.9,49.0
Justin Clark,43185,CB,WISCONSIN,9,0,11.8,61.5,100.0,14.6,9.0,0,0,3,23.1,349,61.2,61.2,81.8,,59.3,62.7,0,29,16.7,1,0,2,85.7,8,125,125,1,5,13,0,101,19,0.9,12.6
Ryan McWood,43189,LB,MIAMI OH,12,10,3.2,90.9,86.3,12.5,11.3,0,1,5,15.2,221,71.3,66.4,83.9,54.6,63.5,52.9,1,23,18.4,7,4,0,101.3,30,391,453,6,21,33,1,294,205,0.8,9.8
Jaydon Grant,43354,S,OREGON ST,12,4,11.6,59.4,95.4,22.9,13.6,0,1,3,9.4,265,79.8,78.3,55.2,51.0,78.4,79.5,3,60,7.7,3,3,2,49.3,19,459,481,9,32,32,0,283,123,0.7,14.9
Jon-Michael Terry,43635,LB,TULSA,12,3,6.4,71.4,76.1,13.8,9.8,1,0,0,0.0,320,57.4,60.3,46.4,59.0,63.2,72.9,0,26,18.2,4,0,2,101.6,20,289,380,8,15,28,1,189,82,0.7,9.5
Tyrone Hopper,43714,ED,MISSOURI,11,0,21.0,0.0,8.0,,6.0,1,0,0,0.0,229,50.2,48.5,0.0,57.0,57.1,31.6,0,,100.0,1,0,3,39.6,0,6,75,0,0,1,0,0,0,0.0,
Sione Tupou,44093,LB,TEXAS ST,12,6,4.9,78.8,86.5,9.1,7.2,0,0,3,5.8,314,61.2,75.1,85.2,78.5,78.6,77.1,2,74,11.4,4,3,0,111.1,41,386,446,9,25,52,3,515,370,1.4,12.6
Semisi Fakasiieiki,44340,LB,PURDUE,11,3,-0.6,50.0,95.3,18.8,9.4,0,0,0,0.0,273,67.3,62.9,8.2,77.8,57.2,55.2,0,11,20.0,2,0,1,89.6,5,102,107,4,5,10,1,17,35,0.2,3.4
Antwaine Richardson,49364,S,KENT STATE,7,3,13.4,69.2,100.0,12.2,8.4,0,0,1,3.8,201,52.6,60.7,85.4,,79.2,72.3,0,71,16.0,4,1,0,127.9,18,225,225,4,18,26,2,265,90,1.2,14.7
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,1,7.0,80.0,81.0,11.5,9.2,0,0,0,0.0,174,31.2,43.2,78.3,55.9,57.4,35.3,0,21,50.0,3,0,0,143.8,4,47,58,2,2,5,1,45,19,1.0,11.3
Penei Pavihi,52079,LB,HAWAII,13,10,2.1,84.1,90.5,9.3,7.8,0,1,1,2.3,180,58.4,44.2,59.8,60.1,35.9,48.8,1,35,16.7,7,1,1,102.1,37,364,402,15,25,44,1,394,347,1.1,10.6
George Nyakwol,52203,S,RICE,10,1,13.5,58.3,93.7,26.7,15.6,1,0,1,8.3,275,54.4,60.9,84.5,72.6,67.2,57.1,1,28,15.8,3,1,1,93.4,7,209,223,3,15,12,2,109,15,0.6,15.6
Kenneth Orji,52209,ED,RICE,10,1,5.0,0.0,16.5,,17.0,0,0,0,0.0,275,65.0,62.7,85.5,53.0,67.0,59.7,0,,25.0,1,0,0,39.6,0,18,109,1,2,1,0,0,0,0.0,
Trey Schuman,52216,ED,RICE,13,0,,,2.8,,,0,0,0,,275,63.2,72.7,8.0,78.3,66.2,63.9,0,,33.3,1,0,3,0.0,0,4,143,7,2,0,0,0,0,0.0,
Alii Matau,52219,LB,S JOSE ST,12,5,6.3,68.4,62.5,17.5,11.9,0,0,0,0.0,285,72.0,68.6,75.2,68.9,61.9,58.8,1,24,22.2,4,0,1,75.5,13,240,384,7,9,19,1,95,46,0.4,7.3
Rico Tolefree,52250,LB,S JOSE ST,10,1,9.6,87.5,81.5,8.9,7.8,0,0,1,12.5,285,61.8,61.7,1.1,59.5,66.4,77.2,0,27,0.0,0,1,1,118.8,7,66,81,3,4,8,0,102,33,1.6,14.6
Tre White,52261,S,S JOSE ST,9,0,13.5,100.0,97.5,18.8,18.8,0,0,1,25.0,285,61.6,57.3,0.0,66.2,52.5,50.4,0,22,16.7,1,1,1,157.3,4,77,79,1,5,4,2,49,1,0.7,12.3
Gabe Reid,52273,ED,UTAH,13,2,7.0,100.0,8.5,25.0,25.0,0,0,0,0.0,328,74.4,74.1,49.2,69.5,71.7,73.8,0,14,18.2,2,0,2,118.8,1,26,306,9,7,1,0,14,7,0.6,14.0
Ryan Johnson,52282,ED,NWESTERN,6,0,,,2.5,,,0,0,0,,256,58.7,68.0,81.1,65.5,67.2,64.5,0,,,0,0,0,0.0,0,2,79,1,0,0,0,0,0,0.0,
Bentlee Sanders,52291,S,NEVADA,12,1,10.3,61.5,99.8,12.0,7.4,0,0,3,5.8,239,79.1,79.2,88.8,59.6,74.2,77.9,5,44,8.9,4,3,2,52.4,32,408,409,7,40,52,1,402,141,1.0,12.6
Mekhi LaPointe,52315,S,USF,10,5,9.3,82.8,98.1,10.1,8.4,0,0,1,3.4,327,40.0,43.8,85.5,62.7,49.9,50.3,1,60,22.6,7,1,0,144.0,24,252,257,7,19,29,4,375,183,1.5,15.6
