player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Jacob De Jesus,174068,WR,CAL,1,22,0,130,0,-3.4,0,100.0,,0,0,0.0,0,0,0,92.6,59.3,0,6,0.0,0,10,5,100.0,10,79.2,5,50.0,0,14,31,6.2,2.8,1.4,10.2,0,69.2,33.3,1,3,0.0,0,4,0,88.3,81.4,0,25,0.0,0,28,9,92.9,26,90.9,13,50.0,0,97,46,5.1,10.8,3.73
Jaden Barnes,173738,WR,APP STATE,1,19,0,108,0,-1.5,0,50.0,,0,0,0.0,0,0,0,81.5,57.5,0,-2,0.0,0,3,1,100.0,3,56.3,2,66.7,0,-2,0,0.0,-2.0,-0.67,10.9,0,61.5,50.0,1,2,11.1,1,4,0,76.5,83.8,0,22,0.0,0,42,8,95.2,40,100.2,13,32.5,1,66,1,0.1,8.3,1.65
Ted Hurst,187922,WR,GA STATE,1,18,0,175,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,11.0,0,0.0,,0,0,,0,0,0,66.4,87.9,0,0,0.0,0,5,0,80.0,4,39.6,2,50.0,0,0,0,,,0.0
Eric McAlister,145976,WR,TCU,1,17,0,305,0,-1.0,5,100.0,,0,0,0.0,0,2,0,92.6,84.9,0,15,0.0,0,9,5,100.0,9,96.7,5,55.6,0,36,41,8.2,7.2,4.0,1.8,3,75.0,0.0,0,1,0.0,0,2,0,75.4,69.0,0,9,0.0,0,16,3,100.0,16,82.3,4,25.0,0,17,16,5.3,5.7,1.06
Makai Lemon,174150,WR,USC,1,16,0,326,0,-1.5,1,100.0,,0,0,0.0,0,0,0,86.7,57.8,0,3,0.0,0,4,2,100.0,4,79.2,2,50.0,0,3,6,3.0,1.5,0.75,9.8,2,66.7,50.0,1,2,0.0,0,5,0,82.2,73.2,1,19,0.0,0,29,8,96.6,28,77.1,12,42.9,1,76,43,5.4,9.5,2.71
Jordan Dwyer,158967,WR,TCU,1,16,0,305,0,-1.5,0,100.0,,0,0,0.0,0,0,0,86.7,53.0,0,4,0.0,0,8,2,100.0,8,79.2,2,25.0,0,4,7,3.5,2.0,0.5,13.3,2,100.0,100.0,1,1,0.0,0,3,0,85.5,78.9,0,19,0.0,0,14,3,92.9,13,118.8,3,23.1,0,44,4,1.3,14.7,3.38
Eli Stowers,147013,TE,VANDERBILT,1,15,0,333,0,-1.5,0,100.0,,0,0,0.0,0,1,0,86.7,90.2,0,7,0.0,0,2,2,100.0,2,83.3,2,100.0,0,8,11,5.5,4.0,4.0,7.2,0,88.9,66.7,2,3,0.0,0,4,0,87.0,84.0,0,29,0.0,0,27,8,92.6,25,106.9,9,36.0,0,87,30,3.8,10.9,3.48
Skyler Bell,145163,WR,UCONN,1,15,0,146,0,-1.2,0,80.0,,0,0,0.0,0,0,0,91.4,73.9,0,9,0.0,0,7,4,100.0,7,79.2,5,71.4,0,11,16,4.0,2.8,1.57,3.0,1,85.7,,0,0,0.0,0,2,0,86.7,77.3,0,14,0.0,0,16,6,93.8,15,126.5,7,46.7,1,34,41,6.8,5.7,2.27
Cortez Braham Jr.,157366,WR,MEMPHIS,1,14,0,218,0,-2.3,1,100.0,,0,0,0.0,0,1,0,91.4,75.0,0,8,0.0,0,6,4,100.0,6,85.4,4,66.7,0,18,27,6.8,4.5,3.0,30.5,0,50.0,,0,0,0.0,0,1,0,85.5,70.5,0,32,0.0,0,6,1,100.0,6,95.8,2,33.3,0,32,0,0.0,32.0,5.33
Duce Robinson,176642,WR,FLORIDA ST,1,14,0,167,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,50.8,0,6,0.0,0,8,1,100.0,8,91.7,1,12.5,0,6,9,9.0,6.0,0.75,21.7,0,33.3,,0,0,0.0,0,1,0,84.7,70.2,0,16,0.0,0,14,1,100.0,14,52.1,3,21.4,0,16,1,1.0,16.0,1.14
Eric Singleton Jr.,170078,WR,AUBURN,1,13,0,115,0,-4.0,1,100.0,,0,0,0.0,0,0,0,86.7,62.6,0,4,0.0,0,2,2,100.0,2,79.2,2,100.0,0,4,12,6.0,2.0,2.0,7.0,3,81.8,50.0,1,2,0.0,0,7,0,87.7,81.7,0,17,0.0,0,41,9,95.1,39,97.7,11,28.2,0,82,47,5.2,9.1,2.1
Caden High,196883,WR,STANFORD,1,13,0,300,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,7.3,2,75.0,100.0,1,1,0.0,0,5,0,84.7,80.0,0,23,0.0,0,35,9,97.1,34,97.2,12,35.3,0,94,41,4.6,10.4,2.76
Iverson Hooks,163020,WR,UAB,1,12,0,321,0,,0,,,0,0,,0,0,0,,52.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,13.0,0,44.4,100.0,2,2,20.0,1,3,0,20.6,60.2,0,21,0.0,0,28,4,100.0,28,61.8,9,32.1,0,49,12,3.0,12.3,1.75
Cam Coleman,184398,WR,AUBURN,1,12,0,115,0,,0,,,0,0,,0,0,0,,49.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,88.0,74.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
David Wells Jr.,176410,WR,OREGON ST,1,12,0,265,0,-4.0,0,100.0,,0,0,0.0,0,0,0,86.7,54.4,0,7,0.0,0,7,2,85.7,6,87.5,2,33.3,0,10,18,9.0,5.0,1.67,-4.0,0,100.0,,0,0,0.0,0,0,0,82.7,81.0,0,7,0.0,0,13,2,100.0,13,87.5,2,15.4,0,10,18,9.0,5.0,0.77
Leland Smith,190924,WR,S JOSE ST,1,12,0,285,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,51.8,0,1,0.0,0,5,1,100.0,5,79.2,1,20.0,0,1,3,3.0,1.0,0.2,17.0,0,100.0,,0,0,0.0,0,1,0,83.8,79.1,0,21,0.0,0,9,1,100.0,9,118.8,1,11.1,0,21,4,4.0,21.0,2.33
Chris Dawn Jr.,172326,WR,TEXAS ST,1,12,0,314,0,-2.5,0,100.0,,0,0,0.0,0,1,0,86.7,80.6,0,7,0.0,0,4,2,75.0,3,81.3,2,66.7,0,7,12,6.0,3.5,2.33,11.0,0,50.0,0.0,0,1,0.0,0,0,0,49.5,69.2,0,5,0.0,0,13,1,84.6,11,56.3,2,18.2,0,5,2,2.0,5.0,0.45
Kenny Odom,164032,WR,UTEP,1,12,0,330,0,-1.7,0,66.7,100.0,1,1,0.0,0,0,0,86.7,57.5,0,0,0.0,0,5,2,100.0,5,70.1,3,60.0,0,-2,4,2.0,-1.0,-0.4,5.0,0,66.7,,0,0,0.0,0,0,1,38.6,50.9,0,8,0.0,0,7,2,100.0,7,70.1,3,42.9,0,6,17,8.5,3.0,0.86
