player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
K.C. Ossai,147158,LB,LA LAFAYET,1,1,,1.0,207,0,39.6,0,1,0,0,0,0.0
Lance Robinson,76747,CB,TULANE,1,1,,1.0,319,0,39.6,0,1,0,0,0,0.0
Chance Keith,147333,LB,ARMY,1,1,,1.0,114,0,39.6,0,1,0,0,0,0.0
Max DiDomenico,147338,S,ARMY,1,3,,3.0,114,0,39.6,0,1,0,0,0,0.0
Tui Faumuina-Brown,147395,LB,UCONN,1,4,,4.0,146,0,39.6,0,1,0,0,0,0.0
Durante Jones,147397,S,UCONN,1,5,,5.0,146,0,39.6,0,1,0,0,0,0.0
Kentrell Williams Jr.,147598,S,E WASHGTON,1,1,,1.0,161,0,39.6,0,1,0,0,0,0.0
Saiku White,149390,S,LAFAYETTE,1,9,,9.0,203,0,39.6,0,1,0,0,0,0.0
Alex Smith Jr.,149287,S,BUCKNELL,1,6,,3.0,125,0,39.6,0,2,0,0,0,0.0
EJ Williams,76779,LB,E MICHIGAN,1,4,,4.0,160,0,39.6,0,1,0,0,0,0.0
Todric McGee,148117,S,MO STATE,1,12,,12.0,230,0,39.6,0,1,0,0,0,0.0
Lemondre Joe,148119,CB,MO STATE,1,1,,1.0,230,1,0.0,0,1,0,0,0,0.0
Garrett Sharp,148917,S,HARVARD,1,6,,6.0,179,0,39.6,0,1,0,0,0,0.0
Logan Kopp,148170,LB,N DAK ST,1,1,,1.0,250,0,39.6,0,1,0,0,0,0.0
Bryson Parker,148429,S,RICHMOND,1,8,,8.0,276,0,39.6,0,1,0,0,0,0.0
Chris Yates,148545,S,BRYANT,1,7,,7.0,124,0,39.6,0,1,0,0,0,0.0
Ezekiel M. Daure,148553,S,DUQUESNE,1,5,,5.0,155,0,39.6,0,1,0,0,0,0.0
Antonio Epps,148554,S,DUQUESNE,1,4,,4.0,155,0,39.6,0,1,0,0,0,0.0
Tre Jordan III,148578,CB,MERRIMACK,1,4,,2.0,385,0,39.6,0,2,0,0,0,0.0
Brody Kidwell,148759,S,CORNELL,1,8,,8.0,147,0,39.6,0,1,0,0,0,0.0
Daniel Bolden,77252,LB,TOLEDO,1,1,,1.0,316,0,39.6,0,1,0,0,0,0.0
Diego Bremer,186911,CB,GANNON,1,4,,4.0,1290,0,39.6,0,1,0,0,0,0.0
Francis Meehan,79071,S,JAMES MAD,1,17,,17.0,197,1,0.0,0,1,0,0,0,0.0
Leon Thomas,178625,CB,CHARLES SO,1,1,,1.0,135,0,39.6,0,1,0,0,0,0.0
Quae Drake,79192,LB,JVILLE ST,1,3,,3.0,196,0,39.6,0,1,0,0,0,0.0
Chandler Perry,178604,CB,CHARLES SO,1,8,,4.0,135,0,39.6,0,2,0,0,0,0.0
Champ Brantley,178597,S,CHARLES SO,1,2,,2.0,135,0,39.6,0,1,0,0,0,0.0
Shawn Wilson,178550,S,ARKAPB,1,13,,13.0,112,0,39.6,0,1,0,0,0,0.0
Geoffreyy Mckelton,178501,S,ALCORN ST,1,7,,3.5,107,0,39.6,0,2,0,0,0,0.0
Eli'jah Winston,81983,ED,NEVADA,1,1,,1.0,239,0,39.6,0,1,0,0,0,0.0
Brandon Bishop,83123,S,LIBERTY,1,8,,8.0,206,0,39.6,0,1,0,0,0,0.0
Andrew Jenkins,83365,S,S JOSE ST,1,4,,4.0,285,0,39.6,0,1,0,0,0,0.0
Osize Daniyan,177501,S,YALE,1,9,,9.0,352,0,39.6,0,1,0,0,0,0.0
B.J. Turner,84540,LB,NC A&T,1,2,,2.0,246,0,39.6,0,1,0,0,0,0.0
Ozzie Nicholas,86729,LB,PRINCETON,1,5,,5.0,272,0,39.6,0,1,0,0,0,0.0
Chris Farnsworth,186904,S,GANNON,1,3,,3.0,1290,0,39.6,0,1,0,0,0,0.0
Kam Robinson,175441,LB,VIRGINIA,1,6,,6.0,335,0,39.6,0,1,0,0,0,0.0
Caleb Hardy,175435,S,VIRGINIA,1,6,,3.0,335,0,39.6,0,2,0,0,0,0.0
Mason Young,175131,S,IDAHO ST,1,11,,11.0,186,0,39.6,0,1,0,0,0,0.0
Mathew Sanchez,175128,S,IDAHO ST,1,18,,18.0,186,0,39.6,0,1,0,0,0,0.0
Josh Green,89172,S,TENN STATE,1,4,,4.0,308,0,39.6,0,1,0,0,0,0.0
Joseph White,90870,S,NORFOLK,1,13,,13.0,244,0,39.6,0,1,0,0,0,0.0
Joshua Hong,91547,S,SAN DIEGO,1,10,,3.3,283,0,39.6,0,3,0,0,0,0.0
Malik Fleming,97144,S,HOUSTON,1,8,,8.0,182,0,39.6,0,1,0,0,0,0.0
Mike Sainristil,97180,CB,MICHIGAN,1,12,,4.0,222,1,0.0,0,3,0,0,0,0.0
Hasson Manning Jr.,173614,CB,DELAWARE,1,1,,1.0,151,0,39.6,0,1,0,0,0,0.0
Jarrian Jones,97486,CB,FLORIDA ST,1,17,,8.5,167,0,39.6,0,2,0,0,0,0.0
Jaden Voisin,97506,S,S ALABAMA,1,5,,5.0,288,0,39.6,0,1,0,0,0,0.0
Damien Miller,97509,S,UAB,1,2,,2.0,321,0,39.6,0,1,0,0,0,0.0
TJ Crandall,173463,CB,COLO STATE,1,1,,1.0,144,0,39.6,0,1,0,0,0,0.0
Thomas Joe-Kamara,97527,S,MONMOUTH,1,6,,6.0,231,0,39.6,0,1,0,0,0,0.0
Kanyon Walker,97528,S,MURRAY ST,1,2,,2.0,236,0,39.6,0,1,0,0,0,0.0
Devon Lynch,173443,LB,W KENTUCKY,1,6,,6.0,346,0,39.6,0,1,0,0,0,0.0
Shamoun Duncan-Niusulu,173367,S,BOWL GREEN,1,8,,8.0,122,0,39.6,0,1,0,0,0,0.0
Mehki Miller,97686,S,NEW MEX ST,1,27,,13.5,242,0,39.6,0,2,0,0,0,0.0
Akeem Dent,97700,S,FLORIDA ST,1,3,,3.0,167,0,39.6,0,1,0,0,0,0.0
Trevon Gola-Callard,172978,S,SO UTAH,1,3,,3.0,298,0,39.6,0,1,0,0,0,0.0
Darius Hodges,97765,ED,TULANE,1,1,,1.0,319,0,39.6,0,1,0,0,0,0.0
Devonte' Mathews,172777,S,NICHOLLS,1,6,,6.0,243,0,39.6,0,1,0,0,0,0.0
Yvandy Rigby,97904,LB,TEMPLE,1,4,,4.0,306,0,39.6,0,1,0,0,0,0.0
Bryce Gallagher,97905,LB,NWESTERN,1,7,,7.0,256,0,39.6,0,1,0,0,0,0.0
Jamori Evans,172743,S,MCNEESE,1,5,,5.0,217,0,39.6,0,1,0,0,0,0.0
Kamrin Canterbury,171584,S,LIUSHAR,1,3,,3.0,1298,0,39.6,0,1,0,0,0,0.0
Hudson Clark,98871,S,ARKANSAS,1,10,,10.0,111,0,39.6,0,1,0,0,0,0.0
Deuce Lee,170880,S,MONMOUTH,1,7,,7.0,231,0,39.6,0,1,0,0,0,0.0
Derek Ganter Jr.,170679,S,E WASHGTON,1,9,,9.0,161,0,39.6,0,1,0,0,0,0.0
Matt Jones,99396,LB,BAYLOR,1,2,,2.0,118,0,39.6,0,1,0,0,0,0.0
Delano Franklin,170641,CB,CAL POLY,1,1,,1.0,129,0,39.6,0,1,0,0,0,0.0
Joseph Charleston,99732,S,MISSOURI,1,8,,4.0,229,0,39.6,0,2,0,0,0,0.0
Kalen DeLoach,99740,LB,FLORIDA ST,1,2,,2.0,167,0,39.6,0,1,0,0,0,0.0
Jordan Huff,99745,S,E CAROLINA,1,5,,5.0,156,0,39.6,0,1,0,0,0,0.0
Dune Smith,99746,LB,S ILLINOIS,1,3,,3.0,295,0,39.6,0,1,0,0,0,0.0
Khadry Jackson,99823,LB,GA SOUTHRN,1,9,,9.0,174,0,39.6,0,1,0,0,0,0.0
DeAgo Brumfield,169935,CB,MEMPHIS,1,1,,1.0,218,0,39.6,0,1,0,0,0,0.0
JaTerious Evans,169712,ED,LA MONROE,1,2,,2.0,209,0,39.6,0,1,0,0,0,0.0
Derrell Holston,167012,S,ARKAPB,1,3,,3.0,112,0,39.6,0,1,0,0,0,0.0
Cam Cope,165240,CB,DAYTON,1,2,,2.0,150,0,39.6,0,1,0,0,0,0.0
Sebastian Castro,101402,CB,IOWA,1,18,,4.5,192,0,39.6,0,4,0,0,0,0.0
Luke Reimer,101469,LB,NEBRASKA,1,3,,3.0,238,0,39.6,0,1,0,0,0,0.0
Anthony Egbo Jr.,101749,CB,ABILENE CH,1,6,,6.0,100,0,39.6,0,1,0,0,0,0.0
Gavin Pringle,101756,CB,GA STATE,1,4,,2.0,175,0,39.6,0,2,0,0,0,0.0
Zach West,101802,ED,E TENN ST,1,1,,1.0,157,0,39.6,0,1,0,0,0,0.0
Jonathan Joanis,63325,LB,S DAKOTA,1,7,,7.0,291,0,39.6,0,1,0,0,0,0.0
Tra Fluellen,102462,S,MIDDLE TN,1,10,,10.0,224,0,39.6,0,1,0,0,0,0.0
Quindrelin Hammonds,102679,S,ARMY,1,5,,5.0,114,0,39.6,0,1,0,0,0,0.0
Dominic Reaves,164846,CB,S DAKOTA,1,2,,2.0,291,0,39.6,0,1,0,0,0,0.0
Michael Jackson,103593,CB,PORTLAND,1,1,,1.0,269,0,39.6,0,1,0,0,0,0.0
Malcolm Reed,164772,S,NC CENT,1,18,,18.0,247,0,39.6,0,1,0,0,0,0.0
Jermaine Brown,103828,LB,STF AUSTIN,1,1,,1.0,301,0,39.6,0,1,0,0,0,0.0
Robert McDaniel,104268,CB,ALCORN ST,1,2,,2.0,107,0,39.6,0,1,0,0,0,0.0
Myles Taylor,104281,LB,MERRIMACK,1,3,,1.5,385,0,39.6,0,2,0,0,0,0.0
Kadari Machen,164673,S,PENN,1,11,,11.0,267,0,39.6,0,1,0,0,0,0.0
Dorian Davis,104347,S,TOWSON,1,12,,12.0,317,0,39.6,0,1,0,0,0,0.0
Aaron Sears,164111,S,STF AUSTIN,1,9,,4.5,301,0,39.6,0,2,0,0,0,0.0
DJ Brown,163933,S,LEHIGH,1,13,,6.5,205,0,39.6,0,2,0,0,0,0.0
Ken Standley,105336,LB,MERCER,1,3,,3.0,219,0,39.6,0,1,0,0,0,0.0
Nickendre Stiger,163823,S,KANSAS ST,1,4,,4.0,199,0,39.6,0,1,0,0,0,0.0
Mister Williams,70521,LB,INCAR WORD,1,1,,1.0,189,0,39.6,0,1,0,0,0,0.0
Luquay Washington Jr.,105540,LB,CENT CT ST,1,10,,5.0,133,0,39.6,0,2,0,0,0,0.0
Wesley Miller,163688,S,S ALABAMA,1,1,,1.0,288,0,39.6,0,1,0,0,0,0.0
Malik Feaster,105868,CB,MEMPHIS,1,1,,1.0,218,1,0.0,0,1,0,0,0,0.0
Keionte Scott,163644,CB,AUBURN,1,16,,5.3,115,0,39.6,0,3,0,0,0,0.0
Demetries Ford,105921,CB,ARIZONA ST,1,1,,1.0,110,0,39.6,0,1,0,0,0,0.0
Ricky Fletcher,163547,CB,S ALABAMA,1,1,,1.0,288,0,39.6,0,1,0,0,0,0.0
Sammy Fort,105949,S,N DAKOTA,1,6,,6.0,249,0,39.6,0,1,0,0,0,0.0
Michael Ruttlen Jr.,106024,S,AUSTINPEAY,1,8,,8.0,116,0,39.6,0,1,0,0,0,0.0
Darion McKenzie,106070,CB,MERRIMACK,1,1,,1.0,385,0,39.6,0,1,0,0,0,0.0
Zeke Berry,162810,S,MICHIGAN,1,1,,1.0,222,0,39.6,0,1,0,0,0,0.0
Garrett Morris,109227,S,SAMFORD,1,9,,9.0,282,0,39.6,0,1,0,0,0,0.0
Trevian Thomas,121544,S,ARK STATE,1,26,,26.0,113,0,39.6,0,1,0,0,0,0.0
Brock Mather,161653,LB,SACRAMENTO,1,5,,5.0,279,0,39.6,0,1,0,0,0,0.0
Sidney Williams,122424,S,MISSOURI,1,7,,7.0,229,0,39.6,0,1,0,0,0,0.0
Justin Lawrence,160468,CB,COLGATE,1,6,,6.0,142,0,39.6,0,1,0,0,0,0.0
Jaidan Scott,160290,S,SM HOUSTON,1,3,,3.0,281,0,39.6,0,1,0,0,0,0.0
Ralen Goforth,72169,LB,WASHINGTON,1,7,,7.0,340,0,39.6,0,1,0,0,0,0.0
Greedy Vance Jr.,122729,CB,FLORIDA ST,1,6,,6.0,167,0,39.6,0,1,0,0,0,0.0
Jordan Polk,160091,S,TXAMCO,1,13,,13.0,1139,0,39.6,0,1,0,0,0,0.0
Nick Peltekian,159777,S,LEHIGH,1,8,,8.0,205,0,39.6,0,1,0,0,0,0.0
Christian Fuhrman,159623,LB,SE MO ST,1,2,,2.0,293,0,39.6,0,1,0,0,0,0.0
Junior Wily,159525,S,WAGNER,1,8,,8.0,338,0,39.6,0,1,0,0,0,0.0
Kendrick Simpkins,123466,S,W KENTUCKY,1,13,,13.0,346,0,39.6,0,1,0,0,0,0.0
Garret Ollendieck,159392,LB,INDIANA ST,1,1,,1.0,191,0,39.6,0,1,0,0,0,0.0
Aj Lopez,159344,CB,HARVARD,1,5,,5.0,179,0,39.6,0,1,0,0,0,0.0
Jaylon Carlies,124196,S,MISSOURI,1,6,,3.0,229,1,0.0,0,2,0,0,0,0.0
Donovan Kaufman,124351,S,AUBURN,1,4,,4.0,115,1,0.0,0,1,0,0,0,0.0
Sam Jung,125296,S,N DAK ST,1,2,,2.0,250,0,39.6,0,1,0,0,0,0.0
Deco Wilson,125381,S,FL A&M,1,4,,4.0,164,0,39.6,0,1,0,0,0,0.0
Noa Pola-Gates,72535,S,NEW MEXICO,1,1,,1.0,241,0,39.6,0,1,0,0,0,0.0
Crew Wakley,128402,S,BYU,1,7,,7.0,128,0,39.6,0,1,0,0,0,0.0
Sean Williams,159301,S,DARTMOUTH,1,8,,8.0,148,0,39.6,0,1,0,0,0,0.0
Noah Rodriguez,159192,S,STNY BROOK,1,7,,7.0,303,0,39.6,0,1,0,0,0,0.0
RJ Delancy III,129686,CB,TOLEDO,1,25,,25.0,316,0,39.6,0,1,0,0,0,0.0
Xander Mueller,129731,LB,NWESTERN,1,7,,7.0,256,0,39.6,0,1,0,0,0,0.0
Lathan Ransom,129755,S,OHIO STATE,1,7,,7.0,260,0,39.6,0,1,0,0,0,0.0
Jaren Banks,129840,LB,E WASHGTON,1,9,,9.0,161,0,39.6,0,1,0,0,0,0.0
Plae Wyatt,129868,S,RICE,1,6,,3.0,275,0,39.6,0,2,0,0,0,0.0
Don Saunders,158931,CB,CAL POLY,1,5,,2.5,129,0,39.6,0,2,0,0,0,0.0
Trent Simms,130384,S,BOWL GREEN,1,3,,3.0,122,0,39.6,0,1,0,0,0,0.0
