player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Malik Muhammad,173165,CB,TEXAS,1,3,3.0,3.0,311,0,118.8,1,1,0,29,5,9.67
Tim White,148022,S,S DAKOTA,1,9,3.0,3.0,291,0,79.2,3,3,0,8,14,0.89
R.J. Mickens,122153,S,CLEMSON,1,3,3.0,3.0,140,0,158.3,1,1,1,19,0,6.33
Gabriel Hardman,177191,LB,S DAKOTA,1,3,3.0,3.0,291,0,118.8,1,1,0,13,12,4.33
Lathan Ransom,129755,S,OHIO STATE,1,3,3.0,3.0,260,0,87.5,1,1,0,5,-1,1.67
Nate Ewell,185545,LB,S DAKOTA,1,8,2.7,2.7,291,0,94.4,3,3,0,20,26,2.5
Tucker Large,148243,S,S DAK ST,1,10,2.5,2.5,292,0,81.3,4,4,0,14,12,1.4
Joshua Josephs,163768,ED,TENNESSEE,1,2,2.0,2.0,307,0,118.8,1,1,0,21,2,10.5
Simeon Woodard,155294,CB,MONTANA ST,1,2,2.0,2.0,233,0,118.8,1,1,0,18,5,9.0
A.J. Harris,173534,CB,PENN STATE,1,2,2.0,2.0,266,0,118.8,1,1,0,20,8,10.0
Rickey Gibson III,174724,CB,TENNESSEE,1,2,2.0,2.0,307,0,95.8,1,1,0,7,6,3.5
Jelani McDonald,176180,S,TEXAS,1,2,2.0,2.0,311,0,118.8,1,1,0,18,9,9.0
Jermod McCoy,176404,CB,TENNESSEE,1,1,1.0,1.0,307,0,108.3,1,1,0,10,6,10.0
Christian Charles,146944,S,TENNESSEE,1,1,1.0,1.0,307,0,79.2,1,1,0,0,7,0.0
Ryan Jones,148166,S,N DAK ST,1,1,1.0,1.0,250,0,83.3,1,1,0,4,1,4.0
Gaven Cooke,144865,S,UC DAVIS,1,1,1.0,1.0,322,0,79.2,1,1,0,2,7,2.0
Logan Kopp,148170,LB,N DAK ST,1,1,1.0,1.0,250,0,100.0,1,1,0,8,11,8.0
Kendrick Stone,172959,S,INCAR WORD,1,1,1.0,1.0,189,0,118.8,1,1,0,29,0,29.0
Jaylen Sneed,156972,LB,NOTRE DAME,1,1,1.0,1.0,258,0,108.3,1,1,0,10,4,10.0
