player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Tyrin Bradley,151205,ED,W VIRGINIA,1,3,1.5,1.5,343,0,87.5,2,2,0,10,5,3.33
Chris Rodgers,172364,LB,TULANE,1,3,1.5,1.5,319,0,100.0,2,2,0,16,10,5.33
Anton Juncaj,160319,ED,ARKANSAS,1,1,1.0,1.0,111,0,79.2,1,1,0,-4,0,-4.0
Jaden Keller,144086,LB,VA TECH,1,2,1.0,1.0,337,0,152.1,2,2,1,22,11,11.0
Caleb Benning,183549,S,NEBRASKA,1,1,1.0,1.0,238,0,83.3,1,1,0,4,3,4.0
Whit Weeks,172498,LB,LSU,1,1,1.0,1.0,211,0,95.8,1,1,0,7,8,7.0
Devyn Hidrogo,183825,S,TCU,1,1,1.0,1.0,305,0,100.0,1,1,0,8,3,8.0
Namdi Obiazor,157288,LB,TCU,1,1,1.0,1.0,305,0,116.7,1,1,0,12,10,12.0
Harrison Taggart,157254,LB,BYU,1,1,1.0,1.0,128,0,79.2,1,1,0,3,3,3.0
Daylen Everette,157079,CB,GEORGIA,1,1,1.0,1.0,173,0,158.3,1,1,1,13,0,13.0
Bryce Steele,143838,LB,BOSTON COL,1,1,1.0,1.0,121,0,118.8,1,1,0,14,13,14.0
Alonzo Edwards Jr.,156859,S,TEXAS ST,1,1,1.0,1.0,314,0,83.3,1,1,0,4,8,4.0
Louis Moore,156415,S,OLE MISS,1,1,1.0,1.0,226,0,91.7,1,1,0,6,1,6.0
TJ Dottery,156243,LB,OLE MISS,1,2,1.0,1.0,226,0,85.4,2,2,0,9,0,4.5
Jamorri Colson,174155,CB,WASH STATE,1,1,1.0,1.0,341,0,158.3,1,1,1,18,0,18.0
Davien Kerr,197628,CB,SYRACUSE,1,1,1.0,1.0,304,0,118.8,1,1,0,31,3,31.0
"Brian Nelson, II",173211,CB,N TEXAS,1,1,1.0,1.0,251,0,116.7,1,1,0,12,6,12.0
Jamal Ligon,123320,LB,UTSA,1,1,1.0,1.0,331,0,118.8,1,1,0,17,0,17.0
Durante Jones,147397,S,UCONN,1,1,1.0,1.0,146,0,79.2,1,1,0,2,6,2.0
Noah Jenkins,184933,S,VA TECH,1,1,1.0,1.0,337,0,83.3,1,1,0,4,3,4.0
Ahmari Harvey,146674,CB,GA TECH,1,1,1.0,1.0,176,0,135.4,1,1,1,7,0,7.0
Deven Bryant,171914,LB,WASHINGTON,1,1,1.0,1.0,340,0,79.2,1,1,0,3,5,3.0
Marc Stampley II,158364,S,GA SOUTHRN,1,2,1.0,1.0,174,0,87.5,2,2,0,10,2,5.0
Javan Robinson,158522,CB,ARIZONA ST,1,1,1.0,1.0,110,0,118.8,1,1,0,27,11,27.0
Kevin Adams III,169970,S,TULANE,1,1,1.0,1.0,319,0,118.8,1,1,0,24,24,24.0
Kaleb Elarms-Orr,146306,LB,TCU,1,1,1.0,1.0,305,0,100.0,1,1,0,8,3,8.0
Kent Robinson,158669,CB,W KENTUCKY,1,1,1.0,1.0,346,0,118.8,1,1,0,33,0,33.0
Brandon Greil,172190,S,ARK STATE,1,1,1.0,1.0,113,0,118.8,1,1,0,15,15,15.0
Tuasivi Nomura,70879,LB,FRESNO ST,1,2,1.0,1.0,169,0,89.6,2,2,0,11,6,5.5
Nick Cull,163652,S,OLE MISS,1,1,1.0,1.0,226,0,83.3,1,1,0,4,9,4.0
Alexander Teubner,101313,S,BOISE ST,1,1,1.0,1.0,120,0,152.1,1,1,1,11,0,11.0
Bailey Despanie,144413,S,TULANE,1,1,1.0,1.0,319,0,79.2,1,1,0,3,5,3.0
Christian Gray,128036,CB,NOTRE DAME,1,1,1.0,1.0,258,0,112.5,1,1,0,11,4,11.0
Princely Umanmielen,124398,ED,OLE MISS,1,1,1.0,1.0,226,0,87.5,1,1,0,5,7,5.0
