player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Tyler Nubin,97895,S,MINNESOTA,1,4,4.0,4.0,225,0,83.3,1,1,0,4,0,1.0
Chris Paul Jr.,146640,LB,ARKANSAS,1,4,4.0,4.0,111,0,118.8,1,1,0,41,44,10.25
Damari Brown,175373,CB,MIAMI FL,1,4,4.0,4.0,220,0,79.2,1,1,0,-3,2,-0.75
Sanoussi Kane,129820,S,PURDUE,1,19,3.8,2.7,273,0,112.2,5,7,0,85,23,4.47
Eddie Heckard,63024,CB,BYU,1,19,3.8,3.8,128,0,105.0,5,5,0,46,10,2.42
Markevious Brown,146824,CB,PURDUE,1,15,3.8,2.5,273,0,109.7,4,6,0,81,34,5.4
J.J. Roberts,123399,S,MARSHALL,1,11,3.7,3.7,214,0,87.5,3,3,0,15,8,1.36
Nick Bafia,149451,S,BUTLER,1,11,3.7,3.7,127,0,83.3,3,3,0,12,15,1.09
Will Hardy,162751,S,N CAROLINA,1,11,3.7,3.7,245,0,94.4,3,3,0,20,6,1.82
Jordan Duson,182724,ED,LINCOK,1,7,3.5,3.5,1452,0,87.5,2,2,0,10,17,1.43
Jaxon Lee,143712,S,MONTANA,1,7,3.5,2.3,232,0,92.4,2,3,0,25,14,3.57
Andru Phillips,124075,CB,KENTUCKY,1,7,3.5,3.5,202,0,95.8,2,2,0,14,13,2.0
Major Burns,124016,S,LSU,1,7,3.5,2.3,211,0,82.6,2,3,0,18,17,2.57
Ubayd Steed,148461,S,S ILLINOIS,1,7,3.5,2.3,295,0,82.6,2,3,0,18,9,2.57
Caleb Moorhead,148669,LB,BROWN,1,14,3.5,3.5,123,0,107.3,4,4,0,39,24,2.79
Michael Ruttlen Jr.,106024,S,AUSTINPEAY,1,7,3.5,3.5,116,0,118.8,2,2,0,48,47,6.86
Miguel Mitchell,157742,S,FLORIDA,1,7,3.5,2.3,163,0,74.3,2,3,0,12,18,1.71
Josh Hunter,158791,S,S DIEGO ST,1,14,3.5,2.8,284,0,83.3,4,5,0,20,20,1.43
A.J. Woods,99750,CB,PITTSBURGH,1,7,3.5,3.5,268,0,118.8,2,2,0,67,10,9.57
Tyson Flowers,162994,S,RICE,1,14,3.5,2.3,275,0,145.8,4,6,1,70,22,5.0
Dadrion Taylor-Demerson,97348,S,TEXAS TECH,1,7,3.5,2.3,315,0,126.4,2,3,1,21,13,3.0
Kyeaure Magloire,164255,CB,E KENTUCKY,1,14,3.5,2.3,159,0,145.8,4,6,1,70,53,5.0
Kamrin Canterbury,171584,S,LIUSHAR,1,7,3.5,3.5,1298,0,112.5,2,2,0,22,19,3.14
Taj Ward,76583,S,CINCINNATI,1,7,3.5,3.5,138,0,91.7,2,2,0,12,14,1.71
Adam Due,177377,CB,HOLY CROSS,1,13,3.3,2.2,181,0,135.4,4,6,1,55,17,4.23
Kenny Churchwell III,83419,S,UCLA,1,10,3.3,3.3,324,0,127.1,3,3,1,15,5,1.5
Jabari Haslem,149973,LB,VA MILT IN,1,10,3.3,2.0,336,0,78.8,3,5,0,32,17,3.2
Toddreis Baltimore,153969,S,CENT CT ST,1,13,3.3,3.3,133,0,158.3,4,4,1,59,7,4.54
Amir Byrd,129872,S,MAINE,1,10,3.3,2.5,212,0,101.0,3,4,0,35,22,3.5
Jaylon Carlies,124196,S,MISSOURI,1,10,3.3,3.3,229,0,113.9,3,3,0,34,14,3.4
Matthew Littlejohn,174148,CB,CAL,1,22,3.1,2.8,130,0,158.3,7,8,1,114,28,5.18
Chris Mills,83315,CB,TEXAS ST,1,3,3.0,3.0,314,0,118.8,1,1,0,24,8,8.0
Ladarius Tennison,124004,LB,OLE MISS,1,3,3.0,3.0,226,0,100.0,1,1,0,8,3,2.67
Willie Roberts,103567,CB,LA TECH,1,3,3.0,1.5,208,0,133.3,1,2,1,24,0,8.0
Desmond Tisdol,124006,LB,FAU,1,3,3.0,3.0,165,0,158.3,1,1,1,46,49,15.33
Jaden Milliner-Jones,171902,CB,COLORADO,1,6,3.0,3.0,143,0,118.8,2,2,0,42,11,7.0
Jordan Jackson,103574,CB,NICHOLLS,1,3,3.0,3.0,243,0,131.3,1,1,1,6,0,2.0
David Spruiells,170725,S,N ARIZONA,1,9,3.0,2.3,252,0,96.9,3,4,0,31,21,3.44
Brenden Dye,134274,LB,LNDNWD,1,3,3.0,3.0,949,0,91.7,1,1,0,6,1,2.0
Blake Stillwell,170704,S,MONTANA ST,1,3,3.0,3.0,233,0,87.5,1,1,0,5,9,1.67
Josh Minkins,66051,S,LOUISVILLE,1,3,3.0,3.0,210,0,112.5,1,1,0,11,5,3.67
Amani Pressley,158961,S,E WASHGTON,1,3,3.0,3.0,161,0,116.7,1,1,0,12,13,4.0
Jaylen Wester,156530,LB,FAU,1,12,3.0,3.0,165,0,100.0,4,4,0,32,17,2.67
D'Kairi Boone,187269,LB,SETONH,1,3,3.0,1.5,1288,0,56.3,1,2,0,6,2,2.0
Jack Howell,146020,S,COLO STATE,1,3,3.0,3.0,144,0,87.5,1,1,0,5,0,1.67
Darrius Bell,104446,ED,CHARLES SO,1,3,3.0,3.0,135,0,100.0,1,1,0,8,6,2.67
Kendrick Simpkins,123466,S,W KENTUCKY,1,3,3.0,3.0,346,0,83.3,1,1,0,4,1,1.33
Semaj Verner,87849,CB,UC DAVIS,1,15,3.0,3.0,322,0,157.1,5,5,1,61,31,4.07
Ennis Rakestraw Jr.,124215,CB,MISSOURI,1,6,3.0,3.0,229,0,91.7,2,2,0,12,15,2.0
Iverson Brown,89147,S,S ILLINOIS,1,3,3.0,3.0,295,0,118.8,1,1,0,14,4,4.67
Wesley Hines,154216,CB,LNDNWD,1,6,3.0,2.0,949,0,71.5,2,3,0,10,5,1.67
Tre Everett III,178235,S,HAMPTON,1,3,3.0,3.0,178,0,83.3,1,1,0,4,1,1.33
Aidan Gousby,157507,S,MINNESOTA,1,3,3.0,3.0,225,0,143.8,1,1,1,9,0,3.0
Manny Smith,89185,S,NC CENT,1,3,3.0,3.0,247,0,112.5,1,1,0,11,0,3.67
Tyrin Bradley,151205,ED,W VIRGINIA,1,3,3.0,3.0,343,0,79.2,1,1,0,3,6,1.0
Kenton Wilhoit,89289,LB,ABILENE CH,1,3,3.0,1.5,100,0,95.8,1,2,1,4,0,1.33
Stone Blanton,158122,LB,S CAROLINA,1,3,3.0,1.5,289,0,56.3,1,2,0,3,8,1.0
Dillon Gearhart,138206,S,ILL STATE,1,6,3.0,3.0,188,0,129.2,2,2,1,11,0,1.83
Trevion Shadrick-Harris,144469,S,E WASHGTON,1,3,3.0,3.0,161,0,104.2,1,1,0,9,0,3.0
Deonta Bembry,79011,CB,E KENTUCKY,1,9,3.0,3.0,159,0,158.3,3,3,1,70,14,7.78
Jack Fairman,148936,LB,PENN,1,6,3.0,3.0,267,0,79.2,2,2,0,6,10,1.0
D'Marcus Harrington,122296,S,CAMPBELL,1,3,3.0,3.0,131,0,91.7,1,1,0,6,0,2.0
CJ Brown,148718,LB,COLUMBIA,1,3,3.0,3.0,145,0,79.2,1,1,0,2,4,0.67
Que Reid,78694,S,JAMES MAD,1,3,3.0,3.0,197,0,95.8,1,1,0,7,0,2.33
Eli Neal,97693,LB,MARSHALL,1,6,3.0,3.0,214,0,118.8,2,2,0,33,24,5.5
Oscar Benson,125282,CB,N DAK ST,1,12,3.0,2.4,250,0,118.8,4,5,0,69,31,5.75
Jarron Polu,173017,LB,UTAHTC,1,3,3.0,3.0,1285,0,108.3,1,1,0,10,5,3.33
Kamren Kinchens,143946,S,MIAMI FL,1,3,3.0,3.0,220,0,118.8,1,1,0,15,7,5.0
Nick Chimienti,142370,S,STNY BROOK,1,3,3.0,3.0,303,0,79.2,1,1,0,2,4,0.67
Cole Wisniewski,125313,S,N DAK ST,1,3,3.0,1.5,250,0,62.5,1,2,0,9,3,3.0
Brayton Spetter,149453,LB,BUTLER,1,3,3.0,3.0,127,0,79.2,1,1,0,2,1,0.67
Nic Cheeley,104225,S,E KENTUCKY,1,9,3.0,3.0,159,0,93.1,3,3,0,19,6,2.11
David Laney,123822,S,NC A&T,1,6,3.0,2.0,246,0,72.9,2,3,0,11,3,1.83
Brevin Randle,103830,LB,LA TECH,1,3,3.0,3.0,208,0,118.8,1,1,0,15,20,5.0
Chayce Chalmers,99817,S,STNY BROOK,1,3,3.0,3.0,303,0,143.8,1,1,1,9,0,3.0
Chris Edmonds,105737,S,ARIZONA ST,1,3,3.0,3.0,110,0,112.5,1,1,0,11,3,3.67
Malik Robinson,58044,LB,HOUSTON,1,3,3.0,3.0,182,0,118.8,1,1,0,16,7,5.33
Caleb Francl,138302,S,S DAK ST,1,6,3.0,3.0,292,0,102.1,2,2,0,17,13,2.83
Ernest Woods III,150833,CB,ALCORN ST,1,3,3.0,3.0,107,0,91.7,1,1,0,6,2,2.0
Dondi Fuller,128353,LB,UTAHTC,1,3,3.0,3.0,1285,0,118.8,1,1,0,15,19,5.0
Cam Jeffery,147068,LB,ARK STATE,1,9,3.0,3.0,113,0,105.6,3,3,0,28,9,3.11
Jai Roe,142486,CB,LIUSHAR,1,18,3.0,3.0,1298,0,100.0,6,6,0,48,61,2.67
Reese Young,165701,LB,ABILENE CH,1,15,3.0,2.5,100,0,97.2,5,6,0,44,32,2.93
Mike Edwards III,147127,LB,E CAROLINA,1,9,3.0,3.0,156,0,118.8,3,3,0,45,18,5.0
Zack Helsley,186625,S,MERCYHURST,1,9,3.0,3.0,977,0,81.9,3,3,0,11,12,1.22
JD Coffey III,144729,S,S DIEGO ST,1,6,3.0,3.0,284,0,118.8,2,2,0,38,20,6.33
Evan Williams,73864,S,OREGON,1,6,3.0,3.0,264,0,93.8,2,2,0,13,10,2.17
Parker McKenna,143761,LB,PORTLAND,1,3,3.0,3.0,269,0,118.8,1,1,0,13,0,4.33
Sedric Applewhite,160202,ED,MCNEESE,1,3,3.0,3.0,217,0,118.8,1,1,0,18,22,6.0
Tre'Quon Fegans,157009,S,USC,1,3,3.0,3.0,326,0,87.5,1,1,0,5,0,1.67
Colin Ramos,144338,LB,NAVY,1,3,3.0,3.0,237,0,91.7,1,1,0,6,4,2.0
Ed Dennis,160328,S,CAMPBELL,1,6,3.0,2.0,131,0,91.0,2,3,0,24,7,4.0
Antavious Lane,97141,S,N CAROLINA,1,3,3.0,3.0,245,0,83.3,1,1,0,4,1,1.33
Tarian Lee Jr.,98988,LB,GA SOUTHRN,1,3,3.0,3.0,174,0,112.5,1,1,0,11,12,3.67
Cody Moon,128273,LB,S DIEGO ST,1,3,3.0,3.0,284,0,87.5,1,1,0,5,0,1.67
Donovan Comestro,177374,S,HOLY CROSS,1,3,3.0,3.0,181,0,116.7,1,1,0,12,16,4.0
Max DiDomenico,147338,S,ARMY,1,3,3.0,3.0,114,0,108.3,1,1,0,10,5,3.33
Jayden Sheridan,150222,CB,UTAHTC,1,3,3.0,3.0,1285,0,131.3,1,1,1,6,0,2.0
KeyShawn Johnson,81280,LB,PRVIEW A&M,1,3,3.0,3.0,270,0,79.2,1,1,0,-6,-1,-2.0
Kahleef Jimmison,147365,S,DELWARE ST,1,3,3.0,3.0,152,0,118.8,1,1,1,3,2,1.0
Raimoana Tinirauarii,164492,LB,WEBER ST,1,3,3.0,3.0,342,0,87.5,1,1,0,5,2,1.67
Eli Purcell,150040,LB,WOFFORD,1,3,3.0,3.0,350,0,118.8,1,1,0,46,29,15.33
Austin Ambush,142273,S,JVILLE ST,1,3,3.0,3.0,196,0,118.8,1,1,0,20,21,6.67
