player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jaylan Foster,13095,S,S CAROLINA,1,36,0,289,0,,,100.0,,,0,0,,65.2,0,,,0,0,0.0,0,10,27.8,10,0,0,0,0,0,0,0.0,,0,1,12.0,33.3,100.0,20.0,6.7,0,0,0.0,90.7,2,5,20.0,1,0,2.8,1,20,55.6,20,1,3,3,0,5,7,0.3,5.0
Mark Williams,21922,CB,LA MONROE,1,52,0,209,0,,,100.0,,,0,0,,58.1,0,,50.0,1,0,0.0,0,8,15.4,8,0,1,0,0,0,0,0.0,,0,0,5.7,100.0,100.0,7.7,7.7,0,0,0.0,67.9,0,11,0.0,0,0,97.2,3,23,44.2,23,2,3,3,0,22,5,1.0,7.3
Devin Taylor,22317,CB,BOWL GREEN,1,27,0,122,0,23.0,100.0,100.0,4.0,4.0,0,0,0.0,47.4,0,23,0.0,0,0,118.8,1,4,14.8,4,0,1,1,0,23,0,5.8,23.0,0,0,17.0,0.0,100.0,,8.5,0,1,50.0,65.7,0,,0.0,0,1,39.6,0,19,70.4,19,0,1,2,0,0,0,0.0,
Cortez Davis,22974,CB,HAWAII,1,51,0,180,0,13.5,0.0,94.1,,8.0,0,0,0.0,64.5,0,,,0,0,39.6,0,16,31.4,17,0,0,2,0,0,0,0.0,,0,0,12.2,40.0,94.4,8.5,3.4,0,2,40.0,62.6,0,7,0.0,0,2,47.9,2,17,33.3,18,1,1,5,0,11,13,0.6,5.5
Reggie Stubblefield,23441,S,KANSAS ST,1,28,0,199,0,,,75.0,,,0,0,,70.9,0,,,0,0,0.0,0,9,32.1,12,1,0,0,0,0,0,0.0,,0,1,-2.3,100.0,85.7,4.0,4.0,0,0,0.0,68.0,0,6,0.0,0,0,87.5,3,12,42.9,14,1,1,3,0,15,22,1.3,5.0
Darion Dunn,23963,CB,TEXAS,1,10,0,311,0,,,100.0,,,0,0,,61.5,0,,,0,0,0.0,0,2,20.0,2,0,0,0,0,0,0,0.0,,0,0,-2.0,100.0,100.0,6.0,6.0,0,0,0.0,71.8,0,3,0.0,0,0,79.2,1,6,60.0,6,0,1,1,0,3,5,0.5,3.0
Darren Evans,24171,CB,LSU,1,23,0,211,0,17.0,50.0,100.0,10.0,5.0,0,1,50.0,63.8,0,12,0.0,0,0,68.8,1,10,43.5,10,0,1,2,0,12,2,1.2,12.0,0,0,19.0,100.0,100.0,13.0,13.0,0,0,0.0,54.2,0,18,0.0,0,0,158.3,1,13,56.5,13,0,1,1,1,18,0,1.4,18.0
Alvinoski LaFleur,24504,S,E MICHIGAN,1,29,0,160,0,14.0,0.0,100.0,,4.0,0,0,0.0,71.8,0,,,0,0,39.6,0,4,13.8,4,0,0,1,0,0,0,0.0,,0,0,7.0,100.0,100.0,5.5,5.5,0,0,0.0,49.2,0,19,0.0,0,0,114.6,4,22,75.9,22,0,4,4,0,46,18,2.1,11.5
Luc Bequette,25776,DI,CAL,1,2,0,130,0,,,11.1,,,0,0,,58.1,0,,,0,0,0.0,0,2,100.0,18,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,16,0,1,0,0,0,0,,
Jeremiah Moon,26453,LB,FLORIDA,1,16,0,163,0,,,33.3,,,0,0,,60.6,0,,,0,0,0.0,0,2,12.5,6,0,0,0,0,0,0,0.0,,0,0,7.0,0.0,44.4,,8.0,0,0,0.0,62.0,0,,,0,0,39.6,0,8,50.0,18,0,0,1,0,0,0,0.0,
