player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Jahsen Wint,42914,S,MARSHALL,1,4,0,214,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.2,0,,,0,0,0.0,0,2,50.0,2,0,0,0,0,0,0,0.0,
Cole Pearce,52970,LB,BALL ST,1,22,0,117,0,3.0,50.0,73.7,14.0,7.0,0,0,0.0,51.3,1,28,0.0,0,0,56.3,1,14,63.6,19,0,1,2,0,28,30,2.0,28.0,0,0,-2.0,100.0,100.0,5.0,5.0,0,0,0.0,72.8,0,3,0.0,0,0,79.2,1,5,22.7,5,1,1,1,0,3,5,0.6,3.0
DeShawn Pace,53549,S,CINCINNATI,1,18,0,138,0,26.0,0.0,100.0,,5.0,0,0,0.0,43.6,0,,,0,0,39.6,0,5,27.8,5,0,0,1,0,0,0,0.0,,0,0,13.0,100.0,92.3,11.0,11.0,0,0,0.0,55.3,0,13,,0,0,118.8,1,12,66.7,13,0,0,1,0,13,0,1.2,13.0
Jaheim Thomas,54193,LB,ARKANSAS,1,2,0,111,0,,,33.3,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,
Zachary Ford,55353,S,TOLEDO,1,38,0,316,0,46.0,0.0,100.0,,4.0,0,0,0.0,44.7,0,,,0,0,39.6,0,4,10.5,4,0,0,1,0,0,0,0.0,,0,1,13.0,40.0,96.6,12.5,5.0,0,0,0.0,58.4,0,7,33.3,1,0,47.9,2,28,73.7,29,0,1,5,0,14,14,0.6,7.0
Korey Hernandez,55796,CB,E MICHIGAN,1,5,0,160,0,,,100.0,,,0,0,,61.2,0,,,0,0,0.0,0,2,40.0,2,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,61.8,0,,,0,0,0.0,0,3,60.0,3,0,0,0,0,0,0,0.0,
John Davis,56230,CB,N TEXAS,1,18,0,251,0,,,100.0,,,0,0,,62.4,0,,,0,0,0.0,0,3,16.7,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.9,0,,,0,0,0.0,0,11,61.1,11,0,0,0,0,0,0,0.0,
Bryson Jackson,57738,S,BAYLOR,1,6,0,118,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,16.7,1,0,0,0,0,0,0,0.0,,0,0,,,83.3,,,0,1,,70.8,0,,,0,1,0.0,0,5,83.3,6,0,0,0,0,0,0,0.0,
Jerry Roberts,57759,LB,UMASS,1,18,0,216,0,14.0,0.0,100.0,,8.0,0,0,0.0,43.5,0,,100.0,1,0,39.6,0,10,55.6,10,0,0,1,0,0,0,0.0,,0,0,,,50.0,,,0,0,,62.1,0,,,0,0,0.0,0,5,27.8,10,0,0,0,0,0,0,0.0,
Isaac Ukwu,57888,ED,OLE MISS,1,4,0,226,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,12,0,0,0,0,0,0,,,0,0,,,18.2,,,0,0,,62.5,0,,,0,0,0.0,0,4,100.0,22,0,0,0,0,0,0,0.0,
