player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Junior Tuihalamaka,156982,ED,NOTRE DAME,1,4,0,258,0,,,16.7,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,6,0,0,0,0,0,0,0.0,,0,0,,,33.3,,,0,0,,49.5,0,,,0,0,0.0,0,2,50.0,6,0,0,0,0,0,0,0.0,
Davison Igbinosun,157129,CB,OHIO STATE,1,29,0,260,0,4.0,0.0,100.0,,6.0,0,0,0.0,51.6,0,,,0,0,39.6,0,8,27.6,8,0,0,1,0,0,0,0.0,,0,0,5.0,100.0,100.0,6.5,6.5,0,0,0.0,54.3,0,8,0.0,0,0,95.8,2,15,51.7,15,1,3,2,0,14,4,1.1,7.0
Sonny Styles,162876,LB,OHIO STATE,1,35,0,260,0,,,75.0,,,0,0,,63.0,0,,,0,0,0.0,0,9,25.7,12,1,0,0,0,0,0,0.0,,0,0,5.0,100.0,84.2,7.5,7.5,0,0,0.0,60.0,0,33,50.0,1,0,118.8,2,16,45.7,19,0,1,2,0,40,30,2.7,20.0
Jermaine Mathews Jr.,170257,CB,OHIO STATE,1,17,0,260,0,9.0,100.0,100.0,3.0,3.0,0,0,0.0,48.9,0,34,50.0,1,0,158.3,2,7,41.2,7,0,1,2,1,46,28,7.7,23.0,0,0,3.0,100.0,100.0,6.0,6.0,0,0,0.0,65.5,0,4,0.0,0,0,83.3,1,6,35.3,6,1,1,1,0,4,1,0.7,4.0
Arvell Reese,170264,LB,OHIO STATE,1,2,0,260,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,1,0,0,0,0,0,0,,
Jaiden Ausberry,171075,LB,NOTRE DAME,1,5,0,258,0,,,66.7,,,0,0,,60.2,0,,,0,0,0.0,0,2,40.0,3,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,64.1,0,,,0,0,0.0,0,3,60.0,3,0,0,0,0,0,0,0.0,
Drayk Bowen,171077,LB,NOTRE DAME,1,16,0,258,0,,,72.7,,,0,0,,62.3,0,,,0,0,0.0,0,8,50.0,11,0,0,0,0,0,0,0.0,,0,0,,,75.0,,,0,0,,92.3,0,,0.0,0,0,0.0,0,6,37.5,8,0,2,0,0,0,0,0.0,
Adon Shuler,171098,S,NOTRE DAME,1,24,0,258,0,,,93.3,,,0,0,,64.2,0,,,0,0,0.0,0,14,58.3,15,0,0,0,0,0,0,0.0,,0,1,-3.0,100.0,80.0,8.0,8.0,0,0,0.0,46.6,0,15,0.0,0,0,118.8,1,8,33.3,10,0,0,1,0,15,18,1.9,15.0
Caleb Downs,172375,S,OHIO STATE,1,42,0,260,0,2.0,100.0,100.0,10.0,10.0,0,0,0.0,59.0,0,6,50.0,1,0,91.7,1,12,28.6,12,0,1,1,0,6,4,0.6,6.0,0,0,-5.0,100.0,100.0,17.0,17.0,0,0,0.0,59.6,0,7,,0,0,95.8,1,19,45.2,19,0,0,1,0,7,12,0.4,7.0
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,1,12,0,258,0,,,63.6,,,0,0,,62.3,0,,,0,0,0.0,0,7,58.3,11,0,0,0,0,0,0,0.0,,0,0,-5.0,100.0,66.7,4.0,4.0,0,0,0.0,72.5,0,24,0.0,0,0,118.8,1,4,33.3,6,0,1,1,0,24,29,6.0,24.0
Leonard Moore,189882,CB,NOTRE DAME,1,27,0,258,0,4.3,66.7,100.0,7.0,4.7,0,1,33.3,69.4,0,7,0.0,0,1,77.1,2,15,55.6,15,0,2,3,0,14,6,1.0,7.0,0,0,,,100.0,,,0,0,,57.9,0,,,0,0,0.0,0,10,37.0,10,0,0,0,0,0,0,0.0,
