player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chris Durr Jr.,184950,WR,WYOMING,2,1,0,0,0.0,0,0,1,0,3,0,0,0.0,0,0,351,0,0,69.0,81.8,77.4,,,82.5,57.7,60.0,1,0,200,11,44,28,0,0,15,12,0,1,0,0.0,1.0,4.55,1
Jerrian Parker Jr.,185595,HB,SM HOUSTON,1,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,281,0,0,62.5,56.3,67.8,,29.4,60.0,59.5,60.0,0,0,0,0,1,2,0,0,0,1,0,0,1,1.0,0.0,0.0,1
Trevon Tate,186678,WR,UTEP,2,1,0,0,0.0,0,0,6,0,0,0,0,0.0,0,1,330,0,0,62.9,58.8,74.1,,,58.7,,60.0,6,0,4,2,18,10,0,0,2,3,0,6,0,0.0,6.0,0.22,0
Rodney Bullard Jr.,187890,WR,MICH STATE,2,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,223,0,0,62.5,56.9,76.9,,,53.3,59.4,75.6,-2,0,0,0,10,20,0,0,1,1,0,-2,0,0.0,-2.0,0.0,0
Jayden Parker,188180,HB,CAL,1,1,0,0,0.0,0,0,3,0,0,0,0,0.0,0,0,130,0,0,62.5,59.5,62.7,,,,59.8,,3,0,0,0,0,1,0,0,0,1,0,3,0,0.0,3.0,,1
Josh Bell,205480,HB,UTEP,1,1,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,330,0,0,62.5,56.7,66.0,,,,58.2,60.0,4,0,0,0,0,2,0,0,0,1,0,4,3,3.0,4.0,,1
Tristen Brown,188507,WR,VANDERBILT,2,1,0,0,0.0,0,0,2,0,0,0,3,0.0,0,0,333,0,1,62.5,48.3,75.2,,,46.1,57.6,75.6,2,1,0,0,9,15,0,0,0,1,0,2,3,3.0,2.0,0.0,0
Jamezell Lassiter,188518,HB,VANDERBILT,2,1,0,1,100.0,35,0,35,0,2,0,35,3.5e3,1,1,333,0,1,64.3,93.3,69.3,,,89.4,78.0,57.1,35,0,26,1,1,3,0,0,1,2,1,35,35,35.0,35.0,26.0,0
Alberto Mendoza,188673,QB,INDIANA,1,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,190,0,0,64.8,90.2,70.4,90.4,,,60.0,60.0,-3,1,0,0,0,7,0,0,0,1,0,-3,0,0.0,-3.0,,0
Deion Burks,145107,WR,OKLAHOMA,2,1,1,0,0.0,0,0,12,0,3,1,9,240.0,1,1,261,0,1,69.7,75.0,83.1,,,74.8,63.1,58.0,12,0,189,14,70,65,0,0,20,15,0,12,9,9.0,12.0,2.7,0
Cameron Flowers,188745,WR,W KENTUCKY,3,1,0,0,0.0,0,0,1,0,4,0,1,80.0,0,0,346,0,0,66.7,81.5,76.3,87.3,,76.5,59.5,68.9,1,0,39,4,20,30,0,0,5,5,0,1,1,1.0,1.0,1.95,0
Parker Threatt,188826,QB,S DIEGO ST,1,1,0,0,0.0,0,0,5,0,0,0,4,0.0,0,1,284,0,1,62.5,64.8,70.0,,,58.0,64.2,58.4,5,0,0,0,1,7,0,0,0,1,1,5,4,4.0,5.0,0.0,0
Gabe Fields,205485,HB,VANDERBILT,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,333,0,1,62.5,62.0,68.2,,,,58.7,65.9,2,0,0,0,0,3,0,0,0,1,0,2,2,2.0,2.0,,0
Jameson Geers,144979,TE,MINNESOTA,2,1,0,0,,0,0,0,2,0,0,0,0.0,0,0,225,0,0,67.7,69.2,77.3,,71.7,68.6,58.9,64.0,0,0,43,5,27,44,0,0,9,6,0,0,0,0.0,0.0,1.59,0
Boone Lourd,189721,QB,VIRGINIA,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,335,0,1,62.5,60.0,66.6,,,,60.0,60.0,0,0,0,0,0,3,0,0,0,1,0,0,0,0.0,0.0,,0
Le'Meke Brockington,144969,WR,MINNESOTA,2,1,0,0,0.0,0,0,7,0,0,0,0,0.0,0,1,225,0,0,65.3,62.9,80.2,,,61.7,63.1,57.4,7,0,30,2,24,47,0,0,3,3,1,7,0,0.0,7.0,1.25,1
Tommy Doman,144944,P,FLORIDA,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,163,0,0,62.5,60.0,70.3,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,,0
Jay Simon,189827,WR,LA TECH,1,1,1,0,0.0,0,0,2,0,0,1,2,100.0,0,0,208,0,1,64.3,58.3,68.0,,,59.9,59.4,60.0,2,0,3,1,2,2,0,0,1,2,0,2,2,2.0,2.0,1.5,0
Jonathan Bibbs,190005,WR,LA MONROE,2,1,0,0,0.0,0,0,5,0,0,0,3,0.0,0,0,209,0,1,62.5,61.2,75.7,,,53.6,63.6,68.1,5,0,0,0,11,31,0,0,0,1,0,5,3,3.0,5.0,0.0,0
Keagan Johnson,144848,WR,NEW MEXICO,2,1,0,0,0.0,0,0,4,0,0,0,6,0.0,0,0,241,0,0,68.2,59.3,80.6,,,60.6,59.5,49.3,4,0,46,8,59,36,0,0,10,9,0,4,6,6.0,4.0,0.78,0
Donaven McCulley,144829,WR,MICHIGAN,2,1,0,0,0.0,0,0,-6,0,0,0,2,0.0,0,0,222,0,0,67.8,68.0,0.0,,,66.8,57.6,84.5,-6,1,122,7,53,56,0,0,13,8,0,-6,2,2.0,-6.0,2.3,0
Samari Collier,144801,QB,COAST CAR,1,1,0,0,0.0,0,0,1,0,0,0,2,0.0,0,1,141,0,0,62.5,60.0,63.6,,,,60.0,,1,0,0,0,0,1,0,0,0,1,0,1,2,2.0,1.0,,0
Behren Morton,144747,QB,TEXAS TECH,2,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,1,315,0,0,69.7,87.8,77.6,85.8,,,63.2,60.0,4,0,0,0,0,32,4,1,0,0,0,4,11,11.0,4.0,,0
Trent Battle,144683,HB,TCU,1,1,0,1,100.0,28,0,28,0,0,0,0,0.0,1,1,305,0,1,62.5,64.2,70.2,,78.9,57.5,63.1,60.0,28,0,0,0,4,2,0,0,1,1,1,28,0,0.0,28.0,0.0,0
Shane Porter,144592,HB,SM HOUSTON,1,1,0,0,0.0,0,0,4,0,0,0,0,0.0,0,1,281,0,0,66.4,57.9,70.0,,,63.3,57.2,,4,0,7,1,5,1,0,0,1,2,0,4,0,0.0,4.0,1.4,1
Deuce Adams,190581,QB,LOUISVILLE,1,1,0,0,0.0,0,0,10,0,0,0,0,0.0,1,1,210,0,1,64.8,84.1,70.1,81.6,,,63.2,60.0,10,0,0,0,0,7,0,0,0,1,0,10,0,0.0,10.0,,0
